EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,HeaveAttempts,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,AtRimPctBlocked,BlocksRecoveredPct,ShortMidRangePctBlocked,PtsUnassisted3s,Loose Ball Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Fg3aBlocked,Travels,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1713-2074-2210-467-696,1610612751,"Vince Carter, Jabari Smith, Richard Jefferson, Jason Kidd, Travis Best","Carter, Smith, Jefferson, Kidd, Best",1713-2074-2210-467-696,NJN,41.0,1,1.0,-1.0,2.0,2.0,2.0,4,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.75,0.75,0.5,1.0,1.0,140.4878048780488,17.0,3.5,17.0,3.5,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.441075,14.5,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2215-2420-467,1610612751,"Vince Carter, Richard Jefferson, Jason Collins, Nenad Krstic, Jason Kidd","Carter, Jefferson, Collins, Krstic, Kidd",1713-2210-2215-2420-467,NJN,3187.0,3,53.0,-17.0,104.0,106.0,45.0,210,21.0,3.0,15.0,62.0,4.0,22.0,96.0,113.0,12.0,15.0,3.0,,4.0,18.0,3.0,40.0,26.0,74.0,2.0,1.0,0.18181818181818182,0.18181818181818182,0.39285714285714285,0.4567307692307692,0.2619047619047619,,,94.88547223093819,14.60576923076923,15.735849056603774,13.836538461538462,15.537735849056604,0.25,0.17857142857142858,0.2,0.2,1.0,0.5714285714285714,0.2,0.4944238095238095,7.896774193548388,24.654545454545453,42.0,16.0,16.0,26.0,7.0,9.0,7.0,12.0,6.0,15.0,5.0,1.0,7.0,2.0,4.0,1.0,3.0,1.0,4.0,27.0,30.0,8.0,11.0,1.0,5.0,3.0,22.0,9.0,23.0,1.0,8.0,15.0,36.0,28.0,26.0,10.0,14.0,1.0,7.0,4.0,3.0,8.0,10.0,8.0,27.0,6.0,41.0,18.0,59.0,2.0,9.0,4.0,5.0,6.0,3.0,4.0,12.0,1.0,2.0,18.0,1.0,7.0,14.0,5.0,42.0,1.0,1.0,18.0,3.0,2.0,1.0,36.0,42.0,0.5185185185185185,0.6363636363636364,0.2,0.125,0.43548387096774194,0.7272727272727273,0.391304347826087,0.59375,0.3387096774193548,0.6111111111111112,0.4268292682926829,0.3333333333333333,1.0,0.7714285714285715,0.2857142857142857,0.7272727272727273,0.4444444444444444,0.7608695652173914,0.33962264150943394,0.5,0.2222222222222222,0.1875,0.5,0.3333333333333333,0.6666666666666666,0.8461538461538461,0.8571428571428571,0.6666666666666666,1.0,0.03773584905660377,0.30952380952380953,0.6153846153846154,0.6153846153846154,0.4375,0.17857142857142858,0.4,0.4,0.6666666666666666,0.23809523809523808,0.23809523809523808,0.6,0.08333333333333333,0.14285714285714285,0.14285714285714285,1.0,0.5625,0.7777777777777778,0.2857142857142857,0.125,0.1875,0.3333333333333333,1.0,0.3870967741935484,0.5833333333333334,0.12903225806451613,0.12903225806451613,0.25,0.5575454545454546,0.5038806451612904,0.1782178217821782,0.22784810126582278,0.22916666666666666,0.375,0.40384615384615385,,,,,,,,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2215-2420-696,1610612751,"Vince Carter, Richard Jefferson, Jason Collins, Nenad Krstic, Travis Best","Carter, Jefferson, Collins, Krstic, Best",1713-2210-2215-2420-696,NJN,174.0,2,3.0,4.0,6.0,7.0,4.0,13,2.0,,1.0,4.0,,1.0,6.0,2.0,,,,,,2.0,,4.0,1.0,6.0,1.0,,,,0.4,0.5,0.2,,,107.58620689655173,13.833333333333334,13.0,13.833333333333334,13.0,0.4,0.2,,,,0.6,,0.482775,7.55,76.8,4.0,,2.0,2.0,,,1.0,1.0,,,,,,,,,,,1.0,2.0,2.0,,,,,,,1.0,3.0,,1.0,2.0,4.0,4.0,,,2.0,,2.0,,,,,2.0,1.0,1.0,4.0,,4.0,,,,,,1.0,,1.0,,,1.0,,,,,2.0,,,1.0,,,,4.0,4.0,1.0,1.0,,,0.5,,0.3333333333333333,,0.25,,0.4,,1.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,0.4,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.25,1.0,,0.25,,,0.45470000000000005,0.16666666666666666,0.2,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2215-361-467,1610612751,"Vince Carter, Richard Jefferson, Jason Collins, Clifford Robinson, Jason Kidd","Carter, Jefferson, Collins, Robinson, Kidd",1713-2210-2215-361-467,NJN,665.0,3,11.0,3.0,23.0,23.0,6.0,46,7.0,2.0,4.0,21.0,2.0,4.0,18.0,15.0,6.0,4.0,2.0,4.0,2.0,4.0,2.0,10.0,7.0,16.0,1.0,1.0,0.5,0.5,0.32,0.34615384615384615,0.16,0.19047619047619047,,99.60902255639097,13.695652173913043,15.217391304347826,12.0,15.130434782608695,0.28,0.16,0.5,0.5,1.0,0.6,0.5,0.468264,7.276190476190477,26.1,9.0,5.0,3.0,11.0,1.0,5.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,5.0,2.0,1.0,5.0,,,,2.0,2.0,8.0,,,2.0,6.0,4.0,6.0,,2.0,,1.0,,1.0,,7.0,2.0,8.0,,10.0,7.0,17.0,1.0,3.0,2.0,1.0,4.0,,3.0,,,1.0,4.0,2.0,2.0,4.0,,2.0,,,,1.0,,,6.0,9.0,0.4,0.4,,,0.23809523809523808,0.2,0.25,0.2,0.25,0.2,0.3333333333333333,1.0,,1.0,0.4375,1.0,,1.0,0.3888888888888889,0.25,1.0,0.5,,,1.0,1.0,1.0,1.0,,0.07142857142857142,0.44,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.12,0.3333333333333333,0.3333333333333333,,0.14285714285714285,0.14285714285714285,1.0,,,,,1.0,0.2,1.0,,,,,0.375,0.3333333333333333,,,,0.51698,0.478925,,,0.1111111111111111,0.3333333333333333,0.391304347826087,,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2215-361-696,1610612751,"Vince Carter, Richard Jefferson, Jason Collins, Clifford Robinson, Travis Best","Carter, Jefferson, Collins, Robinson, Best",1713-2210-2215-361-696,NJN,195.0,2,3.0,2.0,6.0,4.0,2.0,10,2.0,,,7.0,,,8.0,6.0,,,,1.0,,,,,2.0,6.0,,,,,0.42857142857142855,0.5,,0.14285714285714285,,73.84615384615384,18.333333333333332,21.25,16.666666666666668,21.25,0.2857142857142857,,,,,0.42857142857142855,,0.45007142857142857,7.8,,3.0,2.0,1.0,3.0,1.0,2.0,,1.0,1.0,2.0,1.0,,,,,,,,,3.0,2.0,1.0,2.0,,,,2.0,1.0,2.0,,,2.0,4.0,,6.0,2.0,,,,,,,2.0,,1.0,,1.0,2.0,3.0,,,,,,,,,,,,,,1.0,,2.0,,,,1.0,,,4.0,3.0,,,,,0.42857142857142855,0.5,0.5,0.5,0.5,0.5,0.6666666666666666,,,0.5,0.5,,,0.5,0.5,,1.0,1.0,,,0.5,,,,,,0.42857142857142855,0.3333333333333333,0.5,,0.2857142857142857,0.5,0.5,,0.5,0.5,,,,,,1.0,0.5,,,,,,0.5,,,,,0.564,0.43025,,,0.25,0.5,0.5,,,,,,0.3333333333333333,,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2215-467-696,1610612751,"Vince Carter, Richard Jefferson, Jason Collins, Jason Kidd, Travis Best","Carter, Jefferson, Collins, Kidd, Best",1713-2210-2215-467-696,NJN,206.0,2,3.0,3.0,7.0,7.0,4.0,14,3.0,,1.0,6.0,,1.0,8.0,5.0,,1.0,,,,2.0,,4.0,4.0,8.0,2.0,,,,0.5714285714285714,0.5714285714285714,0.14285714285714285,,,97.86407766990291,13.428571428571429,16.0,13.428571428571429,15.714285714285714,0.42857142857142855,0.14285714285714285,,,,0.14285714285714285,,0.394,14.5,25.0,1.0,,,,,,,,1.0,3.0,3.0,,,,,,,,1.0,4.0,,,,,,,,,,,1.0,,,4.0,4.0,,2.0,,,,2.0,,,,3.0,,3.0,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,0.5,0.5,,,0.6666666666666666,,,,,,,,,0.75,,,,0.75,,,,,,,1.0,0.6666666666666666,,,,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,1.0,,,0.4518,,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2243-2420-467,1610612751,"Vince Carter, Richard Jefferson, Brian Scalabrine, Nenad Krstic, Jason Kidd","Carter, Jefferson, Scalabrine, Krstic, Kidd",1713-2210-2243-2420-467,NJN,196.0,1,3.0,-2.0,7.0,7.0,,14,,,,6.0,,,5.0,7.0,,,,1.0,,,,,,3.0,,,,,0.16666666666666666,0.3125,,0.16666666666666666,,102.85714285714286,15.0,13.0,14.571428571428571,13.0,,,,,,0.5,,0.4800333333333333,3.8833333333333333,,1.0,1.0,1.0,3.0,1.0,2.0,,,,3.0,,,,,,,,,,1.0,3.0,1.0,2.0,,,,2.0,,,,,1.0,1.0,,2.0,2.0,,,,,,,2.0,1.0,2.0,,3.0,2.0,5.0,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,4.0,,,2.0,,,,1.0,1.0,,,,,0.16666666666666666,0.5,,0.5,,0.5,0.5,1.0,,1.0,0.4,1.0,,1.0,0.4,0.5,0.3333333333333333,,,,1.0,,1.0,1.0,,,0.5,0.3333333333333333,0.3333333333333333,,0.5,,,,,,,,,,,1.0,0.5,,,,,,,,,,,0.5388,,0.25,0.25,0.4,0.2,0.14285714285714285,,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2243-2420-696,1610612751,"Vince Carter, Richard Jefferson, Brian Scalabrine, Nenad Krstic, Travis Best","Carter, Jefferson, Scalabrine, Krstic, Best",1713-2210-2243-2420-696,NJN,152.0,1,3.0,2.0,4.0,5.0,,9,,1.0,1.0,3.0,1.0,1.0,7.0,5.0,,1.0,1.0,,,1.0,,2.0,1.0,5.0,,,1.0,1.0,0.875,0.875,0.25,,,85.26315789473685,18.5,15.6,18.0,15.6,,0.25,1.0,1.0,,1.0,1.0,0.597625,0.7333333333333334,26.9,4.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,1.0,1.0,2.0,,1.0,1.0,,,,2.0,2.0,3.0,1.0,1.0,,7.0,2.0,2.0,2.0,1.0,,1.0,,,,1.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,7.0,4.0,0.5,1.0,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.875,1.0,0.875,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,1.0,,,,,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,1.0,1.0,,,,,,0.75,0.6666666666666666,,0.25,1.0,0.5055,0.597625,,,0.2857142857142857,1.0,1.0,,,,,,,,,3.0,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2243-361-467,1610612751,"Vince Carter, Richard Jefferson, Brian Scalabrine, Clifford Robinson, Jason Kidd","Carter, Jefferson, Scalabrine, Robinson, Kidd",1713-2210-2243-361-467,NJN,67.0,1,1.0,-1.0,2.0,2.0,2.0,4,,,1.0,,,1.0,2.0,3.0,,1.0,,,,,,,1.0,2.0,1.0,,,,,0.5,1.0,,,85.97014925373134,14.0,19.5,14.0,19.5,,1.0,,,,1.0,,0.5367,,24.7,2.0,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,2.0,2.0,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5367,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1610612751,2005,2004-05,False
1713-2210-2243-361-696,1610612751,"Vince Carter, Richard Jefferson, Brian Scalabrine, Clifford Robinson, Travis Best","Carter, Jefferson, Scalabrine, Robinson, Best",1713-2210-2243-361-696,NJN,33.0,1,1.0,-2.0,1.0,,,1,,,,1.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,43.63636363636363,18.0,,18.0,,,,,,,1.0,,0.5244,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2005,2004-05,False
