EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,PenaltyFG2A,OffTwoPtRebounds,FTOffRebounds,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PlusMinus,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG2M,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,DefThreePtRebounds,FTDefRebounds,SelfOReb,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,DefFTReboundPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,OffLongMidRangeReboundPct,Steals,LostBallSteals,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BadPassSteals,LostBallTurnovers,Loose Ball Fouls,SecondChanceArc3FGA,SecondChanceFG3A,Travels,2pt And 1 Free Throw Trips,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceArc3Frequency,OffShortMidRangeReboundPct,BadPassOutOfBoundsTurnovers,PenaltyArc3FGM,PtsUnassisted3s,PenaltyArc3Accuracy,Technical Free Throw Trips,DefensiveGoaltends,SecondChanceTurnovers,BlockedLongMidRange,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3SecondViolations,BlockedCorner3,LongMidRangePctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Clear Path Fouls,team_id,year,season,team_vs
1761-1863-1889-1922-2030,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Kenyon Martin","Buckner, Boykins, Miller, Elson, Martin",1761-1863-1889-1922-2030,DEN,339.0,4,6.0,10.0,8.0,4.0,1.0,1.0,18.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,6.0,16.0,16.0,2.0,2.0,4.0,4.0,6.0,4.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,14.0,4.0,4.0,0.6,0.6,1.0,0.8333333333333334,0.8888888888888888,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.5,76.46017699115043,1.0,18.3,19.5,17.4,18.25,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.5141916666666667,0.25,0.2857142857142857,0.125,0.25,5.6,26.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-2035,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, DerMarr Johnson","Buckner, Boykins, Miller, Elson, Johnson",1761-1863-1889-1922-2035,DEN,7.0,1,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,205.71428571428572,,7.0,,4.0,,0.5,,,,,,,0.5,,,,,0.5,0.3761,,,,,8.4,,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3761,0.3761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-2059,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Eduardo Najera","Buckner, Boykins, Miller, Elson, Najera",1761-1863-1889-1922-2059,DEN,486.0,4,8.0,15.0,15.0,12.0,9.0,2.0,30.0,3.0,5.0,1.0,1.0,,3.0,3.0,4.0,9.0,4.0,3.0,14.0,18.0,,4.0,2.0,11.0,4.0,4.0,3.0,2.0,3.0,2.0,,7.0,1.0,3.0,6.0,2.0,8.0,1.0,1.0,,1.0,1.0,,1.0,,4.0,1.0,1.0,,,1.0,1.0,10.0,11.0,12.0,0.5,0.6666666666666666,0.4444444444444444,0.4230769230769231,0.4666666666666667,1.0,0.5,0.3076923076923077,1.0,1.0,0.3333333333333333,0.8333333333333334,0.25,0.3333333333333333,1.0,1.0,88.88888888888889,1.0,15.0,17.4,14.666666666666666,17.133333333333333,0.38461538461538464,0.6,0.6,0.6666666666666666,0.07692307692307693,1.0,1.0,0.23076923076923078,,,,0.23076923076923078,0.6923076923076923,0.5186884615384616,0.07142857142857142,0.1,0.2857142857142857,0.7857142857142857,6.911111111111111,24.825,0.8,1.0,3.0,2.0,7.0,1.0,,,0.2,0.5,0.5,0.3,0.6093,0.497845,-4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,0.25,1.0,0.42857142857142855,1.0,0.45,1.0,0.6666666666666666,1.0,0.5,1.0,0.125,0.07692307692307693,1.0,1.0,1.0,1.0,0.6666666666666666,0.1,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-2206,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Rodney White","Buckner, Boykins, Miller, Elson, White",1761-1863-1889-1922-2206,DEN,25.0,1,,4.0,4.0,4.0,4.0,,8.0,2.0,2.0,,,,,1.0,2.0,2.0,1.0,,4.0,5.0,,,,4.0,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,3.0,,,,,,,,,4.0,4.0,4.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,,,,,,,,460.79999999999995,,4.75,1.5,4.75,1.5,0.6666666666666666,1.0,1.0,0.5,,,,,,,,0.3333333333333333,1.0,0.6352666666666666,,,,1.0,,25.5,1.0,,2.0,,2.0,,,,,,,0.6666666666666666,,0.6352666666666666,-1.0,,2.0,,,,,1.0,,,2.0,,1.0,,,,,,,,,,3.0,,,,,,1.0,,0.6666666666666666,,,,,,,,,,,,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-2403,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Nene","Buckner, Boykins, Miller, Elson, Nene",1761-1863-1889-1922-2403,DEN,119.0,1,2.0,3.0,4.0,,,,7.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,6.0,,,,,2.0,,1.0,1.0,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,,1.0,1.0,1.0,0.5,0.5,,,0.5,1.0,1.0,,1.0,,,,,84.70588235294117,,20.666666666666668,14.25,20.666666666666668,14.25,0.5,1.0,1.0,1.0,,,,,,,,0.5,1.0,0.50655,,,,,,25.5,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-2546,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Carmelo Anthony","Buckner, Boykins, Miller, Elson, Anthony",1761-1863-1889-1922-2546,DEN,204.0,4,3.0,8.0,8.0,3.0,3.0,2.0,16.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,3.0,9.0,9.0,,4.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,,1.0,2.0,,1.0,2.0,3.0,5.0,,,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,,,,,5.0,3.0,3.0,0.3333333333333333,0.5,0.5,0.42857142857142855,0.5,1.0,0.75,0.14285714285714285,,1.0,,0.6666666666666666,0.5,,1.0,,112.94117647058823,,13.75,11.75,10.875,11.625,0.42857142857142855,0.3333333333333333,0.5,,0.14285714285714285,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.5714285714285714,0.48495,0.125,0.14285714285714285,0.4444444444444444,0.3333333333333333,8.266666666666667,24.1,0.375,1.0,,2.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,0.5,,0.45085,0.3147,,1.0,,,,,,,,2.0,1.0,,,,2.0,,,1.0,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,0.5,,0.5,,,,,,,1.0,,,,,1.0,0.16666666666666666,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-935,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Bryon Russell","Buckner, Boykins, Miller, Elson, Russell",1761-1863-1889-1922-935,DEN,71.0,2,1.0,2.0,3.0,2.0,1.0,,5.0,,,,,,,,,,,1.0,1.0,4.0,,,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,1.0,2.0,,,,,0.5,,0.5,,1.0,1.0,,0.5,,,,,101.40845070422534,,10.0,17.0,10.0,10.666666666666666,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-948,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Marcus Camby","Buckner, Boykins, Miller, Elson, Camby",1761-1863-1889-1922-948,DEN,203.0,2,3.0,6.0,5.0,1.0,5.0,,11.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,10.0,4.0,,,1.0,3.0,4.0,2.0,1.0,2.0,3.0,1.0,,7.0,,3.0,3.0,,3.0,,,,,,,,,2.0,1.0,,,,,,10.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.6,0.75,0.7142857142857143,,0.75,0.16666666666666666,,0.75,,0.75,,,,1.0,78.0295566502463,,14.166666666666666,23.6,14.166666666666666,22.0,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,,0.16666666666666666,0.6666666666666666,0.47635,0.14285714285714285,0.16666666666666666,,0.3,4.2,27.0,0.16666666666666666,,,,1.0,,,,,,,,,0.375,6.0,,,,,,,,1.0,,1.0,,,3.0,,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,0.5,,,,,,,,,,,,,1.0,0.2,0.3333333333333333,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-1922-998,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Francisco Elson, Mark Pope","Buckner, Boykins, Miller, Elson, Pope",1761-1863-1889-1922-998,DEN,20.0,1,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,1.0,,,,,,1.0,1.0,,,,,,0.5,,0.5,,,,,,,,,,72.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
1761-1863-1889-2030-2059,1610612743,"Greg Buckner, Earl Boykins, Andre Miller, Kenyon Martin, Eduardo Najera","Buckner, Boykins, Miller, Martin, Najera",1761-1863-1889-2030-2059,DEN,133.0,2,2.0,6.0,5.0,5.0,5.0,,11.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,6.0,5.0,,,1.0,6.0,2.0,,1.0,1.0,2.0,1.0,,5.0,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,6.0,6.0,5.0,1.0,1.0,1.0,0.8333333333333334,0.75,,0.75,0.6666666666666666,1.0,1.0,,0.5,,,,,119.09774436090225,,6.0,19.4,6.0,13.4,0.3333333333333333,1.0,1.0,1.0,,,,,,,,0.3333333333333333,1.0,0.5605333333333333,,,,1.0,,24.25,0.8333333333333334,,1.0,,1.0,,,,,,,0.3333333333333333,,0.5605333333333333,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,3.0,,1.0,1.0,,,,,,1.0,1.0,0.5,0.5,0.5,,1.0,,0.8333333333333334,,,1.0,,,,0.3333333333333333,1.0,1.0,1.0,,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,2.0,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2005,2004-05,True
