EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OpponentPoints,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,DefTwoPtRebounds,DefRebounds,Fouls,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Offensive Fouls,LongMidRangeFGA,LongMidRangeFrequency,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,OffThreePtRebounds,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PtsUnassisted3s,HeaveMakes,HeaveAttempts,SecondChanceTurnovers,OffAtRimReboundPct,AtRimAssists,DefThreePtRebounds,Steals,LostBallSteals,BadPassTurnovers,Loose Ball Fouls,Technical Free Throw Trips,BlockedAtRim,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Fg2aBlocked,BadPassSteals,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,FTDefRebounds,2pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,BlockedShortMidRange,DefensiveGoaltends,ShortMidRangePctBlocked,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceCorner3FGA,PtsPutbacks,Fg3aBlocked,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,3SecondViolations,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,FTOffRebounds,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,LongMidRangePctBlocked,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1032-1112-1497-1888-2419,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Richard Hamilton, Tayshaun Prince","Ham, Wallace, Billups, Hamilton, Prince",1032-1112-1497-1888-2419,DET,83.0,2,1.0,7.0,4.0,2.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.875,1.0,0.875,0.3333333333333333,1.0,1.0,1.0,1.0,104.09638554216868,11.25,19.0,11.25,19.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,0.44711666666666666,0.44711666666666666,0.25,0.3333333333333333,0.2857142857142857,1.0,2.8,23.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-1497-2306-2419,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Carlos Arroyo, Tayshaun Prince","Ham, Wallace, Billups, Arroyo, Prince",1032-1112-1497-2306-2419,DET,29.0,1,,-1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,0.5,,0.5,,,,,,99.3103448275862,7.0,22.0,7.0,22.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-1497-2306-739,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Carlos Arroyo, Rasheed Wallace","Ham, Wallace, Billups, Arroyo, Wallace",1032-1112-1497-2306-739,DET,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-1497-283-686,1610612765,"Darvin Ham, Ben Wallace, Chauncey Billups, Lindsey Hunter, Antonio McDyess","Ham, Wallace, Billups, Hunter, McDyess",1032-1112-1497-283-686,DET,14.0,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,102.85714285714286,14.0,,14.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-1888-2306-2419,1610612765,"Darvin Ham, Ben Wallace, Richard Hamilton, Carlos Arroyo, Tayshaun Prince","Ham, Wallace, Hamilton, Arroyo, Prince",1032-1112-1888-2306-2419,DET,62.0,1,1.0,1.0,1.0,2.0,1.0,2.0,,3.0,,,,,,,,,,,,1.0,1.0,,3.0,,,,,1.0,1.0,,3.0,,3.0,1.0,1.0,,3.0,,,1.0,,,,,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.5,1.5,1.5,,1.5,1.0,,,,,69.6774193548387,9.0,26.5,9.0,14.0,,,,,,,,,,,,,1.0,0.5019,0.5019,,,,1.0,,25.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-1888-2306-283,1610612765,"Darvin Ham, Ben Wallace, Richard Hamilton, Carlos Arroyo, Lindsey Hunter","Ham, Wallace, Hamilton, Arroyo, Hunter",1032-1112-1888-2306-283,DET,3.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,480.0,3.0,,3.0,,,,,,,,,,,,,,1.0,0.2646,0.2646,,,,,,28.2,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-1888-2419-283,1610612765,"Darvin Ham, Ben Wallace, Richard Hamilton, Tayshaun Prince, Lindsey Hunter","Ham, Wallace, Hamilton, Prince, Hunter",1032-1112-1888-2419-283,DET,22.0,2,,3.0,1.0,,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,3.0,,,,,1.0,1.0,,3.0,,3.0,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.5,1.5,1.5,,1.5,1.0,,,,,65.45454545454545,20.0,,20.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.4386,0.4386,,,,1.0,,24.4,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1112-2419-283-686,1610612765,"Darvin Ham, Ben Wallace, Tayshaun Prince, Lindsey Hunter, Antonio McDyess","Ham, Wallace, Prince, Hunter, McDyess",1032-1112-2419-283-686,DET,8.0,1,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,180.0,8.0,,8.0,,,,,,,,,,,,,,,0.2669,0.2669,,,,,18.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1497-1888-2419-283,1610612765,"Darvin Ham, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Lindsey Hunter","Ham, Billups, Hamilton, Prince, Hunter",1032-1497-1888-2419-283,DET,123.0,1,2.0,-2.0,4.0,5.0,4.0,3.0,,9.0,,,,,,,,,,1.0,2.0,,,2.0,4.0,,,1.0,2.0,,,2.0,4.0,,,,1.0,,2.0,,,1.0,,,,1.0,1.0,2.0,,4.0,4.0,4.0,,,,,0.5,0.5,0.5,0.5,0.6666666666666666,,0.6666666666666666,,,,,,105.3658536585366,13.0,14.2,13.0,14.2,,,,,,,,,,,,,,0.3929,0.3929,,,,1.0,18.35,,1.0,6.0,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
1032-1497-2306-2648-283,1610612765,"Darvin Ham, Chauncey Billups, Carlos Arroyo, Ronald Dupree, Lindsey Hunter","Ham, Billups, Arroyo, Dupree, Hunter",1032-1497-2306-2648-283,DET,38.0,1,1.0,2.0,1.0,1.0,,1.0,1.0,2.0,,,,,1.0,,,,,1.0,1.0,,1.0,,2.0,,2.0,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,0.5,,0.5,1.0,,0.5,,1.0,,,75.78947368421053,19.0,19.0,7.0,19.0,,,,0.5,,,,,,,,,0.5,0.40465,,,,1.0,,8.7,26.4,,,,1.0,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2005,2004-05,True
