EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,AtRimAssists,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PtsUnassisted3s,DefThreePtRebounds,FTDefRebounds,LostBallSteals,ShootingFouls,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,FTOffRebounds,LostBallTurnovers,PenaltyFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,Fg2aBlocked,ShortMidRangeAssists,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,PenaltyCorner3Frequency,PenaltyCorner3FGM,SecondChanceTurnovers,PenaltyCorner3Accuracy,BlockedShortMidRange,3SecondViolations,ShortMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffThreePtRebounds,Offensive Fouls,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,StepOutOfBoundsTurnovers,Technical Free Throw Trips,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceFg3Pct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,BlockedLongMidRange,LongMidRangePctBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,Clear Path Fouls,team_id,year,season,team_vs
1496-1717-1891-2572-711,1610612742,"Keith Van Horn, Dirk Nowitzki, Jason Terry, Josh Howard, Jerry Stackhouse","Van Horn, Nowitzki, Terry, Howard, Stackhouse",1496-1717-1891-2572-711,DAL,241.0,1,4.0,5.0,6.0,5.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,2.0,1.0,13.0,8.0,1.0,1.0,1.0,3.0,2.0,4.0,6.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,0.3333333333333333,0.5,1.0,1.0,1.0,0.6,1.0,0.8571428571428571,1.0,0.9285714285714286,1.5,0.2857142857142857,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,0.5,65.72614107883817,23.5,20.0,23.5,17.0,0.14285714285714285,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.46640000000000004,0.5623,0.14285714285714285,0.2,0.23076923076923078,7.42,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1717-1891-2572-714,1610612742,"Keith Van Horn, Dirk Nowitzki, Jason Terry, Josh Howard, Michael Finley","Van Horn, Nowitzki, Terry, Howard, Finley",1496-1717-1891-2572-714,DAL,313.0,2,5.0,-3.0,13.0,12.0,1.0,25.0,1.0,4.0,,,,,1.0,2.0,,1.0,,1.0,2.0,6.0,,2.0,8.0,12.0,15.0,,,2.0,2.0,2.0,2.0,,,1.0,,1.0,,1.0,,,,2.0,1.0,2.0,2.0,1.0,3.0,,8.0,,3.0,10.0,0.5,0.5,,,,0.3333333333333333,,0.25,,0.5,1.0,0.25,1.0,0.25,1.0,0.16666666666666666,,,,115.01597444089457,12.846153846153847,12.166666666666666,12.846153846153847,12.166666666666666,0.5,0.25,0.25,,,,0.25,0.5,0.5,,0.125,,,,0.125,,,,,,0.75,,0.47731875,,0.2727272727272727,0.3333333333333333,0.16666666666666666,7.983333333333333,23.9,9.0,5.0,1.0,4.0,2.0,6.0,6.0,10.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,10.0,9.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.25,0.45035000000000003,0.8333333333333334,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1717-2572-2734-711,1610612742,"Keith Van Horn, Dirk Nowitzki, Josh Howard, Devin Harris, Jerry Stackhouse","Van Horn, Nowitzki, Howard, Harris, Stackhouse",1496-1717-2572-2734-711,DAL,191.0,1,3.0,3.0,5.0,6.0,,11.0,,,,,1.0,1.0,1.0,3.0,,,1.0,1.0,2.0,4.0,1.0,1.0,,7.0,4.0,,,,,2.0,2.0,,,1.0,1.0,1.0,,1.0,,,1.0,2.0,,,2.0,,2.0,,,,,7.0,0.5,0.5,,1.0,1.0,0.5,,0.7,,0.7,,0.2,,,0.3333333333333333,,,,,82.93193717277488,19.0,16.0,19.0,16.0,,,,0.2,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,0.2,1.0,1.0,,,,0.2,1.0,0.38885000000000003,,,,,15.175,24.8,1.0,2.0,,,,1.0,,,,2.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,0.3221,,0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1717-2734-711-714,1610612742,"Keith Van Horn, Dirk Nowitzki, Devin Harris, Jerry Stackhouse, Michael Finley","Van Horn, Nowitzki, Harris, Stackhouse, Finley",1496-1717-2734-711-714,DAL,387.0,3,6.0,-1.0,11.0,12.0,2.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,,1.0,1.0,4.0,6.0,1.0,1.0,6.0,17.0,18.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,2.0,7.0,1.0,1.0,2.0,2.0,4.0,,8.0,,4.0,14.0,0.5,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.7857142857142857,1.0,0.7727272727272727,0.75,0.14285714285714285,1.0,0.5,1.0,0.5,,,,85.5813953488372,19.818181818181817,14.083333333333334,18.181818181818183,14.083333333333334,0.14285714285714285,1.0,1.0,0.14285714285714285,1.0,1.0,0.5714285714285714,0.5,0.5,1.0,,,,,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,1.0,0.4247571428571429,0.5667,0.36363636363636365,0.4,0.17647058823529413,13.983333333333334,24.4,6.0,4.0,1.0,1.0,3.0,4.0,2.0,11.0,,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,5.0,,11.0,6.0,0.75,0.9,0.9166666666666666,0.5,,,,0.2,1.0,0.45082000000000005,0.6470588235294118,0.5454545454545454,,1.0,,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1891-2572-711-714,1610612742,"Keith Van Horn, Jason Terry, Josh Howard, Jerry Stackhouse, Michael Finley","Van Horn, Terry, Howard, Stackhouse, Finley",1496-1891-2572-711-714,DAL,20.0,1,,-1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,1.0,19.0,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1891-2572-711-762,1610612742,"Keith Van Horn, Jason Terry, Josh Howard, Jerry Stackhouse, Shawn Bradley","Van Horn, Terry, Howard, Stackhouse, Bradley",1496-1891-2572-711-762,DAL,15.0,1,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,96.0,15.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1891-2572-711-956,1610612742,"Keith Van Horn, Jason Terry, Josh Howard, Jerry Stackhouse, Erick Dampier","Van Horn, Terry, Howard, Stackhouse, Dampier",1496-1891-2572-711-956,DAL,305.0,2,5.0,-4.0,9.0,9.0,1.0,18.0,2.0,4.0,1.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,4.0,7.0,2.0,3.0,,14.0,18.0,1.0,1.0,,2.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,,1.0,,7.0,1.0,1.0,2.0,1.0,3.0,,,,,12.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5714285714285714,1.0,0.7,1.0,0.7,1.0,0.3,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.25,,,,84.98360655737706,15.88888888888889,18.0,15.88888888888889,16.11111111111111,0.4,0.5,0.6666666666666666,0.2,1.0,1.0,0.1,,,,0.1,1.0,1.0,1.0,0.2,0.5,0.5,,1.0,1.0,0.7,0.5,0.48708,0.5729,,,0.14285714285714285,6.1000000000000005,24.5,2.0,2.0,1.0,1.0,2.0,2.0,,4.0,,,,,,,,,,6.0,,4.0,2.0,1.0,1.0,1.0,,0.5,,,0.5,1.0,0.43915,0.2857142857142857,0.2222222222222222,3.0,,1.0,,4.0,1.0,,,,,,,,,,,,0.25,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-1891-2572-714-956,1610612742,"Keith Van Horn, Jason Terry, Josh Howard, Michael Finley, Erick Dampier","Van Horn, Terry, Howard, Finley, Dampier",1496-1891-2572-714-956,DAL,230.0,2,4.0,-6.0,5.0,6.0,,11.0,,,,,,,2.0,2.0,,1.0,,1.0,2.0,2.0,,2.0,,4.0,10.0,,,,,4.0,,,,1.0,,2.0,,2.0,,,2.0,4.0,,,,,,,,,,4.0,1.0,1.0,,,,1.0,,0.5,,0.5,,0.5,,,,,,,,68.8695652173913,24.8,17.666666666666668,24.8,15.333333333333334,,,,,,,0.5,1.0,1.0,1.0,0.25,,,,0.25,,,,,,0.5,,0.4212,,,,,17.1,23.9,3.0,2.0,,,1.0,1.0,,2.0,,,,,,1.0,,1.0,1.0,3.0,,2.0,3.0,1.0,0.5,0.5,,,,,,,0.455875,0.5,0.6,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-2572-2605-2734-711,1610612742,"Keith Van Horn, Josh Howard, Marquis Daniels, Devin Harris, Jerry Stackhouse","Van Horn, Howard, Daniels, Harris, Stackhouse",1496-2572-2605-2734-711,DAL,42.0,1,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,34.285714285714285,26.0,,26.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,0.38955,,,,,,24.7,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
1496-2572-2734-711-714,1610612742,"Keith Van Horn, Josh Howard, Devin Harris, Jerry Stackhouse, Michael Finley","Van Horn, Howard, Harris, Stackhouse, Finley",1496-2572-2734-711-714,DAL,32.0,1,1.0,,1.0,1.0,,2.0,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,90.0,19.0,13.0,19.0,13.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,0.3523,,,,,18.2,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,0.3523,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2005,2004-05,True
