EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,Arc3FGA,FG3A,OpponentPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3Assists,LostBallTurnovers,Blocked2s,BlockedAtRim,Blocks,DefShortMidRangeReboundPct,Arc3PctAssisted,LostBallOutOfBoundsTurnovers,OffCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,FTOffRebounds,FTDefRebounds,2pt And 1 Free Throw Trips,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,SecondChanceTurnovers,AtRimPctBlocked,OffAtRimReboundPct,Offensive Fouls,Technical Free Throw Trips,HeaveAttempts,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SelfOReb,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,SecondChanceAtRimPctAssisted,Fg3aBlocked,BadPassOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,Clear Path Fouls,Corner3PctBlocked,LongMidRangePctBlocked,Blocked3s,BlockedArc3,BlockedCorner3,OffensiveGoaltends,team_id,year,season,team_vs
133-1503-1508-1909-2857,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Scott Padgett, Andre Barrett","Wesley, McGrady, Taylor, Padgett, Barrett",133-1503-1508-1909-2857,HOU,60.0,1,1.0,-3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.0,15.0,22.5,15.0,22.5,1.0,1.0,0.53925,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-1909-468,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Scott Padgett, Jon Barry","Wesley, McGrady, Taylor, Padgett, Barry",133-1503-1508-1909-468,HOU,794.0,2,13.0,-1.0,25.0,25.0,50.0,5.0,7.0,30.0,5.0,2.0,6.0,8.0,3.0,8.0,0.35,1.0,0.46153846153846156,1.0,90.68010075566751,15.72,16.04,14.68,14.4,0.25,0.6,0.484755,24.642857142857142,8.0,8.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,13.0,2.0,5.0,29.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,11.0,12.0,6.0,3.0,3.0,1.0,6.0,1.0,7.0,1.0,3.0,1.0,2.0,15.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,8.0,2.0,2.0,27.0,11.0,8.0,2.0,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.5,0.2857142857142857,0.6923076923076923,0.5,1.0,0.6,0.5,0.9,0.6041666666666666,0.5,0.7857142857142857,0.6666666666666666,0.36363636363636365,0.25,0.2,0.2222222222222222,0.3333333333333333,0.25,0.25,0.42857142857142855,0.25,0.8,0.8,0.75,0.1,1.0,1.0,0.5,0.3,0.5,0.5,0.6666666666666666,0.1,0.5,0.5,1.0,0.2,0.2,0.5,0.4,1.0,0.2,1.0,0.2,0.2,0.4449,0.49988,0.09090909090909091,0.13333333333333333,0.06896551724137931,0.3793103448275862,10.653846153846153,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-1909-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Scott Padgett, Bob Sura","Wesley, McGrady, Taylor, Padgett, Sura",133-1503-1508-1909-682,HOU,36.0,1,1.0,-2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,80.0,24.0,12.0,24.0,12.0,1.0,1.0,0.4938,24.8,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.4938,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-221-468,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Clar. Weatherspoon, Jon Barry","Wesley, McGrady, Taylor, Weatherspoon, Barry",133-1503-1508-221-468,HOU,171.0,1,3.0,1.0,5.0,6.0,11.0,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,0.25,,0.3333333333333333,,92.63157894736842,17.8,13.666666666666666,17.8,11.833333333333334,0.25,0.5,0.47165,24.9,,,,1.0,1.0,,,,,2.0,,,,,,,1.0,,1.0,3.0,1.0,,5.0,,,,,,,,,,,2.0,3.0,,1.0,,1.0,1.0,,,,,3.0,,,1.0,,,,,1.0,,,,1.0,,,,,,5.0,,,,,,1.0,1.0,,1.0,0.3333333333333333,,,0.625,,,0.625,,,1.0,0.3333333333333333,,,,,,,,0.25,1.0,1.0,,0.5,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,7.566666666666666,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-2397-468,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Yao Ming, Jon Barry","Wesley, McGrady, Taylor, Ming, Barry",133-1503-1508-2397-468,HOU,300.0,4,5.0,-3.0,11.0,8.0,19.0,,1.0,9.0,,,3.0,4.0,2.0,6.0,0.1111111111111111,,0.75,,91.2,14.0,18.25,12.909090909090908,18.125,,0.4444444444444444,0.46858333333333335,23.3,4.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,,4.0,,1.0,,,,,3.0,8.0,,,6.0,,1.0,,1.0,3.0,,,,2.0,6.0,,,,,3.0,,3.0,,2.0,1.0,,6.0,1.0,,3.0,1.0,,,,1.0,1.0,2.0,1.0,3.0,1.0,,,,,6.0,2.0,4.0,1.0,1.0,1.0,,,,,0.375,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.75,,1.0,0.16666666666666666,,,,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,1.0,0.4444444444444444,,,,0.1111111111111111,,,,,,1.0,0.3333333333333333,1.0,,,,,,0.42713333333333336,,,,0.3333333333333333,9.8125,0.36363636363636365,,,,,,0.5,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-2397-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Yao Ming, Bob Sura","Wesley, McGrady, Taylor, Ming, Sura",133-1503-1508-2397-682,HOU,700.0,3,12.0,4.0,24.0,24.0,48.0,4.0,4.0,23.0,4.0,2.0,6.0,10.0,5.0,7.0,0.2,1.0,1.0,1.0,98.74285714285715,16.416666666666668,12.75,16.0,12.75,0.2,0.4,0.461005,25.15,16.0,12.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0,2.0,10.0,,,,,2.0,4.0,5.0,16.0,2.0,11.0,27.0,1.0,2.0,8.0,2.0,9.0,2.0,4.0,8.0,18.0,8.0,2.0,3.0,3.0,2.0,4.0,1.0,5.0,,1.0,1.0,2.0,11.0,1.0,2.0,3.0,4.0,1.0,1.0,,,,,,,,,13.0,5.0,2.0,19.0,18.0,16.0,,0.8,1.0,0.5,0.5,0.5,0.5,0.3125,0.5,0.2222222222222222,0.4,0.8333333333333334,0.38461538461538464,0.5192307692307693,1.0,0.5294117647058824,,1.0,0.18181818181818182,0.5,0.23076923076923078,0.125,0.5,1.0,1.0,0.2,0.5,0.5,0.5,0.1,0.5,1.0,1.0,0.5,0.2,0.2,1.0,,,,,0.5,0.5,0.3333333333333333,0.23076923076923078,0.3333333333333333,,,0.3076923076923077,0.5,0.5257166666666667,0.48663076923076926,0.20833333333333334,0.25,0.2962962962962963,0.6666666666666666,13.1125,0.6666666666666666,1.0,,1.0,1.0,1.0,1.0,0.5,,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0625,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-436-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Juwan Howard, Bob Sura","Wesley, McGrady, Taylor, Howard, Sura",133-1503-1508-436-682,HOU,172.0,1,3.0,-1.0,7.0,7.0,14.0,1.0,2.0,9.0,1.0,,3.0,3.0,,2.0,0.3333333333333333,,1.0,,117.20930232558139,11.0,13.571428571428571,11.0,13.571428571428571,0.16666666666666666,0.3333333333333333,0.38037499999999996,26.3,6.0,5.0,,,,,,,2.0,2.0,1.0,2.0,,1.0,,1.0,,1.0,3.0,4.0,,2.0,8.0,,,,3.0,3.0,,2.0,2.0,8.0,4.0,2.0,,,,2.0,,2.0,,,1.0,1.0,4.0,,,2.0,,,,,,,,,,,,2.0,1.0,,8.0,8.0,6.0,2.0,0.6666666666666666,0.6666666666666666,,,,,0.75,,1.0,0.5,,0.6,0.5714285714285714,,0.6666666666666666,,1.0,,,,,,1.0,,,,,,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,,,,,,,,,0.2,,0.2,,,0.37715,0.14285714285714285,0.2,,1.0,14.35,0.8571428571428571,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-468-682,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Jon Barry, Bob Sura","Wesley, McGrady, Taylor, Barry, Sura",133-1503-1508-468-682,HOU,4.0,1,,,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,360.0,4.0,,4.0,,1.0,1.0,0.31245,26.1,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.31245,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-468-87,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Jon Barry, Dikembe Mutombo","Wesley, McGrady, Taylor, Barry, Mutombo",133-1503-1508-468-87,HOU,668.0,4,11.0,-2.0,18.0,21.0,39.0,3.0,3.0,12.0,3.0,2.0,12.0,14.0,3.0,6.0,0.1875,1.0,1.0,1.0,84.07185628742515,17.555555555555557,16.761904761904763,17.166666666666668,16.761904761904763,0.1875,0.4375,0.447134375,25.5,,2.0,2.0,1.0,4.0,1.0,,,1.0,4.0,1.0,5.0,,,,,1.0,,3.0,13.0,1.0,1.0,10.0,1.0,1.0,2.0,,,,,,,2.0,4.0,,3.0,1.0,1.0,,1.0,,,,1.0,2.0,,2.0,8.0,2.0,1.0,,1.0,2.0,2.0,2.0,,4.0,,2.0,2.0,1.0,,8.0,,,,0.3333333333333333,0.5,,0.3333333333333333,,0.3333333333333333,0.23076923076923078,1.0,,0.28125,1.0,,0.29411764705882354,1.0,,0.5,1.0,0.2222222222222222,,0.18181818181818182,0.3333333333333333,,,1.0,0.25,0.25,0.3333333333333333,,0.25,0.25,0.25,,0.3125,0.2,0.2,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.3333333333333333,0.5568,,0.058823529411764705,0.07142857142857142,0.2,,9.492307692307692,,,,,,,1.0,,1.0,,1.0,,,,,,,2.0,1.0,,2.0,,,1.0,,0.07692307692307693,,1.0,,,,,1.0,,,,,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
133-1503-1508-682-87,1610612745,"David Wesley, Tracy McGrady, Maurice Taylor, Bob Sura, Dikembe Mutombo","Wesley, McGrady, Taylor, Sura, Mutombo",133-1503-1508-682-87,HOU,894.0,4,15.0,1.0,27.0,27.0,54.0,2.0,4.0,27.0,2.0,1.0,11.0,14.0,4.0,5.0,0.16,0.5,0.7142857142857143,1.0,86.97986577181207,15.0,18.11111111111111,14.703703703703704,16.88888888888889,0.08,0.4,0.47973,23.425,6.0,12.0,3.0,2.0,6.0,2.0,1.0,1.0,1.0,4.0,3.0,11.0,2.0,2.0,,,1.0,1.0,6.0,21.0,3.0,7.0,28.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,3.0,10.0,4.0,8.0,6.0,3.0,1.0,2.0,2.0,4.0,1.0,,,2.0,10.0,,3.0,9.0,3.0,1.0,,1.0,1.0,1.0,1.0,,2.0,,,8.0,2.0,1.0,26.0,10.0,6.0,,0.3333333333333333,0.4,0.6666666666666666,0.75,1.0,0.75,0.2857142857142857,0.3333333333333333,0.5,0.42,0.3333333333333333,0.7,0.4642857142857143,0.3333333333333333,0.75,0.5,0.75,0.2,,0.1875,0.125,,0.6666666666666666,0.6666666666666666,0.24,0.3333333333333333,0.5,,0.16,0.25,0.25,,0.44,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.08,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.2,1.0,,,0.2,0.5,0.5184333333333333,0.48506,0.07407407407407407,0.08695652173913043,0.07142857142857142,0.35714285714285715,11.938095238095238,0.2222222222222222,1.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,2.0,2.0,,1.0,,,1.0,,0.09523809523809523,,1.0,,,,,0.5,,,,1.0,,0.3333333333333333,0.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2005,2004-05,False
