EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Technical Free Throw Trips,RecoveredBlocks,BlocksRecoveredPct,SecondChanceCorner3FGA,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,BlockedShortMidRange,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,HeaveAttempts,StepOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,BlockedArc3,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1715-1719-1899-2031-2073,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Brian Cardinal","Williams, Wells, Posey, Swift, Cardinal",1715-1719-1899-2031-2073,MEM,508.0,4,8.0,12.0,17.0,16.0,2.0,4.0,2.0,33.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,7.0,10.0,1.0,3.0,7.0,24.0,12.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,4.0,10.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,7.0,8.0,3.0,11.0,1.0,1.0,3.0,3.0,1.0,4.0,2.0,4.0,1.0,1.0,7.0,1.0,3.0,1.0,20.0,2.0,2.0,0.2857142857142857,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.7,1.0,0.6538461538461539,1.0,0.75,1.0,0.5,0.23076923076923078,0.1,0.25,0.75,0.875,0.5,1.0,1.0,0.8888888888888888,0.75,0.5,1.0,1.0,1.0,0.8,1.0,93.54330708661418,14.235294117647058,16.625,14.235294117647058,15.8125,0.23076923076923078,1.0,1.0,0.3076923076923077,0.5,0.6666666666666666,0.5,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,1.0,1.0,0.46153846153846156,0.4529153846153846,0.6182,0.2336,0.2,0.25,0.16666666666666666,0.08333333333333333,8.95,25.2,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2031-2200,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Pau Gasol","Williams, Wells, Posey, Swift, Gasol",1715-1719-1899-2031-2200,MEM,1293.0,7,22.0,15.0,40.0,38.0,11.0,4.0,12.0,78.0,5.0,8.0,4.0,5.0,3.0,6.0,3.0,9.0,1.0,2.0,9.0,11.0,23.0,5.0,11.0,13.0,50.0,35.0,4.0,7.0,5.0,16.0,4.0,1.0,12.0,14.0,8.0,12.0,4.0,9.0,1.0,7.0,4.0,11.0,1.0,3.0,3.0,26.0,4.0,5.0,5.0,7.0,14.0,10.0,24.0,4.0,3.0,4.0,3.0,3.0,7.0,4.0,13.0,,1.0,19.0,,9.0,1.0,34.0,12.0,11.0,0.6363636363636364,0.7777777777777778,0.8,0.45454545454545453,0.45454545454545453,0.4782608695652174,0.5714285714285714,0.5441176470588235,0.6111111111111112,0.5681818181818182,0.6666666666666666,0.42857142857142855,0.3235294117647059,0.043478260869565216,,0.5714285714285714,0.5384615384615384,0.4166666666666667,1.0,0.6666666666666666,0.6666666666666666,0.5,,0.6,0.3333333333333333,0.6,1.0,1.0,86.8677494199536,16.4,16.763157894736842,14.3,16.07894736842105,0.23529411764705882,0.625,0.7142857142857143,0.17647058823529413,0.5,0.5,1.0,0.2647058823529412,0.3333333333333333,0.3333333333333333,1.0,0.058823529411764705,0.5,0.5,1.0,0.2647058823529412,0.5555555555555556,0.8,0.5588235294117647,0.4884294117647059,0.54535,0.5269227272727273,0.20930232558139536,0.28125,0.32,0.24,9.478260869565217,24.845454545454547,0.275,1.0,1.0,1.0,4.0,1.0,2.0,3.0,6.0,1.0,2.0,1.0,3.0,7.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,0.5,0.42857142857142855,0.25,0.5,0.125,1.0,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,0.11764705882352941,0.2,0.4444444444444444,0.4444444444444444,0.75,0.25,0.2222222222222222,0.5,1.0,0.09090909090909091,1.0,0.09090909090909091,0.5454545454545454,0.5,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2031-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Shane Battier","Williams, Wells, Posey, Swift, Battier",1715-1719-1899-2031-2203,MEM,20.0,1,,3.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,3.0,3.0,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,3.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,72.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2031-2415,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Ryan Humphrey","Williams, Wells, Posey, Swift, Humphrey",1715-1719-1899-2031-2415,MEM,150.0,1,2.0,2.0,3.0,5.0,1.0,2.0,1.0,8.0,,,,,1.0,1.0,,1.0,,,,1.0,2.0,,,4.0,6.0,4.0,,,2.0,2.0,1.0,2.0,2.0,2.0,,,,,,1.0,,1.0,,1.0,,2.0,,1.0,,2.0,2.0,1.0,3.0,,,,,,,1.0,1.0,,,4.0,,2.0,,4.0,2.0,1.0,1.0,1.0,,,,0.5,,0.5,,0.75,1.0,0.5,,,,,0.6666666666666666,1.0,,,0.5,1.0,,,1.0,1.0,,,76.8,23.0,16.2,16.666666666666668,15.8,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,0.40825,,0.3695,0.5,0.5,0.3333333333333333,0.3333333333333333,11.75,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2031-953,1610612763,"Jason Williams, Bonzi Wells, James Posey, Stromile Swift, Lorenzen Wright","Williams, Wells, Posey, Swift, Wright",1715-1719-1899-2031-953,MEM,428.0,4,7.0,1.0,13.0,14.0,3.0,3.0,2.0,27.0,1.0,1.0,,,1.0,2.0,3.0,4.0,1.0,3.0,1.0,5.0,7.0,1.0,4.0,,13.0,12.0,1.0,1.0,,2.0,2.0,,5.0,8.0,2.0,3.0,,1.0,,4.0,1.0,5.0,1.0,,3.0,11.0,2.0,1.0,,7.0,7.0,3.0,10.0,1.0,1.0,3.0,1.0,2.0,5.0,2.0,3.0,,1.0,2.0,,,1.0,11.0,5.0,3.0,0.8,0.8,1.0,0.25,0.25,0.7142857142857143,1.0,0.5909090909090909,0.5,0.5416666666666666,0.5,0.625,0.36363636363636365,,,0.6,0.875,0.5,,0.6666666666666666,0.7777777777777778,0.6,1.0,,1.0,1.0,0.6666666666666666,,90.8411214953271,14.0,17.571428571428573,12.846153846153847,14.785714285714286,0.09090909090909091,1.0,1.0,0.18181818181818182,0.5,0.5,,0.36363636363636365,0.75,0.75,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,,,0.45454545454545453,0.512140909090909,0.4152,0.5647666666666666,,,0.15384615384615385,0.38461538461538464,13.842857142857143,23.9,0.23076923076923078,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,,,,1.0,0.5,0.8333333333333334,,,,,,1.0,,,1.0,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,,,,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2034-2200,1610612763,"Jason Williams, Bonzi Wells, James Posey, Mike Miller, Pau Gasol","Williams, Wells, Posey, Miller, Gasol",1715-1719-1899-2034-2200,MEM,266.0,1,4.0,1.0,8.0,8.0,6.0,,2.0,16.0,2.0,2.0,1.0,1.0,,2.0,,2.0,1.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,11.0,10.0,1.0,1.0,,5.0,4.0,,8.0,,4.0,6.0,,1.0,,,2.0,2.0,1.0,,,6.0,,2.0,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0,,6.0,8.0,6.0,,,1.0,1.0,1.0,0.3333333333333333,1.0,0.625,1.25,0.6875,1.25,0.6666666666666666,0.25,,,0.5,0.5,0.5,,,0.5,0.5,0.5,,,,1.0,,86.61654135338345,19.75,13.5,17.5,13.5,0.25,1.0,1.0,0.25,,,,0.25,,,,0.125,1.0,1.0,1.0,0.125,0.5,1.0,0.5,0.4775625,0.59515,0.48605000000000004,0.125,0.16666666666666666,0.45454545454545453,0.7272727272727273,7.7,24.2,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,,2.0,,,,,,1.0,1.0,0.25,0.6666666666666666,,,,,0.5,,,,,1.0,1.0,1.0,,0.5,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2034-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Mike Miller, Shane Battier","Williams, Wells, Posey, Miller, Battier",1715-1719-1899-2034-2203,MEM,122.0,1,2.0,2.0,6.0,6.0,6.0,3.0,,12.0,1.0,2.0,,,,,,,,,2.0,1.0,2.0,2.0,2.0,1.0,9.0,7.0,,,,,2.0,1.0,9.0,,2.0,3.0,,2.0,,,1.0,1.0,,,,3.0,,,1.0,1.0,2.0,,2.0,,,1.0,1.0,,1.0,,4.0,,,2.0,,1.0,,9.0,9.0,6.0,,,0.5,1.0,1.0,0.5,,1.0,,0.9,,0.9,0.5,,,1.0,0.3333333333333333,,1.0,,0.5,,,,0.3333333333333333,,,1.0,141.63934426229508,6.5,13.833333333333334,6.5,13.833333333333334,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,1.0,0.511775,,0.511775,0.2,0.3333333333333333,,1.0,,26.0,1.0,1.0,2.0,,2.0,,,2.0,2.0,,,1.0,2.0,2.0,3.0,2.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,3.0,,1.0,0.5,1.0,,,,,,,,,,1.0,1.0,0.5,,,,,0.5,0.5,,0.5,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2034-953,1610612763,"Jason Williams, Bonzi Wells, James Posey, Mike Miller, Lorenzen Wright","Williams, Wells, Posey, Miller, Wright",1715-1719-1899-2034-953,MEM,127.0,1,2.0,-4.0,4.0,3.0,3.0,,1.0,7.0,,,,,,,,,,,2.0,,,,2.0,3.0,3.0,7.0,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,4.0,,1.0,1.0,3.0,2.0,3.0,,,,,,,,,,0.375,,0.5,1.0,,,,,,,,,,,,,,,,79.37007874015748,17.25,19.333333333333332,16.5,19.333333333333332,,,,,,,,,,,,,,,,1.0,,,1.0,0.51345,,0.4926,0.3333333333333333,1.0,,0.6666666666666666,,24.8,0.75,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2054-2203,1610612763,"Jason Williams, Bonzi Wells, James Posey, Jake Tsakalidis, Shane Battier","Williams, Wells, Posey, Tsakalidis, Battier",1715-1719-1899-2054-2203,MEM,474.0,1,8.0,-9.0,15.0,15.0,,,2.0,30.0,1.0,3.0,,1.0,,3.0,4.0,5.0,,,1.0,5.0,11.0,,1.0,,10.0,19.0,,2.0,,,,,,6.0,4.0,,,1.0,1.0,3.0,,3.0,,,2.0,6.0,,1.0,2.0,1.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,,1.0,,,,,10.0,,,0.6,0.6,,,,0.45454545454545453,,0.4166666666666667,,0.4166666666666667,,,0.08333333333333333,0.09090909090909091,,0.25,0.5,0.16666666666666666,1.0,,0.75,0.14285714285714285,,,0.5,,,,91.13924050632912,15.533333333333333,16.066666666666666,14.2,15.4,0.25,0.3333333333333333,0.5,0.25,,,,0.4166666666666667,0.8,0.8,0.5,,,,,0.08333333333333333,0.5,,0.3333333333333333,0.43825416666666667,0.43255,,,,,,12.363636363636363,24.2,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,1.0,,,,,,,0.3333333333333333,1.0,,0.5,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
1715-1719-1899-2054-953,1610612763,"Jason Williams, Bonzi Wells, James Posey, Jake Tsakalidis, Lorenzen Wright","Williams, Wells, Posey, Tsakalidis, Wright",1715-1719-1899-2054-953,MEM,164.0,1,3.0,-6.0,5.0,6.0,,4.0,,11.0,,1.0,,,,1.0,1.0,2.0,,,,1.0,4.0,,,,2.0,8.0,,,,,,,,2.0,,,,,,1.0,,1.0,,,1.0,2.0,,,,1.0,2.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,2.0,,,1.0,1.0,,,,0.25,,0.25,,0.25,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,,96.58536585365853,21.0,9.833333333333334,21.0,9.833333333333334,0.25,,,0.25,,,,0.5,0.5,0.5,1.0,,,,,,,,0.25,0.45205,,,,,,,12.525,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2005,2004-05,True
