EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Fouls,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg2Pct,SecondChanceFg2Pct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,Avg2ptShotDistance,DefThreePtRebounds,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Loose Ball Fouls,ShortMidRangeFGM,ShortMidRangeFGA,Fg2aBlocked,ShortMidRangeAssists,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,AtRimAssists,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyFg2Pct,BlocksRecoveredPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGM,Corner3FGA,Corner3Assists,SelfOReb,Offensive Fouls,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,2pt And 1 Free Throw Trips,SecondChanceFtPoints,BlockedShortMidRange,BadPassTurnovers,Technical Free Throw Trips,AtRimPctBlocked,OffShortMidRangeReboundPct,NonShootingFoulsDrawn,Travels,BlockedAtRim,SecondChanceTurnovers,SecondChanceCorner3FGA,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3FGA,FTOffRebounds,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,OffFTReboundPct,PenaltyCorner3Frequency,3SecondViolations,HeaveAttempts,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1548-1711-1718-1729-56,1610612738,"Mark Blount, Raef LaFrentz, Paul Pierce, Ricky Davis, Gary Payton","Blount, LaFrentz, Pierce, Davis, Payton",1548-1711-1718-1729-56,BOS,161.0,1,3.0,5.0,5.0,4.0,5.0,1.0,9.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,10.0,5.0,1.0,1.0,3.0,2.0,3.0,4.0,10.0,6.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,7.0,10.0,5.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.4968944099379,16.2,20.0,14.8,20.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6137,0.6137,0.4,1.0,0.3,1.0,25.400000000000002,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-1729-2556-2744,1610612738,"Mark Blount, Paul Pierce, Ricky Davis, Marcus Banks, Al Jefferson","Blount, Pierce, Davis, Banks, Jefferson",1548-1718-1729-2556-2744,BOS,278.0,2,5.0,2.0,7.0,8.0,1.0,2.0,15.0,1.0,1.0,,,,,1.0,1.0,3.0,10.0,8.0,,,4.0,,,,,,1.0,1.0,,1.0,2.0,2.0,4.0,2.0,,,,1.0,1.0,3.0,,6.0,,1.0,1.0,,,1.0,0.5,1.0,,0.625,1.0,,0.14285714285714285,0.3333333333333333,,0.25,0.5,,,77.6978417266187,20.285714285714285,17.0,19.857142857142858,15.375,0.14285714285714285,1.0,1.0,,,,,0.7142857142857143,1.0,0.5493928571428571,,0.125,,0.4,,24.3,0.14285714285714285,4.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.5,0.5714285714285714,0.25,0.25,0.2857142857142857,0.5,0.5,1.0,1.0,0.5,1.0,0.5687,0.5,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-1729-2556-952,1610612738,"Mark Blount, Paul Pierce, Ricky Davis, Marcus Banks, Antoine Walker","Blount, Pierce, Davis, Banks, Walker",1548-1718-1729-2556-952,BOS,171.0,2,3.0,2.0,5.0,4.0,,,9.0,,1.0,,,,,,1.0,2.0,4.0,2.0,,,,,,,,,1.0,,,2.0,3.0,,3.0,,,,,1.0,,2.0,1.0,4.0,,,,,,,0.3333333333333333,,,0.5,,,0.3333333333333333,1.0,,1.0,,,,75.78947368421052,19.4,18.5,19.4,18.5,0.3333333333333333,,,,,,,1.0,,0.5803666666666667,,0.25,0.3333333333333333,,,25.4,,,1.0,2.0,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,0.5,,1.0,,,,,,0.6666666666666666,0.5,0.5,,,,,,,,,,1.6,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-1729-2744-56,1610612738,"Mark Blount, Paul Pierce, Ricky Davis, Al Jefferson, Gary Payton","Blount, Pierce, Davis, Jefferson, Payton",1548-1718-1729-2744-56,BOS,30.0,2,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,48.0,14.0,,14.0,,1.0,,,,,,,1.0,,0.52155,,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-1729-2753-952,1610612738,"Mark Blount, Paul Pierce, Ricky Davis, Delonte West, Antoine Walker","Blount, Pierce, Davis, West, Walker",1548-1718-1729-2753-952,BOS,200.0,1,3.0,-4.0,5.0,5.0,,1.0,10.0,,2.0,,,,,,2.0,,2.0,6.0,,,,,,,,,2.0,,1.0,,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,,0.14285714285714285,,,0.14285714285714285,,,0.2857142857142857,,0.5,,0.4,0.5,,72.0,27.0,13.0,26.0,13.0,0.2857142857142857,,,,,,,0.42857142857142855,,0.40561428571428576,,,,,,25.15,,,,1.0,,,,2.0,1.0,5.0,,1.0,2.0,,,,1.0,,1.0,,,2.0,1.0,,,,,,1.0,,,,1.0,1.0,,0.2,,,,0.3333333333333333,,0.5,,0.14285714285714285,,,0.2857142857142857,,,,,,,0.3497,,12.48,,,,,,1.0,2.0,3.0,1.0,0.6,0.5,1.0,0.2857142857142857,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-1729-2754-56,1610612738,"Mark Blount, Paul Pierce, Ricky Davis, Tony Allen, Gary Payton","Blount, Pierce, Davis, Allen, Payton",1548-1718-1729-2754-56,BOS,103.0,1,2.0,3.0,4.0,4.0,4.0,,8.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,7.0,4.0,,,,1.0,1.0,,7.0,,1.0,1.0,,2.0,2.0,,2.0,,,,,,,,,7.0,7.0,4.0,1.0,,1.0,1.0,0.875,,0.875,0.875,,0.875,0.25,1.0,,1.0,,,,111.84466019417476,10.25,15.5,10.25,15.5,0.25,1.0,1.0,,,0.25,1.0,0.75,1.0,0.5431,0.5431,,,,1.0,26.5,1.0,4.0,2.0,2.0,,,,1.0,2.0,3.0,,,4.0,,3.0,,2.0,1.0,3.0,1.0,,7.0,,,,,,,,,,,1.0,1.0,1.0,0.6666666666666666,,,,,,,,0.5,1.0,1.0,0.25,,,,1.0,,,,,6.533333333333334,,,1.0,,,,,,,,,,,,,,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-1729-56-952,1610612738,"Mark Blount, Paul Pierce, Ricky Davis, Gary Payton, Antoine Walker","Blount, Pierce, Davis, Payton, Walker",1548-1718-1729-56-952,BOS,469.0,2,8.0,-4.0,12.0,11.0,4.0,3.0,23.0,,2.0,,1.0,,,1.0,3.0,,7.0,11.0,,1.0,,,,,,,2.0,,1.0,2.0,3.0,5.0,8.0,,,1.0,2.0,2.0,1.0,,,7.0,,4.0,0.3333333333333333,,,0.3333333333333333,0.25,,,0.25,,,0.21428571428571427,0.6666666666666666,0.5,0.75,0.45454545454545453,0.5,1.0,70.6183368869936,22.75,17.818181818181817,15.666666666666666,16.636363636363637,0.14285714285714285,,,0.16666666666666666,,,,0.35714285714285715,,0.468525,0.348875,,,,,24.400000000000002,0.3333333333333333,4.0,2.0,2.0,,,,7.0,2.0,11.0,,5.0,2.0,2.0,3.0,,1.0,1.0,2.0,,,5.0,4.0,,,,,,2.0,,,,0.5,0.5,1.0,0.18181818181818182,,,,0.4444444444444444,,0.5714285714285714,,0.14285714285714285,1.0,1.0,0.5,,,,,,,0.44247,,12.69090909090909,1.0,1.0,0.5,,,,2.0,,,,,,0.14285714285714285,,,,,,,4.0,1.0,,,,,,,0.5,,,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.07142857142857142,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-2556-2744-2753,1610612738,"Mark Blount, Paul Pierce, Marcus Banks, Al Jefferson, Delonte West","Blount, Pierce, Banks, Jefferson, West",1548-1718-2556-2744-2753,BOS,72.0,1,1.0,4.0,2.0,3.0,,,5.0,,,,,,,,,1.0,5.0,1.0,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,,1.0,1.0,5.0,,,,,,,1.0,,,1.25,,,,1.0,,1.0,,,,100.0,16.5,13.0,16.5,13.0,,,,,,,,0.5,,0.6331,,0.5,0.5,,,,,,1.0,1.0,,,,,2.0,2.0,,,,4.0,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,0.5,1.0,1.0,,,,,,,,,,2.8,,,1.0,,,1.0,1.0,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-2556-2744-2754,1610612738,"Mark Blount, Paul Pierce, Marcus Banks, Al Jefferson, Tony Allen","Blount, Pierce, Banks, Jefferson, Allen",1548-1718-2556-2744-2754,BOS,237.0,1,4.0,-3.0,5.0,6.0,,1.0,11.0,,2.0,,,,,,3.0,2.0,4.0,7.0,,,2.0,,,,,,2.0,,,2.0,2.0,1.0,3.0,,,,,,,2.0,1.0,2.0,,,,,,,0.2,,,0.3333333333333333,1.0,,0.6,1.0,,1.0,0.25,,1.0,66.83544303797468,22.2,21.0,20.2,21.0,0.4,,,,,,,0.6,,0.47148,,0.16666666666666666,0.3333333333333333,0.5,,24.400000000000002,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,0.5,,,,1.0,,1.0,,,,,0.2,,,,,,,,,14.6,,,,,,1.0,1.0,,,,,,0.2,1.0,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,0.2,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
1548-1718-2754-56-952,1610612738,"Mark Blount, Paul Pierce, Tony Allen, Gary Payton, Antoine Walker","Blount, Pierce, Allen, Payton, Walker",1548-1718-2754-56-952,BOS,38.0,1,1.0,4.0,1.0,1.0,,,2.0,,,,,,,,,2.0,4.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,3.0,2.0,4.0,,,,,,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,75.78947368421053,19.0,19.0,19.0,19.0,,,,,,,,,,0.3965,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,2.0,,,,1.0,,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,4.2,,,,,,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2005,2004-05,True
