EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,OffRebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FtPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,OffTwoPtRebounds,FTA,TwoPtShootingFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyCorner3FGA,PenaltyFG3A,PenaltyFtPoints,Steals,LostBallSteals,DeadBallTurnovers,PenaltyTurnovers,3SecondViolations,PenaltyCorner3Frequency,AtRimAssists,DefLongMidRangeReboundPct,AtRimPctAssisted,PenaltyArc3FGA,HeaveAttempts,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,PenaltyArc3Frequency,Travels,DefensiveGoaltends,PenaltyArc3FGM,PenaltyFG3M,Arc3Assists,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Accuracy,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,DefCorner3ReboundPct,ShortMidRangePctAssisted,FTDefRebounds,BadPassTurnovers,DefFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,2pt And 1 Free Throw Trips,SelfOReb,NonShootingFoulsDrawn,SelfORebPct,SecondChanceAtRimPctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,BlockedShortMidRange,OffAtRimReboundPct,OffLongMidRangeReboundPct,Offensive Fouls,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceTurnovers,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffArc3ReboundPct,LongMidRangePctBlocked,HeaveMakes,3pt And 1 Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1000-120-1720-2039-297,1610612748,"Shandon Anderson, Steven Smith, Michael Doleac, Keyon Dooling, Alonzo Mourning","Anderson, Smith, Doleac, Dooling, Mourning",1000-120-1720-2039-297,MIA,115.0,1,2.0,4.0,3.0,4.0,2.0,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,87.65217391304347,1.0,9.75,25.333333333333332,9.75,25.333333333333332,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5274,0.5274,1.0,8.799999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-1800-2446-2548,1610612748,"Shandon Anderson, Michael Doleac, Damon Jones, Rasual Butler, Dwyane Wade","Anderson, Doleac, Jones, Butler, Wade",1000-1720-1800-2446-2548,MIA,96.0,1,2.0,4.0,4.0,,4.0,8,1.0,2.0,,,,,1.0,2.0,5.0,7.0,,,,2.0,,1.0,1.0,2.0,2.0,,,,,5.0,,,0.5,,0.625,,0.625,,0.5,,0.5,,,120.0,,10.5,13.5,9.75,13.5,0.5,0.5,1.0,,,,,1.0,0.581825,,,1.8,,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.25,0.25,1.0,1.0,1.0,1.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-1800-2548-2617,1610612748,"Shandon Anderson, Michael Doleac, Damon Jones, Dwyane Wade, Udonis Haslem","Anderson, Doleac, Jones, Wade, Haslem",1000-1720-1800-2548-2617,MIA,48.0,1,1.0,2.0,2.0,,2.0,4,,,,,,1.0,1.0,1.0,2.0,4.0,,,,,,,,,1.0,,,,,2.0,,,1.0,,0.5,,0.5,,,,,,,120.0,,16.0,8.0,16.0,8.0,,,,,0.5,,,0.5,0.420975,,,16.5,,-2.0,,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,0.5,,,,,,,,,0.5,,,,,26.2,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-2039-224-2446,1610612748,"Shandon Anderson, Michael Doleac, Keyon Dooling, Eddie Jones, Rasual Butler","Anderson, Doleac, Dooling, Jones, Butler",1000-1720-2039-224-2446,MIA,55.0,2,1.0,2.0,1.0,2.0,1.0,3,,,,,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,,2.0,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,78.54545454545455,,19.5,16.0,19.5,16.0,,,,1.0,,,,,0.3457,0.3457,1.0,13.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-2039-2446-2548,1610612748,"Shandon Anderson, Michael Doleac, Keyon Dooling, Rasual Butler, Dwyane Wade","Anderson, Doleac, Dooling, Butler, Wade",1000-1720-2039-2446-2548,MIA,141.0,1,2.0,3.0,4.0,,4.0,7,,,,,1.0,1.0,,2.0,5.0,5.0,,,,,1.0,,1.0,2.0,1.0,,,,,2.0,,,,,0.5,,0.625,,,1.0,0.3333333333333333,,1.0,71.48936170212765,,21.0,19.5,20.0,18.5,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.3985666666666667,,,10.65,,,1.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,0.3333333333333333,0.5,,,,0.5,,,0.3333333333333333,,,,,,23.6,,,,1.0,,3.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.5,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4536,0.25,0.3333333333333333,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-2039-2446-297,1610612748,"Shandon Anderson, Michael Doleac, Keyon Dooling, Rasual Butler, Alonzo Mourning","Anderson, Doleac, Dooling, Butler, Mourning",1000-1720-2039-2446-297,MIA,160.0,1,3.0,4.0,5.0,4.0,,9,,,,,1.0,1.0,1.0,2.0,3.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,,,,,3.0,3.0,4.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.375,0.375,1.0,1.0,1.0,1.0,1.0,81.0,,14.5,20.4,14.5,20.4,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.46388333333333337,0.46388333333333337,1.0,12.7,1.0,-2.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,23.3,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,0.25,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-2039-2446-363,1610612748,"Shandon Anderson, Michael Doleac, Keyon Dooling, Rasual Butler, Christian Laettner","Anderson, Doleac, Dooling, Butler, Laettner",1000-1720-2039-2446-363,MIA,106.0,1,2.0,4.0,4.0,4.0,4.0,8,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,3.0,4.0,,,1.0,1.0,1.0,,,,,,4.0,4.0,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,,1.0,,,108.67924528301887,,14.0,12.5,14.0,12.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.49069999999999997,0.49069999999999997,1.0,8.333333333333334,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1720-2039-2548-363,1610612748,"Shandon Anderson, Michael Doleac, Keyon Dooling, Dwyane Wade, Christian Laettner","Anderson, Doleac, Dooling, Wade, Laettner",1000-1720-2039-2548-363,MIA,63.0,2,1.0,2.0,4.0,2.0,4.0,6,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,137.14285714285714,,15.0,8.25,15.0,8.25,,,,,,,,1.0,0.5481,0.5481,,,1.0,-4.0,,,,,2.0,,2.0,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,40.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1800-2039-224-297,1610612748,"Shandon Anderson, Damon Jones, Keyon Dooling, Eddie Jones, Alonzo Mourning","Anderson, Jones, Dooling, Jones, Mourning",1000-1800-2039-224-297,MIA,119.0,1,2.0,4.0,4.0,,,8,1.0,2.0,,,2.0,,1.0,4.0,2.0,4.0,,,,,,1.0,1.0,2.0,1.0,,,,,2.0,,,0.25,,0.25,,0.25,,1.0,,1.0,,,96.80672268907563,,18.5,11.25,18.0,11.25,0.5,0.5,0.5,0.5,,,,0.5,0.503025,,,4.0,,-2.0,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,0.25,,,,0.3333333333333333,,1.0,,,,,1.0,,,,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,0.5,0.3333333333333333,0.5,,,,,,,0.7178,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
1000-1800-2039-2548-2617,1610612748,"Shandon Anderson, Damon Jones, Keyon Dooling, Dwyane Wade, Udonis Haslem","Anderson, Jones, Dooling, Wade, Haslem",1000-1800-2039-2548-2617,MIA,95.0,1,2.0,3.0,4.0,3.0,4.0,7,,,,,,,,,6.0,2.0,,,6.0,,1.0,1.0,2.0,2.0,,,,,,6.0,6.0,3.0,,,1.5,1.5,1.0,1.0,1.0,0.5,0.6666666666666666,,0.5,106.10526315789474,,18.0,10.25,18.0,10.0,,,,,,,,1.0,0.1869,0.1869,1.0,,1.0,4.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,31.0,,,,1.0,,3.0,,,,,,,,,,,,3.0,,,,3.0,1.0,,,4.0,2.0,1.0,,,,,,,,,,,,,,0.6666666666666666,1.0,,,1.0,3.0,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2005,2004-05,False
