EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTDefRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,DefLongMidRangeReboundPct,PenaltyTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,HeaveAttempts,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,OffAtRimReboundPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Offensive Fouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,OffArc3ReboundPct,AtRimAssists,AtRimPctAssisted,ShortMidRangeFGM,Technical Free Throw Trips,BlockedShortMidRange,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,2pt And 1 Free Throw Trips,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,DefCorner3ReboundPct,Arc3PctAssisted,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Fg3aBlocked,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,ShortMidRangeAssists,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls,SelfOReb,SelfORebPct,Defensive 3 Seconds Violations,BlockedLongMidRange,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,DefensiveGoaltends,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BlockedCorner3,SecondChanceArc3PctAssisted,3SecondViolations,team_id,year,season,team_vs
1444-15-1559-2199-2457,1610612741,"Lawrence Funderburke, Eric Piatkowski, Adrian Griffin, Tyson Chandler, Jannero Pargo","Funderburke, Piatkowski, Griffin, Chandler, Pargo",1444-15-1559-2199-2457,CHI,475.0,1,8.0,-16.0,15.0,14.0,8.0,9.0,1.0,29,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,8.0,1.0,5.0,7.0,23.0,1.0,1.0,3.0,1.0,5.0,7.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,5.0,8.0,4.0,7.0,7.0,8.0,2.0,0.125,0.3333333333333333,0.1111111111111111,0.25,0.2692307692307692,0.4375,0.1111111111111111,0.5,0.5,0.2857142857142857,0.6666666666666666,0.6,0.25,0.5,0.2,1.0,1.0,87.91578947368421,19.2,13.357142857142858,17.333333333333332,11.285714285714286,0.1111111111111111,1.0,1.0,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.25,1.0,0.25,0.2222222222222222,0.40595555555555557,0.4311,0.4548,1.0,13.6875,25.9,0.5333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-1559-2457-2550,1610612741,"Lawrence Funderburke, Eric Piatkowski, Adrian Griffin, Jannero Pargo, Kirk Hinrich","Funderburke, Piatkowski, Griffin, Pargo, Hinrich",1444-15-1559-2457-2550,CHI,78.0,1,1.0,3.0,2.0,2.0,,,,4,,,,,,2.0,,,2.0,2.0,,,4.0,1.0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,4.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,73.84615384615384,17.0,22.0,17.0,22.0,,,,,1.0,,,,,,0.38185,,,,19.65,,,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-1559-2457-2804,1610612741,"Lawrence Funderburke, Eric Piatkowski, Adrian Griffin, Jannero Pargo, Andres Nocioni","Funderburke, Piatkowski, Griffin, Pargo, Nocioni",1444-15-1559-2457-2804,CHI,11.0,1,,,,1.0,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,130.9090909090909,,11.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-1559-2457-2876,1610612741,"Lawrence Funderburke, Eric Piatkowski, Adrian Griffin, Jannero Pargo, Jared Reiner","Funderburke, Piatkowski, Griffin, Pargo, Reiner",1444-15-1559-2457-2876,CHI,25.0,1,,,1.0,1.0,1.0,1.0,,2,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,115.19999999999999,14.0,11.0,14.0,11.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-2199-2457-2550,1610612741,"Lawrence Funderburke, Eric Piatkowski, Tyson Chandler, Jannero Pargo, Kirk Hinrich","Funderburke, Piatkowski, Chandler, Pargo, Hinrich",1444-15-2199-2457-2550,CHI,62.0,1,1.0,-3.0,7.0,7.0,7.0,7.0,,14,,,,,,,,,,,,10.0,10.0,13.0,,,,,10.0,10.0,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,1.0,,1.0,2.0,10.0,5.0,10.0,10.0,7.0,1.0,,,,,1.0,1.0,,,,,1.0,0.5,,,,,1.0,325.1612903225806,2.0,6.857142857142857,2.0,6.857142857142857,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-2199-2457-2804,1610612741,"Lawrence Funderburke, Eric Piatkowski, Tyson Chandler, Jannero Pargo, Andres Nocioni","Funderburke, Piatkowski, Chandler, Pargo, Nocioni",1444-15-2199-2457-2804,CHI,67.0,1,1.0,2.0,3.0,2.0,3.0,2.0,2.0,5,1.0,1.0,1.0,1.0,,2.0,,,2.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,4.0,,1.0,,,1.0,2.0,3.0,,,,,,,,,,,,,1.0,2.0,,2.0,5.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.25,,,1.0,,,1.0,,1.0,,,107.46268656716417,14.333333333333334,12.0,14.0,12.0,0.25,1.0,1.0,,0.5,,0.25,1.0,,0.5,0.4925375,,0.4925375,1.0,12.066666666666668,23.6,1.0,1.0,,,,,,1.0,,,1.0,0.5,0.5,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,0.25,0.2,0.25,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-2550-2732-2804,1610612741,"Lawrence Funderburke, Eric Piatkowski, Kirk Hinrich, Ben Gordon, Andres Nocioni","Funderburke, Piatkowski, Hinrich, Gordon, Nocioni",1444-15-2550-2732-2804,CHI,140.0,1,2.0,1.0,6.0,5.0,2.0,2.0,,11,,,,,,3.0,2.0,1.0,2.0,3.0,2.0,2.0,6.0,5.0,,1.0,1.0,1.0,,2.0,4.0,1.0,,,2.0,2.0,,2.0,,,,,,,,,,,,1.0,2.0,2.0,,6.0,2.0,2.0,,0.6666666666666666,1.0,0.4,0.5,0.5,0.5,0.4,,1.0,,,1.0,,,,,,113.14285714285714,11.0,14.8,11.0,14.8,,,,,0.6,0.4,,,0.5,0.4,0.40955,,0.4011,0.3333333333333333,18.366666666666667,33.95,0.3333333333333333,2.0,,,,,,,,,,0.6666666666666666,0.6666666666666666,,1.0,,,,,,,,,,,1.0,,,,,,,,,,0.16666666666666666,0.25,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-15-2550-2732-970,1610612741,"Lawrence Funderburke, Eric Piatkowski, Kirk Hinrich, Ben Gordon, Othella Harrington","Funderburke, Piatkowski, Hinrich, Gordon, Harrington",1444-15-2550-2732-970,CHI,49.0,1,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3,,1.0,,1.0,,,,,,1.0,,3.0,3.0,2.0,,,1.0,,3.0,3.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,4.0,1.0,2.0,3.0,2.0,,,,,,0.5,0.5,,,,1.0,,,1.0,,,,,88.16326530612245,18.5,12.0,18.5,10.0,1.0,,,,,,1.0,,,1.0,0.6029,,0.6029,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,0.5,,,,,,,0.5,0.5,0.3333333333333333,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-1559-213-2457-2550,1610612741,"Lawrence Funderburke, Adrian Griffin, Antonio Davis, Jannero Pargo, Kirk Hinrich","Funderburke, Griffin, Davis, Pargo, Hinrich",1444-1559-213-2457-2550,CHI,22.0,1,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,65.45454545454545,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
1444-1559-213-2550-2732,1610612741,"Lawrence Funderburke, Adrian Griffin, Antonio Davis, Kirk Hinrich, Ben Gordon","Funderburke, Griffin, Davis, Hinrich, Gordon",1444-1559-213-2550-2732,CHI,105.0,1,2.0,5.0,4.0,3.0,4.0,,,7,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,5.0,,,1.0,1.0,2.0,,5.0,,1.0,,,3.0,3.0,,3.0,,,,,,,1.0,,,1.0,,,1.0,,,5.0,5.0,4.0,,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,,0.75,,,0.6,,,,1.0,,96.0,12.25,18.666666666666668,12.25,16.333333333333332,,,,,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.6666666666666666,0.50905,,0.50905,1.0,21.9,24.25,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,1.0,1.0,1.0,0.6666666666666666,1.0,,,1.0,1.0,,,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2005,2004-05,True
