EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedShortMidRange,Blocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedAtRim,RecoveredBlocks,PenaltyFg3Pct,SecondChanceTsPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,DefShortMidRangeReboundPct,SecondChanceFG2M,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceAtRimFGM,PenaltyCorner3FGA,PtsPutbacks,SecondChanceAtRimAccuracy,PenaltyCorner3Frequency,SelfOReb,BlockedCorner3,SelfORebPct,PenaltyCorner3FGM,SecondChanceTurnovers,3SecondViolations,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,DefensiveGoaltends,SecondChanceArc3Frequency,PtsUnassisted3s,Fg3aBlocked,BlockedLongMidRange,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
1506-1513-1533-1536-2109,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Stephen Jackson, Eddie Gill","Croshere, Pollard, Johnson, Jackson, Gill",1506-1513-1533-1536-2109,IND,111.0,1,2.0,3.0,5.0,4.0,5.0,1.0,9.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,6.0,3.0,2.0,3.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,6.0,5.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,1.0,116.75675675675676,10.8,14.25,10.8,14.25,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,0.5887333333333333,0.5887333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-1536-2410,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Stephen Jackson, Fred Jones","Croshere, Pollard, Johnson, Jackson, Jones",1506-1513-1533-1536-2410,IND,976.0,9,16.0,-17.0,27.0,32.0,14.0,14.0,59.0,2.0,6.0,2.0,4.0,7.0,19.0,5.0,22.0,39.0,4.0,9.0,5.0,13.0,10.0,4.0,5.0,6.0,1.0,13.0,5.0,8.0,12.0,2.0,1.0,4.0,2.0,6.0,10.0,8.0,2.0,22.0,13.0,14.0,0.7142857142857143,0.7142857142857143,0.3684210526315789,0.4444444444444444,0.34,0.3333333333333333,0.3793103448275862,0.40625,0.5,0.7142857142857143,0.6363636363636364,1.0,87.04918032786885,18.296296296296298,15.0625,17.703703703703702,14.6875,0.24,0.3333333333333333,0.4,0.5,0.3333333333333333,0.5,0.48,0.461802,0.5032583333333334,0.5909090909090909,0.5185185185185185,2.0,1.0,1.0,5.0,4.0,8.0,1.0,1.0,5.0,3.0,1.0,6.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.24,0.05263157894736842,0.16666666666666666,1.0,0.25,0.5,0.2,0.23529411764705882,0.25,0.5,0.2,1.0,0.5,0.2,0.2,0.2,0.32,0.5,0.5,1.0,0.04,1.0,1.0,1.0,0.2,0.5,0.25,0.5515,0.07407407407407407,0.09523809523809523,9.573684210526316,25.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-1536-2592,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Stephen Jackson, James Jones","Croshere, Pollard, Johnson, Jackson, Jones",1506-1513-1533-1536-2592,IND,87.0,1,1.0,,3.0,3.0,,,6.0,,1.0,,,,1.0,2.0,2.0,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,,2.0,,,,,,,,,0.3333333333333333,,,,1.0,,99.3103448275862,13.666666666666666,15.333333333333334,13.666666666666666,15.333333333333334,0.5,,,,,,1.0,0.5292,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,0.5,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,0.5,,,,0.3333333333333333,0.5,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-1536-397,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Stephen Jackson, Reggie Miller","Croshere, Pollard, Johnson, Jackson, Miller",1506-1513-1533-1536-397,IND,519.0,6,9.0,9.0,19.0,16.0,13.0,3.0,35.0,1.0,2.0,,1.0,5.0,9.0,11.0,24.0,15.0,4.0,8.0,7.0,18.0,4.0,6.0,2.0,3.0,1.0,7.0,5.0,7.0,9.0,3.0,2.0,4.0,2.0,2.0,7.0,14.0,3.0,23.0,18.0,13.0,0.4,0.4,0.5555555555555556,0.5,0.65,0.6111111111111112,0.71875,0.6538461538461539,0.75,0.7142857142857143,0.75,0.6666666666666666,97.10982658959537,14.578947368421053,15.125,13.894736842105264,14.0625,0.2,0.5,0.5,1.0,0.1111111111111111,,0.3,0.40672499999999995,0.38658333333333333,0.75,0.6842105263157895,2.0,1.0,3.0,5.0,1.0,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,,,,2.0,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,,,,4.0,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.1,,,1.0,0.5,1.0,,0.5,0.5,1.0,,1.0,1.0,0.5,0.6,0.6,0.2,0.5,0.5,,,,,,0.1,0.5,0.1111111111111111,0.37895,0.3076923076923077,0.3333333333333333,9.211111111111112,25.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-1886-2410,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Jonathan Bender, Fred Jones","Croshere, Pollard, Johnson, Bender, Jones",1506-1513-1533-1886-2410,IND,248.0,1,4.0,3.0,7.0,6.0,,,13.0,1.0,1.0,,,3.0,5.0,,6.0,3.0,,,,,4.0,2.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,,1.0,3.0,,,6.0,,,0.6666666666666666,0.6666666666666666,0.6,,0.6,,0.6,,1.0,0.5,0.5,0.6666666666666666,75.48387096774192,11.571428571428571,27.833333333333332,11.571428571428571,21.833333333333332,0.2,1.0,1.0,1.0,,,0.2,0.42713999999999996,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,0.2,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,11.82,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-1886-397,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Jonathan Bender, Reggie Miller","Croshere, Pollard, Johnson, Bender, Miller",1506-1513-1533-1886-397,IND,121.0,1,2.0,4.0,4.0,4.0,1.0,1.0,8.0,,1.0,,,3.0,5.0,,6.0,2.0,,1.0,,,4.0,2.0,2.0,2.0,,4.0,1.0,2.0,3.0,,,,,,,,,4.0,,1.0,0.6666666666666666,0.6666666666666666,0.6,,0.6,,0.6,,,1.0,1.0,1.0,95.20661157024794,14.5,15.75,13.75,15.75,0.2,,,,,,0.2,0.41938000000000003,0.2908,,0.25,1.0,,1.0,1.0,2.0,3.0,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,0.2,1.0,,1.0,1.0,,1.0,,,,,1.0,0.2,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,0.3527,,,13.74,,,,,2.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,0.3333333333333333,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-2109-2410,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Eddie Gill, Fred Jones","Croshere, Pollard, Johnson, Gill, Jones",1506-1513-1533-2109-2410,IND,46.0,1,1.0,-3.0,1.0,2.0,1.0,2.0,3.0,,1.0,,1.0,,1.0,,,3.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,93.91304347826086,23.0,11.5,23.0,11.5,1.0,,,,1.0,,1.0,0.4809,0.4809,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-2109-2592,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Eddie Gill, James Jones","Croshere, Pollard, Johnson, Gill, Jones",1506-1513-1533-2109-2592,IND,658.0,2,11.0,1.0,19.0,20.0,6.0,8.0,39.0,3.0,5.0,1.0,3.0,9.0,15.0,1.0,22.0,21.0,3.0,6.0,1.0,7.0,2.0,16.0,1.0,2.0,1.0,5.0,6.0,8.0,9.0,2.0,2.0,2.0,,,3.0,1.0,,19.0,7.0,6.0,0.1111111111111111,0.125,0.6,0.5,0.5833333333333334,0.42857142857142855,0.6111111111111112,0.5,1.0,0.8571428571428571,0.8888888888888888,1.0,85.34954407294833,14.894736842105264,18.75,14.894736842105264,18.1,0.2777777777777778,0.6,0.6,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.4444444444444444,0.47622500000000006,0.5069357142857143,0.3181818181818182,0.3157894736842105,1.0,1.0,2.0,4.0,4.0,6.0,1.0,2.0,1.0,,1.0,3.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,,,,0.16666666666666666,1.0,,0.125,,,,1.0,1.0,0.2222222222222222,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,,0.1111111111111111,0.5,0.5,1.0,0.05555555555555555,1.0,,0.5598,0.05555555555555555,0.06666666666666667,9.833333333333334,23.566666666666666,,,1.0,3.0,,,,,,1.0,,,1.0,,1.5,1.0,,,,,,,0.13636363636363635,0.75,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-2410-2592,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Fred Jones, James Jones","Croshere, Pollard, Johnson, Jones, Jones",1506-1513-1533-2410-2592,IND,364.0,5,6.0,6.0,12.0,11.0,2.0,5.0,23.0,,2.0,,2.0,3.0,9.0,2.0,11.0,5.0,,3.0,,,2.0,4.0,1.0,2.0,,5.0,4.0,5.0,6.0,1.0,1.0,1.0,,2.0,2.0,2.0,,11.0,,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.4090909090909091,,0.4583333333333333,,1.0,1.0,0.625,1.0,90.98901098901099,11.666666666666666,20.363636363636363,11.416666666666666,17.363636363636363,0.18181818181818182,,,,0.6666666666666666,,0.36363636363636365,0.4062181818181818,0.48136666666666666,,0.16666666666666666,1.0,1.0,3.0,5.0,,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,,3.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,2.0,,,1.0,0.5,0.5,0.18181818181818182,,,,0.16666666666666666,0.25,,0.16666666666666666,,,,1.0,0.3333333333333333,0.45454545454545453,0.6,0.6,0.18181818181818182,,,,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,1.0,,0.5542,0.08333333333333333,0.1,7.711111111111112,24.85,,,,,,,,1.0,,,,1.0,1.0,,,0.5,0.3333333333333333,,,,,,,,,,,0.5,,,,,,,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
1506-1513-1533-2410-397,1610612754,"Austin Croshere, Scot Pollard, Anthony Johnson, Fred Jones, Reggie Miller","Croshere, Pollard, Johnson, Jones, Miller",1506-1513-1533-2410-397,IND,484.0,5,8.0,-2.0,15.0,15.0,7.0,8.0,30.0,2.0,2.0,2.0,2.0,5.0,9.0,5.0,18.0,20.0,4.0,4.0,3.0,14.0,2.0,8.0,1.0,2.0,,5.0,1.0,3.0,5.0,3.0,1.0,4.0,1.0,2.0,5.0,6.0,,17.0,14.0,7.0,0.2,0.2,0.5555555555555556,1.0,0.5909090909090909,0.9166666666666666,0.6428571428571429,0.875,0.75,1.0,1.0,,89.25619834710744,17.266666666666666,15.0,17.2,15.0,0.18181818181818182,1.0,1.0,,0.3333333333333333,1.0,0.36363636363636365,0.3891090909090909,0.41251666666666664,0.7777777777777778,0.4666666666666667,1.0,,,1.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,1.0,2.0,,,,3.0,,,,,,,3.0,1.0,0.5,0.5,0.18181818181818182,,,,0.25,1.0,1.0,0.4,1.0,,1.0,1.0,1.0,0.09090909090909091,,,0.5454545454545454,0.5,0.5,0.3333333333333333,0.09090909090909091,1.0,1.0,1.0,0.09090909090909091,,0.16666666666666666,,0.21428571428571427,0.25,13.100000000000001,24.0,,,1.0,1.0,1.0,,,,,,,,,0.5,0.5,,,,,,,,0.05555555555555555,,,,,,,,1.0,,,0.16666666666666666,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2005,2004-05,True
