EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,PtsUnassisted3s,OffThreePtRebounds,OffRebounds,SecondChanceTurnovers,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChancePointsPct,DefCorner3ReboundPct,Corner3FGM,Corner3Assists,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,BlockedShortMidRange,OffTwoPtRebounds,Offensive Fouls,2pt And 1 Free Throw Trips,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceShotQualityAvg,SecondChanceArc3FGM,SecondChanceFG3M,SelfOReb,BadPassTurnovers,SecondChanceFg3Pct,OffAtRimReboundPct,SelfORebPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg2aBlocked,Technical Free Throw Trips,NonShootingFoulsDrawn,FG2APctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,OffShortMidRangeReboundPct,ShortMidRangePctBlocked,SecondChanceFtPoints,FTOffRebounds,AtRimPctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,HeaveAttempts,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,BlockedLongMidRange,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,3SecondViolations,Blocked3s,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,BlockedArc3,Arc3PctBlocked,team_id,year,season,team_vs
1442-1594-1630-1882-1894,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Elton Brand, Corey Maggette","Rebraca, Brunson, Moore, Brand, Maggette",1442-1594-1630-1882-1894,LAC,401.0,2,7.0,-9.0,13.0,13.0,9.0,7.0,26.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,7.0,1.0,3.0,1.0,10.0,19.0,2.0,4.0,1.0,2.0,1.0,8.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,8.0,9.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333,0.42857142857142855,0.5,0.45,0.5833333333333334,0.45454545454545453,0.5714285714285714,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.36658354114712,1.0,15.692307692307692,15.153846153846153,15.692307692307692,15.153846153846153,0.3,0.6666666666666666,0.6666666666666666,0.5,0.1,0.3,0.3333333333333333,0.3333333333333333,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.6,0.3333333333333333,0.48428000000000004,0.5303666666666667,0.09090909090909091,0.125,0.8,8.614285714285714,25.733333333333334,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1882-2060,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Elton Brand, Marko Jaric","Rebraca, Brunson, Moore, Brand, Jaric",1442-1594-1630-1882-2060,LAC,77.0,1,1.0,3.0,2.0,2.0,,,4.0,,,,,,,,1.0,2.0,,,,,1.0,2.0,,3.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,,,,,,3.0,,,,,,0.5,,0.5,,,0.75,,0.75,,1.0,,,,,,,,74.8051948051948,,17.5,21.0,17.5,21.0,,,,,,,,,,1.0,0.5,0.5,,,,,,1.0,0.5,0.46035,,,,,,26.75,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1882-2250,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Elton Brand, Bobby Simmons","Rebraca, Brunson, Moore, Brand, Simmons",1442-1594-1630-1882-2250,LAC,3.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1882-2624,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Elton Brand, Quinton Ross","Rebraca, Brunson, Moore, Brand, Ross",1442-1594-1630-1882-2624,LAC,505.0,3,8.0,-6.0,14.0,15.0,7.0,8.0,29.0,2.0,2.0,,,4.0,1.0,2.0,,5.0,,3.0,5.0,8.0,,6.0,2.0,12.0,18.0,1.0,2.0,,4.0,2.0,4.0,6.0,4.0,,5.0,,3.0,,3.0,,1.0,1.0,6.0,,,1.0,3.0,,,1.0,1.0,3.0,2.0,1.0,,,,,10.0,4.0,7.0,0.6,0.75,,,,,0.625,0.5,0.35714285714285715,0.16666666666666666,0.4,0.2857142857142857,0.42857142857142855,,,,,,,,82.6930693069307,,17.5,17.333333333333332,16.428571428571427,17.133333333333333,0.14285714285714285,1.0,1.0,0.5,0.2857142857142857,0.14285714285714285,0.5,0.5,1.0,0.35714285714285715,,,,,,0.5,,0.5714285714285714,,0.49251428571428574,0.5099333333333333,0.06666666666666667,0.1111111111111111,0.3333333333333333,9.2125,25.03333333333333,0.5,2.0,,2.0,2.0,,0.3333333333333333,0.2222222222222222,0.4,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.07142857142857142,0.5,1.0,0.5,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1894-2060,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Corey Maggette, Marko Jaric","Rebraca, Brunson, Moore, Maggette, Jaric",1442-1594-1630-1894-2060,LAC,76.0,1,1.0,1.0,2.0,2.0,,,4.0,,,,,,,,1.0,1.0,,,,,1.0,2.0,,3.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,3.0,,,,,,0.5,,0.5,,,0.75,,0.75,,1.0,,1.0,1.0,,,,,75.78947368421053,,23.0,15.0,23.0,15.0,,,,,,,,,,0.5,1.0,1.0,,,,,,1.0,1.0,0.5724,,,,,,24.4,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1894-2250,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Corey Maggette, Bobby Simmons","Rebraca, Brunson, Moore, Maggette, Simmons",1442-1594-1630-1894-2250,LAC,117.0,2,2.0,1.0,4.0,4.0,,1.0,8.0,,,,,1.0,,,,1.0,,,,1.0,1.0,2.0,2.0,5.0,4.0,,,,,,,,,3.0,1.0,,,1.0,1.0,,,,3.0,,2.0,2.0,2.0,,,,,2.0,2.0,1.0,,,,,5.0,,,,,1.0,0.5,,0.5,,,0.5,,0.625,,0.6666666666666666,1.0,,1.0,,1.0,1.0,,98.46153846153847,,9.0,20.25,9.0,20.25,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,0.6666666666666666,,0.5179166666666667,,0.25,0.5,,7.4,23.65,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1894-2549,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Corey Maggette, Chris Kaman","Rebraca, Brunson, Moore, Maggette, Kaman",1442-1594-1630-1894-2549,LAC,73.0,1,1.0,2.0,2.0,1.0,,,3.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,5.0,3.0,,,,,,,2.0,,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,,,,,,,,,,,1.0,,1.0,,5.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.25,,1.25,,0.5,,,,,,,,59.178082191780824,,17.0,39.0,17.0,39.0,,,,,,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,0.5,1.0,0.448375,,,,,16.0,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1894-2624,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Corey Maggette, Quinton Ross","Rebraca, Brunson, Moore, Maggette, Ross",1442-1594-1630-1894-2624,LAC,564.0,4,9.0,7.0,19.0,20.0,4.0,3.0,39.0,4.0,7.0,1.0,2.0,4.0,2.0,5.0,,2.0,,,8.0,16.0,,2.0,3.0,19.0,12.0,2.0,3.0,,,,4.0,12.0,4.0,,2.0,,6.0,,6.0,,3.0,1.0,12.0,,7.0,8.0,10.0,2.0,1.0,2.0,,7.0,4.0,3.0,,,,,17.0,4.0,4.0,0.75,0.75,,,,,0.5,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5,0.6666666666666666,0.1111111111111111,0.875,,0.875,,0.8,1.0,,99.57446808510637,,13.578947368421053,15.3,12.789473684210526,15.25,0.3888888888888889,0.5714285714285714,0.5714285714285714,0.75,0.2222222222222222,0.2777777777777778,0.4,0.4,0.5,0.1111111111111111,,,,0.6666666666666666,0.5,,,0.5,,0.5050833333333333,0.5085000000000001,0.15789473684210525,0.17647058823529413,0.21052631578947367,7.525,26.2,0.21052631578947367,2.0,,1.0,2.0,1.0,0.5,0.2,0.5,,,2.0,,,,1.0,1.0,,2.0,,2.0,1.0,4.0,1.0,3.0,,,4.0,1.0,1.0,1.0,,1.0,0.5,0.5,1.0,,,,,,0.10526315789473684,,,,1.0,1.0,,,,,1.0,1.0,2.0,0.125,0.3333333333333333,0.4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1894-2733,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Corey Maggette, Shaun Livingston","Rebraca, Brunson, Moore, Maggette, Livingston",1442-1594-1630-1894-2733,LAC,117.0,1,2.0,1.0,3.0,4.0,,,7.0,,1.0,,,,,1.0,1.0,2.0,,,,2.0,1.0,2.0,,3.0,2.0,,,,,,,,,3.0,2.0,1.0,,1.0,1.0,1.0,,,3.0,,2.0,2.0,4.0,,,1.0,,,,,,,,,,,,,,1.0,0.5,,0.5,,,0.375,,0.375,,0.5,0.6666666666666666,,0.6666666666666666,0.5,,1.0,,86.15384615384616,,15.0,18.0,11.0,17.0,0.25,,,,,0.25,,,,0.5,0.5,0.5,1.0,,,,,0.75,0.5,0.5510625,,,,,7.05,24.8,,1.0,,,2.0,,,0.6666666666666666,,,1.0,,,,1.0,,1.0,1.0,3.0,,,,,,,1.0,,,,0.75,0.75,1.0,,,,,,0.5,,0.5,,1.0,,,,,,,,,,2.0,,,1.0,1.0,0.586575,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
1442-1594-1630-1894-954,1610612746,"Zeljko Rebraca, Rick Brunson, Mikki Moore, Corey Maggette, Kerry Kittles","Rebraca, Brunson, Moore, Maggette, Kittles",1442-1594-1630-1894-954,LAC,37.0,1,1.0,,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,,,,,,,,1.0,2.0,,,,2.0,2.0,1.0,2.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,116.75675675675676,,9.5,18.0,9.5,18.0,1.0,0.5,0.5,,,,,,,,,,,1.0,0.5,,,1.0,,0.49505,0.49505,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2005,2004-05,True
