EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGA,FG2A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedLongMidRange,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Corner3Assists,FTOffRebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffFTReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,OffLongMidRangeReboundPct,PenaltyAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,AtRimAssists,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,SecondChanceFg3Pct,OffCorner3ReboundPct,AtRimPctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimAccuracy,SecondChanceArc3FGM,PenaltyArc3FGM,PtsUnassisted3s,Fg3aBlocked,FTDefRebounds,BadPassSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,NonShootingFoulsDrawn,BlockedShortMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,3SecondViolations,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
1890-2047-2207-2212-2571,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Steven Hunter, Leandro Barbosa","Marion, Richardson, Johnson, Hunter, Barbosa",1890-2047-2207-2212-2571,PHX,48.0,1,1.0,-2.0,1,2,3,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,0.5,90.0,13.0,17.5,13.0,11.5,1.0,1.0,0.5888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-2212-754,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Steven Hunter, Jim Jackson","Marion, Richardson, Johnson, Hunter, Jackson",1890-2047-2207-2212-754,PHX,664.0,3,11.0,-10.0,21,18,39,5.0,17.0,28.0,5.0,6.0,9.0,1.0,3.0,,2.0,1.0,2.0,0.5,0.5454545454545454,,84.57831325301206,15.571428571428571,18.72222222222222,14.095238095238095,18.444444444444443,0.21739130434782608,0.4782608695652174,0.41645681818181823,6.0,7.0,4.0,3.0,1.0,2.0,2.0,6.0,2.0,6.0,1.0,1.0,5.0,2.0,7.0,1.0,6.0,1.0,18.0,2.0,4.0,4.0,3.0,2.0,4.0,10.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,6.0,0.2857142857142857,0.2857142857142857,1.0,0.16666666666666666,0.2,0.4117647058823529,0.5,0.3695652173913043,0.5,0.391304347826087,0.5,0.2608695652173913,0.11764705882352941,0.2,0.16666666666666666,1.0,0.2,1.0,0.5,0.25,0.5,0.25,1.0,0.5,0.6,1.0,0.6,0.75,0.2608695652173913,0.3333333333333333,0.4,0.5,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.5,0.043478260869565216,0.21739130434782608,0.2,0.2,1.0,0.5,0.5,0.4,0.25,0.4060333333333333,0.31945,0.043478260869565216,0.058823529411764705,0.2222222222222222,9.558823529411764,31.45,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-2212-959,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Steven Hunter, Steve Nash","Marion, Richardson, Johnson, Hunter, Nash",1890-2047-2207-2212-959,PHX,692.0,4,12.0,3.0,26,21,47,14.0,23.0,23.0,4.0,8.0,17.0,2.0,6.0,,2.0,2.0,2.0,0.8,0.8888888888888888,1.0,97.80346820809248,16.076923076923077,13.047619047619047,14.384615384615385,13.047619047619047,0.4827586206896552,0.6896551724137931,0.48819137931034484,9.0,11.0,7.0,5.0,2.0,5.0,1.0,6.0,2.0,3.0,2.0,2.0,4.0,,8.0,3.0,6.0,1.0,26.0,3.0,7.0,7.0,6.0,2.0,2.0,14.0,9.0,,4.0,2.0,3.0,1.0,3.0,4.0,2.0,,1.0,11.0,,8.0,4.0,9.0,,,4.0,2.0,,1.0,,19.0,9.0,0.125,0.16666666666666666,1.0,0.5,0.5,0.34782608695652173,0.42857142857142855,0.43103448275862066,0.375,0.43333333333333335,0.3888888888888889,0.20689655172413793,0.13043478260869565,0.21428571428571427,,,0.5714285714285714,1.0,,0.5,0.625,0.6,,0.5,1.0,1.0,0.35714285714285715,0.45454545454545453,0.20689655172413793,0.16666666666666666,0.16666666666666666,,0.10344827586206896,0.6666666666666666,0.6666666666666666,0.5,0.06896551724137931,0.13793103448275862,0.5,0.5,1.0,0.625,0.4,,0.5,0.50158125,0.4426375,0.03333333333333333,0.041666666666666664,0.2692307692307692,4.595652173913043,24.3,0.34615384615384615,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,8.0,1.0,0.5,0.3333333333333333,0.4375,0.4444444444444444,0.3333333333333333,1.0,0.07692307692307693,1.0,0.5,0.5,1.0,0.125,0.25,0.25,0.5,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-2405-2571,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Amar'e Stoudemire, Leandro Barbosa","Marion, Richardson, Johnson, Stoudemire, Barbosa",1890-2047-2207-2405-2571,PHX,77.0,1,1.0,,2,2,4,1.0,2.0,2.0,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,,74.8051948051948,15.5,23.0,15.5,23.0,0.3333333333333333,0.6666666666666666,0.4878166666666666,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,,,,2.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,,,,,1.0,,,0.5,,,,1.0,,,1.0,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,1.0,1.0,,,0.5997,,,,1.0,8.15,26.4,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-2405-754,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Amar'e Stoudemire, Jim Jackson","Marion, Richardson, Johnson, Stoudemire, Jackson",1890-2047-2207-2405-754,PHX,1744.0,7,29.0,-5.0,54,49,103,17.0,39.0,62.0,14.0,16.0,24.0,7.0,13.0,2.0,2.0,2.0,2.0,0.6363636363636364,0.5925925925925926,0.4444444444444444,85.04587155963303,17.22222222222222,16.612244897959183,16.14814814814815,15.673469387755102,0.3333333333333333,0.5686274509803921,0.4878911764705882,7.0,21.0,8.0,9.0,2.0,2.0,2.0,9.0,7.0,13.0,3.0,3.0,9.0,,18.0,5.0,12.0,6.0,57.0,2.0,4.0,8.0,7.0,,24.0,12.0,15.0,,9.0,3.0,6.0,12.0,5.0,17.0,3.0,1.0,5.0,39.0,3.0,5.0,2.0,8.0,5.0,3.0,8.0,10.0,5.0,7.0,,49.0,7.0,0.6666666666666666,0.7058823529411765,1.0,0.4166666666666667,0.4166666666666667,0.46153846153846156,0.5,0.5,0.5833333333333334,0.5377358490566038,0.5714285714285714,0.23529411764705882,0.15384615384615385,0.23529411764705882,0.2222222222222222,0.625,0.25,0.4,0.42857142857142855,0.2962962962962963,0.25,0.16666666666666666,0.3333333333333333,0.75,0.7777777777777778,0.5,0.5294117647058824,0.6923076923076923,0.17647058823529413,0.2222222222222222,0.2857142857142857,0.5,0.2549019607843137,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.058823529411764705,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,,0.3333333333333333,0.5545625,0.4362142857142857,0.1320754716981132,0.17073170731707318,0.14035087719298245,7.882051282051282,24.78333333333333,0.12962962962962962,1.0,2.0,,,1.0,2.0,1.0,4.0,,2.0,10.0,2.0,2.0,,,,,3.0,,2.0,1.0,,10.0,1.0,,0.5714285714285714,0.5714285714285714,0.625,,0.3333333333333333,,,0.6666666666666666,0.6666666666666666,1.0,0.16666666666666666,0.14285714285714285,,,0.17543859649122806,0.3333333333333333,1.0,1.0,1.0,1.0,6.0,2.0,2.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.16666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-2405-959,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Amar'e Stoudemire, Steve Nash","Marion, Richardson, Johnson, Stoudemire, Nash",1890-2047-2207-2405-959,PHX,10787.0,9,180.0,-22.0,357,360,717,113.0,260.0,435.0,83.0,125.0,187.0,49.0,97.0,3.0,15.0,12.0,15.0,0.7033898305084746,0.7243589743589743,0.5681818181818182,95.7152127560953,16.560224089635856,13.541666666666666,15.969187675070028,13.016666666666667,0.34036144578313254,0.5572289156626506,0.48554214501510573,67.0,101.0,51.0,71.0,19.0,33.0,37.0,80.0,30.0,67.0,16.0,25.0,56.0,17.0,138.0,30.0,72.0,47.0,413.0,23.0,40.0,68.0,32.0,21.0,118.0,158.0,69.0,,56.0,25.0,23.0,59.0,23.0,82.0,19.0,13.0,16.0,187.0,16.0,43.0,30.0,62.0,29.0,25.0,60.0,67.0,9.0,29.0,1.0,345.0,67.0,0.427536231884058,0.48360655737704916,0.7666666666666667,0.4166666666666667,0.4166666666666667,0.5307692307692308,0.575,0.5512048192771084,0.5978260869565217,0.5720221606648199,0.6296296296296297,0.21686746987951808,0.08846153846153847,0.1504424778761062,0.075,0.48333333333333334,0.35537190082644626,0.7894736842105263,0.4,0.36645962732919257,0.47619047619047616,0.27906976744186046,0.41379310344827586,0.6774193548387096,0.8604651162790697,0.8461538461538461,0.6283185840707964,0.7395833333333334,0.24096385542168675,0.4625,0.5,0.35135135135135137,0.20180722891566266,0.44776119402985076,0.44776119402985076,0.5333333333333333,0.04819277108433735,0.1686746987951807,0.44642857142857145,0.45454545454545453,0.76,0.717391304347826,0.5757575757575758,0.32075471698113206,0.44642857142857145,0.5197985714285714,0.46122358490566034,0.08238636363636363,0.10357142857142858,0.16464891041162227,7.635384615384615,25.256944444444443,0.1876750700280112,17.0,5.0,1.0,4.0,4.0,6.0,13.0,14.0,8.0,26.0,78.0,32.0,4.0,3.0,4.0,18.0,8.0,31.0,1.0,10.0,10.0,9.0,78.0,14.0,0.38095238095238093,0.4375,0.49056603773584906,0.5735294117647058,0.2727272727272727,0.76,0.028985507246376812,0.6,0.3125,0.3125,0.8,0.08695652173913043,0.32075471698113206,0.07547169811320754,0.25,0.18886198547215496,0.3055555555555556,9.0,,2.0,3.0,30.0,5.0,4.0,7.0,,0.5,0.36363636363636365,0.4225352112676056,0.05263157894736842,0.043478260869565216,,,0.5294117647058824,3.0,7.0,21.0,1.0,12.0,10.0,7.0,2.0,9.0,2.0,1.0,1.0,0.013888888888888888,0.017857142857142856,0.9230769230769231,0.75,0.6666666666666666,0.4117647058823529,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-754-959,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Jim Jackson, Steve Nash","Marion, Richardson, Johnson, Jackson, Nash",1890-2047-2207-754-959,PHX,9.0,1,,-2.0,2,1,3,,,2.0,,,,,1.0,,,,,,,,480.0,4.5,,4.5,,,1.0,0.25425,2.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,0.5,,,0.25425,,,,,27.5,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2207-959-962,1610612756,"Shawn Marion, Quentin Richardson, Joe Johnson, Steve Nash, Walter McCarty","Marion, Richardson, Johnson, Nash, McCarty",1890-2047-2207-959-962,PHX,90.0,1,2.0,-3.0,4,4,8,3.0,3.0,3.0,2.0,3.0,3.0,,1.0,,,,,0.6666666666666666,0.6666666666666666,0.5,128.0,11.75,10.75,11.75,10.75,1.0,1.0,0.6638333333333334,4.0,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.6638333333333334,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2212-2405-959,1610612756,"Shawn Marion, Quentin Richardson, Steven Hunter, Amar'e Stoudemire, Steve Nash","Marion, Richardson, Hunter, Stoudemire, Nash",1890-2047-2212-2405-959,PHX,665.0,2,11.0,-7.0,22,22,44,3.0,10.0,28.0,3.0,4.0,6.0,3.0,4.0,,3.0,2.0,3.0,0.5,0.5714285714285714,0.6666666666666666,95.2781954887218,16.863636363636363,13.363636363636363,16.636363636363637,12.954545454545455,0.17647058823529413,0.5882352941176471,0.48246470588235296,7.0,3.0,2.0,3.0,,,2.0,6.0,,1.0,3.0,2.0,4.0,1.0,5.0,2.0,7.0,5.0,21.0,,,3.0,3.0,2.0,2.0,8.0,6.0,,4.0,2.0,1.0,1.0,2.0,3.0,2.0,,,8.0,,2.0,1.0,2.0,1.0,1.0,5.0,6.0,,3.0,,18.0,7.0,0.2,0.2,1.0,0.2857142857142857,0.2857142857142857,0.5,,0.47058823529411764,1.5,0.525,1.5,0.4117647058823529,0.1,,0.16666666666666666,0.2,0.4,1.0,,0.2,,0.5,,0.5,,,1.0,1.0,0.35294117647058826,0.3333333333333333,0.4,,0.058823529411764705,,,,0.17647058823529413,0.23529411764705882,0.5,0.5,1.0,,,0.2,0.5,0.5358,0.56333,0.15,0.23076923076923078,0.14285714285714285,7.609999999999999,24.74285714285714,0.3181818181818182,2.0,,,1.0,1.0,1.0,,2.0,,1.0,5.0,,,,1.0,2.0,,4.0,2.0,3.0,1.0,2.0,5.0,,,0.6666666666666666,0.4,0.4166666666666667,,1.0,0.1111111111111111,0.6666666666666666,,,,1.0,0.4,0.2,,0.23809523809523808,,2.0,,,1.0,1.0,,,1.0,,1.0,,0.3333333333333333,,,,,1.0,1.0,,,,,2.0,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,1610612756,2005,2004-05,True
1890-2047-2212-2571-754,1610612756,"Shawn Marion, Quentin Richardson, Steven Hunter, Leandro Barbosa, Jim Jackson","Marion, Richardson, Hunter, Barbosa, Jackson",1890-2047-2212-2571-754,PHX,142.0,1,2.0,9.0,7,5,12,2.0,4.0,2.0,3.0,3.0,4.0,,,,,,,1.0,1.0,1.0,121.69014084507042,11.0,13.0,10.714285714285714,13.0,0.5,0.5,0.453775,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,3.0,,,5.0,11.0,1.0,1.0,2.0,,,,6.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,5.0,1.0,2.0,,9.0,4.0,,,,,,0.75,1.0,0.75,1.0,0.9166666666666666,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,0.5,0.5,0.5,1.0,1.0,,,,,,,,,,,1.0,1.0,,,0.5452,,0.4,0.4,0.18181818181818182,4.4,,0.5714285714285714,,,,,,,,,,4.0,4.0,2.0,,,,,,,,1.0,,,4.0,,,,,1.0,,,,,,,,,,,,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1610612756,2005,2004-05,True
