EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,SelfOReb,ShootingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,Corner3Assists,Travels,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallTurnovers,ThreePtShootingFoulsDrawn,RecoveredBlocks,SecondChanceFg3Pct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,NonShootingFoulsDrawn,PenaltyCorner3FGM,SecondChanceTurnovers,BlockedShortMidRange,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,PtsUnassisted3s,HeaveAttempts,Technical Free Throw Trips,BlockedCorner3,LongMidRangePctBlocked,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
1565-1729-1908-1960-2032,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Milt Palacio, Darius Miles","Stewart, Davis, Jones, Palacio, Miles",1565-1729-1908-1960-2032,CLE,617.0,5,10.0,5.0,24.0,20.0,11.0,9.0,7.0,44.0,6.0,13.0,4.0,6.0,3.0,7.0,1.0,4.0,1.0,6.0,1.0,1.0,8.0,23.0,2.0,1.0,17.0,12.0,4.0,7.0,1.0,9.0,4.0,11.0,8.0,10.0,6.0,6.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,10.0,1.0,6.0,1.0,5.0,6.0,7.0,13.0,5.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,8.0,8.0,11.0,2.0,0.625,1.0,0.34782608695652173,0.5714285714285714,0.36363636363636365,0.32,0.5714285714285714,0.36363636363636365,0.3269230769230769,0.5625,0.36363636363636365,0.08,0.08695652173913043,0.15384615384615385,0.25,0.625,0.4,0.5,0.5,0.6,0.4117647058823529,0.5714285714285714,0.3333333333333333,0.2,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,102.6904376012966,13.083333333333334,15.15,12.208333333333334,15.1,0.52,0.46153846153846156,0.5454545454545454,0.5,0.16,0.25,0.25,1.0,0.24,0.16666666666666666,0.16666666666666666,1.0,0.04,0.04,0.8571428571428571,0.6666666666666666,0.25,0.6363636363636364,0.42857142857142855,0.6,0.50944,0.517,0.49484545454545453,0.038461538461538464,0.041666666666666664,0.5294117647058824,0.47058823529411764,6.791304347826086,24.45,0.4583333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-1960-2205,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Milt Palacio, DeSagana Diop","Stewart, Davis, Jones, Palacio, Diop",1565-1729-1908-1960-2205,CLE,542.0,2,9.0,-5.0,15.0,14.0,6.0,3.0,3.0,29.0,1.0,7.0,,4.0,,4.0,1.0,4.0,1.0,4.0,1.0,2.0,3.0,15.0,3.0,3.0,12.0,17.0,,5.0,,,,6.0,5.0,2.0,4.0,,2.0,2.0,1.0,2.0,,,1.0,5.0,1.0,4.0,2.0,3.0,6.0,5.0,11.0,1.0,1.0,,,,,1.0,,1.0,1.0,5.0,,3.0,2.0,,,12.0,5.0,6.0,,0.3333333333333333,0.3333333333333333,0.2,,,0.25,,0.1875,0.3157894736842105,,0.2777777777777778,0.16666666666666666,0.13333333333333333,0.14285714285714285,,0.6,0.3333333333333333,1.0,0.5,0.7142857142857143,0.35714285714285715,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,0.75,1.0,77.0479704797048,19.6,17.714285714285715,17.0,16.785714285714285,0.3888888888888889,0.14285714285714285,0.16666666666666666,,0.2222222222222222,0.25,0.3333333333333333,,0.2222222222222222,0.25,0.25,1.0,0.05555555555555555,0.1111111111111111,0.8,,,0.5,,0.5555555555555556,0.48493888888888886,0.487775,0.50253125,0.10526315789473684,0.125,,0.4166666666666667,6.833333333333333,24.7,0.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.25,1.0,1.0,1.0,0.08333333333333333,0.5,0.5,1.0,0.125,0.125,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-1960-238,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Milt Palacio, Tyrone Hill","Stewart, Davis, Jones, Palacio, Hill",1565-1729-1908-1960-238,CLE,416.0,2,7.0,5.0,14.0,15.0,4.0,3.0,2.0,29.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,6.0,11.0,2.0,3.0,18.0,13.0,2.0,2.0,,4.0,2.0,3.0,5.0,6.0,6.0,4.0,1.0,,3.0,4.0,1.0,1.0,1.0,9.0,,2.0,,3.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,6.0,,3.0,2.0,,1.0,14.0,5.0,4.0,1.0,0.5,0.75,0.5454545454545454,1.0,0.6666666666666666,0.5769230769230769,1.0,0.6666666666666666,0.6428571428571429,1.0,0.8333333333333334,0.15384615384615385,,,0.5,0.6,0.4,,,0.6,0.3333333333333333,1.0,,,,,0.6666666666666666,0.5,,100.38461538461539,12.428571428571429,16.133333333333333,12.357142857142858,15.6,0.38461538461538464,0.6,0.6,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.07692307692307693,0.07692307692307693,1.0,1.0,,0.3333333333333333,1.0,0.5384615384615384,0.5196000000000001,0.53845,0.5067666666666667,0.14285714285714285,0.16666666666666666,0.2222222222222222,0.2777777777777778,7.590909090909091,24.75,0.2857142857142857,,,,,1.0,,,1.0,3.0,,1.0,,1.0,,4.0,,1.0,,,,,,1.0,0.5,,0.5,,0.5,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-1960-2430,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Milt Palacio, Carlos Boozer","Stewart, Davis, Jones, Palacio, Boozer",1565-1729-1908-1960-2430,CLE,317.0,3,5.0,4.0,14.0,12.0,9.0,8.0,2.0,26.0,,,,,,,1.0,2.0,,3.0,,2.0,1.0,5.0,2.0,7.0,15.0,11.0,,,2.0,5.0,1.0,4.0,9.0,2.0,,,2.0,,1.0,3.0,,1.0,,8.0,,2.0,1.0,2.0,4.0,2.0,6.0,1.0,,1.0,2.0,,1.0,1.0,,3.0,1.0,2.0,,11.0,4.0,,,10.0,9.0,9.0,1.0,1.0,1.0,0.2,,0.25,0.5714285714285714,1.5,0.25,0.625,1.25,0.5625,0.2857142857142857,,,0.6666666666666666,0.6666666666666666,0.5,1.0,,0.75,0.5,,,0.6666666666666666,,1.0,,0.5,1.0,118.10725552050474,11.5,13.0,11.071428571428571,12.666666666666666,,,,,0.2857142857142857,0.5,0.5,1.0,0.42857142857142855,,,,,0.2857142857142857,,,,,,0.2857142857142857,0.43990714285714283,0.61035,0.36275,0.4166666666666667,0.4444444444444444,0.3333333333333333,0.6,13.440000000000001,24.8,0.6428571428571429,,2.0,,,2.0,,,7.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,0.25,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-1960-902,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Milt Palacio, Bimbo Coles","Stewart, Davis, Jones, Palacio, Coles",1565-1729-1908-1960-902,CLE,34.0,1,1.0,1.0,2.0,1.0,,,,3.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,0.5,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,127.05882352941177,5.0,24.0,5.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-1960-980,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Milt Palacio, Zydrunas Ilgauskas","Stewart, Davis, Jones, Palacio, Ilgauskas",1565-1729-1908-1960-980,CLE,246.0,2,4.0,14.0,9.0,9.0,5.0,,1.0,18.0,1.0,2.0,,,1.0,1.0,,1.0,2.0,3.0,,,3.0,6.0,,8.0,14.0,,,1.0,,,2.0,3.0,8.0,6.0,,,,1.0,3.0,3.0,1.0,,2.0,6.0,,1.0,1.0,3.0,4.0,1.0,5.0,3.0,3.0,,,,,,,,,1.0,1.0,8.0,2.0,,,14.0,8.0,5.0,,1.0,1.0,0.5,,0.6666666666666666,0.5,,0.6666666666666666,0.7,,0.8,,0.16666666666666666,0.5,,0.75,0.3333333333333333,1.0,,0.8,0.3333333333333333,1.0,,,,,1.0,0.6666666666666666,,105.3658536585366,12.0,15.333333333333334,11.555555555555555,14.777777777777779,0.3333333333333333,0.5,1.0,1.0,0.16666666666666666,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.3333333333333333,1.0,0.3333333333333333,0.4410833333333333,0.3902,0.44093333333333334,0.25,0.25,,0.5714285714285714,11.166666666666666,,0.5555555555555556,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-2032-2402,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Darius Miles, Dajuan Wagner","Stewart, Davis, Jones, Miles, Wagner",1565-1729-1908-2032-2402,CLE,25.0,2,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.599999999999994,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-2032-2470,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Darius Miles, Smush Parker","Stewart, Davis, Jones, Miles, Parker",1565-1729-1908-2032-2470,CLE,123.0,2,2.0,2.0,6.0,6.0,6.0,3.0,,12.0,2.0,2.0,,,2.0,2.0,,,,1.0,1.0,,2.0,3.0,1.0,4.0,8.0,6.0,,,,,2.0,3.0,8.0,2.0,2.0,,,,1.0,1.0,1.0,,,2.0,,,,2.0,2.0,,2.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,3.0,,4.0,2.0,,,8.0,8.0,6.0,2.0,0.5,0.5,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.6666666666666666,,0.6666666666666666,0.25,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,140.4878048780488,12.0,8.5,12.0,8.0,0.5,1.0,1.0,0.5,,,,,0.25,,,,0.25,,,,,0.5,1.0,0.75,0.6545125,,0.6545125,0.3333333333333333,0.4,,1.0,5.566666666666666,23.4,1.0,1.0,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-2032-902,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Darius Miles, Bimbo Coles","Stewart, Davis, Jones, Miles, Coles",1565-1729-1908-2032-902,CLE,261.0,3,4.0,-1.0,8.0,7.0,1.0,,2.0,15.0,3.0,5.0,,1.0,,,1.0,1.0,,1.0,,,4.0,7.0,,1.0,9.0,10.0,1.0,2.0,,2.0,1.0,1.0,2.0,6.0,2.0,,,,3.0,3.0,3.0,,,6.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,,,1.0,,2.0,,2.0,,4.0,1.0,,,7.0,2.0,1.0,,0.75,0.75,0.5714285714285714,0.5,1.0,0.5714285714285714,0.5,1.0,0.5,0.5,0.5,,,,0.5,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,0.5,,,,,,1.0,,82.75862068965517,17.0,17.857142857142858,16.0,17.714285714285715,0.7142857142857143,0.6,0.6,1.0,0.14285714285714285,1.0,1.0,,0.14285714285714285,,,,,,0.5,,,,,0.7142857142857143,0.5647142857142857,0.44305,0.3837,0.125,0.125,0.2222222222222222,0.2222222222222222,5.257142857142857,,0.125,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
1565-1729-1908-2036-2402,1610612739,"Michael Stewart, Ricky Davis, Jumaine Jones, Chris Mihm, Dajuan Wagner","Stewart, Davis, Jones, Mihm, Wagner",1565-1729-1908-2036-2402,CLE,986.0,5,16.0,2.0,30.0,29.0,16.0,8.0,3.0,59.0,6.0,10.0,,1.0,2.0,6.0,1.0,9.0,1.0,5.0,2.0,,8.0,24.0,2.0,5.0,27.0,25.0,,1.0,2.0,2.0,3.0,13.0,13.0,14.0,2.0,,,2.0,7.0,9.0,5.0,1.0,1.0,20.0,,3.0,4.0,8.0,12.0,3.0,15.0,3.0,2.0,1.0,2.0,,1.0,2.0,,4.0,2.0,6.0,2.0,7.0,3.0,,1.0,25.0,13.0,16.0,2.0,0.875,0.875,0.3333333333333333,,0.23076923076923078,0.4230769230769231,,0.32142857142857145,0.46551724137931033,0.5,0.38235294117647056,0.07692307692307693,0.08333333333333333,,0.5,0.5714285714285714,0.1875,1.0,,0.6666666666666666,0.1875,0.25,0.125,0.25,,0.6,0.5,0.6,1.0,86.16632860040568,15.833333333333334,17.620689655172413,14.3,16.0,0.38461538461538464,0.6,0.6,0.8333333333333334,0.34615384615384615,0.1111111111111111,0.14285714285714285,1.0,0.19230769230769232,0.2,0.2,1.0,0.07692307692307693,,1.0,,,0.42857142857142855,0.3333333333333333,0.46153846153846156,0.5192288461538461,0.545,0.5503214285714286,0.10714285714285714,0.11538461538461539,0.07407407407407407,0.48148148148148145,7.05,23.75,0.5333333333333333,1.0,,,,2.0,1.0,1.0,4.0,6.0,,2.0,,,,,,1.0,3.0,,,2.0,3.0,1.0,1.0,1.0,1.0,0.2222222222222222,,,1.0,,,,,0.07142857142857142,,,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612739,2003,2002-03,True
