EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,SecondChanceFtPoints,LostBallTurnovers,Loose Ball Fouls,OffLongMidRangeReboundPct,DefArc3ReboundPct,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Blocked3s,BlockedArc3,SecondChanceArc3FGA,BlockedLongMidRange,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1890-2063-2207-2405-358,1610612756,"Shawn Marion, Jake Voskuhl, Joe Johnson, Amar'e Stoudemire, Anfernee Hardaway","Marion, Voskuhl, Johnson, Stoudemire, Hardaway",1890-2063-2207-2405-358,PHX,106.0,1,2.0,3.0,3.0,1.0,6,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,0.25,1.0,0.25,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,1.0,0.5,81.50943396226415,16.333333333333332,19.0,15.333333333333334,18.333333333333332,0.25,0.75,0.3333333333333333,0.5,0.25,0.4697,0.4138,1.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2207-2405-950,1610612756,"Shawn Marion, Jake Voskuhl, Joe Johnson, Amar'e Stoudemire, Stephon Marbury","Marion, Voskuhl, Johnson, Stoudemire, Marbury",1890-2063-2207-2405-950,PHX,575.0,3,10.0,17.0,17.0,2.0,34,4.0,1.0,2.0,6.0,12.0,22.0,7.0,1.0,2.0,2.0,2.0,,2.0,2.0,11.0,2.0,13.0,,0.5,0.5,0.7,0.5,0.6470588235294118,0.5,,,0.3333333333333333,1.0,0.8333333333333334,0.3333333333333333,1.0,1.0,,85.14782608695651,16.88235294117647,16.941176470588236,16.176470588235293,15.882352941176471,0.26666666666666666,0.13333333333333333,0.5,0.5,0.4666666666666667,0.4674833333333333,0.59215,0.09090909090909091,9.75,15.0,9.0,6.0,2.0,1.0,2.0,2.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,6.0,2.0,2.0,1.0,11.0,10.0,9.0,2.0,2.0,5.0,3.0,8.0,2.0,1.0,1.0,1.0,3.0,19.0,8.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,20.0,11.0,9.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.55,0.2,0.5,1.0,0.8,0.5,1.0,0.7142857142857143,0.5,0.5,0.5,1.0,0.4,0.5,0.5,1.0,0.06666666666666667,1.0,1.0,1.0,0.13333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.25,1.0,1.0,0.4622,0.5,23.7,0.5294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2207-2418-358,1610612756,"Shawn Marion, Jake Voskuhl, Joe Johnson, Casey Jacobsen, Anfernee Hardaway","Marion, Voskuhl, Johnson, Jacobsen, Hardaway",1890-2063-2207-2418-358,PHX,285.0,2,5.0,10.0,8.0,2.0,18,5.0,,,4.0,8.0,10.0,8.0,,1.0,2.0,6.0,,2.0,1.0,2.0,2.0,4.0,,0.5,,0.4,,0.45454545454545453,0.5,,,0.5,1.0,0.6666666666666666,0.3333333333333333,,,,90.94736842105263,16.3,15.25,15.2,14.75,0.5,,,,0.7,0.62444,0.8474,0.2,6.1125,2.0,4.0,,3.0,,1.0,1.0,1.0,3.0,,1.0,,1.0,,,,2.0,2.0,2.0,4.0,,,2.0,6.0,2.0,,1.0,,1.0,,1.0,,,1.0,,,2.0,1.0,,2.0,2.0,,1.0,,,,1.0,,,,2.0,2.0,1.0,8.0,6.0,4.0,0.25,0.25,,,,,0.5,0.5,0.6,0.2,1.0,,0.5,0.5,,1.0,0.6,0.6,0.3333333333333333,,0.3,0.3333333333333333,0.3333333333333333,,0.1,,,,0.1,,,,1.0,,,0.25,,,,0.426675,0.6,24.0,0.4,1.0,2.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2207-2418-950,1610612756,"Shawn Marion, Jake Voskuhl, Joe Johnson, Casey Jacobsen, Stephon Marbury","Marion, Voskuhl, Johnson, Jacobsen, Marbury",1890-2063-2207-2418-950,PHX,71.0,1,1.0,3.0,3.0,,6,,,,,,2.0,2.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,121.69014084507042,10.333333333333334,13.333333333333334,10.333333333333334,13.333333333333334,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,3.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2207-358-950,1610612756,"Shawn Marion, Jake Voskuhl, Joe Johnson, Anfernee Hardaway, Stephon Marbury","Marion, Voskuhl, Johnson, Hardaway, Marbury",1890-2063-2207-358-950,PHX,1711.0,5,29.0,56.0,57.0,6.0,113,14.0,3.0,9.0,9.0,35.0,60.0,66.0,4.0,8.0,9.0,8.0,7.0,6.0,4.0,23.0,9.0,32.0,1.0,0.2571428571428571,0.5,0.391304347826087,0.5,0.4838709677419355,0.5625,0.2,0.1111111111111111,0.2727272727272727,0.5714285714285714,0.7407407407407407,0.25925925925925924,0.16666666666666666,0.6666666666666666,0.047619047619047616,95.10227936879018,17.517857142857142,12.807017543859649,16.75,12.578947368421053,0.30434782608695654,0.1956521739130435,0.3333333333333333,0.375,0.5434782608695652,0.45892173913043477,0.5174875,0.15,8.502857142857144,-6.0,30.0,32.0,5.0,4.0,7.0,6.0,1.0,12.0,5.0,8.0,1.0,3.0,,,6.0,11.0,24.0,5.0,16.0,1.0,3.0,17.0,30.0,10.0,18.0,3.0,1.0,5.0,6.0,11.0,1.0,5.0,3.0,1.0,1.0,28.0,16.0,3.0,2.0,1.0,1.0,4.0,3.0,4.0,,8.0,,6.0,7.0,13.0,32.0,8.0,51.0,30.0,30.0,0.5555555555555556,0.625,1.0,0.5454545454545454,0.3333333333333333,0.5454545454545454,0.3125,0.34210526315789475,0.5,0.2391304347826087,0.5,0.75,0.8,0.42857142857142855,0.625,0.875,0.35714285714285715,0.625,0.6,0.3333333333333333,0.2608695652173913,0.08333333333333333,0.08333333333333333,1.0,0.17391304347826086,0.625,0.625,1.0,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.875,0.5714285714285714,0.5,0.3157894736842105,,,0.3333333333333333,0.45746315789473685,0.5,23.745454545454546,0.5357142857142857,3.0,1.0,1.0,1.0,0.2222222222222222,0.5,0.5,1.0,3.0,2.0,1.0,2.0,1.0,9.0,3.0,2.0,1.0,3.0,2.0,1.0,5.0,0.42857142857142855,0.6666666666666666,0.2,0.5,1.0,0.6666666666666666,0.15789473684210525,0.3333333333333333,0.16666666666666666,0.20930232558139536,,,,,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2207-448-950,1610612756,"Shawn Marion, Jake Voskuhl, Joe Johnson, Bo Outlaw, Stephon Marbury","Marion, Voskuhl, Johnson, Outlaw, Marbury",1890-2063-2207-448-950,PHX,1017.0,5,17.0,33.0,34.0,7.0,67,14.0,2.0,4.0,12.0,25.0,39.0,19.0,4.0,8.0,8.0,6.0,1.0,5.0,1.0,16.0,7.0,23.0,2.0,0.48,0.5,0.46875,0.5,0.5135135135135135,0.5,0.04,0.25,0.4166666666666667,1.0,0.7619047619047619,0.4117647058823529,0.5,,0.125,94.86725663716814,14.636363636363637,15.705882352941176,13.545454545454545,14.852941176470589,0.4375,0.125,0.5,0.6666666666666666,0.65625,0.564296875,0.5300833333333334,0.20512820512820512,6.492000000000001,20.0,23.0,11.0,7.0,3.0,6.0,9.0,3.0,7.0,1.0,4.0,1.0,3.0,,2.0,2.0,7.0,9.0,6.0,17.0,,5.0,8.0,20.0,18.0,6.0,3.0,1.0,9.0,2.0,11.0,1.0,1.0,5.0,2.0,2.0,24.0,15.0,,5.0,2.0,3.0,2.0,1.0,2.0,,4.0,,3.0,3.0,7.0,12.0,4.0,31.0,20.0,23.0,0.75,0.9,1.0,0.2857142857142857,,0.2857142857142857,0.35294117647058826,0.2727272727272727,0.37037037037037035,0.21875,0.5,,0.75,0.5714285714285714,0.75,0.75,0.5,0.5,0.7142857142857143,1.0,0.21875,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.125,0.25,0.25,1.0,0.09375,0.3333333333333333,0.3333333333333333,1.0,0.75,0.5,0.3333333333333333,0.4090909090909091,0.09090909090909091,,0.3333333333333333,0.5499318181818181,0.5128205128205128,24.428571428571427,0.696969696969697,4.0,,1.0,,,1.0,0.4444444444444444,,3.0,4.0,2.0,,,1.0,5.0,4.0,1.0,5.0,4.0,,1.0,,,0.4,0.5,0.75,0.8,0.13636363636363635,,0.030303030303030304,0.038461538461538464,1.0,1.0,2.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2405-358-950,1610612756,"Shawn Marion, Jake Voskuhl, Amar'e Stoudemire, Anfernee Hardaway, Stephon Marbury","Marion, Voskuhl, Stoudemire, Hardaway, Marbury",1890-2063-2405-358-950,PHX,548.0,4,9.0,17.0,16.0,4.0,33,5.0,1.0,4.0,3.0,10.0,22.0,13.0,1.0,3.0,8.0,4.0,1.0,5.0,2.0,8.0,6.0,14.0,2.0,0.3,0.3333333333333333,0.5357142857142857,0.8,0.6176470588235294,0.8,0.1,,0.7142857142857143,0.5,0.46153846153846156,0.75,0.6666666666666666,0.5,0.2857142857142857,86.71532846715328,15.235294117647058,18.0625,13.647058823529411,15.25,0.35714285714285715,0.2857142857142857,0.25,0.25,0.6428571428571429,0.5042964285714285,0.49785,0.36363636363636365,6.74,9.0,15.0,14.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,4.0,7.0,2.0,8.0,3.0,4.0,5.0,18.0,2.0,9.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,,,1.0,11.0,4.0,2.0,2.0,2.0,,3.0,2.0,3.0,,6.0,1.0,6.0,1.0,5.0,8.0,,14.0,18.0,15.0,0.3333333333333333,0.5,1.0,0.75,0.75,0.75,0.25,0.5416666666666666,0.6071428571428571,0.2857142857142857,0.5,1.0,0.4444444444444444,0.75,0.3333333333333333,1.0,0.2,0.25,,,0.07142857142857142,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.5,0.5,1.0,0.4,0.5,,0.3333333333333333,0.16666666666666666,0.5,0.5,0.49941250000000004,0.8181818181818182,23.85,0.8823529411764706,1.0,,1.0,,,0.5,0.25,2.0,2.0,2.0,1.0,,,3.0,2.0,2.0,,2.0,,,2.0,0.2,,1.0,1.0,0.4,,0.16666666666666666,1.0,0.17647058823529413,0.23076923076923078,,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,0.4,1.0,1.0,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-2418-339-950,1610612756,"Shawn Marion, Jake Voskuhl, Casey Jacobsen, Tom Gugliotta, Stephon Marbury","Marion, Voskuhl, Jacobsen, Gugliotta, Marbury",1890-2063-2418-339-950,PHX,165.0,1,3.0,4.0,4.0,1.0,8,1.0,2.0,2.0,3.0,4.0,7.0,4.0,1.0,1.0,2.0,4.0,,,,1.0,1.0,2.0,,0.75,1.0,0.6,1.0,0.7,1.0,,,,,1.0,0.5,,,,69.81818181818181,22.75,18.5,20.75,17.0,0.2,0.4,1.0,1.0,0.4,0.42464,,0.2857142857142857,9.875,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,1.0,1.0,2.0,,1.0,,2.0,2.0,,,,1.0,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,,5.0,2.0,2.0,0.3333333333333333,0.3333333333333333,,,,,0.5,0.3333333333333333,0.3333333333333333,0.2,,,1.0,,,1.0,1.0,1.0,,0.5,0.2,,,,0.2,,,,,,,,1.0,1.0,,0.3333333333333333,,,,0.4542,0.2857142857142857,23.6,0.5,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,0.3333333333333333,,0.2,0.25,,,,1.0,,,,,,,,,,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-339-358-950,1610612756,"Shawn Marion, Jake Voskuhl, Tom Gugliotta, Anfernee Hardaway, Stephon Marbury","Marion, Voskuhl, Gugliotta, Hardaway, Marbury",1890-2063-339-358-950,PHX,357.0,1,6.0,10.0,11.0,3.0,21,5.0,,,4.0,7.0,15.0,8.0,1.0,2.0,5.0,4.0,,2.0,1.0,4.0,3.0,7.0,,0.5714285714285714,0.5,0.6111111111111112,0.8333333333333334,0.6363636363636364,0.8333333333333334,,,0.6666666666666666,1.0,0.8,0.75,,,,84.70588235294117,19.0,15.181818181818182,16.9,15.181818181818182,0.5555555555555556,,,,0.7777777777777778,0.5515277777777778,0.6016,0.3333333333333333,4.285714285714286,7.0,7.0,5.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,,,,,1.0,2.0,4.0,3.0,4.0,1.0,1.0,1.0,10.0,4.0,3.0,,,2.0,1.0,3.0,,1.0,1.0,,1.0,7.0,3.0,,,,,,,2.0,,2.0,,2.0,1.0,3.0,5.0,,10.0,10.0,7.0,0.5,0.6666666666666666,1.0,0.5,1.0,0.5,0.75,0.9,0.8333333333333334,0.2222222222222222,,,0.75,0.5,,1.0,0.6,0.6,0.3333333333333333,,0.2222222222222222,0.5,0.5,1.0,0.2222222222222222,0.5,0.5,1.0,,,,,0.6666666666666666,0.5,,0.8,,,,0.6068100000000001,0.6666666666666666,23.2,0.7,3.0,,,,1.0,1.0,0.75,1.0,1.0,2.0,1.0,,,2.0,,,,,,,,,,1.0,,,,0.2,1.0,0.18181818181818182,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,1610612756,2003,2002-03,True
1890-2063-358-448-950,1610612756,"Shawn Marion, Jake Voskuhl, Anfernee Hardaway, Bo Outlaw, Stephon Marbury","Marion, Voskuhl, Hardaway, Outlaw, Marbury",1890-2063-358-448-950,PHX,492.0,3,8.0,16.0,14.0,3.0,30,1.0,2.0,4.0,5.0,11.0,15.0,13.0,,2.0,,2.0,,2.0,,7.0,3.0,10.0,,0.45454545454545453,,0.5,,0.5357142857142857,,,,0.3333333333333333,,0.7,0.42857142857142855,,,,87.8048780487805,15.6875,17.214285714285715,14.125,15.785714285714286,0.07692307692307693,0.3076923076923077,0.5,0.5,0.23076923076923078,0.43514615384615385,0.4526,,13.490909090909092,2.0,4.0,7.0,1.0,,,,2.0,6.0,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,7.0,8.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,,1.0,1.0,2.0,11.0,7.0,,,,,1.0,1.0,3.0,,4.0,1.0,,1.0,5.0,2.0,1.0,15.0,7.0,4.0,0.8,0.8,1.0,0.5,0.5,0.5,0.5,0.625,0.7,0.15384615384615385,0.25,,0.7777777777777778,,1.0,0.6,1.0,1.0,1.0,0.5,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,,,,,0.15384615384615385,0.5,0.5,1.0,,,,,0.5,0.5,0.5,0.444525,0.4666666666666667,25.55,0.25,,,,1.0,0.5,,,,,,1.0,,,,2.0,,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,1610612756,2003,2002-03,True
