EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyDefPoss,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Corner3Assists,OffThreePtRebounds,SelfOReb,BadPassSteals,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,2pt And 1 Free Throw Trips,PtsUnassisted3s,DefensiveGoaltends,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,FTOffRebounds,BlockedLongMidRange,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3FGA,LongMidRangePctBlocked,PenaltyCorner3Frequency,PenaltyCorner3FGM,HeaveAttempts,Travels,PenaltyCorner3Accuracy,SecondChanceArc3FGA,SecondChanceArc3Frequency,Defensive 3 Seconds Violations,Clear Path Fouls,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,3SecondViolations,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,Corner3PctBlocked,HeaveMakes,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1425-1533-164-2030-2210,1610612751,"Aaron Williams, Anthony Johnson, Chris Childs, Kenyon Martin, Richard Jefferson","Williams, Johnson, Childs, Martin, Jefferson",1425-1533-164-2030-2210,NJN,366.0,1,6.0,-1.0,12.0,12.0,24.0,3.0,4.0,1.0,2.0,1.0,4.0,7.0,2.0,10.0,11.0,6.0,2.0,3.0,3.0,2.0,1.0,6.0,2.0,4.0,6.0,6.0,1.0,1.0,4.0,1.0,4.0,2.0,5.0,3.0,3.0,1.0,1.0,10.0,0.75,0.75,0.5714285714285714,0.5714285714285714,0.5625,1.0,1.0,1.0,1.0,1.0,1.0,94.42622950819673,14.916666666666666,15.583333333333334,14.916666666666666,15.583333333333334,0.5714285714285714,0.75,0.75,0.6666666666666666,0.2857142857142857,0.5,0.5,1.0,0.14285714285714285,0.5714285714285714,0.4887714285714286,0.125,0.125,4.142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-164-2030-467,1610612751,"Aaron Williams, Anthony Johnson, Chris Childs, Kenyon Martin, Jason Kidd","Williams, Johnson, Childs, Martin, Kidd",1425-1533-164-2030-467,NJN,17.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,84.70588235294117,,16.0,,16.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-164-2243-2447,1610612751,"Aaron Williams, Anthony Johnson, Chris Childs, Brian Scalabrine, Tamar Slay","Williams, Johnson, Childs, Scalabrine, Slay",1425-1533-164-2243-2447,NJN,896.0,2,15.0,-11.0,31.0,32.0,63.0,4.0,6.0,,2.0,14.0,8.0,22.0,5.0,24.0,35.0,10.0,6.0,5.0,6.0,1.0,,13.0,1.0,6.0,9.0,13.0,3.0,3.0,1.0,,6.0,6.0,8.0,,6.0,,2.0,21.0,0.625,0.7142857142857143,0.36363636363636365,0.36538461538461536,0.41379310344827586,0.8571428571428571,1.0,0.875,1.0,1.0,1.0,101.25,17.096774193548388,11.4375,15.580645161290322,11.40625,0.23076923076923078,0.6666666666666666,0.8,0.25,0.07692307692307693,,,,0.5384615384615384,0.38461538461538464,0.46057692307692305,0.07142857142857142,0.08333333333333333,11.968181818181819,28.0,15.0,4.0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,3.0,8.0,1.0,3.0,2.0,11.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,5.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,11.0,15.0,2.0,1.0,0.25,0.3333333333333333,0.25,0.5,0.375,0.5,0.4090909090909091,0.5,0.4583333333333333,0.15384615384615385,0.045454545454545456,0.16666666666666666,0.8333333333333334,1.0,0.2857142857142857,0.23529411764705882,0.5,0.3,0.2857142857142857,0.2857142857142857,1.0,0.15384615384615385,0.25,0.25,1.0,0.5,1.0,0.45454545454545453,0.6,0.2727272727272727,0.3333333333333333,0.25,0.52455,0.5628681818181819,0.125,0.4583333333333333,24.65,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2210-2447,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Richard Jefferson, Tamar Slay","Williams, Johnson, Martin, Jefferson, Slay",1425-1533-2030-2210-2447,NJN,64.0,1,1.0,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,22.5,,25.0,,25.0,,,,,,,,,1.0,,0.3949,,,21.7,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2210-446,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Richard Jefferson, Lucious Harris","Williams, Johnson, Martin, Jefferson, Harris",1425-1533-2030-2210-446,NJN,1220.0,10,20.0,6.0,33.0,38.0,71.0,5.0,8.0,5.0,9.0,8.0,13.0,25.0,8.0,37.0,31.0,8.0,18.0,4.0,5.0,2.0,1.0,11.0,3.0,14.0,18.0,21.0,2.0,1.0,1.0,,3.0,3.0,7.0,,14.0,,5.0,33.0,0.3076923076923077,0.3333333333333333,0.52,0.5370370370370371,0.5441176470588235,0.7368421052631579,1.0,0.7727272727272727,0.75,0.6666666666666666,1.0,83.8032786885246,16.515151515151516,17.763157894736842,15.848484848484848,16.55263157894737,0.2962962962962963,0.625,0.7142857142857143,0.4,0.3333333333333333,0.5555555555555556,0.7142857142857143,0.2,0.2962962962962963,0.37037037037037035,0.45087592592592596,0.15625,0.16666666666666666,8.416,9.0,8.0,3.0,1.0,1.0,2.0,3.0,3.0,,1.0,,,1.0,2.0,2.0,3.0,,4.0,3.0,7.0,,,1.0,7.0,3.0,2.0,1.0,,3.0,1.0,,1.0,2.0,1.0,3.0,2.0,,2.0,,,,1.0,2.0,7.0,8.0,,1.0,0.5,,0.5,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.4375,0.07407407407407407,0.12,0.125,0.6666666666666666,1.0,0.18181818181818182,0.25,0.3333333333333333,0.2,0.375,0.375,0.3333333333333333,0.037037037037037035,,,,0.3333333333333333,1.0,0.42857142857142855,0.6666666666666666,,,,0.45213333333333333,0.45284285714285716,0.10810810810810811,0.1891891891891892,24.0,0.24242424242424243,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,0.2222222222222222,1.0,1.0,1.0,0.1111111111111111,0.75,0.037037037037037035,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2210-467,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Richard Jefferson, Jason Kidd","Williams, Johnson, Martin, Jefferson, Kidd",1425-1533-2030-2210-467,NJN,526.0,3,9.0,-2.0,18.0,18.0,36.0,1.0,2.0,3.0,6.0,3.0,5.0,11.0,2.0,12.0,14.0,8.0,2.0,4.0,4.0,1.0,3.0,8.0,,6.0,7.0,8.0,4.0,1.0,2.0,,5.0,2.0,2.0,,4.0,,1.0,10.0,0.8,0.8,0.45454545454545453,0.38461538461538464,0.4,0.8571428571428571,,0.8571428571428571,1.0,1.0,,98.5551330798479,16.0,13.222222222222221,15.555555555555555,13.166666666666666,0.15384615384615385,0.5,0.5,1.0,0.46153846153846156,0.5,0.6,1.0,0.23076923076923078,0.3076923076923077,0.4418230769230769,0.07142857142857142,0.08333333333333333,10.754545454545454,13.0,,1.0,,,,,1.0,,2.0,,,,2.0,1.0,1.0,,2.0,,,,,,,,,2.0,,1.0,,,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,1.0,,,,,,,,1.0,,1.0,,1.0,,0.15384615384615385,0.09090909090909091,,0.6,1.0,0.16666666666666666,0.125,,0.5,0.3333333333333333,0.3333333333333333,,0.15384615384615385,,,,,,,,,,,0.444,,0.16666666666666666,,24.25,,,,,,,3.0,1.0,1.0,,1.0,1.0,0.16666666666666666,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2210-954,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Richard Jefferson, Kerry Kittles","Williams, Johnson, Martin, Jefferson, Kittles",1425-1533-2030-2210-954,NJN,248.0,3,4.0,-1.0,7.0,6.0,13.0,,,1.0,1.0,5.0,4.0,6.0,,8.0,9.0,4.0,4.0,2.0,2.0,,,4.0,,2.0,2.0,3.0,,,1.0,,2.0,1.0,2.0,,1.0,,1.0,6.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.6666666666666666,1.0,0.5,,75.48387096774192,16.142857142857142,22.5,15.857142857142858,21.833333333333332,,,,,0.16666666666666666,1.0,1.0,,0.8333333333333334,,0.4138,0.16666666666666666,0.16666666666666666,15.833333333333334,2.0,7.0,1.0,,,,,3.0,,,,,,,1.0,1.0,,2.0,4.0,6.0,,,,8.0,,2.0,,,,,,2.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,8.0,7.0,,,,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,,,,0.5,,0.5,0.5,,0.5,0.6,0.6,0.6666666666666666,,,,,,,,,,,,0.4055,0.4138,0.25,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2215-446,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Jason Collins, Lucious Harris","Williams, Johnson, Martin, Collins, Harris",1425-1533-2030-2215-446,NJN,268.0,2,4.0,,8.0,8.0,16.0,1.0,2.0,,1.0,4.0,2.0,7.0,4.0,8.0,8.0,,4.0,,,,,,1.0,1.0,2.0,4.0,1.0,,,,,1.0,1.0,,4.0,,1.0,4.0,,,0.2857142857142857,0.25,0.4,0.5,1.0,0.6666666666666666,,1.0,1.0,85.97014925373134,16.75,16.75,16.5,15.0,0.25,0.5,0.5,,0.125,,,,0.5,0.375,0.47878125,0.1111111111111111,0.125,12.585714285714285,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,,1.0,2.0,4.0,,2.0,1.0,,,,,,2.0,,2.0,,,,,,,,1.0,4.0,3.0,,,,,,1.0,0.5,1.0,0.3333333333333333,1.0,0.5,0.125,,,,,0.4,0.3333333333333333,1.0,0.3333333333333333,0.25,0.25,,0.125,,,,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,,,0.551,0.5379833333333334,0.5,0.5,24.5,0.375,,,,,1.0,1.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2243-2447,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Brian Scalabrine, Tamar Slay","Williams, Johnson, Martin, Scalabrine, Slay",1425-1533-2030-2243-2447,NJN,407.0,1,7.0,-2.0,13.0,13.0,26.0,4.0,5.0,1.0,3.0,2.0,5.0,10.0,1.0,11.0,13.0,8.0,2.0,4.0,4.0,3.0,1.0,8.0,,2.0,2.0,4.0,1.0,1.0,,,1.0,1.0,3.0,,2.0,,1.0,9.0,0.8,1.0,0.5,0.38461538461538464,0.39285714285714285,1.0,,1.0,,1.0,,91.99017199017199,18.0,13.307692307692308,17.615384615384617,13.307692307692308,0.38461538461538464,0.8,1.0,0.75,0.23076923076923078,0.3333333333333333,0.5,1.0,0.15384615384615385,0.6153846153846154,0.5010038461538462,0.07142857142857142,0.09090909090909091,6.3,,,2.0,1.0,1.0,,,,,3.0,,,,3.0,1.0,2.0,,2.0,,,,,,,,2.0,3.0,,2.0,,,,1.0,,2.0,1.0,,1.0,,,,,,,,,,,,,0.5,,0.5,,0.5,,0.23076923076923078,0.2,0.2,1.0,,0.2,0.25,1.0,,,,,0.23076923076923078,,,,0.5,1.0,,,,,,0.5494,,0.18181818181818182,,24.933333333333334,,,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
1425-1533-2030-2243-446,1610612751,"Aaron Williams, Anthony Johnson, Kenyon Martin, Brian Scalabrine, Lucious Harris","Williams, Johnson, Martin, Scalabrine, Harris",1425-1533-2030-2243-446,NJN,1896.0,9,32.0,6.0,58.0,60.0,118.0,9.0,14.0,3.0,16.0,14.0,15.0,44.0,17.0,56.0,50.0,18.0,12.0,9.0,11.0,4.0,3.0,24.0,4.0,18.0,24.0,34.0,6.0,3.0,1.0,,7.0,10.0,18.0,,20.0,,6.0,46.0,0.6,0.9,0.3409090909090909,0.38235294117647056,0.45901639344262296,0.6923076923076923,0.6666666666666666,0.6875,0.6666666666666666,0.7857142857142857,0.6666666666666666,89.62025316455696,16.344827586206897,15.8,15.827586206896552,14.733333333333333,0.27450980392156865,0.6428571428571429,0.6428571428571429,0.4444444444444444,0.3137254901960784,0.1875,0.2,1.0,0.27450980392156865,0.4117647058823529,0.45310196078431375,0.10526315789473684,0.12,9.231818181818182,32.0,25.0,7.0,5.0,8.0,4.0,5.0,3.0,3.0,7.0,3.0,6.0,3.0,7.0,5.0,8.0,,10.0,5.0,12.0,3.0,6.0,10.0,29.0,6.0,10.0,7.0,3.0,1.0,2.0,2.0,2.0,8.0,2.0,10.0,6.0,1.0,4.0,2.0,1.0,3.0,2.0,4.0,29.0,25.0,1.0,0.6666666666666666,0.42857142857142855,0.5,0.42857142857142855,0.625,0.4166666666666667,0.625,0.5277777777777778,0.625,0.6041666666666666,0.13725490196078433,0.022727272727272728,,0.8571428571428571,1.0,0.2857142857142857,0.3125,0.6,,0.21428571428571427,0.21428571428571427,0.6666666666666666,0.13725490196078433,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,0.625,0.2777777777777778,0.8,0.3333333333333333,0.5,0.42857142857142855,0.5240285714285714,0.4798027777777778,0.17857142857142858,0.5178571428571429,24.957142857142856,0.43103448275862066,,,,2.0,,3.0,1.0,1.0,,1.0,,0.0625,0.5,0.5,0.3333333333333333,,,,,,,,3.0,1.0,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2003,2002-03,False
