EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,FTDefRebounds,ShootingFouls,Fouls,Loose Ball Fouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,PenaltyOffPoss,PenaltyArc3FGA,FtPoints,PenaltyFG2A,PenaltyFG3A,PenaltyTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,DefShortMidRangeReboundPct,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,ShortMidRangeAssists,SelfOReb,LostBallSteals,LostBallTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffAtRimReboundPct,SelfORebPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyPointsPct,Corner3FGA,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,ShortMidRangePctBlocked,OffCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,Travels,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,DefensiveGoaltends,HeaveAttempts,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,3SecondViolations,BlockedLongMidRange,PenaltyArc3FGM,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,OffensiveGoaltends,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedArc3,team_id,year,season,team_vs
1502-1504-168-1712-1863,1610612744,"Adonal Foyle, Danny Fortson, Chris Mills, Antawn Jamison, Earl Boykins","Foyle, Fortson, Mills, Jamison, Boykins",1502-1504-168-1712-1863,GSW,233.0,1,4.0,-4.0,6.0,6.0,1.0,12.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,4.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,0.5,0.5,0.4,1.0,0.4,1.0,0.4,1.0,0.2,1.0,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.5,0.5,74.16309012875537,0.5,18.5,20.333333333333332,17.833333333333332,16.333333333333332,0.2,0.6,0.3333333333333333,0.3333333333333333,0.2,1.0,1.0,1.0,0.2,0.43146000000000007,0.4104,0.5,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-168-1863-2202,1610612744,"Adonal Foyle, Danny Fortson, Chris Mills, Earl Boykins, Jason Richardson","Foyle, Fortson, Mills, Boykins, Richardson",1502-1504-168-1863-2202,GSW,422.0,1,7.0,6.0,11.0,11.0,3.0,22.0,2.0,,2.0,5.0,10.0,7.0,14.0,17.0,11.0,1.0,3.0,5.0,8.0,6.0,1.0,4.0,5.0,3.0,11.0,4.0,1.0,6.0,4.0,10.0,1.0,1.0,,,,,,,,,,12.0,0.5714285714285714,0.6666666666666666,0.5,0.3333333333333333,0.5666666666666667,0.625,0.5666666666666667,0.625,0.07142857142857142,,,0.5,0.5714285714285714,0.7142857142857143,0.5714285714285714,0.5,1.0,75.07109004739337,,22.818181818181817,15.545454545454545,19.90909090909091,15.181818181818182,0.13333333333333333,0.13333333333333333,,,0.6666666666666666,0.5,0.5555555555555556,0.6,0.2,0.4027833333333334,0.4421125,0.29411764705882354,13.435714285714285,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.06666666666666667,0.1,1.0,0.8,0.6,0.75,1.0,1.0,1.0,0.5,0.06666666666666667,1.0,1.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-168-1863-2240,1610612744,"Adonal Foyle, Danny Fortson, Chris Mills, Earl Boykins, Gilbert Arenas","Foyle, Fortson, Mills, Boykins, Arenas",1502-1504-168-1863-2240,GSW,67.0,1,1.0,,2.0,3.0,,5.0,2.0,,,,,1.0,2.0,2.0,2.0,,,,2.0,,1.0,1.0,1.0,,2.0,,2.0,2.0,1.0,3.0,,,,,,,,,,,,2.0,1.0,1.0,0.5,,0.3333333333333333,,0.3333333333333333,,0.5,0.5,,1.0,,1.0,0.5,,,107.46268656716417,,12.0,14.333333333333334,12.0,14.333333333333334,0.6666666666666666,,,,,,,,1.0,0.6127333333333334,,,,,1.0,,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,0.3333333333333333,,,,,,,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,24.6,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-168-1863-2351,1610612744,"Adonal Foyle, Danny Fortson, Chris Mills, Earl Boykins, Oscar Torres","Foyle, Fortson, Mills, Boykins, Torres",1502-1504-168-1863-2351,GSW,160.0,1,3.0,-2.0,7.0,6.0,,13.0,,,,1.0,2.0,1.0,2.0,3.0,5.0,,,,2.0,,,1.0,1.0,1.0,2.0,,3.0,3.0,,3.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,3.0,1.0,1.0,0.5,,0.3333333333333333,,0.3,,,,0.5,0.75,,0.75,,,1.0,117.0,,11.0,13.833333333333334,11.0,13.333333333333334,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,0.39453333333333335,,,19.85,6.0,,,,,1.0,,,,1.0,,,,,1.0,,,,,,,,3.0,,,,,,0.3333333333333333,,,,,,,,,,0.3333333333333333,,,,,,,,,,26.2,,,,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,2.0,1.0,0.5,0.4003,0.25,0.3333333333333333,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-168-1863-2399,1610612744,"Adonal Foyle, Danny Fortson, Chris Mills, Earl Boykins, Mike Dunleavy","Foyle, Fortson, Mills, Boykins, Dunleavy",1502-1504-168-1863-2399,GSW,35.0,1,1.0,-2.0,1.0,1.0,1.0,2.0,,,,,1.0,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.28571428571428,,7.0,28.0,,14.0,,,,,1.0,,,,,0.4152,0.4152,,18.4,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-1712-1863-2202,1610612744,"Adonal Foyle, Danny Fortson, Antawn Jamison, Earl Boykins, Jason Richardson","Foyle, Fortson, Jamison, Boykins, Richardson",1502-1504-1712-1863-2202,GSW,495.0,4,8.0,-12.0,15.0,15.0,4.0,30.0,7.0,2.0,2.0,1.0,2.0,6.0,11.0,15.0,27.0,1.0,3.0,3.0,8.0,4.0,1.0,4.0,4.0,1.0,8.0,3.0,1.0,2.0,4.0,6.0,2.0,1.0,3.0,,2.0,1.0,4.0,,,,,12.0,0.6666666666666666,0.8,0.5454545454545454,0.3333333333333333,0.5,0.3333333333333333,0.5,0.375,0.09090909090909091,0.14285714285714285,0.75,0.2,0.6,0.3333333333333333,0.6666666666666666,,,87.27272727272727,,17.133333333333333,15.866666666666667,16.8,13.4,0.5833333333333334,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.5,1.0,0.6666666666666666,0.5109958333333333,0.62925,0.2,5.163636363636363,4.0,3.0,1.0,3.0,,1.0,,,,1.0,,,,2.0,1.0,,,,2.0,1.0,,2.0,5.0,1.0,,,,,0.08333333333333333,,,1.0,1.0,1.0,,0.42857142857142855,0.5,0.6666666666666666,0.08333333333333333,,,,1.0,0.3333333333333333,,,,,25.3,1.0,1.0,1.0,,6.0,,3.0,4.0,,1.0,1.0,6.0,2.0,1.0,6.0,,0.5,,0.46265,0.14285714285714285,0.15384615384615385,0.4,1.0,2.0,1.0,3.0,3.0,9.0,1.0,1.0,1.0,1.0,9.0,0.75,0.75,0.75,0.5,0.2,0.5,0.5,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-1712-1863-2240,1610612744,"Adonal Foyle, Danny Fortson, Antawn Jamison, Earl Boykins, Gilbert Arenas","Foyle, Fortson, Jamison, Boykins, Arenas",1502-1504-1712-1863-2240,GSW,207.0,2,3.0,-3.0,6.0,6.0,3.0,12.0,,1.0,6.0,,,1.0,6.0,4.0,7.0,,3.0,,,2.0,1.0,,,,,2.0,1.0,2.0,3.0,5.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,0.16666666666666666,,0.14285714285714285,,0.25,,0.16666666666666666,,,0.3333333333333333,0.4,0.3333333333333333,0.5,0.4,1.0,83.47826086956522,1.0,20.5,14.0,12.833333333333334,12.333333333333334,,0.8571428571428571,0.16666666666666666,0.2,,,,,0.14285714285714285,0.4205571428571429,0.3257,,6.6499999999999995,6.0,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,,,,,0.14285714285714285,,1.0,,,,,,,,,,,,,,,,,,22.6,1.0,1.0,,,3.0,,2.0,3.0,1.0,,,2.0,,1.0,3.0,1.0,,,0.4265,,,0.5,,,,,2.0,2.0,,,,,2.0,,,0.2,,,,,,0.5,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.14285714285714285,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-1712-1863-2399,1610612744,"Adonal Foyle, Danny Fortson, Antawn Jamison, Earl Boykins, Mike Dunleavy","Foyle, Fortson, Jamison, Boykins, Dunleavy",1502-1504-1712-1863-2399,GSW,540.0,1,9.0,2.0,15.0,16.0,3.0,31.0,6.0,6.0,10.0,1.0,3.0,10.0,19.0,21.0,19.0,2.0,6.0,4.0,10.0,10.0,,5.0,5.0,1.0,10.0,7.0,5.0,8.0,7.0,15.0,,,1.0,,1.0,1.0,2.0,,,,,17.0,0.5,0.625,0.5263157894736842,0.3333333333333333,0.5263157894736842,0.3333333333333333,0.525,0.3333333333333333,,,0.5,0.7142857142857143,0.7777777777777778,0.75,0.7777777777777778,0.75,1.0,82.66666666666667,,18.466666666666665,16.4375,17.4,15.9375,0.3157894736842105,0.5263157894736842,0.6,0.6,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,0.3157894736842105,0.4542684210526316,0.4978833333333333,0.19047619047619047,7.689473684210526,8.0,3.0,1.0,3.0,,,,,,,,,,4.0,,,,,2.0,1.0,2.0,5.0,6.0,,,,,,,,1.0,1.0,0.5,1.0,,0.5,0.5,0.6666666666666666,,,,,0.5,0.3333333333333333,,,,,,,,,0.8,,,1.0,,,,,2.0,1.0,,,,,,,0.05,0.05,,,,,,,,2.0,,,,,,,,1.0,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-1712-2062-2399,1610612744,"Adonal Foyle, Danny Fortson, Antawn Jamison, A.J. Guyton, Mike Dunleavy","Foyle, Fortson, Jamison, Guyton, Dunleavy",1502-1504-1712-2062-2399,GSW,25.0,1,,-1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,57.599999999999994,,24.0,,2.0,,,1.0,,,,,,,,0.2632,0.2632,,4.2,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,,0.2632,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
1502-1504-1712-2202-2240,1610612744,"Adonal Foyle, Danny Fortson, Antawn Jamison, Jason Richardson, Gilbert Arenas","Foyle, Fortson, Jamison, Richardson, Arenas",1502-1504-1712-2202-2240,GSW,2070.0,5,34.0,-2.0,66.0,66.0,11.0,132.0,18.0,6.0,10.0,6.0,22.0,22.0,50.0,66.0,68.0,5.0,9.0,12.0,14.0,30.0,6.0,7.0,8.0,4.0,17.0,11.0,20.0,25.0,14.0,39.0,6.0,3.0,6.0,,3.0,9.0,15.0,7.0,6.0,7.0,6.0,54.0,0.3181818181818182,0.3333333333333333,0.44,0.5555555555555556,0.41964285714285715,0.5,0.47761194029850745,0.5454545454545454,0.12,0.2222222222222222,0.4,0.6451612903225806,0.39285714285714285,0.6666666666666666,0.3939393939393939,0.5,0.6428571428571429,91.82608695652173,0.8571428571428571,16.46969696969697,14.893939393939394,15.318181818181818,14.378787878787879,0.32142857142857145,0.17857142857142858,0.6,0.75,0.39285714285714285,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.42857142857142855,0.4629232142857143,0.496535,0.18181818181818182,10.024,27.0,10.0,4.0,5.0,1.0,5.0,,1.0,1.0,6.0,,1.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,2.0,3.0,6.0,10.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,0.10714285714285714,,1.0,1.0,0.4375,1.0,1.0,0.5555555555555556,0.7142857142857143,0.3,0.08928571428571429,0.2,0.2,1.0,0.5,0.8,0.1,,,0.2,24.883333333333336,2.0,0.4,0.25,0.6,14.0,1.0,19.0,8.0,1.0,1.0,1.0,25.0,9.0,4.0,14.0,1.0,0.7142857142857143,0.1111111111111111,0.4839,0.14285714285714285,0.15789473684210525,0.21212121212121213,1.0,4.0,2.0,5.0,9.0,19.0,,,3.0,3.0,19.0,0.625,0.5555555555555556,0.59375,0.25,,,0.4444444444444444,0.25,0.2878787878787879,1.0,,3.0,3.0,0.2,1.0,0.017857142857142856,,2.0,,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2003,2002-03,False
