EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,Loose Ball Fouls,BlockedLongMidRange,FG3APct,DefThreePtReboundPct,DefArc3ReboundPct,Corner3Frequency,Arc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceFtPoints,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,OffAtRimReboundPct,DefCorner3ReboundPct,Fg2aBlocked,FTDefRebounds,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,BlockedShortMidRange,BadPassOutOfBoundsTurnovers,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallSteals,3SecondViolations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,NonShootingPenaltyNonTakeFouls,2pt And 1 Free Throw Trips,Corner3FGM,PenaltyCorner3FGM,HeaveAttempts,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Travels,ShortMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffThreePtRebounds,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,OffThreePtReboundPct,OffCorner3ReboundPct,OffArc3ReboundPct,DefensiveGoaltends,OffensiveGoaltends,FTOffRebounds,OffFTReboundPct,LostBallTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,team_id,year,season,team_vs
1005-1505-1559-1915-1952,1610612742,"Walt Williams, Tariq Abdul-Wahad, Adrian Griffin, Evan Eschmeyer, Raja Bell","Williams, Abdul-Wahad, Griffin, Eschmeyer, Bell",1005-1505-1559-1915-1952,DAL,720.0,1,12.0,-9.0,24.0,24.0,21.0,4.0,4.0,48,7.0,9.0,2.0,3.0,7.0,8.0,1.0,4.0,3.0,9.0,11.0,22.0,6.0,28.0,37.0,2.0,4.0,4.0,11.0,16.0,6.0,28.0,14.0,8.0,2.0,7.0,7.0,5.0,1.0,1.0,14.0,4.0,6.0,6.0,4.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,24.0,28.0,21.0,0.6363636363636364,0.7,0.5,0.5,0.6875,0.5,0.5,0.6875,0.54,0.5,0.7105263157894737,0.5,0.6,0.36363636363636365,0.5,0.36363636363636365,0.6666666666666666,0.3333333333333333,0.75,1.0,0.4,0.09090909090909091,96.0,1.0,18.375,11.625,17.25,10.791666666666666,0.4090909090909091,0.7777777777777778,0.7777777777777778,0.7142857142857143,0.18181818181818182,0.25,0.25,1.0,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.5,0.5,0.875,0.4090909090909091,0.4494045454545455,0.56655,0.46008125,0.08333333333333333,0.08333333333333333,0.14285714285714285,1.0,10.10909090909091,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1559-1952-2059,1610612742,"Walt Williams, Tariq Abdul-Wahad, Adrian Griffin, Raja Bell, Eduardo Najera","Williams, Abdul-Wahad, Griffin, Bell, Najera",1005-1505-1559-1952-2059,DAL,195.0,2,3.0,-9.0,7.0,6.0,7.0,6.0,,13,,1.0,,,,1.0,,1.0,,,,2.0,,,9.0,,,,,2.0,,,,,,,,,,,,,1.0,2.0,,2.0,,,,1.0,1.0,1.0,,2.0,,,,,,1.0,,1.0,,,,7.0,,,,,,,,,,,,,0.3333333333333333,,0.5,,,,1.0,,,,96.0,,20.0,9.166666666666666,20.0,8.0,0.2,,,,0.2,,,,,,,,,,,0.2,,0.8,0.46592,,0.46592,,,,,3.6,1.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.6,1.0,1.0,0.4,0.2,0.4,0.2,23.633333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1559-1952-714,1610612742,"Walt Williams, Tariq Abdul-Wahad, Adrian Griffin, Raja Bell, Michael Finley","Williams, Abdul-Wahad, Griffin, Bell, Finley",1005-1505-1559-1952-714,DAL,32.0,1,1.0,,1.0,1.0,1.0,1.0,,2,,1.0,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,90.0,,11.0,21.0,11.0,21.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,0.6752,,0.6752,,,,,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1559-1952-762,1610612742,"Walt Williams, Tariq Abdul-Wahad, Adrian Griffin, Raja Bell, Shawn Bradley","Williams, Abdul-Wahad, Griffin, Bell, Bradley",1005-1505-1559-1952-762,DAL,343.0,1,6.0,7.0,11.0,11.0,7.0,,3.0,22,2.0,5.0,,1.0,1.0,4.0,,,2.0,4.0,4.0,9.0,4.0,12.0,5.0,,1.0,2.0,2.0,6.0,2.0,6.0,6.0,2.0,,3.0,3.0,2.0,,1.0,6.0,3.0,2.0,4.0,3.0,7.0,,,,3.0,3.0,3.0,,1.0,1.0,4.0,,1.0,1.0,2.0,1.0,2.0,,10.0,6.0,7.0,0.75,0.75,0.4444444444444444,,0.3333333333333333,0.4444444444444444,,0.3333333333333333,0.5454545454545454,0.5,0.42857142857142855,,0.5,0.6,0.6666666666666666,0.6,,0.5,,0.5,1.0,,92.36151603498543,,10.454545454545455,20.727272727272727,10.181818181818182,19.181818181818183,0.5555555555555556,0.4,0.4,1.0,,,,,0.4444444444444444,0.5,0.5,0.5,1.0,,,0.6666666666666666,0.25,0.5555555555555556,0.532088888888889,0.5992,0.5333833333333333,0.1,0.1,0.16666666666666666,0.5,9.177777777777777,0.6363636363636364,,,,,,,,2.0,,1.0,,1.0,1.0,,,,,,2.0,3.0,3.0,2.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-1952-714,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Raja Bell, Michael Finley","Williams, Abdul-Wahad, LaFrentz, Bell, Finley",1005-1505-1711-1952-714,DAL,174.0,1,3.0,-10.0,7.0,7.0,6.0,7.0,1.0,14,,1.0,,1.0,,1.0,,1.0,,2.0,,4.0,3.0,3.0,13.0,,1.0,,,3.0,3.0,3.0,,,,,,,,,,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,4.0,,,2.0,,,,,3.0,3.0,6.0,,,,,,,,,0.25,,0.3,1.0,0.5,0.25,0.5,0.25,,0.5,,,0.5,,115.86206896551724,,17.285714285714285,7.571428571428571,16.714285714285715,7.285714285714286,0.25,,,,0.25,,,,0.5,,,,1.0,,,0.3333333333333333,,0.25,0.356825,0.3353,0.35933333333333334,,,,1.0,11.0,0.8571428571428571,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-714-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Michael Finley, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Finley, Van Exel",1005-1505-1711-714-89,DAL,134.0,1,2.0,3.0,4.0,5.0,4.0,,,9,,,,,,,,1.0,1.0,1.0,1.0,2.0,4.0,6.0,3.0,,,,1.0,2.0,4.0,6.0,,2.0,,,,,,,,,4.0,4.0,,4.0,,,,,,,1.0,1.0,,5.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,6.0,4.0,,,0.5,,0.5,0.5,,0.5,0.75,,0.75,,0.6666666666666666,,0.6666666666666666,,,,0.5,1.0,0.6666666666666666,,96.71641791044776,1.0,11.75,17.4,11.75,16.8,,,,,0.5,,,,0.5,1.0,1.0,,,,,,,,0.36315,,0.36315,0.3333333333333333,0.3333333333333333,,1.0,13.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-714-959,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Michael Finley, Steve Nash","Williams, Abdul-Wahad, LaFrentz, Finley, Nash",1005-1505-1711-714-959,DAL,41.0,1,1.0,-3.0,3.0,3.0,3.0,3.0,,6,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,,2.0,5.0,,,,1.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,,1.0,,,,2.0,2.0,2.0,,1.0,1.0,,,,,,,,,2.0,2.0,3.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,,,1.0,,210.73170731707316,,6.0,7.666666666666667,6.0,7.666666666666667,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,0.6293,,0.6293,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1717-1952-959,1610612742,"Walt Williams, Tariq Abdul-Wahad, Dirk Nowitzki, Raja Bell, Steve Nash","Williams, Abdul-Wahad, Nowitzki, Bell, Nash",1005-1505-1717-1952-959,DAL,79.0,1,1.0,-1.0,3.0,3.0,,,1.0,6,1.0,1.0,,,,,,2.0,,,1.0,3.0,,2.0,3.0,,,,,,,,2.0,,,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,1.0,0.3333333333333333,,,0.25,,,0.25,,,,1.0,0.5,1.0,0.3333333333333333,0.5,,,,1.0,0.3333333333333333,109.36708860759494,,18.666666666666668,7.666666666666667,17.0,7.666666666666667,0.25,1.0,1.0,1.0,0.5,,,,,,,,,,,,,0.5,0.4855375,0.55725,,,,,,5.233333333333333,,,,1.0,,1.0,,1.0,,,,0.25,,,,0.25,,,24.4,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1915-1952-2059,1610612742,"Walt Williams, Tariq Abdul-Wahad, Evan Eschmeyer, Raja Bell, Eduardo Najera","Williams, Abdul-Wahad, Eschmeyer, Bell, Najera",1005-1505-1915-1952-2059,DAL,66.0,1,1.0,-3.0,2.0,2.0,2.0,,,4,,,,,,,,,,,,,1.0,1.0,4.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,3.0,1.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,0.5,,0.5,1.0,,,,,,,,,,,87.27272727272727,,21.5,11.5,21.5,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1915-1952-714,1610612742,"Walt Williams, Tariq Abdul-Wahad, Evan Eschmeyer, Raja Bell, Michael Finley","Williams, Abdul-Wahad, Eschmeyer, Bell, Finley",1005-1505-1915-1952-714,DAL,573.0,1,10.0,-3.0,17.0,17.0,9.0,5.0,,34,1.0,3.0,,,,1.0,,2.0,,3.0,1.0,8.0,5.0,10.0,13.0,,,,,3.0,3.0,6.0,2.0,,,1.0,2.0,1.0,,,5.0,,4.0,6.0,,6.0,,2.0,2.0,1.0,3.0,2.0,1.0,3.0,,8.0,,4.0,,,,,,10.0,6.0,9.0,1.0,1.0,0.125,,,0.25,,0.3,0.35714285714285715,,0.42857142857142855,0.6666666666666666,0.5,,0.5454545454545454,,,,0.5,,0.5,,85.44502617801047,,19.294117647058822,14.411764705882353,19.294117647058822,13.176470588235293,0.3,0.3333333333333333,0.5,1.0,0.2,,,,0.3,,,,,,,0.2,,0.5,0.44160000000000005,,0.48982000000000003,0.2857142857142857,0.3333333333333333,,0.6,9.2375,0.5294117647058824,,,2.0,2.0,2.0,2.0,2.0,2.0,,,0.2,0.6666666666666666,0.5,,0.2,,0.4,24.45,,3.0,1.0,,,,1.0,1.0,,0.125,0.3333333333333333,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
