EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFrequency,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FtPoints,PenaltyFtPoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,Loose Ball Fouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,HeaveAttempts,NonShootingFoulsDrawn,DefCorner3ReboundPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,AtRimAssists,ShortMidRangeAssists,SelfOReb,LostBallTurnovers,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Travels,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,Assisted3sPct,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctAssisted,LostBallSteals,2pt And 1 Free Throw Trips,Corner3FGM,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceFG3M,PtsPutbacks,Corner3Assists,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,AtRimPctBlocked,OffFTReboundPct,RecoveredBlocks,BlocksRecoveredPct,BlockedShortMidRange,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,HeaveMakes,BlockedLongMidRange,DefensiveGoaltends,LongMidRangePctBlocked,team_id,year,season,team_vs
1498-1719-1739-2216-2417,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Zach Randolph, Qyntel Woods","Daniels, Wells, Patterson, Randolph, Woods",1498-1719-1739-2216-2417,POR,153.0,1,3.0,3.0,5.0,4.0,5.0,4.0,2.0,9,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,1.0,1.0,0.4,1.0,0.4,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,1.0,84.70588235294119,14.4,20.25,11.8,20.25,0.8333333333333334,0.4,0.4,1.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.40024166666666666,0.445625,0.40024166666666666,0.5,1.0,19.52,23.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-2216-739,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Zach Randolph, Rasheed Wallace","Daniels, Wells, Patterson, Randolph, Wallace",1498-1719-1739-2216-739,POR,35.0,1,1.0,,1.0,1.0,,1.0,,2,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,82.28571428571428,14.0,21.0,14.0,21.0,,,,,,,,1.0,0.563,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-2216-757,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Zach Randolph, Damon Stoudamire","Daniels, Wells, Patterson, Randolph, Stoudamire",1498-1719-1739-2216-757,POR,203.0,2,3.0,1.0,7.0,6.0,7.0,6.0,1.0,13,1.0,1.0,,,,1.0,2.0,1.0,9.0,8.0,,,,,1.0,2.0,1.0,9.0,,,,,,,,2.0,1.0,3.0,1.0,1.0,1.0,3.0,9.0,9.0,7.0,,,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,0.6666666666666666,0.3333333333333333,,,0.3333333333333333,0.5,,,,92.21674876847291,12.857142857142858,18.833333333333332,12.714285714285714,17.666666666666668,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.4470166666666667,,0.4470166666666667,,1.0,15.3,24.5,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,7.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-2216-905,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Zach Randolph, Dale Davis","Daniels, Wells, Patterson, Randolph, Davis",1498-1719-1739-2216-905,POR,73.0,1,1.0,-4.0,2.0,4.0,2.0,4.0,,6,,1.0,,,,1.0,2.0,,2.0,6.0,,,,,1.0,2.0,,2.0,,,,,,,1.0,1.0,,1.0,,,,1.0,2.0,2.0,2.0,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,0.5,,0.3333333333333333,,,0.5,,118.35616438356165,12.0,12.25,12.0,8.5,0.5,,,,,,,,0.39525,,0.39525,,1.0,10.5,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-2216-976,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Zach Randolph, Jeff McInnis","Daniels, Wells, Patterson, Randolph, McInnis",1498-1719-1739-2216-976,POR,113.0,2,2.0,-1.0,3.0,3.0,3.0,3.0,,6,1.0,2.0,,,,1.0,2.0,1.0,3.0,4.0,,,,,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,,,,,3.0,3.0,3.0,1.0,1.0,0.5,,0.5,0.3333333333333333,,0.3333333333333333,0.375,,0.375,0.3333333333333333,,,1.0,,,,,76.46017699115045,15.0,22.666666666666668,15.0,22.666666666666668,0.6666666666666666,0.5,0.5,1.0,,,,0.3333333333333333,0.3756,,0.3756,,1.0,20.1,59.9,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-739-757,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Rasheed Wallace, Damon Stoudamire","Daniels, Wells, Patterson, Wallace, Stoudamire",1498-1719-1739-739-757,POR,664.0,3,11.0,-4.0,21.0,20.0,15.0,8.0,3.0,41,3.0,6.0,,,,11.0,18.0,2.0,26.0,30.0,1.0,2.0,,4.0,6.0,13.0,2.0,16.0,14.0,7.0,7.0,2.0,14.0,4.0,4.0,4.0,4.0,8.0,1.0,1.0,3.0,5.0,22.0,16.0,15.0,0.6363636363636364,0.6363636363636364,0.6111111111111112,0.5,0.46153846153846156,0.55,0.5,0.4,0.5909090909090909,0.6666666666666666,0.47058823529411764,0.1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,88.91566265060241,15.904761904761905,16.5,15.238095238095237,16.35,0.3,0.5,0.5,0.6666666666666666,,,,0.5,0.478085,0.539,0.4894866666666667,0.15384615384615385,0.6153846153846154,8.383333333333333,24.6,0.7142857142857143,8.0,,,,0.4,4.0,2.0,2.0,4.0,4.0,8.0,2.0,,,1.0,,,1.0,,1.0,,4.0,,1.0,,,,,1.0,,,,0.2,0.1,0.13333333333333333,0.047619047619047616,0.05263157894736842,2.0,,0.5,0.5,,1.0,,6.0,1.0,2.0,5.0,7.0,2.0,4.0,1.0,2.0,1.0,0.5,1.0,1.0,0.25,0.75,0.75,0.6666666666666666,0.5,1.0,0.5,1.0,0.4666666666666667,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-739-976,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Rasheed Wallace, Jeff McInnis","Daniels, Wells, Patterson, Wallace, McInnis",1498-1719-1739-739-976,POR,333.0,3,6.0,6.0,10.0,10.0,6.0,6.0,2.0,20,1.0,1.0,2.0,,1.0,3.0,3.0,5.0,12.0,6.0,1.0,1.0,,2.0,2.0,2.0,3.0,9.0,4.0,2.0,2.0,1.0,4.0,,6.0,6.0,1.0,7.0,1.0,1.0,,1.0,10.0,9.0,6.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.5625,1.0,0.7,0.6,1.0,0.75,0.625,0.8571428571428571,,0.75,0.25,,0.6666666666666666,1.0,86.48648648648648,16.7,16.6,13.0,16.2,0.125,1.0,1.0,1.0,0.25,,0.2,0.875,0.50005,,0.48988,0.16666666666666666,0.75,6.133333333333333,24.3,0.6,2.0,,,,0.25,,3.0,2.0,3.0,2.0,2.0,3.0,1.0,,1.0,,,1.0,1.0,1.0,,4.0,,2.0,1.0,1.0,1.0,,1.0,,0.25,,,0.375,0.4,0.2,0.4,,,,,,,,2.0,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,0.5,,,,,0.2,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.2,0.3333333333333333,0.2,0.5,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-1739-905-976,1610612757,"Antonio Daniels, Bonzi Wells, Ruben Patterson, Dale Davis, Jeff McInnis","Daniels, Wells, Patterson, Davis, McInnis",1498-1719-1739-905-976,POR,25.0,1,,,1.0,,1.0,,,1,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,57.599999999999994,25.0,,25.0,,,,,,1.0,,1.0,1.0,0.4425,,0.4425,,,,22.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-2216-717-976,1610612757,"Antonio Daniels, Bonzi Wells, Zach Randolph, Arvydas Sabonis, Jeff McInnis","Daniels, Wells, Randolph, Sabonis, McInnis",1498-1719-2216-717-976,POR,24.0,1,,,1.0,1.0,1.0,,1.0,2,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,120.0,7.0,17.0,7.0,17.0,,,,,1.0,,1.0,1.0,0.5883,,0.5883,,,,23.6,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
1498-1719-2216-757-905,1610612757,"Antonio Daniels, Bonzi Wells, Zach Randolph, Damon Stoudamire, Dale Davis","Daniels, Wells, Randolph, Stoudamire, Davis",1498-1719-2216-757-905,POR,8.0,1,,,,1.0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2003,2002-03,True
