EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,Corner3FGA,Arc3FGA,FG3A,NonHeaveArc3FGA,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,FG3APct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,SelfORebPct,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimAccuracy,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,FTDefRebounds,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Travels,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,SecondChanceTurnovers,Technical Free Throw Trips,OffFTReboundPct,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,3SecondViolations,SecondChanceCorner3Frequency,Corner3FGM,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3Assists,DefensiveGoaltends,Corner3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,HeaveAttempts,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,OffensiveGoaltends,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
1000-1720-1924-2068-2421,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Lavor Postell, Frank Williams","Anderson, Doleac, Nailon, Postell, Williams",1000-1720-1924-2068-2421,NYK,277.0,1,5.0,10.0,9.0,8,8.0,8.0,2.0,17,3.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,9.0,4.0,14.0,4.0,1.0,2.0,2.0,4.0,4.0,8.0,3.0,11.0,6.0,4.0,2.0,2.0,3.0,3.0,1.0,2.0,6.0,3.0,2.0,3.0,5.0,3.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,10.0,11.0,8.0,0.6,0.75,0.5555555555555556,0.5,0.5,0.5555555555555556,0.5,0.5,0.6363636363636364,0.6666666666666666,0.55,0.2222222222222222,0.6666666666666666,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,88.37545126353791,14.11111111111111,18.75,13.666666666666666,18.75,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.5,0.375,0.3333333333333333,0.42094444444444445,0.33725,0.4232625,0.1111111111111111,0.1111111111111111,0.2857142857142857,0.7857142857142857,9.077777777777778,0.8888888888888888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-2068-369,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Lavor Postell, Charlie Ward","Anderson, Doleac, Nailon, Postell, Ward",1000-1720-1924-2068-369,NYK,800.0,3,13.0,-27.0,27.0,29,1.0,14.0,2.0,56,5.0,3.0,,1.0,10.0,1.0,4.0,4.0,19.0,2.0,10.0,37.0,1.0,3.0,,2.0,,,,,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,5.0,7.0,3.0,10.0,4.0,1.0,2.0,,5.0,,4.0,6.0,2.0,,1.0,,8.0,,1.0,0.5,0.6666666666666666,0.21052631578947367,0.3333333333333333,,0.17391304347826086,0.3333333333333333,,0.20833333333333334,0.3333333333333333,,0.05263157894736842,,0.8333333333333334,0.2,0.6666666666666666,0.7777777777777778,0.15789473684210525,0.3333333333333333,1.0,0.8,0.6666666666666666,,100.8,17.814814814814813,11.0,17.37037037037037,10.724137931034482,0.21739130434782608,0.43478260869565216,0.1,0.1111111111111111,1.0,0.17391304347826086,0.25,0.25,1.0,1.0,,0.391304347826087,0.45249782608695654,0.5861666666666666,,0.041666666666666664,0.05,0.2,,8.573684210526316,0.037037037037037035,2.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.17391304347826086,0.1,0.6,0.2222222222222222,0.05555555555555555,0.4,0.4,0.043478260869565216,0.13043478260869565,0.3333333333333333,25.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-221-369,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Clar. Weatherspoon, Charlie Ward","Anderson, Doleac, Nailon, Weatherspoon, Ward",1000-1720-1924-221-369,NYK,1986.0,10,33.0,33.0,65.0,64,13.0,15.0,9.0,129,20.0,6.0,5.0,3.0,9.0,6.0,19.0,24.0,48.0,17.0,80.0,47.0,4.0,9.0,2.0,10.0,5.0,7.0,5.0,18.0,26.0,22.0,6.0,1.0,13.0,15.0,1.0,3.0,32.0,8.0,2.0,21.0,25.0,11.0,36.0,10.0,7.0,2.0,1.0,8.0,1.0,5.0,11.0,19.0,5.0,10.0,2.0,70.0,18.0,13.0,0.5416666666666666,0.6190476190476191,0.5,0.4444444444444444,0.7142857142857143,0.5080645161290323,0.4444444444444444,0.5416666666666666,0.5797101449275363,0.5,0.6428571428571429,0.020833333333333332,,0.7241379310344828,0.3333333333333333,0.6666666666666666,0.71875,0.3333333333333333,0.6,0.7777777777777778,0.7272727272727273,1.0,0.5,93.53474320241692,15.553846153846154,15.234375,14.753846153846155,14.1875,0.3225806451612903,0.14516129032258066,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3064516129032258,0.3157894736842105,0.3333333333333333,0.5,0.6666666666666666,0.4166666666666667,0.5483870967741935,0.4960725806451613,0.5270142857142857,0.5442,0.14925373134328357,0.18867924528301888,0.125,0.225,8.854166666666666,0.2,15.0,4.0,3.0,11.0,14.0,11.0,,3.0,6.0,,4.0,2.0,1.0,,2.0,0.22580645161290322,,0.75,0.3333333333333333,,0.75,0.75,0.04838709677419355,0.1774193548387097,0.6666666666666666,24.95,4.0,2.0,5.0,1.0,3.0,5.0,1.0,5.0,6.0,9.0,5.0,2.0,2.0,9.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,0.4,0.35714285714285715,0.2,0.35714285714285715,0.05263157894736842,1.0,0.3333333333333333,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.6,0.45454545454545453,0.45454545454545453,0.4,0.8,0.16666666666666666,0.25,0.3333333333333333,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-221-458,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Clar. Weatherspoon, Howard Eisley","Anderson, Doleac, Nailon, Weatherspoon, Eisley",1000-1720-1924-221-458,NYK,117.0,1,2.0,,3.0,3,,3.0,,6,2.0,,,,,,1.0,2.0,3.0,,4.0,4.0,,,,,,,,,4.0,,,,2.0,2.0,,,4.0,,,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,4.0,,,1.0,1.0,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,,,,,,,,,,,,,73.84615384615385,19.666666666666668,19.333333333333332,19.666666666666668,13.333333333333334,0.6666666666666666,,,,,0.3333333333333333,,,,,,0.6666666666666666,0.4781333333333333,,,0.3333333333333333,0.3333333333333333,,,8.233333333333333,,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-221-84,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Clar. Weatherspoon, Latrell Sprewell","Anderson, Doleac, Nailon, Weatherspoon, Sprewell",1000-1720-1924-221-84,NYK,365.0,2,6.0,-1.0,11.0,11,,,,22,2.0,,,2.0,4.0,1.0,4.0,5.0,10.0,,10.0,11.0,,,,,,,,,4.0,6.0,,,2.0,2.0,,1.0,4.0,,1.0,2.0,3.0,,3.0,2.0,1.0,1.0,,1.0,,1.0,3.0,,,,,10.0,,,0.4,0.4,0.5,,,0.5,,,0.5,,,,,0.4,,1.0,0.5,,,0.6666666666666666,,1.0,,86.79452054794521,17.0,16.181818181818183,17.0,15.454545454545455,0.2,0.4,0.5,0.5,,0.4,0.25,0.25,1.0,,,0.2,0.45174000000000003,,,,,,,10.870000000000001,,2.0,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-2421-970,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Frank Williams, Othella Harrington","Anderson, Doleac, Nailon, Williams, Harrington",1000-1720-1924-2421-970,NYK,204.0,1,3.0,3.0,5.0,5,,,1.0,10,2.0,1.0,,,,1.0,1.0,2.0,3.0,,7.0,4.0,1.0,1.0,,2.0,,,,,,4.0,2.0,,,1.0,,,3.0,1.0,,2.0,2.0,1.0,3.0,2.0,,2.0,,2.0,,1.0,2.0,,,,,5.0,,,,,0.6666666666666666,1.0,,0.875,1.0,,0.875,1.0,,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,1.0,0.6666666666666666,,,,70.58823529411765,16.0,24.8,16.0,24.6,0.5,,,,,0.25,1.0,1.0,,1.0,,0.75,0.5119375,0.5307,,,,0.2857142857142857,,5.266666666666667,,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,1.0,1.0,,0.25,,,,,0.5,0.5,,0.25,1.0,23.9,,,1.0,,,1.0,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-369-703,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Charlie Ward, Kurt Thomas","Anderson, Doleac, Nailon, Ward, Thomas",1000-1720-1924-369-703,NYK,290.0,2,5.0,-5.0,8.0,10,,,1.0,18,,,,1.0,4.0,2.0,3.0,3.0,7.0,1.0,7.0,12.0,,1.0,,,,,1.0,1.0,2.0,4.0,,,1.0,1.0,,1.0,2.0,1.0,,2.0,2.0,1.0,3.0,2.0,,,,1.0,,2.0,2.0,2.0,,,1.0,7.0,1.0,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,,0.375,,,0.3888888888888889,,0.5,,,0.6666666666666666,0.25,,0.6666666666666666,0.2,,,1.0,,,89.37931034482759,22.25,11.2,19.75,11.2,,0.5,0.25,0.25,,0.375,0.6666666666666666,0.6666666666666666,0.5,,,0.125,0.4127375,0.3446,,,,,0.14285714285714285,12.314285714285715,,,,,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,0.125,,1.0,,,,,,0.125,,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-369-969,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Charlie Ward, Travis Knight","Anderson, Doleac, Nailon, Ward, Knight",1000-1720-1924-369-969,NYK,711.0,3,12.0,3.0,23.0,21,,,3.0,44,3.0,,,3.0,5.0,3.0,6.0,9.0,14.0,5.0,23.0,20.0,1.0,2.0,,2.0,,,,,2.0,16.0,2.0,,1.0,1.0,,1.0,2.0,2.0,2.0,5.0,7.0,3.0,10.0,1.0,1.0,4.0,,7.0,,2.0,6.0,7.0,,3.0,,21.0,,,0.1111111111111111,0.125,0.6428571428571429,0.5,,0.5294117647058824,0.3333333333333333,,0.55,0.3333333333333333,,,,0.8333333333333334,0.4,1.0,0.875,0.2857142857142857,,1.0,1.0,1.0,1.0,89.11392405063292,19.17391304347826,12.857142857142858,18.391304347826086,12.80952380952381,0.17647058823529413,0.29411764705882354,0.6,0.6,,0.35294117647058826,0.5,0.5,0.3333333333333333,,,0.35294117647058826,0.4230441176470588,0.4597,,0.15,0.17647058823529413,0.08695652173913043,,10.635714285714286,,3.0,,1.0,2.0,3.0,2.0,1.0,,3.0,,2.0,1.0,2.0,,,0.17647058823529413,,0.42857142857142855,0.5,0.14285714285714285,1.0,1.0,0.058823529411764705,0.11764705882352941,,25.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-458-84,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Howard Eisley, Latrell Sprewell","Anderson, Doleac, Nailon, Eisley, Sprewell",1000-1720-1924-458-84,NYK,12.0,1,,-1.0,1.0,1,,1.0,,2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,1.0,11.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
1000-1720-1924-458-969,1610612752,"Shandon Anderson, Michael Doleac, Lee Nailon, Howard Eisley, Travis Knight","Anderson, Doleac, Nailon, Eisley, Knight",1000-1720-1924-458-969,NYK,107.0,1,2.0,4.0,3.0,3,3.0,3.0,1.0,6,,,,1.0,2.0,,,1.0,2.0,4.0,6.0,2.0,1.0,1.0,,2.0,1.0,2.0,4.0,6.0,,2.0,2.0,,,,,,,1.0,,2.0,2.0,1.0,3.0,,,,,,,,,4.0,,1.0,1.0,4.0,6.0,3.0,,,0.5,1.0,0.5,0.5,1.0,0.5,0.75,1.0,0.75,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,1.0,,,80.74766355140187,9.333333333333334,26.333333333333332,9.0,18.333333333333332,,1.0,0.5,0.5,,,,,,,,,0.39715,0.4527,0.39715,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,8.85,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2003,2002-03,True
