EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,Fg2aBlocked,FG2APctBlocked,LongMidRangePctBlocked,LongMidRangeFrequency,Avg2ptShotDistance,Minutes,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Steals,BadPassSteals,Arc3Frequency,PenaltyArc3Frequency,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LostBallTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,LostBallSteals,ShootingFouls,DefFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,OffThreePtRebounds,SelfOReb,DeadBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3FGA,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,Arc3FGM,SecondChanceArc3FGM,SecondChanceFG3M,NonHeaveArc3FGM,Arc3Assists,SecondChanceFg3Pct,ShortMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,LostBallOutOfBoundsTurnovers,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyArc3FGM,PenaltyArc3Accuracy,OffensiveGoaltends,PtsUnassisted3s,HeaveMakes,HeaveAttempts,3SecondViolations,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Clear Path Fouls,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1510-1715-1921-2200-2203,1610612763,"Brevin Knight, Jason Williams, Gordan Giricek, Pau Gasol, Shane Battier","Knight, Williams, Giricek, Gasol, Battier",1510-1715-1921-2200-2203,MEM,29.0,2,5.0,4.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,3.0,1.0,1.0,1.0,1.0,3.0,8.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,8.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.0,0.5,1.0,347.58620689655174,3.5,5.0,3.5,5.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.60445,0.60445,1.0,22.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1715-1921-2203-953,1610612763,"Brevin Knight, Jason Williams, Gordan Giricek, Shane Battier, Lorenzen Wright","Knight, Williams, Giricek, Battier, Wright",1510-1715-1921-2203-953,MEM,6.0,1,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,240.0,6.0,,6.0,,,,,,,,,,,,,,,0.2253,0.2253,,,1.0,1.0,1.0,1.0,1.0,1.0,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1715-2031-2200-2203,1610612763,"Brevin Knight, Jason Williams, Stromile Swift, Pau Gasol, Shane Battier","Knight, Williams, Swift, Gasol, Battier",1510-1715-2031-2200-2203,MEM,31.0,1,-2.0,2.0,2.0,2.0,1.0,4.0,,,,,,1.0,,1.0,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,185.8064516129032,13.0,2.5,13.0,2.5,,,,,0.5,,,,,,0.5,,1.0,0.491475,0.491475,,24.05,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1715-2203-2415-2425,1610612763,"Brevin Knight, Jason Williams, Shane Battier, Ryan Humphrey, Robert Archibald","Knight, Williams, Battier, Humphrey, Archibald",1510-1715-2203-2415-2425,MEM,114.0,1,,5.0,4.0,,4.0,9.0,1.0,1.0,,,,,,,1.0,4.0,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,0.25,,0.25,,0.25,,,1.0,113.6842105263158,16.0,8.5,16.0,8.5,0.25,1.0,1.0,,,,,,,,,,0.25,0.3764,,,,,1.0,,,,0.25,8.625,2.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,0.5648,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1715-2415-2425-953,1610612763,"Brevin Knight, Jason Williams, Ryan Humphrey, Robert Archibald, Lorenzen Wright","Knight, Williams, Humphrey, Archibald, Wright",1510-1715-2415-2425-953,MEM,139.0,1,1.0,5.0,5.0,,4.0,10.0,1.0,1.0,,,,1.0,,,3.0,3.0,,1.0,,6.0,5.0,,,,,,,6.0,,3.0,,3.0,,1.0,6.0,1.0,1.0,1.0,,2.0,,,6.0,,,1.0,1.0,1.0,,,,,1.0,,0.75,,0.75,,0.25,1.0,103.59712230215827,15.6,12.2,15.6,12.2,0.25,1.0,1.0,1.0,0.25,,,,,,,,0.5,0.4781375,,,23.2,,2.0,,,,0.5,10.466666666666667,2.0,,,,1.0,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1722-2200-2203-2400,1610612763,"Brevin Knight, Michael Dickerson, Pau Gasol, Shane Battier, Drew Gooden","Knight, Dickerson, Gasol, Battier, Gooden",1510-1722-2200-2203-2400,MEM,83.0,1,-1.0,2.0,3.0,,3.0,5.0,2.0,2.0,,,,,,,2.0,2.0,,,,4.0,5.0,,,,,,,4.0,,2.0,,2.0,,2.0,4.0,,,,,2.0,,,4.0,,,2.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,86.74698795180723,18.0,15.666666666666666,18.0,15.666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,1.0,0.54255,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1921-2031-2200-2203,1610612763,"Brevin Knight, Gordan Giricek, Stromile Swift, Pau Gasol, Shane Battier","Knight, Giricek, Swift, Gasol, Battier",1510-1921-2031-2200-2203,MEM,1292.0,6,-17.0,41.0,44.0,30.0,20.0,85.0,7.0,16.0,4.0,9.0,,2.0,,,12.0,34.0,,4.0,6.0,30.0,47.0,8.0,20.0,,2.0,6.0,22.0,14.0,,7.0,,7.0,,5.0,14.0,4.0,1.0,6.0,6.0,9.0,12.0,2.0,27.0,22.0,30.0,2.0,0.5833333333333334,0.6363636363636364,,,,,0.35294117647058826,0.4,0.3157894736842105,0.36363636363636365,0.3409090909090909,0.39285714285714285,0.10526315789473684,0.6666666666666666,94.73684210526315,15.341463414634147,15.068181818181818,13.682926829268293,13.568181818181818,0.42105263157894735,0.4375,0.4666666666666667,0.7142857142857143,0.05263157894736842,,,,0.4090909090909091,0.4444444444444444,,,0.5263157894736842,0.500946052631579,0.4970363636363636,0.7333333333333333,23.7,0.7317073170731707,8.0,1.0,0.029411764705882353,,0.21052631578947367,7.064705882352941,22.0,2.0,2.0,2.0,5.0,,0.05263157894736842,0.09090909090909091,8.0,1.0,3.0,10.0,1.0,6.0,3.0,10.0,2.0,8.0,8.0,12.0,9.0,21.0,3.0,0.16666666666666666,0.14285714285714285,0.1875,0.4444444444444444,0.36363636363636365,0.5,0.34615384615384615,0.375,0.3333333333333333,0.6666666666666666,0.2631578947368421,0.42857142857142855,0.3333333333333333,0.47600833333333337,0.1,3.0,2.0,3.0,1.0,5.0,4.0,1.0,0.75,0.6666666666666666,0.375,0.375,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,5.0,2.0,1.0,0.0625,0.25,0.4444444444444444,0.2,0.5,0.3333333333333333,1.0,0.08,0.4,0.2,0.2,0.14285714285714285,0.09523809523809523,0.10526315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1921-2031-2200-2400,1610612763,"Brevin Knight, Gordan Giricek, Stromile Swift, Pau Gasol, Drew Gooden","Knight, Giricek, Swift, Gasol, Gooden",1510-1921-2031-2200-2400,MEM,1953.0,6,-3.0,63.0,61.0,11.0,17.0,124.0,8.0,13.0,,,1.0,3.0,,,25.0,45.0,1.0,7.0,8.0,61.0,64.0,4.0,6.0,,3.0,1.0,9.0,32.0,3.0,16.0,1.0,17.0,1.0,6.0,35.0,10.0,7.0,15.0,5.0,20.0,10.0,,57.0,9.0,11.0,4.0,0.64,0.6666666666666666,1.0,0.14285714285714285,,0.14285714285714285,0.5555555555555556,0.6666666666666666,0.5096153846153846,0.4444444444444444,0.5357142857142857,0.4444444444444444,0.1346153846153846,0.6666666666666666,91.42857142857143,14.857142857142858,16.672131147540984,14.34920634920635,15.59016393442623,0.25,0.6153846153846154,0.8,0.75,0.057692307692307696,0.3333333333333333,0.3333333333333333,1.0,,,,,0.38461538461538464,0.4595548076923077,0.3687111111111111,0.14754098360655737,24.485714285714288,0.1746031746031746,16.0,5.0,0.1111111111111111,0.125,0.3076923076923077,10.186666666666666,33.0,4.0,3.0,4.0,6.0,5.0,0.07692307692307693,0.3333333333333333,5.0,1.0,2.0,16.0,1.0,4.0,4.0,18.0,2.0,5.0,16.0,22.0,7.0,29.0,3.0,0.25,0.25,0.4,0.5,0.25,0.5555555555555556,0.2916666666666667,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.3076923076923077,0.5,0.5,0.5014333333333333,0.06557377049180328,7.0,6.0,4.0,2.0,1.0,7.0,0.6666666666666666,1.0,1.0,0.4375,0.5,0.8571428571428571,10.0,,,2.0,2.0,,5.0,1.0,2.0,,5.0,8.0,5.0,,3.0,8.0,4.0,,0.23076923076923078,0.5,,0.3333333333333333,0.5,0.5833333333333334,1.0,,0.5,0.625,0.625,,0.08928571428571429,0.10204081632653061,4.0,1.0,2.0,1.0,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1921-2031-2200-445,1610612763,"Brevin Knight, Gordan Giricek, Stromile Swift, Pau Gasol, Wesley Person","Knight, Giricek, Swift, Gasol, Person",1510-1921-2031-2200-445,MEM,101.0,1,-3.0,5.0,4.0,,,9.0,,,,,,,,,1.0,1.0,,,,2.0,5.0,,,,,,,,,,,,,,,3.0,1.0,3.0,,,,,2.0,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,128.31683168316832,9.2,13.75,9.2,13.75,,,,,,,,,,,,,,0.4013,,,,,,,,,,6.2,2.0,,,,1.0,,,,1.0,,,1.0,,,,2.0,,,1.0,1.0,,1.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
1510-1921-2031-2203-2471,1610612763,"Brevin Knight, Gordan Giricek, Stromile Swift, Shane Battier, Mike Batiste","Knight, Giricek, Swift, Battier, Batiste",1510-1921-2031-2203-2471,MEM,599.0,2,-11.0,18.0,18.0,1.0,,36.0,2.0,3.0,,,,2.0,,1.0,4.0,13.0,,2.0,1.0,9.0,20.0,,1.0,,1.0,,,4.0,,2.0,,2.0,,,4.0,4.0,,5.0,,4.0,1.0,,7.0,,1.0,,0.5,0.6666666666666666,,,,,0.3076923076923077,,0.26666666666666666,,0.3,,0.13333333333333333,0.8,86.54424040066779,16.72222222222222,16.555555555555557,16.72222222222222,16.38888888888889,0.2,0.6666666666666666,0.6666666666666666,,0.13333333333333333,,,,,,0.5,,0.3333333333333333,0.4337533333333334,0.40145,,22.55,0.05555555555555555,4.0,2.0,0.15384615384615385,0.5,0.26666666666666666,8.992307692307692,10.0,,,,1.0,,,,2.0,1.0,1.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,7.0,7.0,2.0,9.0,4.0,1.0,0.5,0.5,0.875,0.2222222222222222,0.875,0.2,,1.0,0.8,0.4,0.5,1.0,0.49255,0.2222222222222222,1.0,1.0,,,1.0,2.0,,,,0.25,0.5,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,0.3333333333333333,,,,,,0.16666666666666666,0.16666666666666666,,0.06666666666666667,0.07692307692307693,1.0,1.0,,1.0,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2003,2002-03,False
