EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,Fg2aBlocked,SelfOReb,Offensive Fouls,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFGM,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,OffThreePtRebounds,NonShootingFoulsDrawn,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PtsAssisted3s,ThreePtAssists,Arc3Assists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,BlockedShortMidRange,Assisted3sPct,OffArc3ReboundPct,Arc3PctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,2pt And 1 Free Throw Trips,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,Corner3Assists,Travels,SecondChanceFg3Pct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,DefensiveGoaltends,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,SecondChanceCorner3FGM,FTOffRebounds,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
1503-1521-1727-1921-2400,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Drew Gooden","McGrady, Vaughn, Garrity, Giricek, Gooden",1503-1521-1727-1921-2400,ORL,695.0,3,12.0,24.0,25.0,8.0,9.0,1.0,49.0,3.0,6.0,1.0,2.0,2.0,4.0,9.0,2.0,1.0,1.0,1.0,9.0,17.0,1.0,3.0,5.0,26.0,26.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,6.0,4.0,14.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,7.0,1.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,7.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0,24.0,6.0,8.0,1.0,0.2222222222222222,0.25,0.3333333333333333,0.3333333333333333,0.5294117647058824,1.0,0.3333333333333333,0.525,1.0,0.2857142857142857,0.5652173913043478,1.0,0.375,0.15,0.5,0.5,0.6666666666666666,0.125,1.0,0.75,0.1,0.2,1.0,0.5,0.5,1.0,101.5251798561151,1.0,14.791666666666666,13.6,14.708333333333334,13.4,0.3,0.5,0.5,0.3333333333333333,0.1,1.0,1.0,0.45,0.4444444444444444,0.4444444444444444,0.25,0.1,0.05,1.0,1.0,0.14285714285714285,0.14285714285714285,0.45,1.0,0.48819,0.42,0.45921428571428574,0.13043478260869565,0.15,0.07692307692307693,0.23076923076923078,11.429411764705883,23.7,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1727-1921-353,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Darrell Armstrong","McGrady, Vaughn, Garrity, Giricek, Armstrong",1503-1521-1727-1921-353,ORL,20.0,2,,1.0,3.0,1.0,3.0,,4.0,,1.0,1.0,,,,,,,,,,1.0,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,7.0,4.333333333333333,7.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,0.7127,,0.7127,,,,,,,1.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1727-1921-43,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Chris Whitney","McGrady, Vaughn, Garrity, Giricek, Whitney",1503-1521-1727-1921-43,ORL,369.0,2,6.0,11.0,11.0,1.0,1.0,2.0,22.0,1.0,4.0,,,1.0,1.0,1.0,,,,1.0,2.0,6.0,,1.0,4.0,8.0,13.0,1.0,1.0,4.0,,1.0,,,,4.0,,,,1.0,,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,,4.0,2.0,6.0,,,,2.0,2.0,3.0,5.0,,2.0,4.0,,4.0,2.0,,,,,4.0,,1.0,,1.0,1.0,,,0.3333333333333333,1.0,,0.2857142857142857,1.0,,0.4444444444444444,1.0,,0.14285714285714285,0.4,,0.6666666666666666,0.5,1.0,0.8,0.5,,0.5,,1.0,1.0,85.85365853658536,,21.272727272727273,12.272727272727273,18.90909090909091,11.818181818181818,0.5714285714285714,0.25,0.25,1.0,0.14285714285714285,,,0.14285714285714285,1.0,1.0,1.0,,0.14285714285714285,,,,,0.7142857142857143,,0.47465714285714283,0.5618,0.3335,0.2222222222222222,0.25,0.5,,4.933333333333334,26.8,0.09090909090909091,-5.0,1.0,1.0,2.0,1.0,1.0,2.0,0.16666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1727-1921-692,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Andrew DeClercq","McGrady, Vaughn, Garrity, Giricek, DeClercq",1503-1521-1727-1921-692,ORL,43.0,1,1.0,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,1.0,,66.97674418604652,,22.0,21.0,22.0,21.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,0.5466,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1727-2400-353,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Drew Gooden, Darrell Armstrong","McGrady, Vaughn, Garrity, Gooden, Armstrong",1503-1521-1727-2400-353,ORL,467.0,3,8.0,17.0,15.0,17.0,2.0,3.0,32.0,3.0,6.0,6.0,1.0,4.0,1.0,2.0,1.0,1.0,,1.0,5.0,12.0,,2.0,12.0,22.0,13.0,1.0,2.0,4.0,5.0,12.0,2.0,12.0,22.0,6.0,4.0,,,1.0,,3.0,3.0,2.0,1.0,6.0,3.0,,5.0,,5.0,4.0,9.0,3.0,2.0,1.0,,,,,,,1.0,,14.0,2.0,,,,,18.0,22.0,17.0,,0.6,0.6,,,0.4166666666666667,0.5,0.4166666666666667,0.35714285714285715,0.3333333333333333,0.35714285714285715,0.5238095238095238,0.5,0.5238095238095238,0.14285714285714285,,,0.8333333333333334,0.42857142857142855,,0.8333333333333334,0.4444444444444444,,,,0.8333333333333334,,98.67237687366168,,14.941176470588236,14.2,13.705882352941176,13.6,0.42857142857142855,0.5,0.5,0.6666666666666666,0.2857142857142857,0.25,0.25,0.14285714285714285,0.5,0.5,1.0,0.07142857142857142,0.07142857142857142,,,0.42857142857142855,0.07142857142857142,0.5714285714285714,,0.5132214285714286,0.50675,0.5132214285714286,0.125,0.14285714285714285,0.18181818181818182,1.0,6.0249999999999995,25.3,1.0,9.0,,1.0,2.0,,,,,,0.3333333333333333,,,0.3333333333333333,,,3.0,1.0,1.0,1.0,1.0,5.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1727-2400-43,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Drew Gooden, Chris Whitney","McGrady, Vaughn, Garrity, Gooden, Whitney",1503-1521-1727-2400-43,ORL,79.0,1,1.0,2.0,2.0,2.0,1.0,,4.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,2.0,4.0,,,,,1.0,1.0,,2.0,4.0,2.0,,,,,,1.0,1.0,,1.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,2.0,,,,,,4.0,4.0,2.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,0.5,,,0.3333333333333333,,,,,1.0,,72.9113924050633,,16.5,23.0,16.5,17.5,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,0.3808,,0.3808,,,,1.0,17.6,,1.0,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1727-353-43,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Darrell Armstrong, Chris Whitney","McGrady, Vaughn, Garrity, Armstrong, Whitney",1503-1521-1727-353-43,ORL,125.0,2,2.0,2.0,4.0,,1.0,1.0,6.0,2.0,2.0,,,,,1.0,,,,,2.0,3.0,,,,4.0,2.0,1.0,1.0,2.0,,,,,,2.0,2.0,,2.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,,3.0,1.0,4.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,0.5,1.0,,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,69.11999999999999,1.0,31.0,15.75,30.5,15.75,0.6666666666666666,1.0,1.0,0.5,,,,0.3333333333333333,,,,,,,,,,0.6666666666666666,,0.46936666666666665,0.5437,,,,0.5,,4.833333333333333,,,2.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1921-2212-2400,1610612753,"Tracy McGrady, Jacque Vaughn, Gordan Giricek, Steven Hunter, Drew Gooden","McGrady, Vaughn, Giricek, Hunter, Gooden",1503-1521-1921-2212-2400,ORL,792.0,3,13.0,25.0,23.0,2.0,2.0,4.0,48.0,2.0,4.0,,,4.0,6.0,8.0,,,4.0,6.0,8.0,16.0,4.0,6.0,9.0,37.0,24.0,1.0,2.0,3.0,,1.0,,2.0,2.0,10.0,6.0,6.0,2.0,6.0,4.0,5.0,7.0,1.0,4.0,16.0,4.0,3.0,6.0,2.0,11.0,5.0,16.0,1.0,1.0,,2.0,1.0,1.0,3.0,,3.0,6.0,1.0,12.0,4.0,2.0,1.0,2.0,1.0,34.0,2.0,2.0,,0.625,0.7142857142857143,0.6666666666666666,0.6666666666666666,0.5,0.5,,0.6363636363636364,0.5,,0.6607142857142857,0.375,0.5,0.2727272727272727,0.6666666666666666,1.0,0.6666666666666666,0.5,1.0,0.75,0.5,,0.3333333333333333,1.0,0.5,1.0,87.27272727272728,0.5,16.64,16.347826086956523,15.8,16.17391304347826,0.18181818181818182,0.5,0.5,0.5,0.18181818181818182,,,0.36363636363636365,0.75,0.75,0.6666666666666666,,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,0.45454545454545453,0.6666666666666666,0.47242272727272727,0.5813,0.3592,0.15384615384615385,0.2,0.08108108108108109,0.05405405405405406,11.43125,25.2,0.08,13.0,1.0,1.0,1.0,,,,,,1.0,,,0.5,1.0,,,,,,1.0,2.0,0.5,0.5,,,,,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1921-2400-2469,1610612753,"Tracy McGrady, Jacque Vaughn, Gordan Giricek, Drew Gooden, Pat Burke","McGrady, Vaughn, Giricek, Gooden, Burke",1503-1521-1921-2400-2469,ORL,230.0,1,4.0,8.0,7.0,5.0,,,15.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,2.0,,1.0,4.0,6.0,11.0,,,,,1.0,,4.0,4.0,,2.0,,,1.0,,,,,,,,,2.0,,2.0,,2.0,,,,1.0,1.0,1.0,2.0,1.0,,,,6.0,1.0,,,,,6.0,4.0,5.0,,,,,,0.5,,,0.3333333333333333,,,0.5,,0.5,0.3333333333333333,0.5,,1.0,,,1.0,,,,1.0,1.0,,93.91304347826086,,16.5,14.0,16.5,14.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,0.6666666666666666,,0.45126666666666665,,0.3101,0.25,0.3333333333333333,,0.6666666666666666,5.9,26.0,0.625,-5.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
1503-1521-1921-2400-353,1610612753,"Tracy McGrady, Jacque Vaughn, Gordan Giricek, Drew Gooden, Darrell Armstrong","McGrady, Vaughn, Giricek, Gooden, Armstrong",1503-1521-1921-2400-353,ORL,162.0,1,3.0,5.0,5.0,3.0,,,10.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,2.0,5.0,,,,4.0,7.0,,,,2.0,3.0,,,4.0,4.0,,,,,,2.0,2.0,1.0,,4.0,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,4.0,4.0,3.0,,1.0,1.0,,,0.4,,0.6666666666666666,0.4,,0.6666666666666666,0.4,,0.6666666666666666,,,,,,1.0,0.5,,,,,,1.0,88.88888888888889,,19.0,13.4,19.0,13.2,0.2,1.0,1.0,1.0,0.4,0.5,0.5,0.4,,,,,,,,0.3333333333333333,,0.2,,0.43220000000000003,,0.4719,,,,1.0,10.7,,0.6,-3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,True
