EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,FG2M,PtsAssisted2s,TwoPtAssists,AtRimAssists,DefTwoPtRebounds,DefRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FtPoints,SecondChanceFG3A,PenaltyFG2M,NonHeaveArc3FGA,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,DeadBallTurnovers,Turnovers,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,FG2APctBlocked,LongMidRangePctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsUnassisted3s,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,3SecondViolations,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsUnassisted2s,PtsPutbacks,SelfOReb,LostBallSteals,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveAttempts,DefensiveGoaltends,Loose Ball Fouls,Technical Free Throw Trips,DefCorner3ReboundPct,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,Travels,BlockedLongMidRange,ShortMidRangePctAssisted,FTOffRebounds,OffFTReboundPct,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,ShortMidRangePctBlocked,BadPassOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,BlockedShortMidRange,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,OffCorner3ReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Corner3PctBlocked,FoulsDrawn,Offensive Fouls Drawn,OffensiveGoaltends,BlockedArc3,team_id,year,season,team_vs
1023-1032-1043-1074-1901,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Matt Maloney, Dion Glover","Davis, Ham, McCaskill, Maloney, Glover",1023-1032-1043-1074-1901,ATL,104.0,1,2.0,4.0,3.0,4.0,3.0,2.0,7.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,0.3,0.3,0.3,0.3,0.2,0.5,0.5,0.5,0.5,96.92307692307692,17.75,11.0,16.0,11.0,0.4,0.4,0.2,1.0,1.0,1.0,1.0,0.4,0.2,1.0,0.6,0.45858999999999994,0.556,0.45858999999999994,1.0,3.0,22.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1544-1901,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Chris Crawford, Dion Glover","Davis, Ham, McCaskill, Crawford, Glover",1023-1032-1043-1544-1901,ATL,144.0,1,2.0,3.0,4.0,,,,7.0,2.0,,,1.0,,,,,3.0,,,2.0,7.0,,,,,,,,1.0,,2.0,,,1.0,,,,,2.0,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,70.0,25.666666666666668,16.75,25.666666666666668,15.25,0.6666666666666666,0.3333333333333333,,,,,,,,,0.6666666666666666,0.5653333333333334,,,,1.3666666666666665,,,-5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1891-673,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Jason Terry, Alan Henderson","Davis, Ham, McCaskill, Terry, Henderson",1023-1032-1043-1891-673,ATL,117.0,1,2.0,5.0,5.0,3.0,5.0,1.0,10.0,,,,,,1.0,,1.0,2.0,,2.0,4.0,4.0,,2.0,,2.0,2.0,,,1.0,,2.0,1.0,1.0,4.0,,,,1.0,4.0,2.0,3.0,,,,,0.25,0.25,0.4,0.25,0.5,1.0,0.5,,,123.07692307692308,8.2,15.2,8.0,15.2,,,0.25,,,,,,0.25,,0.5,0.3991625,0.3198,0.3991625,0.5,18.25,24.15,0.6,,,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,0.5,0.6666666666666666,0.75,,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.25,1.0,0.25,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1891-949,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Jason Terry, Shareef Abdur-Rahim","Davis, Ham, McCaskill, Terry, Abdur-Rahim",1023-1032-1043-1891-949,ATL,48.0,1,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,60.0,28.0,20.0,28.0,10.0,,,,,,,,,,,1.0,0.48765,,,,,25.5,,-2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1901-2424,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Dion Glover, Dan Dickau","Davis, Ham, McCaskill, Glover, Dickau",1023-1032-1043-1901-2424,ATL,210.0,1,4.0,9.0,8.0,9.0,8.0,1.0,17.0,4.0,1.0,4.0,,,2.0,,2.0,4.0,2.0,4.0,10.0,15.0,1.0,4.0,2.0,4.0,10.0,3.0,1.0,2.0,,5.0,2.0,2.0,4.0,,,,2.0,8.0,10.0,9.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5,0.6666666666666666,0.4,0.6666666666666666,,116.57142857142857,14.666666666666666,9.75,12.666666666666666,9.75,0.5,,0.25,,,,1.0,0.5,0.25,,1.0,0.5769625,0.6766,0.5769625,1.0,,24.55,1.0,-5.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.25,1.0,1.0,,0.25,0.3333333333333333,1.0,,,2.0,,2.0,2.0,,1.0,2.0,1.0,,,1.0,2.0,2.0,1.0,2.0,0.25,0.25,,,,1.0,,,,,,0.25,,0.25,0.1111111111111111,0.2,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.25,0.5,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1901-673,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Dion Glover, Alan Henderson","Davis, Ham, McCaskill, Glover, Henderson",1023-1032-1043-1901-673,ATL,301.0,2,5.0,9.0,9.0,4.0,,2.0,18.0,6.0,4.0,4.0,,,,,,11.0,,,8.0,10.0,4.0,7.0,,,2.0,,,,,,4.0,4.0,7.0,1.0,,2.0,2.0,6.0,2.0,4.0,,,,,0.36363636363636365,0.14285714285714285,0.36363636363636365,0.14285714285714285,,0.5714285714285714,0.5714285714285714,0.5,,86.11295681063123,16.22222222222222,17.22222222222222,15.555555555555555,14.444444444444445,0.5454545454545454,,,,,,1.0,0.5714285714285714,,,0.5454545454545454,0.5130272727272728,0.62105,0.5054428571428572,0.25,8.336363636363636,,0.4444444444444444,-2.0,2.0,4.0,,,,2.0,3.0,,,0.36363636363636365,0.5,0.6,1.0,0.3333333333333333,0.4,,2.0,5.0,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,0.14285714285714285,0.09090909090909091,,1.0,0.6666666666666666,,1.0,0.45454545454545453,0.4,0.4,,,,,,,,,,,2.0,,,,,,1.0,1.0,,,0.25,0.16666666666666666,0.5,,,,,,,,0.25,1.0,1.0,8.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.25,0.25,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1901-949,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Dion Glover, Shareef Abdur-Rahim","Davis, Ham, McCaskill, Glover, Abdur-Rahim",1023-1032-1043-1901-949,ATL,354.0,2,6.0,11.0,10.0,,4.0,3.0,21.0,5.0,3.0,,1.0,,,,,9.0,1.0,3.0,13.0,12.0,3.0,,,,,3.0,1.0,4.0,,9.0,3.0,4.0,6.0,1.0,1.0,1.0,3.0,9.0,,,1.0,0.3333333333333333,,0.3333333333333333,0.5416666666666666,,0.5416666666666666,,0.25,0.75,0.6666666666666666,1.0,1.0,85.42372881355932,19.818181818181817,13.6,18.363636363636363,13.6,0.4166666666666667,0.08333333333333333,,,,,1.0,,,,0.6666666666666666,0.512125,0.5531,,,6.888888888888889,25.166666666666668,,1.0,3.0,5.0,6.0,3.0,1.0,1.0,2.0,0.6,0.75,0.5555555555555556,1.0,1.0,1.0,0.6,0.6,0.3333333333333333,2.0,3.0,3.0,,,,,,3.0,,2.0,,1.0,3.0,,,1.0,,,,,,,,0.25,0.6666666666666666,0.6666666666666666,1.0,0.25,,,,,,1.0,,,4.0,,,1.0,1.0,1.0,2.0,1.0,,,0.6666666666666666,,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,,,0.3333333333333333,0.3076923076923077,2.0,2.0,4.0,2.0,1.0,,,,,,,0.6666666666666666,0.6666666666666666,0.16666666666666666,,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1043-1956-949,1610612737,"Emanual Davis, Darvin Ham, Amal McCaskill, Ira Newble, Shareef Abdur-Rahim","Davis, Ham, McCaskill, Newble, Abdur-Rahim",1023-1032-1043-1956-949,ATL,6.0,1,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,480.0,1.0,5.0,1.0,5.0,,,,,,,,,,,,,,,,,,1.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1074-1737-949,1610612737,"Emanual Davis, Darvin Ham, Matt Maloney, Nazr Mohammed, Shareef Abdur-Rahim","Davis, Ham, Maloney, Mohammed, Abdur-Rahim",1023-1032-1074-1737-949,ATL,74.0,1,1.0,2.0,2.0,2.0,,,4.0,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,77.83783783783784,14.5,22.5,14.5,22.5,,,,,,,,,,,,0.3456,,0.3456,,14.4,,1.0,-2.0,,,,,,1.0,1.0,,,,0.5,0.5,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
1023-1032-1074-1901-299,1610612737,"Emanual Davis, Darvin Ham, Matt Maloney, Dion Glover, Glenn Robinson","Davis, Ham, Maloney, Glover, Robinson",1023-1032-1074-1901-299,ATL,53.0,1,1.0,3.0,3.0,3.0,3.0,1.0,6.0,1.0,,1.0,,,,,,2.0,1.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,2.0,,5.0,,1.0,1.0,,,,1.0,5.0,5.0,3.0,1.0,0.5,0.5,0.5,0.625,0.625,0.625,0.625,0.5,,0.5,,,163.0188679245283,12.0,5.666666666666667,10.333333333333334,5.666666666666667,0.25,,,,,,,0.25,,,0.75,0.5118125,0.3583,0.5118125,1.0,10.9,24.8,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,0.5,,,,1.0,1.0,1.0,,1.0,2.0,,2.0,,,1.0,2.0,,,,,,,,1.0,0.5,,,,,,,0.25,,,,0.5,,0.5,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,0.5,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2003,2002-03,False
