EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG2A,PenaltyFG3A,LostBallSteals,PenaltyTurnovers,BlockedAtRim,PenaltyOffPossExcludingTakeFouls,DefArc3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,PenaltyCorner3FGM,PenaltyFG3M,PenaltyPoints,Fg2aBlocked,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,PenaltyCorner3Accuracy,PenaltyPointsPct,Arc3FGM,SecondChanceFtPoints,PenaltyFtPoints,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimAssists,AtRimPctAssisted,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyFG2M,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,ShortMidRangeAssists,Travels,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,PenaltyFg2Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,BlockedLongMidRange,SecondChanceArc3FGM,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,3SecondViolations,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,DefensiveGoaltends,Blocked3s,BlockedArc3,Arc3PctBlocked,OffensiveGoaltends,Clear Path Fouls,3pt And 1 Free Throw Trips,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
1499-1718-1742-2208-952,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Kedrick Brown, Antoine Walker","Battie, Pierce, Williams, Brown, Walker",1499-1718-1742-2208-952,BOS,511.0,4,9.0,8.0,15.0,12.0,1.0,4.0,27.0,4.0,5.0,1.0,1.0,3.0,1.0,8.0,2.0,2.0,2.0,2.0,2.0,6.0,16.0,2.0,4.0,2.0,20.0,12.0,1.0,4.0,2.0,2.0,8.0,2.0,10.0,6.0,2.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,5.0,1.0,4.0,5.0,7.0,12.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,12.0,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,0.5,0.375,0.25,0.45,0.6666666666666666,0.5,0.6666666666666666,0.2,1.0,0.6666666666666666,0.5,1.0,1.0,0.7142857142857143,0.5833333333333334,1.0,1.0,0.2857142857142857,1.0,0.6,1.0,1.0,0.16666666666666666,76.08610567514677,1.0,18.266666666666666,19.75,14.666666666666666,19.75,0.25,0.8,0.8,0.15,0.3333333333333333,0.3333333333333333,0.4,0.125,0.125,1.0,0.1,1.0,1.0,1.0,0.1,0.16666666666666666,0.3333333333333333,1.0,1.0,0.45,0.500355,0.5175875,0.1,0.125,0.4,10.2875,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-2208-962,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Kedrick Brown, Walter McCarty","Battie, Pierce, Williams, Brown, McCarty",1499-1718-1742-2208-962,BOS,172.0,1,3.0,-4.0,5.0,5.0,,1.0,10.0,,,,,1.0,,,,1.0,,,2.0,,1.0,,3.0,,,4.0,,,,,,,,,2.0,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,0.75,1.0,0.3333333333333333,,1.0,0.3333333333333333,0.5,0.25,,,,0.5,,0.5,,,83.72093023255813,,15.8,18.6,15.8,17.4,,,,0.25,,,,,,,0.25,,,,0.5,,,,,0.75,0.4665375,,,,,12.1,24.733333333333334,5.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,0.25,0.5,0.4665375,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-2452-677,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, J.R. Bremer, Eric Williams","Battie, Pierce, Williams, Bremer, Williams",1499-1718-1742-2452-677,BOS,100.0,2,2.0,-2.0,2.0,3.0,1.0,,5.0,,,,,2.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,,,1.0,,,72.0,,23.0,18.0,23.0,14.333333333333334,,,,1.0,,,,,,,,,,,,,,,,,0.3324,,,,,11.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-2452-952,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, J.R. Bremer, Antoine Walker","Battie, Pierce, Williams, Bremer, Walker",1499-1718-1742-2452-952,BOS,119.0,2,2.0,5.0,3.0,2.0,,,5.0,,1.0,,,,,,2.0,2.0,,,,,1.0,2.0,2.0,,6.0,1.0,,,,,,,,6.0,,,2.0,2.0,2.0,,6.0,,,,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,,,,,,,,,6.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,0.6666666666666666,,1.0,,,,1.0,,,,,,,,,,60.50420168067227,,16.0,35.5,16.0,35.5,0.3333333333333333,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,,,,,,1.0,0.5931333333333334,,,,,1.8,23.1,1.0,1.0,,,1.0,,,,1.0,,1.0,,0.5769,0.3333333333333333,1.0,1.0,3.0,1.0,3.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-3-677,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Grant Long, Eric Williams","Battie, Pierce, Williams, Long, Williams",1499-1718-1742-3-677,BOS,255.0,3,4.0,2.0,6.0,7.0,3.0,2.0,13.0,,,,,,1.0,4.0,,,,,1.0,1.0,4.0,1.0,1.0,4.0,9.0,7.0,1.0,1.0,,,4.0,,2.0,3.0,1.0,,1.0,1.0,,,3.0,,2.0,1.0,,2.0,2.0,4.0,1.0,1.0,,,,,1.0,,,1.0,4.0,,1.0,1.0,,1.0,,1.0,5.0,,,1.0,1.0,,1.0,0.25,1.0,0.5,1.0,0.6428571428571429,1.0,0.2,,,0.6666666666666666,0.5,,0.25,0.6666666666666666,,,0.6666666666666666,,,,1.0,0.3333333333333333,73.41176470588235,,22.166666666666668,17.428571428571427,19.0,14.142857142857142,,,,,,,0.8,0.25,0.25,,,,,,0.2,,,,,0.2,0.42157999999999995,0.3385,0.16666666666666666,0.2,0.4444444444444444,17.45,25.5,3.0,,,1.0,,1.0,1.0,1.0,3.0,,,,0.4317,0.5,,,4.0,,4.0,,,0.6666666666666666,,,,,0.4444444444444444,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-3-960,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Grant Long, Tony Delk","Battie, Pierce, Williams, Long, Delk",1499-1718-1742-3-960,BOS,66.0,1,1.0,2.0,2.0,1.0,,,3.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,2.0,,,,4.0,2.0,,,,,,4.0,,,,2.0,,2.0,,1.0,4.0,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,1.0,4.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,65.45454545454545,,15.0,36.0,15.0,31.0,0.5,1.0,1.0,,,,0.5,1.0,1.0,1.0,,,,,,,,,,0.5,0.458,,,,,10.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-677-952,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Eric Williams, Antoine Walker","Battie, Pierce, Williams, Williams, Walker",1499-1718-1742-677-952,BOS,5880.0,18,98.0,10.0,199.0,191.0,58.0,22.0,390.0,26.0,41.0,7.0,7.0,33.0,16.0,37.0,2.0,8.0,,1.0,46.0,49.0,111.0,13.0,54.0,58.0,195.0,185.0,7.0,12.0,,4.0,22.0,56.0,42.0,36.0,44.0,28.0,12.0,40.0,2.0,13.0,92.0,11.0,12.0,12.0,48.0,65.0,23.0,88.0,1.0,25.0,14.0,13.0,8.0,5.0,25.0,5.0,26.0,49.0,73.0,2.0,21.0,7.0,3.0,7.0,4.0,,173.0,0.5714285714285714,0.6363636363636364,0.9230769230769231,0.24074074074074073,,0.25,0.44144144144144143,0.5833333333333334,0.41515151515151516,0.4375,0.4796954314720812,0.55,0.32727272727272727,0.52,0.75,0.2,0.7058823529411765,0.28205128205128205,0.7407407407407407,0.23232323232323232,0.26666666666666666,0.25,0.09523809523809523,0.24242424242424243,0.875,0.7096774193548387,0.5,0.010638297872340425,95.51020408163265,0.5714285714285714,15.180904522613066,14.968586387434556,14.28140703517588,14.31413612565445,0.24848484848484848,0.6341463414634146,0.65,0.2,0.21212121212121213,0.23333333333333334,0.22424242424242424,0.43243243243243246,0.4444444444444444,0.8125,0.048484848484848485,0.25,0.25,1.0,0.2787878787878788,0.4375,0.0625,,,0.5757575757575758,0.49663773006134965,0.5046954545454546,0.11413043478260869,0.16153846153846155,0.11282051282051282,8.634234234234235,26.401851851851852,66.0,5.0,16.0,27.0,21.0,11.0,8.0,4.0,66.0,0.7692307692307693,0.10416666666666667,0.3333333333333333,0.4843608695652174,0.3316582914572864,1.0,6.0,67.0,5.0,67.0,0.2857142857142857,0.3958333333333333,0.5,0.04504504504504504,0.024390243902439025,0.7058823529411765,0.2,0.3435897435897436,11.0,8.0,29.0,11.0,10.0,5.0,7.0,12.0,13.0,10.0,0.8333333333333334,0.2391304347826087,0.2391304347826087,0.9090909090909091,0.25,13.0,0.5,5.0,7.0,7.0,3.0,5.0,10.0,3.0,10.0,2.0,2.0,3.0,1.0,1.0,7.0,0.37037037037037035,0.09090909090909091,0.02702702702702703,0.5,0.2857142857142857,0.7142857142857143,0.2,0.1875,0.14583333333333334,1.0,0.3125,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-677-960,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Eric Williams, Tony Delk","Battie, Pierce, Williams, Williams, Delk",1499-1718-1742-677-960,BOS,120.0,2,2.0,5.0,5.0,5.0,2.0,,10.0,1.0,1.0,,,,1.0,1.0,,,,,,2.0,2.0,,,3.0,7.0,2.0,,,,,,,4.0,,,,,,,,,,,2.0,,2.0,,2.0,,1.0,1.0,,,,,,1.0,1.0,4.0,,,,,,,,7.0,,,,,,,1.0,,1.0,,0.875,,,,,,1.0,,1.0,,,,,,,,1.0,,120.0,,9.2,14.8,9.2,14.8,0.5,1.0,1.0,,,,0.5,1.0,1.0,,,,,,,,,,,0.5,0.51035,,,,,8.95,,5.0,,,2.0,,,,,5.0,1.0,,,0.51035,1.0,,,7.0,,7.0,,1.0,0.875,,,,,1.0,,,3.0,,,,,,2.0,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-677-962,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Eric Williams, Walter McCarty","Battie, Pierce, Williams, Williams, McCarty",1499-1718-1742-677-962,BOS,872.0,8,15.0,1.0,26.0,28.0,6.0,5.0,54.0,3.0,7.0,3.0,2.0,2.0,2.0,7.0,1.0,4.0,,1.0,5.0,7.0,16.0,2.0,9.0,11.0,31.0,30.0,4.0,5.0,,1.0,8.0,4.0,10.0,3.0,5.0,2.0,1.0,3.0,1.0,1.0,7.0,,6.0,,8.0,8.0,6.0,14.0,,4.0,1.0,1.0,,1.0,1.0,,5.0,5.0,12.0,,5.0,4.0,2.0,4.0,1.0,,23.0,0.2857142857142857,0.4,0.5,0.2222222222222222,,0.2222222222222222,0.4375,0.8,0.4,0.6666666666666666,0.5,0.6666666666666666,0.36,1.0,0.5714285714285714,0.6666666666666666,,,0.5333333333333333,0.375,1.0,,0.4,,0.6,0.7142857142857143,,,89.17431192660551,0.25,15.461538461538462,16.785714285714285,14.423076923076923,15.75,0.28,0.42857142857142855,0.5,0.08,1.0,1.0,0.28,0.2857142857142857,0.3333333333333333,0.5,0.16,0.25,0.25,1.0,0.2,0.5,0.16666666666666666,,,0.64,0.495176,0.443525,0.16666666666666666,0.23809523809523808,0.25806451612903225,8.725,24.244444444444444,13.0,,2.0,10.0,2.0,3.0,1.0,1.0,13.0,,,0.16666666666666666,0.48342083333333336,0.5,,,16.0,2.0,16.0,,0.4166666666666667,0.5333333333333333,0.125,0.14285714285714285,,,0.5161290322580645,1.0,,6.0,1.0,,,,,1.0,,,0.2,0.2,,0.2,,,3.0,3.0,6.0,,,5.0,3.0,4.0,,1.0,,,,,0.5,,0.14285714285714285,,0.5,1.0,,,0.5,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
1499-1718-1742-952-960,1610612738,"Tony Battie, Paul Pierce, Shammond Williams, Antoine Walker, Tony Delk","Battie, Pierce, Williams, Walker, Delk",1499-1718-1742-952-960,BOS,3598.0,18,60.0,1.0,112.0,111.0,20.0,17.0,223.0,19.0,35.0,9.0,4.0,12.0,4.0,14.0,6.0,17.0,2.0,2.0,28.0,27.0,61.0,13.0,45.0,20.0,113.0,112.0,4.0,12.0,4.0,5.0,20.0,34.0,20.0,39.0,28.0,17.0,13.0,30.0,6.0,3.0,73.0,8.0,9.0,11.0,32.0,44.0,17.0,61.0,5.0,6.0,3.0,5.0,4.0,1.0,11.0,,13.0,28.0,25.0,2.0,10.0,2.0,,2.0,2.0,1.0,93.0,0.6296296296296297,0.68,1.0,0.28888888888888886,0.8,0.28888888888888886,0.4426229508196721,0.3333333333333333,0.4386792452830189,0.5882352941176471,0.47844827586206895,0.5555555555555556,0.42452830188679247,0.45454545454545453,0.7619047619047619,0.2647058823529412,0.7857142857142857,0.25806451612903225,0.7678571428571429,0.26153846153846155,0.3125,0.125,0.3,0.25,0.625,0.8333333333333334,0.3333333333333333,0.08196721311475409,89.24958310172318,1.0,16.107142857142858,16.16216216216216,15.410714285714286,15.513513513513514,0.330188679245283,0.5428571428571428,0.6129032258064516,0.11320754716981132,0.3333333333333333,0.3333333333333333,0.1320754716981132,0.2857142857142857,0.2857142857142857,0.75,0.16037735849056603,0.35294117647058826,0.35294117647058826,1.0,0.2641509433962264,0.5294117647058824,0.11764705882352941,1.0,1.0,0.7547169811320755,0.5380495238095238,0.5653611111111112,0.09565217391304348,0.14492753623188406,0.17699115044247787,6.79344262295082,24.77777777777778,14.0,3.0,1.0,8.0,4.0,3.0,2.0,2.0,14.0,0.9090909090909091,0.25,0.08333333333333333,0.55215,0.125,1.0,1.0,11.0,4.0,11.0,0.25,0.375,0.4230769230769231,0.06557377049180328,0.11428571428571428,0.75,0.3333333333333333,0.09734513274336283,7.0,,2.0,7.0,7.0,1.0,3.0,6.0,1.0,1.0,1.0,0.25,0.25,1.0,0.25,10.0,0.5263157894736842,3.0,2.0,5.0,3.0,,3.0,,4.0,,4.0,,1.0,2.0,2.0,0.375,,,0.2727272727272727,1.0,0.3333333333333333,0.3333333333333333,0.17647058823529413,0.4166666666666667,0.4,,,2.0,1.0,1.0,0.6666666666666666,1.0,0.021739130434782608,,,,,,,,,,,,,,,,1610612738,2003,2002-03,False
