EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,FG2A,FG3A,SecondChanceFG2A,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,FG3APct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,FG2M,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,Corner3FGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,Travels,SecondChanceTurnovers,Technical Free Throw Trips,NonShootingFoulsDrawn,DefensiveGoaltends,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGA,HeaveAttempts,3SecondViolations,PenaltyCorner3Frequency,BlockedLongMidRange,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,OffFTReboundPct,SecondChanceArc3Frequency,PenaltyCorner3FGM,SelfOReb,BadPassOutOfBoundsTurnovers,SelfORebPct,PenaltyCorner3Accuracy,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LongMidRangePctBlocked,OffArc3ReboundPct,BlockedShortMidRange,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,BlockedCorner3,SecondChanceCorner3Frequency,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
147-1594-1944-2033-2199,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Marcus Fizer, Tyson Chandler","Rose, Brunson, Robinson, Fizer, Chandler",147-1594-1944-2033-2199,CHI,45.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,0.25,0.6666666666666666,1.0,0.75,1.0,1.0,1.0,64.0,35.0,10.0,24.0,10.0,0.25,0.25,0.25,0.25,0.5,0.5,0.4841,0.558,7.566666666666666,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2033-2201,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Marcus Fizer, Eddy Curry","Rose, Brunson, Robinson, Fizer, Curry",147-1594-1944-2033-2201,CHI,832.0,5,14.0,28.0,25.0,3.0,53.0,7.0,1.0,6.0,9.0,,22.0,,3.0,,4.0,4.0,13.0,2.0,1.0,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,,91.73076923076923,13.321428571428571,18.36,12.214285714285714,17.84,0.3181818181818182,0.2727272727272727,0.4090909090909091,,0.3333333333333333,0.3181818181818182,0.4567318181818182,0.5006333333333334,9.477272727272727,,-8.0,10.0,2.0,3.0,1.0,3.0,2.0,8.0,5.0,21.0,29.0,2.0,2.0,2.0,6.0,4.0,12.0,4.0,2.0,6.0,6.0,2.0,2.0,2.0,12.0,1.0,5.0,3.0,9.0,1.0,3.0,1.0,3.0,1.0,2.0,6.0,2.0,7.0,13.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,19.0,4.0,10.0,1.0,0.75,0.75,0.36363636363636365,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.4375,0.25,0.3333333333333333,0.09090909090909091,0.14285714285714285,0.16666666666666666,0.5,1.0,0.5555555555555556,0.3333333333333333,0.5,0.3333333333333333,1.0,0.75,0.3333333333333333,1.0,0.42857142857142855,0.5,0.6666666666666666,0.5,0.6,0.6666666666666666,0.2222222222222222,0.2222222222222222,1.0,0.16666666666666666,0.3800666666666667,0.125,0.125,0.09523809523809523,0.19047619047619047,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2033-916,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Marcus Fizer, Corie Blount","Rose, Brunson, Robinson, Fizer, Blount",147-1594-1944-2033-916,CHI,2058.0,5,34.0,64.0,62.0,29.0,126.0,17.0,3.0,15.0,15.0,2.0,47.0,7.0,6.0,,8.0,8.0,30.0,8.0,6.0,0.12962962962962962,0.4,,0.38095238095238093,0.5,0.6666666666666666,,88.16326530612245,16.1875,16.483870967741936,15.609375,15.274193548387096,0.3148148148148148,0.2777777777777778,0.2777777777777778,0.037037037037037035,0.5,0.4444444444444444,0.452975,0.4339,8.678723404255319,26.542857142857144,24.0,19.0,7.0,13.0,6.0,9.0,5.0,27.0,18.0,90.0,66.0,3.0,7.0,6.0,14.0,25.0,32.0,22.0,4.0,16.0,21.0,6.0,7.0,3.0,47.0,5.0,11.0,6.0,22.0,2.0,6.0,5.0,4.0,,1.0,10.0,2.0,12.0,27.0,1.0,2.0,20.0,1.0,7.0,1.0,1.0,1.0,,83.0,25.0,19.0,6.0,0.5925925925925926,0.6153846153846154,0.574468085106383,0.42857142857142855,0.6666666666666666,0.5,0.7016129032258065,0.42857142857142855,0.575,0.0851063829787234,0.17647058823529413,0.06666666666666667,0.6,1.0,0.6111111111111112,0.7142857142857143,0.64,0.2,0.6666666666666666,0.5555555555555556,0.8,,0.7647058823529411,0.9285714285714286,0.46153846153846156,0.6,0.6428571428571429,0.7777777777777778,0.3333333333333333,0.3333333333333333,0.6,0.4,0.42745333333333335,0.11666666666666667,0.1320754716981132,0.07777777777777778,0.2777777777777778,0.296875,2.0,4.0,2.0,4.0,5.0,1.0,1.0,6.0,2.0,1.0,1.0,10.0,15.0,3.0,2.0,5.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,0.8333333333333334,0.8571428571428571,1.0,0.8571428571428571,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,0.09259259259259259,0.8,0.8,0.75,0.6666666666666666,0.6666666666666666,0.06666666666666667,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2033-923,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Marcus Fizer, Donyell Marshall","Rose, Brunson, Robinson, Fizer, Marshall",147-1594-1944-2033-923,CHI,353.0,1,6.0,11.0,10.0,10.0,21.0,3.0,1.0,1.0,4.0,2.0,8.0,3.0,3.0,1.0,2.0,3.0,5.0,1.0,1.0,0.2727272727272727,0.5,0.5,0.5,1.0,,0.5,85.6657223796034,18.454545454545453,15.0,15.0,13.7,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.18181818181818182,0.3333333333333333,0.5454545454545454,0.46697,0.3559,10.0,29.099999999999998,-9.0,4.0,1.0,2.0,1.0,,2.0,4.0,,8.0,17.0,,,1.0,2.0,2.0,6.0,2.0,,3.0,3.0,1.0,,2.0,6.0,,2.0,,2.0,,1.0,1.0,1.0,,,2.0,,2.0,3.0,,,2.0,,1.0,1.0,1.0,1.0,,8.0,2.0,4.0,1.0,0.75,0.75,0.5,0.5,0.36363636363636365,0.25,0.3333333333333333,,0.25,,,,0.5,,0.5,,0.4,0.5,0.3333333333333333,1.0,,,0.6666666666666666,0.6666666666666666,0.5,,,,0.5,0.5,1.0,0.25,0.4542,0.08333333333333333,0.1111111111111111,,0.25,0.36363636363636365,,1.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09090909090909091,,,,,1.0,0.25,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2037-916,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Jamal Crawford, Corie Blount","Rose, Brunson, Robinson, Crawford, Blount",147-1594-1944-2037-916,CHI,25.0,1,,1.0,1.0,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,115.19999999999999,2.0,23.0,2.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2199-923,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Tyson Chandler, Donyell Marshall","Rose, Brunson, Robinson, Chandler, Marshall",147-1594-1944-2199-923,CHI,161.0,2,3.0,5.0,4.0,4.0,9.0,,,2.0,1.0,,3.0,,1.0,,,,,,,,,,,,,,80.4968944099379,17.8,18.0,16.0,13.0,,0.6666666666666666,0.3333333333333333,,,,0.385,0.3759,13.766666666666666,,-10.0,,1.0,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2201-923,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Eddy Curry, Donyell Marshall","Rose, Brunson, Robinson, Curry, Marshall",147-1594-1944-2201-923,CHI,105.0,1,2.0,5.0,4.0,2.0,9.0,1.0,,1.0,1.0,,3.0,,,,,,2.0,,,,,,,,,,123.42857142857143,11.6,11.75,11.6,10.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.3333333333333333,0.46123333333333333,,10.166666666666666,,3.0,5.0,,1.0,1.0,,,1.0,4.0,6.0,3.0,,,1.0,3.0,6.0,2.0,,,1.0,1.0,1.0,,,2.0,,2.0,,2.0,,,,,,,,,1.0,1.0,,,4.0,,,1.0,1.0,1.0,1.0,6.0,6.0,5.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,,0.6,,,,,,0.6666666666666666,,0.6666666666666666,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,0.3333333333333333,0.46123333333333333,,,,1.0,1.0,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-2239-923,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Trenton Hassell, Donyell Marshall","Rose, Brunson, Robinson, Hassell, Marshall",147-1594-1944-2239-923,CHI,41.0,1,1.0,3.0,4.0,4.0,7.0,,,,,,,,,,,,3.0,,,,,,,,,,245.85365853658536,3.3333333333333335,7.75,3.3333333333333335,7.75,,,,,,,,,,,3.0,3.0,,,,,,,5.0,5.0,2.0,,,,,5.0,,,,,,,,,,1.0,2.0,,3.0,,,,,,,,,,,,,6.0,,,,,,,5.0,5.0,3.0,,,,,,,,0.8333333333333334,,0.8333333333333334,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-1944-916-923,1610612741,"Jalen Rose, Rick Brunson, Eddie Robinson, Corie Blount, Donyell Marshall","Rose, Brunson, Robinson, Blount, Marshall",147-1594-1944-916-923,CHI,85.0,2,1.0,2.0,3.0,3.0,5.0,,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,,84.70588235294117,29.0,9.0,25.0,6.0,,0.5,0.5,,,,0.35885,,16.7,,-2.0,1.0,1.0,,,1.0,,1.0,3.0,5.0,7.0,2.0,2.0,,1.0,2.0,2.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,2.0,2.0,,,4.0,,2.0,,,,,3.0,2.0,1.0,,1.0,1.0,0.5,,0.5,,0.625,1.0,0.5,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,0.3778,0.5,0.5,0.4,0.4,0.5,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
147-1594-2033-2037-2239,1610612741,"Jalen Rose, Rick Brunson, Marcus Fizer, Jamal Crawford, Trenton Hassell","Rose, Brunson, Fizer, Crawford, Hassell",147-1594-2033-2037-2239,CHI,12.0,1,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,120.0,12.0,,12.0,,,1.0,,,,,0.2494,,10.2,,2.0,1.0,,,,1.0,,1.0,,2.0,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.2494,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2003,2002-03,False
