EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceOffPoss,LongMidRangeFGM,Corner3FGA,SecondChanceArc3FGA,FG2M,FtPoints,Points,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffRebounds,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,DefThreePtRebounds,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,Steals,BadPassSteals,LostBallTurnovers,HeaveAttempts,Loose Ball Fouls,DeadBallTurnovers,Travels,PtsUnassisted3s,ShortMidRangeAssists,ShortMidRangePctAssisted,Offensive Fouls,DefCorner3ReboundPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,SecondChanceFtPoints,Corner3Assists,DefensiveGoaltends,Defensive 3 Seconds Violations,AtRimPctBlocked,OffShortMidRangeReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,RecoveredBlocks,OffLongMidRangeReboundPct,BlocksRecoveredPct,LostBallSteals,Blocked3s,BlockedCorner3,3SecondViolations,BlockedShortMidRange,FTOffRebounds,OffFTReboundPct,Technical Free Throw Trips,BlockedLongMidRange,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
1065-1500-1506-1802-1897,1610612754,"Erick Strickland, Ron Mercer, Austin Croshere, Brad Miller, Metta World Peace","Strickland, Mercer, Croshere, Miller, World Peace",1065-1500-1506-1802-1897,IND,107.0,1,2.0,-4.0,3.0,4.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,94.2056074766355,19.333333333333332,12.25,19.333333333333332,11.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.43375,11.15,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1506-1897-979,1610612754,"Erick Strickland, Ron Mercer, Austin Croshere, Metta World Peace, Jermaine O'Neal","Strickland, Mercer, Croshere, World Peace, O'Neal",1065-1500-1506-1897-979,IND,110.0,1,2.0,4.0,3.0,3.0,,6.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,4.0,,,0.5,0.6666666666666666,0.6666666666666666,,78.54545454545455,20.333333333333332,16.333333333333332,13.666666666666666,15.666666666666666,0.25,0.25,0.25,0.5,0.4584875,11.85,24.7,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.5,0.25,0.4,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.25,0.5,0.49005,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1733-1886-2224,1610612754,"Erick Strickland, Ron Mercer, Al Harrington, Jonathan Bender, Jamaal Tinsley","Strickland, Mercer, Harrington, Bender, Tinsley",1065-1500-1733-1886-2224,IND,160.0,1,3.0,2.0,6.0,5.0,5.0,11.0,1.0,2.0,1.0,4.0,1.0,6.0,1.0,,2.0,2.0,1.0,1.0,0.2,,0.5,,99.0,8.166666666666666,22.2,8.166666666666666,20.0,0.2,0.4,0.2,0.4,0.40067,12.975,24.7,,,,,2.0,1.0,8.0,,,2.0,,1.0,2.0,,5.0,,,2.0,1.0,8.0,0.5,0.5,0.5,0.7,0.6666666666666666,,,,,,,,,,,,,,,0.16666666666666666,0.2,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,6.0,1.0,1.0,1.0,1.0,0.5,0.7,0.6666666666666666,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.2,1.0,1.0,0.40067,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1733-1886-397,1610612754,"Erick Strickland, Ron Mercer, Al Harrington, Jonathan Bender, Reggie Miller","Strickland, Mercer, Harrington, Bender, Miller",1065-1500-1733-1886-397,IND,137.0,1,2.0,,5.0,6.0,6.0,11.0,,,3.0,3.0,3.0,5.0,3.0,1.0,3.0,6.0,,1.0,0.5,1.0,1.0,1.0,115.62043795620438,8.4,15.833333333333334,7.0,15.833333333333334,,,0.5,1.0,0.57155,1.0666666666666667,26.03333333333333,2.0,,,,2.0,1.0,5.0,2.0,,2.0,,1.0,1.0,,2.0,2.0,3.0,2.0,,3.0,0.5,1.0,0.6666666666666666,0.3333333333333333,0.35714285714285715,,,0.6666666666666666,0.75,0.6666666666666666,,,,,,,,,0.6222,,,5.0,2.0,3.0,2.0,3.0,,,,3.0,,2.0,3.0,,3.0,1.0,5.0,2.0,,,,,1.0,1.0,,,,5.0,5.0,,,,,0.6666666666666666,0.3333333333333333,0.35714285714285715,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.5,,,,,,0.5,0.6666666666666666,0.5,,,0.57155,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.25,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1733-1897-1902,1610612754,"Erick Strickland, Ron Mercer, Al Harrington, Metta World Peace, Jeff Foster","Strickland, Mercer, Harrington, World Peace, Foster",1065-1500-1733-1897-1902,IND,114.0,1,2.0,-3.0,3.0,4.0,4.0,7.0,,2.0,,3.0,,7.0,,,,,,1.0,,,,,88.42105263157895,13.666666666666666,18.25,13.666666666666666,15.5,,0.6666666666666666,,0.3333333333333333,0.4802666666666667,10.966666666666667,,,1.0,,,2.0,,4.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,,,,0.5,0.5,1.0,,,,,,3.0,1.0,1.0,1.0,1.0,,,,,,2.0,3.0,,,,4.0,2.0,,,,,,,,,,4.0,3.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,0.3333333333333333,1.0,1.0,,,,,,,0.3333333333333333,1.0,,,,0.4802666666666667,1.0,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1733-1897-979,1610612754,"Erick Strickland, Ron Mercer, Al Harrington, Metta World Peace, Jermaine O'Neal","Strickland, Mercer, Harrington, World Peace, O'Neal",1065-1500-1733-1897-979,IND,202.0,1,3.0,-11.0,7.0,7.0,6.0,14.0,,3.0,2.0,5.0,2.0,11.0,1.0,1.0,3.0,4.0,1.0,2.0,0.2857142857142857,1.0,1.0,1.0,99.8019801980198,18.857142857142858,10.0,18.428571428571427,10.0,,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.4346916666666667,12.22,32.65,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,0.6191,,,7.0,,2.0,,2.0,,,,2.0,,,5.0,,2.0,,,,,,,,,1.0,,,,,7.0,,,,,,,,1.0,1.0,0.2857142857142857,,,,,,,,,0.2857142857142857,,0.2857142857142857,,,0.4346916666666667,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,0.2,0.5,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1733-1902-979,1610612754,"Erick Strickland, Ron Mercer, Al Harrington, Jeff Foster, Jermaine O'Neal","Strickland, Mercer, Harrington, Foster, O'Neal",1065-1500-1733-1902-979,IND,53.0,1,1.0,-1.0,1.0,2.0,,3.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,81.50943396226415,25.0,14.0,25.0,14.0,,1.0,,,0.3599,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1802-1897-979,1610612754,"Erick Strickland, Ron Mercer, Brad Miller, Metta World Peace, Jermaine O'Neal","Strickland, Mercer, Miller, World Peace, O'Neal",1065-1500-1802-1897-979,IND,52.0,1,1.0,,2.0,1.0,,3.0,,,,,,,,,1.0,1.0,,1.0,,,1.0,,83.07692307692308,17.5,17.0,17.5,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,0.5,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1500-1897-2224-979,1610612754,"Erick Strickland, Ron Mercer, Metta World Peace, Jamaal Tinsley, Jermaine O'Neal","Strickland, Mercer, World Peace, Tinsley, O'Neal",1065-1500-1897-2224-979,IND,168.0,1,3.0,2.0,5.0,5.0,5.0,10.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,85.71428571428572,11.8,21.8,11.8,21.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.43835,11.9,24.5,,1.0,,,2.0,2.0,9.0,,,4.0,,2.0,2.0,1.0,4.0,,,2.0,,9.0,1.0,1.0,1.0,1.1666666666666667,1.125,,,,,,,,,1.0,1.0,1.0,,,,,,5.0,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,9.0,,,1.0,,,,1.0,,,,9.0,5.0,,1.0,1.0,1.0,1.0,1.1666666666666667,1.125,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,0.3333333333333333,1.0,1.0,0.43835,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
1065-1506-1733-1897-979,1610612754,"Erick Strickland, Austin Croshere, Al Harrington, Metta World Peace, Jermaine O'Neal","Strickland, Croshere, Harrington, World Peace, O'Neal",1065-1506-1733-1897-979,IND,184.0,1,3.0,-4.0,6.0,6.0,,12.0,,2.0,1.0,3.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,2.0,0.25,0.5,0.75,1.0,93.91304347826086,16.166666666666668,14.5,15.5,14.166666666666666,,0.5,0.25,0.5,0.5454,11.733333333333334,25.8,1.0,,,,1.0,2.0,4.0,1.0,,,,,,,,1.0,1.0,2.0,1.0,2.0,,,0.3333333333333333,0.25,0.4,,,1.0,0.3333333333333333,1.0,,,,,,,,,,0.2,0.25,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,0.25,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,1.0,,2.0,,,,,1.0,1.0,1.0,0.5,,,,,1.0,1.0,0.5,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2003,2002-03,False
