EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,FG3A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceFtPoints,ShortMidRangePctBlocked,LongMidRangePctBlocked,PtsUnassisted3s,FTOffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,OffFTReboundPct,OffArc3ReboundPct,SelfORebPct,PenaltyArc3FGM,Blocked3s,BlockedArc3,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,HeaveAttempts,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Defensive 3 Seconds Violations,OffensiveGoaltends,Corner3PctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips,HeaveMakes,team_id,year,season,team_vs
1088-1112-1442-1888-2419,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Tayshaun Prince","Atkins, Wallace, Rebraca, Hamilton, Prince",1088-1112-1442-1888-2419,DET,93.0,2,2.0,-2.0,3.0,4.0,2.0,2.0,7.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,108.38709677419355,12.333333333333334,14.0,12.333333333333334,14.0,1.0,1.0,0.5544,0.5,1.0,1.0,25.8,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1442-1888-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Jon Barry","Atkins, Wallace, Rebraca, Hamilton, Barry",1088-1112-1442-1888-468,DET,553.0,4,9.0,16.0,18.0,18.0,15.0,13.0,36.0,1.0,2.0,7.0,30.0,14.0,6.0,21.0,1.0,5.0,6.0,6.0,1.0,,1.0,1.0,,3.0,9.0,3.0,30.0,21.0,15.0,0.8055555555555556,0.7142857142857143,0.13333333333333333,0.7142857142857143,0.75,,0.75,93.74321880650994,14.777777777777779,15.944444444444445,14.777777777777779,15.722222222222221,0.06666666666666667,0.4666666666666667,0.49365,0.1875,0.21428571428571427,0.7,24.7,0.8333333333333334,5.0,5.0,3.0,3.0,2.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,1.0,6.0,9.0,1.0,2.0,14.0,6.0,3.0,7.0,1.0,8.0,1.0,4.0,2.0,1.0,17.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.7,0.7,1.0,0.5,0.5,0.5,0.7692307692307693,0.6666666666666666,0.7666666666666667,0.6818181818181818,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.8,0.2,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6,0.6,0.3333333333333333,0.06666666666666667,1.0,1.0,1.0,0.2727272727272727,1.0,0.09090909090909091,1.0,0.09090909090909091,0.4935045454545455,9.023076923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1442-1888-688,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Michael Curry","Atkins, Wallace, Rebraca, Hamilton, Curry",1088-1112-1442-1888-688,DET,2687.0,6,45.0,20.0,79.0,79.0,14.0,10.0,158.0,6.0,10.0,10.0,81.0,61.0,4.0,16.0,6.0,30.0,34.0,43.0,8.0,3.0,18.0,4.0,6.0,20.0,10.0,4.0,71.0,16.0,14.0,0.5785714285714286,0.8,0.15151515151515152,0.75,0.75,0.6666666666666666,0.6428571428571429,84.67435802009676,17.430379746835442,16.582278481012658,16.72151898734177,15.860759493670885,0.09090909090909091,0.5454545454545454,0.4892583333333333,0.058823529411764705,0.06896551724137931,0.19753086419753085,25.05,0.17721518987341772,17.0,26.0,4.0,5.0,5.0,15.0,6.0,15.0,2.0,4.0,,,,28.0,56.0,5.0,6.0,8.0,,,32.0,24.0,15.0,16.0,5.0,21.0,2.0,9.0,3.0,4.0,47.0,3.0,8.0,4.0,4.0,2.0,,2.0,1.0,0.5714285714285714,0.64,1.0,0.5,,0.5,0.5,0.75,0.5378787878787878,0.75,0.75,0.9285714285714286,,0.3939393939393939,0.6538461538461539,0.7391304347826086,0.5294117647058824,0.22727272727272727,0.3333333333333333,0.3333333333333333,0.6,0.22727272727272727,0.4,0.4,0.6666666666666666,0.06060606060606061,0.5,0.5,1.0,0.625,0.8,,,,0.532875,7.2178571428571425,8.0,5.0,5.0,3.0,1.0,5.0,7.0,1.0,10.0,6.0,3.0,3.0,3.0,1.0,8.0,1.0,9.0,4.0,10.0,6.0,4.0,1.0,2.0,9.0,2.0,4.0,3.0,9.0,7.0,1.0,0.7142857142857143,0.625,0.625,0.05357142857142857,0.11538461538461539,0.5555555555555556,1.0,0.2857142857142857,0.2,0.2727272727272727,0.2222222222222222,0.3,0.3333333333333333,0.5,1.0,0.7777777777777778,0.5,0.5,1.0,0.625,1.0,0.4,0.125,0.5,0.52928125,0.12345679012345678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1442-1888-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Corliss Williamson","Atkins, Wallace, Rebraca, Hamilton, Williamson",1088-1112-1442-1888-722,DET,1024.0,11,17.0,-10.0,30.0,34.0,10.0,9.0,64.0,2.0,2.0,6.0,22.0,32.0,2.0,12.0,2.0,9.0,15.0,18.0,4.0,2.0,7.0,1.0,6.0,12.0,10.0,4.0,19.0,12.0,10.0,0.4074074074074074,0.5,0.09090909090909091,0.8181818181818182,0.8333333333333334,0.5,,90.0,18.366666666666667,13.911764705882353,17.9,13.558823529411764,0.09090909090909091,0.45454545454545453,0.4594454545454545,0.15384615384615385,0.16666666666666666,0.5454545454545454,25.45,0.3333333333333333,3.0,8.0,,2.0,3.0,5.0,2.0,7.0,,,,,,8.0,20.0,,5.0,10.0,,,8.0,8.0,,4.0,,4.0,,1.0,2.0,1.0,8.0,1.0,3.0,1.0,2.0,,,1.0,1.0,0.5,0.5,,,,,0.4,0.5,0.36363636363636365,0.5,1.0,1.0,1.0,0.36363636363636365,0.375,0.375,0.3333333333333333,0.22727272727272727,0.6,0.75,0.6666666666666666,0.3181818181818182,0.2857142857142857,0.3333333333333333,0.5,,,,,0.2,,,,,0.39493,9.075,3.0,,,,1.0,1.0,1.0,1.0,3.0,,,2.0,,,3.0,5.0,3.0,2.0,3.0,3.0,,,,2.0,1.0,1.0,,2.0,1.0,,1.0,0.5,0.5,0.1,,0.42857142857142855,1.0,0.25,,0.21428571428571427,,,0.6,,,0.5,,,,,,,0.5,,0.491875,0.13636363636363635,1.0,0.2,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1442-468-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Corliss Williamson","Atkins, Wallace, Rebraca, Barry, Williamson",1088-1112-1442-468-722,DET,2424.0,12,40.0,17.0,73.0,71.0,9.0,6.0,144.0,12.0,15.0,9.0,88.0,71.0,2.0,11.0,12.0,23.0,28.0,40.0,4.0,,12.0,2.0,11.0,20.0,13.0,5.0,72.0,11.0,9.0,0.6041666666666666,0.9166666666666666,0.22727272727272727,0.7931034482758621,0.7941176470588235,0.7142857142857143,0.8181818181818182,85.54455445544555,16.794520547945204,16.87323943661972,15.794520547945206,16.211267605633804,0.18181818181818182,0.5606060606060606,0.4718886363636363,0.07042253521126761,0.08928571428571429,0.125,25.40666666666667,0.1232876712328767,10.0,22.0,,,9.0,14.0,7.0,15.0,2.0,3.0,1.0,1.0,1.0,26.0,51.0,9.0,3.0,3.0,1.0,2.0,30.0,22.0,21.0,15.0,7.0,22.0,2.0,3.0,7.0,5.0,51.0,4.0,8.0,6.0,,,1.0,1.0,2.0,0.5769230769230769,0.6521739130434783,0.7777777777777778,0.6,0.5,0.6,0.5098039215686274,1.0,0.5984848484848485,0.9,0.8,0.8181818181818182,1.0,0.3333333333333333,0.45454545454545453,0.5263157894736842,0.3,0.21212121212121213,0.6428571428571429,0.6428571428571429,0.7777777777777778,0.22727272727272727,0.4666666666666667,0.5,0.7142857142857143,0.045454545454545456,0.6666666666666666,0.6666666666666666,1.0,,,0.2,1.0,0.2,0.42302999999999996,7.592156862745098,12.0,6.0,7.0,7.0,1.0,8.0,11.0,1.0,16.0,6.0,7.0,4.0,5.0,2.0,9.0,1.0,12.0,2.0,8.0,3.0,5.0,1.0,2.0,5.0,2.0,1.0,2.0,5.0,4.0,1.0,0.7272727272727273,0.6666666666666666,0.6666666666666666,0.0784313725490196,0.13636363636363635,0.6666666666666666,1.0,0.36,0.3333333333333333,0.3548387096774194,0.5,0.2,0.25,,0.5,0.8,0.5833333333333334,0.5833333333333334,0.7142857142857143,0.5833333333333334,0.8571428571428571,0.16666666666666666,0.08333333333333333,0.5833333333333334,0.470495,0.18181818181818182,,,0.06666666666666667,6.0,1.0,3.0,2.0,0.3333333333333333,0.4,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-1888-2246,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Mehmet Okur","Atkins, Wallace, Billups, Hamilton, Okur",1088-1112-1497-1888-2246,DET,2.0,1,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,0.2046,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-1888-361,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Clifford Robinson","Atkins, Wallace, Billups, Hamilton, Robinson",1088-1112-1497-1888-361,DET,597.0,3,10.0,3.0,19.0,18.0,11.0,11.0,37.0,4.0,5.0,7.0,24.0,21.0,7.0,14.0,4.0,3.0,5.0,6.0,1.0,,2.0,2.0,1.0,1.0,8.0,2.0,23.0,14.0,11.0,0.6666666666666666,0.7,0.35714285714285715,1.0,1.0,,1.0,89.2462311557789,15.894736842105264,16.38888888888889,15.894736842105264,16.38888888888889,0.2857142857142857,0.5714285714285714,0.45509642857142857,0.125,0.18181818181818182,0.5833333333333334,25.56,0.5789473684210527,3.0,3.0,1.0,1.0,,,4.0,6.0,,1.0,,,3.0,7.0,9.0,1.0,2.0,3.0,1.0,3.0,14.0,,3.0,7.0,1.0,8.0,,3.0,,4.0,17.0,2.0,1.0,1.0,,,,2.0,,1.0,1.0,1.0,0.2,0.3333333333333333,0.2,0.7777777777777778,0.6666666666666666,0.6071428571428571,0.5833333333333334,1.0,1.0,1.0,0.21428571428571427,1.0,1.0,1.0,,,,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.07142857142857142,,,,0.16666666666666666,1.0,,,0.5,0.45530833333333337,12.288888888888888,1.0,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,0.5,,,0.5,,,0.25,0.16666666666666666,,,,,,1.0,0.25,0.25,1.0,,,,,0.25,,0.041666666666666664,1.0,,,,,,1.0,,0.3333333333333333,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-1888-688,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Michael Curry","Atkins, Wallace, Billups, Hamilton, Curry",1088-1112-1497-1888-688,DET,44.0,1,1.0,-2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,2.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,98.18181818181819,15.0,14.5,15.0,14.5,1.0,1.0,0.4083,,,,25.7,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.4083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-1888-722,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Corliss Williamson","Atkins, Wallace, Billups, Hamilton, Williamson",1088-1112-1497-1888-722,DET,66.0,1,1.0,-5.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,,,5.0,,,1.0,,,,1.0,,1.0,1.0,,1.0,,,,,3.0,,,1.0,,,,,109.09090909090908,12.666666666666666,14.0,12.666666666666666,14.0,1.0,1.0,0.5355,,,,26.3,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-2246-722,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Mehmet Okur, Corliss Williamson","Atkins, Wallace, Billups, Okur, Williamson",1088-1112-1497-2246-722,DET,243.0,2,4.0,-4.0,6.0,7.0,3.0,2.0,13.0,1.0,1.0,3.0,5.0,9.0,,2.0,1.0,2.0,2.0,4.0,2.0,,2.0,1.0,,1.0,4.0,2.0,5.0,2.0,3.0,0.35714285714285715,0.3333333333333333,0.2,0.4,0.4,1.0,,77.03703703703704,19.166666666666668,18.285714285714285,18.333333333333332,16.142857142857142,0.2,0.4,0.40169,0.2857142857142857,0.3333333333333333,0.4,26.4,0.5,,1.0,,1.0,1.0,3.0,,,,,,,,1.0,4.0,,1.0,3.0,,,2.0,,,1.0,,1.0,,,1.0,,2.0,,,,,,,,,1.0,1.0,,,,,0.25,0.3333333333333333,0.2,0.3333333333333333,,0.5,,0.2,,,,0.6,0.3333333333333333,0.5,1.0,,,,,,,,,0.3333333333333333,,,,,0.3913,7.625,2.0,,,,1.0,,,1.0,,,,1.0,,,2.0,,2.0,,,,,2.0,,,,,,,,,,,,0.25,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,,0.48645,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
