EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Technical Free Throw Trips,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,Travels,ShortMidRangePctBlocked,OffCorner3ReboundPct,ShortMidRangePctAssisted,HeaveAttempts,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,SecondChanceArc3FGM,BlockedAtRim,LongMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,team_id,year,season,team_vs
1723-1905-1909-252-349,1610612762,"Matt Harpring, Andrei Kirilenko, Scott Padgett, Karl Malone, Mark Jackson","Harpring, Kirilenko, Padgett, Malone, Jackson",1723-1905-1909-252-349,UTA,46.0,1,1.0,2.0,3.0,2.0,3.0,2.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,156.52173913043478,1.0,5.0,15.5,5.0,15.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4773,0.4773,0.5,0.5,1.0,3.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-1909-304-731,1610612762,"Matt Harpring, Andrei Kirilenko, Scott Padgett, John Stockton, Greg Ostertag","Harpring, Kirilenko, Padgett, Stockton, Ostertag",1723-1905-1909-304-731,UTA,3.0,1,,,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-1909-349-731,1610612762,"Matt Harpring, Andrei Kirilenko, Scott Padgett, Mark Jackson, Greg Ostertag","Harpring, Kirilenko, Padgett, Jackson, Ostertag",1723-1905-1909-349-731,UTA,168.0,1,3.0,9.0,6.0,5.0,6.0,4.0,11,,,,,2.0,4.0,4.0,11.0,2.0,2.0,4.0,4.0,11.0,2.0,1.0,2.0,,5.0,2.0,2.0,3.0,,4.0,1.0,,,,,9.0,11.0,6.0,,0.5,0.5,0.5,0.5,0.7,0.7,0.7857142857142857,0.7857142857142857,1.0,1.0,1.0,94.28571428571429,,10.833333333333334,20.6,10.833333333333334,20.6,,,,,,,0.2,0.41148999999999997,0.41148999999999997,0.16666666666666666,0.2,1.0,15.225,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.5,0.5,1.0,1.0,0.2,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,1.0,1.0,0.2,1.0,1.0,0.18181818181818182,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-1909-349-763,1610612762,"Matt Harpring, Andrei Kirilenko, Scott Padgett, Mark Jackson, Tony Massenburg","Harpring, Kirilenko, Padgett, Jackson, Massenburg",1723-1905-1909-349-763,UTA,263.0,1,4.0,,9.0,10.0,9.0,,19,1.0,1.0,1.0,1.0,4.0,8.0,,8.0,8.0,4.0,8.0,,8.0,2.0,1.0,1.0,,2.0,4.0,4.0,5.0,2.0,,,,,,,6.0,8.0,9.0,,0.25,0.3333333333333333,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.8,1.0,104.03041825095056,,12.333333333333334,15.2,12.222222222222221,14.8,0.125,1.0,1.0,,0.125,1.0,0.125,0.3950375,0.3950375,,,1.0,10.975,1.0,1.0,4.0,1.0,3.0,,,,,,,,2.0,,,6.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,0.25,0.25,0.5,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.25,,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.3472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-2052-252-304,1610612762,"Matt Harpring, Andrei Kirilenko, DeShawn Stevenson, Karl Malone, John Stockton","Harpring, Kirilenko, Stevenson, Malone, Stockton",1723-1905-2052-252-304,UTA,21.0,1,,-2.0,3.0,4.0,3.0,4.0,7,,,,,,,6.0,6.0,8.0,,,6.0,6.0,,,,,,,,,,6.0,,,,,,6.0,6.0,3.0,,,,,,,,1.0,1.0,,,,480.00000000000006,,2.0,3.75,2.0,3.75,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-252-304-384,1610612762,"Matt Harpring, Andrei Kirilenko, Karl Malone, John Stockton, Calbert Cheaney","Harpring, Kirilenko, Malone, Stockton, Cheaney",1723-1905-252-304-384,UTA,35.0,1,1.0,3.0,2.0,1.0,2.0,1.0,3,,,,,,,3.0,3.0,,,,3.0,3.0,,,,,,1.0,1.0,1.0,,4.0,,,,,,3.0,3.0,2.0,,,,,,,,0.75,0.75,1.0,1.0,,123.42857142857142,,7.5,20.0,7.5,20.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-252-304-731,1610612762,"Matt Harpring, Andrei Kirilenko, Karl Malone, John Stockton, Greg Ostertag","Harpring, Kirilenko, Malone, Stockton, Ostertag",1723-1905-252-304-731,UTA,1514.0,4,25.0,-11.0,48.0,50.0,32.0,27.0,98,2.0,11.0,2.0,10.0,8.0,32.0,20.0,48.0,59.0,6.0,23.0,17.0,38.0,10.0,5.0,8.0,1.0,19.0,7.0,12.0,25.0,20.0,29.0,5.0,2.0,,2.0,1.0,38.0,38.0,32.0,3.0,0.625,0.7142857142857143,0.25,0.2608695652173913,0.35,0.3888888888888889,0.4351851851851852,0.5,0.3888888888888889,0.42857142857142855,0.5,93.21003963011889,0.5,15.770833333333334,15.14,14.895833333333334,14.3,0.275,0.18181818181818182,0.2857142857142857,0.5,0.37037037037037035,0.2,0.475,0.48353,0.49354629629629626,0.1111111111111111,0.13513513513513514,0.7916666666666666,10.725,0.6666666666666666,10.0,4.0,4.0,17.0,2.0,4.0,2.0,3.0,4.0,8.0,3.0,10.0,3.0,4.0,6.0,9.0,4.0,2.0,3.0,1.0,4.0,12.0,13.0,5.0,4.0,9.0,0.75,0.5,0.75,0.5,0.4166666666666667,0.2,0.5,0.42857142857142855,0.46153846153846156,0.3076923076923077,0.1,0.425,0.23529411764705882,0.23529411764705882,1.0,0.1,0.5,0.5,0.5,0.1111111111111111,0.6666666666666666,0.5,0.20833333333333334,24.025,1.0,6.0,2.0,2.0,8.0,2.0,3.0,8.0,4.0,3.0,2.0,0.25,0.35,0.5,0.5,0.6,0.16666666666666666,0.559515,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,2.0,3.0,1.0,13.0,1.0,2.0,1.0,0.5,0.125,0.36363636363636365,0.625,0.75,0.25,0.6666666666666666,0.5555555555555556,0.5,0.6666666666666666,1.0,0.08333333333333333,0.1,0.5,0.5,1.0,1.0,0.1,1.0,1.0,0.1,0.037037037037037035,1.0,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-252-304-763,1610612762,"Matt Harpring, Andrei Kirilenko, Karl Malone, John Stockton, Tony Massenburg","Harpring, Kirilenko, Malone, Stockton, Massenburg",1723-1905-252-304-763,UTA,329.0,3,5.0,4.0,10.0,7.0,3.0,,17,,1.0,,,2.0,9.0,3.0,7.0,3.0,1.0,3.0,,2.0,2.0,1.0,1.0,,2.0,3.0,4.0,7.0,3.0,4.0,2.0,1.0,1.0,1.0,,5.0,2.0,3.0,,0.5,0.5,0.2222222222222222,0.3333333333333333,0.2,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,74.40729483282675,,15.7,24.571428571428573,14.6,21.857142857142858,0.1,,,,,,0.2,0.41689,0.3814666666666667,0.16666666666666666,0.18181818181818182,0.2857142857142857,12.3,0.3,4.0,3.0,2.0,5.0,,1.0,,,,1.0,2.0,2.0,,,2.0,,1.0,,,,1.0,2.0,3.0,,,,,,,,0.3333333333333333,0.1,0.2857142857142857,0.375,0.3333333333333333,0.4,0.3,0.5,0.4,0.4,0.5,0.1,,,,,,,0.2857142857142857,24.4,,1.0,,,2.0,,,1.0,,,,,,,,0.5,,0.4826,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,,1.0,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-252-349-731,1610612762,"Matt Harpring, Andrei Kirilenko, Karl Malone, Mark Jackson, Greg Ostertag","Harpring, Kirilenko, Malone, Jackson, Ostertag",1723-1905-252-349-731,UTA,1094.0,4,18.0,-15.0,34.0,32.0,27.0,16.0,66,5.0,12.0,4.0,9.0,10.0,27.0,2.0,28.0,43.0,8.0,22.0,2.0,24.0,14.0,7.0,9.0,3.0,20.0,,4.0,12.0,11.0,2.0,,,,,,24.0,24.0,27.0,2.0,0.7,0.7777777777777778,0.37037037037037035,0.36363636363636365,0.3939393939393939,0.4074074074074074,0.4117647058823529,0.42857142857142855,,0.2857142857142857,,86.87385740402193,,13.676470588235293,19.65625,12.823529411764707,16.5625,0.36363636363636365,0.4166666666666667,0.5555555555555556,0.6,0.3333333333333333,0.4444444444444444,0.5454545454545454,0.48537878787878785,0.4754425925925926,,,0.8571428571428571,8.988888888888889,0.7941176470588235,7.0,5.0,4.0,10.0,2.0,4.0,2.0,4.0,2.0,6.0,,4.0,2.0,5.0,6.0,6.0,4.0,2.0,2.0,2.0,3.0,7.0,8.0,3.0,3.0,1.0,1.0,0.3333333333333333,0.4,0.3333333333333333,0.25,0.18181818181818182,0.4117647058823529,0.38095238095238093,0.3333333333333333,,0.15151515151515152,0.30303030303030304,0.4,0.4,0.75,0.12121212121212122,0.5,0.5,1.0,0.14814814814814814,0.5,0.5,0.14285714285714285,24.0,1.0,4.0,1.0,2.0,8.0,2.0,5.0,8.0,5.0,2.0,1.0,0.25,0.25,0.2,0.3333333333333333,0.5,0.25,0.4642,,2.0,,,,1.0,,,,,5.0,,,4.0,,1.0,,3.0,1.0,2.0,1.0,4.0,,,,,0.18518518518518517,0.25,0.375,,,0.8,0.5714285714285714,0.25,,0.8,0.0625,0.06060606060606061,,,,,,,,,0.037037037037037035,,1.0,0.25,,1.0,2.0,2.0,0.4,0.5,1.0,,,,,,,,,,,1610612762,2003,2002-03,True
1723-1905-252-349-763,1610612762,"Matt Harpring, Andrei Kirilenko, Karl Malone, Mark Jackson, Tony Massenburg","Harpring, Kirilenko, Malone, Jackson, Massenburg",1723-1905-252-349-763,UTA,112.0,1,2.0,1.0,3.0,3.0,,,6,,,,,2.0,4.0,,4.0,3.0,,,,,2.0,1.0,1.0,,2.0,2.0,2.0,3.0,,,,1.0,,1.0,1.0,4.0,,,,0.5,0.5,0.5,,0.5,,0.5,,1.0,1.0,,77.14285714285714,1.0,18.666666666666668,18.666666666666668,18.666666666666668,18.666666666666668,,,,,,,,0.425325,,,,,18.025,,,1.0,1.0,3.0,,,,,,,,,,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,0.5,0.5,0.5,1.0,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2003,2002-03,True
