EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,FtPoints,LongMidRangeAssists,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefLongMidRangeReboundPct,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Corner3FGA,FG3A,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,FG3APct,BlocksRecoveredPct,Corner3Frequency,Avg3ptShotDistance,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Technical Free Throw Trips,BlockedShortMidRange,SecondChanceAtRimFGA,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted3s,Corner3Assists,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,LostBallSteals,LostBallTurnovers,NonShootingFoulsDrawn,SecondChanceFg3Pct,DefFTReboundPct,OffFTReboundPct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceAtRimFGM,SecondChanceCorner3FGA,Fg2aBlocked,OffThreePtRebounds,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,BadPassOutOfBoundsTurnovers,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,BlockedLongMidRange,Travels,SecondChanceArc3PctAssisted,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,Corner3PctBlocked,team_id,year,season,team_vs
1038-1508-1509-1749-1883,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Cuttino Mobley, Steve Francis","Hawkins, Taylor, Cato, Mobley, Francis",1038-1508-1509-1749-1883,HOU,203.0,3,3.0,2.0,9.0,7.0,6.0,6.0,1.0,16.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,8.0,8.0,6.0,1.0,1.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,4.0,6.0,0.5,0.6666666666666666,0.5,1.0,0.4,0.5,1.0,0.4,0.5,1.0,0.4,0.6666666666666666,0.25,0.6666666666666666,0.25,0.5,1.0,0.25,113.49753694581281,11.88888888888889,13.714285714285714,11.777777777777779,13.428571428571429,0.375,0.3333333333333333,0.3333333333333333,1.0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,0.5,0.5,0.4,0.5,0.375,0.45165,0.4371,0.45292000000000004,0.25,0.5,7.8125,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-1749-983,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Cuttino Mobley, Moochie Norris","Hawkins, Taylor, Cato, Mobley, Norris",1038-1508-1509-1749-983,HOU,170.0,1,3.0,2.0,5.0,4.0,,,,9.0,1.0,1.0,,,,,3.0,4.0,4.0,5.0,9.0,7.0,,,,,,,6.0,2.0,,3.0,3.0,,,6.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,9.0,,,0.75,0.75,0.8,,,0.8,,,0.9,,,1.0,,1.0,,,,,76.23529411764706,17.0,21.25,17.0,21.25,0.2,1.0,1.0,,,,,,0.8,0.75,0.75,,,0.2,0.4747,,,,,15.219999999999999,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-1883-1899,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Steve Francis, James Posey","Hawkins, Taylor, Cato, Francis, Posey",1038-1508-1509-1883-1899,HOU,176.0,3,3.0,,4.0,5.0,1.0,3.0,,9.0,,,,,,,1.0,3.0,1.0,3.0,4.0,4.0,,,,1.0,2.0,2.0,2.0,,,1.0,1.0,,,2.0,,4.0,4.0,,4.0,,,,,,,,,,4.0,2.0,1.0,1.0,1.0,0.3333333333333333,,0.5,0.25,,0.5,0.4,,0.5,0.8,,0.8,,,1.0,,73.63636363636364,16.25,22.2,16.25,21.8,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,,,0.25,0.3819125,,0.29625,,0.5,16.066666666666666,0.25,2.0,1.0,2.0,,1.0,1.0,1.0,0.2,0.25,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.25,1.0,0.25,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-1883-1903,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Steve Francis, Kenny Thomas","Hawkins, Taylor, Cato, Francis, Thomas",1038-1508-1509-1883-1903,HOU,227.0,1,4.0,4.0,8.0,7.0,8.0,3.0,1.0,15.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,5.0,10.0,6.0,,,,2.0,5.0,10.0,4.0,,,2.0,3.0,1.0,,7.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,1.0,,3.0,,,10.0,10.0,8.0,1.0,1.0,0.4,,0.4,0.5,,0.5,0.625,,0.625,1.0,0.3333333333333333,0.5,0.25,,,0.25,95.15418502202644,13.625,16.857142857142858,13.5,16.142857142857142,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,,,,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,0.42857142857142855,0.4617928571428571,,0.4617928571428571,,1.0,11.16,1.0,3.0,1.0,3.0,1.0,2.0,,1.0,0.25,0.3333333333333333,1.0,2.0,,,,,,0.2857142857142857,,0.14285714285714285,24.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-1883-2242,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Steve Francis, Terence Morris","Hawkins, Taylor, Cato, Francis, Morris",1038-1508-1509-1883-2242,HOU,228.0,1,4.0,2.0,8.0,7.0,,,,15.0,,2.0,,,3.0,3.0,1.0,2.0,4.0,7.0,9.0,7.0,,,,,,,4.0,4.0,,2.0,2.0,,1.0,4.0,,3.0,3.0,,3.0,,,,1.0,1.0,2.0,6.0,1.0,,9.0,,,0.5,0.5,0.5714285714285714,,,0.5714285714285714,,,0.5714285714285714,,,0.6,,0.6,,,0.75,,94.73684210526316,12.75,18.0,12.75,16.714285714285715,0.2857142857142857,,,,0.42857142857142855,1.0,1.0,0.3333333333333333,0.2857142857142857,0.5,0.5,,,0.2857142857142857,0.45558571428571426,,,,,7.928571428571429,,1.0,1.0,1.0,,,,1.0,,,,,2.0,1.0,2.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-1883-779,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Steve Francis, Glen Rice","Hawkins, Taylor, Cato, Francis, Rice",1038-1508-1509-1883-779,HOU,820.0,3,14.0,7.0,26.0,26.0,2.0,,5.0,52.0,2.0,4.0,1.0,1.0,1.0,3.0,5.0,12.0,8.0,19.0,31.0,24.0,1.0,3.0,7.0,1.0,1.0,2.0,10.0,6.0,,5.0,7.0,2.0,,16.0,4.0,4.0,7.0,5.0,12.0,1.0,6.0,3.0,1.0,3.0,1.0,5.0,1.0,,24.0,2.0,2.0,0.625,0.625,0.42105263157894735,0.3333333333333333,1.0,0.5,0.625,1.0,0.5344827586206896,0.7,1.0,0.6666666666666666,0.36363636363636365,0.75,0.2857142857142857,0.5,,0.07142857142857142,91.31707317073172,17.307692307692307,14.23076923076923,15.692307692307692,14.0,0.16,0.5,0.5,1.0,0.12,0.3333333333333333,0.3333333333333333,,0.48,0.4166666666666667,0.4166666666666667,1.0,1.0,0.4,0.471038,0.487175,0.5319,0.22580645161290322,0.06451612903225806,12.136842105263158,0.07692307692307693,6.0,3.0,9.0,1.0,4.0,0.6666666666666666,0.6,0.14285714285714285,0.18181818181818182,2.0,6.0,1.0,,1.0,1.0,,0.24,1.0,0.08,24.366666666666664,,2.0,4.0,,,3.0,,,,6.0,4.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,0.6666666666666666,0.5,,0.5,0.6666666666666666,,1.0,0.16,0.5,0.5,0.5,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,1.0,1.0,0.5,0.5,1.0,0.25,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-1883-983,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Steve Francis, Moochie Norris","Hawkins, Taylor, Cato, Francis, Norris",1038-1508-1509-1883-983,HOU,14.0,1,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,13.0,1.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-2242-983,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Terence Morris, Moochie Norris","Hawkins, Taylor, Cato, Morris, Norris",1038-1508-1509-2242-983,HOU,123.0,1,2.0,4.0,3.0,4.0,,,,7.0,2.0,2.0,,,,,1.0,1.0,3.0,3.0,6.0,2.0,,,,,,,2.0,4.0,,1.0,1.0,,,2.0,,1.0,2.0,,2.0,,1.0,1.0,,,,1.0,,,6.0,,,0.3333333333333333,0.3333333333333333,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,81.95121951219512,12.666666666666666,21.25,12.666666666666666,21.25,0.6666666666666666,1.0,1.0,,,,,,0.3333333333333333,1.0,1.0,,,0.6666666666666666,0.5820333333333333,,,,,5.733333333333333,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-2411-983,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Bostjan Nachbar, Moochie Norris","Hawkins, Taylor, Cato, Nachbar, Norris",1038-1508-1509-2411-983,HOU,35.0,1,1.0,-2.0,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.28571428571428,21.0,14.0,21.0,14.0,,,,,,,,,,,,,,1.0,0.41115,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,26.6,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
1038-1508-1509-779-983,1610612745,"Juaquin Hawkins, Maurice Taylor, Kelvin Cato, Glen Rice, Moochie Norris","Hawkins, Taylor, Cato, Rice, Norris",1038-1508-1509-779-983,HOU,993.0,7,17.0,13.0,29.0,27.0,,,7.0,56.0,7.0,9.0,,,2.0,8.0,3.0,8.0,12.0,25.0,40.0,27.0,2.0,4.0,8.0,,,,18.0,6.0,4.0,9.0,10.0,5.0,1.0,21.0,6.0,7.0,8.0,7.0,15.0,,2.0,2.0,1.0,4.0,2.0,8.0,1.0,,32.0,,,0.75,0.9,0.48,0.5,,0.5172413793103449,0.4,,0.5882352941176471,0.5714285714285714,,0.5833333333333334,0.46153846153846156,0.6153846153846154,0.4666666666666667,1.0,1.0,,81.2084592145015,16.862068965517242,18.666666666666668,14.655172413793103,17.962962962962962,0.3103448275862069,0.7777777777777778,1.0,0.7142857142857143,0.27586206896551724,0.25,0.5,0.5,0.27586206896551724,0.375,0.375,,,0.4482758620689655,0.48075689655172416,0.49508,,0.2,,8.064,,10.0,3.0,12.0,2.0,7.0,0.5,1.0,0.20588235294117646,0.23333333333333334,1.0,4.0,1.0,,1.0,,,0.13793103448275862,,0.034482758620689655,25.0,,2.0,3.0,,,2.0,,,,3.0,3.0,2.0,1.0,1.0,3.0,,1.0,,,,0.5,0.5,,0.5,0.75,0.3333333333333333,0.6,0.10344827586206896,0.6666666666666666,0.6666666666666666,0.5,,,,0.6666666666666666,,1.0,2.0,,,,,1.0,4.0,3.0,,,1.0,,,3.0,,,,,1.0,0.4,1.0,,,,,0.4,,,2.0,1.0,6.0,1.0,0.24,0.2222222222222222,0.5,0.5,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2003,2002-03,True
