EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyDefPoss,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted3s,TwoPtAssists,ShortMidRangeAssists,LongMidRangeAssists,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,ShootingFouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimAssists,AtRimPctAssisted,SelfOReb,SelfORebPct,PenaltyAtRimFGM,SecondChanceArc3FGA,SecondChanceFG3A,HeaveAttempts,OffThreePtRebounds,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,RecoveredBlocks,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,3SecondViolations,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,DefCorner3ReboundPct,BlockedShortMidRange,BlockedLongMidRange,OffensiveGoaltends,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1501-193-2046-2072-208,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Michael Redd, Sam Cassell","Thomas, Mason, Mason, Redd, Cassell",1501-193-2046-2072-208,MIL,164.0,1,3,4.0,5,4,5.0,1.0,9,1.0,1.0,1.0,2.0,2.0,3.0,4.0,8.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,8.0,5.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,79.02439024390243,16.6,20.25,16.2,20.25,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,0.42996666666666666,0.5212,0.42996666666666666,0.25,0.25,0.25,1.0,12.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2046-2072-56,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Michael Redd, Gary Payton","Thomas, Mason, Mason, Redd, Payton",1501-193-2046-2072-56,MIL,260.0,1,4,5.0,7,6,,1.0,13,,,1.0,2.0,2.0,4.0,,13.0,8.0,1.0,1.0,2.0,,,,,4.0,,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,,1.0,11.0,,,0.5,1.0,,0.9285714285714286,1.0,,0.8125,1.0,,0.3333333333333333,0.5,0.3333333333333333,0.5,,,72.0,16.142857142857142,24.5,15.714285714285714,21.0,,,,0.2857142857142857,0.5,0.5,0.4821571428571429,0.4555,,,,0.15384615384615385,,8.65,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,9.0,1.0,1.0,1.0,0.42857142857142855,0.25,0.5,1.0,1.0,0.2857142857142857,0.5,1.0,0.2857142857142857,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,23.53333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2046-208-389,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Sam Cassell, Toni Kukoc","Thomas, Mason, Mason, Cassell, Kukoc",1501-193-2046-208-389,MIL,102.0,1,2,,2,3,,1.0,5,1.0,1.0,,2.0,1.0,3.0,,2.0,2.0,,1.0,,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,2.0,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,,,,0.5,,0.5,0.5,,70.58823529411765,21.0,20.0,18.0,19.0,0.3333333333333333,1.0,1.0,0.6666666666666666,,,0.36260000000000003,0.3487,,,,,,17.533333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2046-208-56,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Sam Cassell, Gary Payton","Thomas, Mason, Mason, Cassell, Payton",1501-193-2046-208-56,MIL,1233.0,5,21,-8.0,39,41,18.0,3.0,80,2.0,7.0,4.0,11.0,8.0,28.0,14.0,33.0,41.0,1.0,3.0,4.0,2.0,11.0,9.0,16.0,6.0,,4.0,11.0,15.0,4.0,19.0,2.0,5.0,1.0,14.0,1.0,17.0,6.0,3.0,29.0,16.0,18.0,0.2857142857142857,0.3333333333333333,0.18181818181818182,0.3064516129032258,0.3333333333333333,0.2692307692307692,0.42105263157894735,0.5,0.4444444444444444,0.8461538461538461,0.2,0.8235294117647058,0.18181818181818182,0.2857142857142857,0.8571428571428571,93.43065693430657,17.076923076923077,13.829268292682928,16.435897435897434,13.609756097560975,0.22580645161290322,0.2857142857142857,0.3333333333333333,0.3548387096774194,0.36363636363636365,0.36363636363636365,0.45603548387096776,0.4351333333333333,0.45085384615384616,0.17142857142857143,0.1875,0.12121212121212122,0.48484848484848486,9.50357142857143,0.46153846153846156,2.0,10.0,,1.0,,,1.0,3.0,1.0,3.0,,3.0,1.0,3.0,,5.0,,,10.0,,0.3333333333333333,0.3333333333333333,0.0967741935483871,0.10714285714285714,0.2,,1.0,0.3225806451612903,0.2,0.25,,,,,0.0967741935483871,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,0.41935483870967744,0.3333333333333333,24.433333333333334,8.0,3.0,1.0,2.0,2.0,1.0,2.0,10.0,3.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.625,0.625,0.5,0.14285714285714285,0.6,0.5,0.75,0.4,0.5,0.75,0.5,1.0,0.23076923076923078,0.15384615384615385,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2046-208-911,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Sam Cassell, Ervin Johnson","Thomas, Mason, Mason, Cassell, Johnson",1501-193-2046-208-911,MIL,60.0,1,1,,1,2,,,3,1.0,1.0,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,,,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,72.0,30.0,15.0,30.0,15.0,1.0,1.0,1.0,,,,0.3664,,,,,,,13.3,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2046-2409-56,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Marcus Haislip, Gary Payton","Thomas, Mason, Mason, Haislip, Payton",1501-193-2046-2409-56,MIL,147.0,1,2,4.0,4,4,,,8,1.0,1.0,3.0,3.0,4.0,4.0,,8.0,4.0,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,8.0,,,1.0,,,1.0,,,1.0,,,0.5,,0.5,,,,78.3673469387755,13.5,23.25,13.5,23.0,0.25,1.0,1.0,0.75,1.0,1.0,0.3937,,,,,,,16.25,,,,,,,,,,,,,,,,,3.0,,,6.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,6.0,,3.0,1.0,2.0,,,,,,,,,,,,,,,,,0.75,0.75,,,,,,,,,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2046-389-56,1610612749,"Tim Thomas, Anthony Mason, Desmond Mason, Toni Kukoc, Gary Payton","Thomas, Mason, Mason, Kukoc, Payton",1501-193-2046-389-56,MIL,68.0,1,1,-4.0,5,3,5.0,,8,,,,2.0,,2.0,1.0,1.0,5.0,,,,,2.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,2.0,,1.0,1.0,1.0,5.0,,,,,,,0.16666666666666666,,0.16666666666666666,1.0,,1.0,,,,169.41176470588235,8.8,8.0,8.8,8.0,,,,1.0,,,0.3893,,0.3893,,,,1.0,18.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2072-208-389,1610612749,"Tim Thomas, Anthony Mason, Michael Redd, Sam Cassell, Toni Kukoc","Thomas, Mason, Redd, Cassell, Kukoc",1501-193-2072-208-389,MIL,453.0,2,8,-8.0,13,13,1.0,1.0,26,1.0,2.0,1.0,3.0,4.0,7.0,,14.0,22.0,,1.0,,1.0,1.0,,2.0,2.0,,1.0,1.0,2.0,1.0,3.0,,1.0,,4.0,,,,,14.0,2.0,1.0,0.5714285714285714,,1.0,0.5384615384615384,,1.0,0.5384615384615384,,1.0,1.0,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.5,,82.64900662251655,16.23076923076923,18.615384615384617,15.923076923076923,18.23076923076923,0.15384615384615385,0.5,0.5,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.4834846153846154,0.4287,0.3009,,,,0.14285714285714285,8.6,0.07692307692307693,2.0,2.0,,,,,2.0,6.0,2.0,6.0,6.0,6.0,2.0,,2.0,5.0,2.0,,12.0,1.0,0.3333333333333333,0.3333333333333333,0.46153846153846156,,,,1.0,0.15384615384615385,1.0,1.0,,,,,0.46153846153846156,0.3333333333333333,0.3333333333333333,1.0,,,0.6153846153846154,0.3333333333333333,24.666666666666668,7.0,,,,,,,6.0,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,2.0,0.75,0.75,,,1.0,,0.5,,,0.5,1.0,1.0,,,,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2072-208-56,1610612749,"Tim Thomas, Anthony Mason, Michael Redd, Sam Cassell, Gary Payton","Thomas, Mason, Redd, Cassell, Payton",1501-193-2072-208-56,MIL,267.0,1,4,,9,9,,2.0,18,,2.0,1.0,3.0,3.0,10.0,,6.0,6.0,,2.0,,,,,,4.0,,2.0,3.0,3.0,2.0,5.0,,,,1.0,,,,,6.0,,,0.3,,,0.2727272727272727,,,0.2727272727272727,,,1.0,0.2857142857142857,1.0,0.25,,1.0,97.07865168539325,16.77777777777778,12.88888888888889,15.0,12.88888888888889,0.18181818181818182,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.4845181818181818,0.47525,,,,,,8.17,,2.0,5.0,,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,,,2.0,,,,0.09090909090909091,0.1,0.2,0.6666666666666666,1.0,0.45454545454545453,0.4,0.5,,,,,0.09090909090909091,,,,0.5,,0.5454545454545454,,25.6,9.0,,,,,,,2.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,1.0,,,,,,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
1501-193-2072-389-56,1610612749,"Tim Thomas, Anthony Mason, Michael Redd, Toni Kukoc, Gary Payton","Thomas, Mason, Redd, Kukoc, Payton",1501-193-2072-389-56,MIL,1715.0,6,29,-3.0,53,51,21.0,5.0,104,3.0,9.0,6.0,8.0,18.0,29.0,10.0,52.0,55.0,1.0,1.0,3.0,8.0,11.0,3.0,25.0,18.0,2.0,4.0,13.0,16.0,6.0,22.0,6.0,11.0,6.0,13.0,1.0,21.0,10.0,1.0,49.0,25.0,21.0,0.6206896551724138,1.0,0.7272727272727273,0.5384615384615384,0.5,0.6875,0.5306122448979592,0.375,0.6944444444444444,0.5,0.36363636363636365,0.5172413793103449,0.29411764705882354,,0.375,87.32361516034986,15.528301886792454,17.49019607843137,14.81132075471698,16.764705882352942,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.20512820512820512,0.75,0.75,0.4693921052631579,0.49215,0.46473333333333333,0.20833333333333334,0.2631578947368421,0.057692307692307696,0.4807692307692308,7.455172413793103,0.39622641509433965,9.0,12.0,1.0,1.0,,,2.0,10.0,2.0,10.0,6.0,9.0,2.0,1.0,2.0,11.0,2.0,,24.0,1.0,0.2,0.2222222222222222,0.2564102564102564,0.034482758620689655,0.08333333333333333,0.6666666666666666,0.6363636363636364,0.3076923076923077,0.75,0.8181818181818182,,,,,0.2564102564102564,0.2,0.2,1.0,0.5,1.0,0.5641025641025641,0.2222222222222222,30.080000000000002,16.0,5.0,2.0,5.0,1.0,2.0,5.0,18.0,,9.0,1.0,4.0,2.0,1.0,5.0,2.0,5.0,2.0,2.0,3.0,5.0,3.0,1.0,,4.0,4.0,4.0,3.0,0.5,0.5294117647058824,0.4,,0.45454545454545453,0.5,0.6666666666666666,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3125,0.3125,0.4,4.0,0.4444444444444444,,,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,0.2,0.16666666666666666,0.16666666666666666,0.75,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2003,2002-03,False
