EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,TotalPoss,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,PenaltyDefPoss,OpponentPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveAttempts,Loose Ball Fouls,BlockedShortMidRange,SecondChanceTurnovers,3SecondViolations,OffCorner3ReboundPct,PenaltyArc3FGM,Technical Free Throw Trips,LongMidRangePctBlocked,PenaltyArc3Accuracy,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1088-1112-1497-1888-688,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Michael Curry","Atkins, Wallace, Billups, Hamilton, Curry",1088-1112-1497-1888-688,DET,7.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,205.71428571428572,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-2419-468,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Tayshaun Prince, Jon Barry","Atkins, Wallace, Billups, Prince, Barry",1088-1112-1497-2419-468,DET,35.0,2,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,123.42857142857142,13.0,13.0,1.0,-2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1497-2419-688,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Tayshaun Prince, Michael Curry","Atkins, Wallace, Billups, Prince, Curry",1088-1112-1497-2419-688,DET,6.0,1,1.0,2.0,,,,,,,480.0,5.0,5.0,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2246-2419,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Mehmet Okur, Tayshaun Prince","Atkins, Wallace, Hamilton, Okur, Prince",1088-1112-1888-2246-2419,DET,2912.0,10,82.0,165.0,19.0,31.0,43.0,0.6129032258064516,0.7142857142857143,0.6,81.5934065934066,16.926829268292682,16.25609756097561,49.0,-1.0,83.0,22.0,19.0,86.0,2.0,6.0,13.0,2.0,10.0,21.0,22.0,18.36144578313253,17.518072289156628,0.26506024096385544,10.0,8.0,15.0,3.0,5.0,1.0,3.0,7.0,19.0,7.0,15.0,2.0,6.0,1.0,1.0,2.0,4.0,13.0,1.0,2.0,2.0,22.0,49.0,6.0,19.0,23.0,85.0,4.0,7.0,1.0,3.0,1.0,12.0,4.0,12.0,1.0,4.0,13.0,24.0,16.0,28.0,15.0,3.0,4.0,13.0,4.0,3.0,8.0,5.0,13.0,3.0,2.0,2.0,3.0,3.0,31.0,2.0,10.0,11.0,1.0,12.0,4.0,6.0,5.0,1.0,7.0,4.0,1.0,3.0,2.0,1.0,33.0,3.0,13.0,5.0,9.0,8.0,1.0,9.0,5.0,73.0,24.0,1.0,0.36363636363636365,0.4,0.8333333333333334,0.3157894736842105,0.3333333333333333,0.25,0.3157894736842105,0.4489795918367347,0.5714285714285714,0.3333333333333333,0.45588235294117646,0.55,0.34375,0.5120481927710844,0.5454545454545454,0.48,0.27941176470588236,0.061224489795918366,0.13333333333333333,0.05263157894736842,0.5384615384615384,1.0,0.37037037037037035,1.0,0.15384615384615385,0.3,0.2857142857142857,0.5833333333333334,0.125,0.2222222222222222,0.6666666666666666,0.5,1.0,1.0,0.10810810810810811,0.5555555555555556,0.22058823529411764,0.5333333333333333,0.6153846153846154,0.25,0.27941176470588236,0.3684210526315789,0.3888888888888889,0.42857142857142855,0.22058823529411764,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.08823529411764706,0.3333333333333333,0.3333333333333333,1.0,0.19117647058823528,0.3076923076923077,0.3076923076923077,0.75,0.5,0.6,0.1,0.2,0.5,1.0,0.1875,0.3333333333333333,0.125,0.5,0.125,0.5,0.3076923076923077,0.45224558823529415,0.5332666666666667,0.43191875,0.16666666666666666,0.22033898305084745,0.1411764705882353,0.2823529411764706,8.889795918367348,25.605263157894736,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2246-361,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Mehmet Okur, Clifford Robinson","Atkins, Wallace, Hamilton, Okur, Robinson",1088-1112-1888-2246-361,DET,356.0,3,12.0,25.0,4.0,6.0,7.0,0.5714285714285714,0.625,0.6666666666666666,101.12359550561797,13.75,13.333333333333334,6.0,-3.0,13.0,9.0,6.0,11.0,,2.0,4.0,3.0,,3.0,9.0,14.692307692307692,13.538461538461538,0.6923076923076923,1.0,,,,,,,,,1.0,6.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,6.0,1.0,2.0,3.0,8.0,,,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,3.0,8.0,2.0,,3.0,,,1.0,,,1.0,1.0,2.0,,1.0,,,1.0,5.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,,,2.0,,2.0,6.0,,1.0,2.0,2.0,2.0,,2.0,1.0,5.0,8.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.16666666666666666,,0.3333333333333333,0.3125,1.5,0.625,0.36363636363636365,1.5,0.6666666666666666,0.25,,,,0.5,1.0,0.2,1.0,,0.16666666666666666,,,0.2,,0.5,,1.0,,,0.5,,,,,,,,,0.75,0.16666666666666666,0.16666666666666666,1.0,0.125,1.0,1.0,1.0,0.125,,,,,,1.0,,,,,,0.25,1.0,,0.25,,0.44504375,0.61485,0.4519375,0.1111111111111111,0.14285714285714285,0.375,1.0,15.25,23.7,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2246-468,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Mehmet Okur, Jon Barry","Atkins, Wallace, Hamilton, Okur, Barry",1088-1112-1888-2246-468,DET,24.0,1,1.0,2.0,,,,,,,120.0,10.0,10.0,,,1.0,,1.0,3.0,,,,,,1.0,,14.0,14.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,3.0,,,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,1.0,1.0,,,1.0,,,,1.5,,,1.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,0.53865,,,,,,,,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2246-688,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Mehmet Okur, Michael Curry","Atkins, Wallace, Hamilton, Okur, Curry",1088-1112-1888-2246-688,DET,463.0,3,16.0,32.0,4.0,6.0,8.0,1.0,1.0,1.0,99.52483801295897,12.375,11.9375,8.0,,16.0,2.0,14.0,13.0,,1.0,2.0,1.0,3.0,4.0,2.0,16.5625,15.9375,0.125,2.0,1.0,2.0,1.0,1.0,,,,3.0,1.0,6.0,,,,,,1.0,2.0,1.0,1.0,,2.0,11.0,1.0,2.0,6.0,13.0,1.0,1.0,1.0,1.0,,5.0,,2.0,,,,,,4.0,3.0,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,,,3.0,,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,,,1.0,,,8.0,,4.0,,1.0,1.0,,1.0,1.0,8.0,,1.0,,,1.0,0.5,1.0,,0.5,0.18181818181818182,1.0,,0.2692307692307692,1.25,,0.38235294117647056,1.25,,0.15384615384615385,0.09090909090909091,0.5,,0.5,1.0,0.2857142857142857,1.0,,0.25,1.0,,0.3333333333333333,,1.0,,,1.0,,1.0,0.15384615384615385,0.5,1.0,,0.23076923076923078,,,,0.46153846153846156,0.16666666666666666,0.16666666666666666,,,,,,0.15384615384615385,0.5,0.5,1.0,0.5,1.0,,0.5,1.0,1.0,,,,,,0.3076923076923077,0.5,0.4276038461538461,0.56615,0.26935,0.23529411764705882,0.26666666666666666,0.38461538461538464,,12.609090909090908,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2246-722,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Mehmet Okur, Corliss Williamson","Atkins, Wallace, Hamilton, Okur, Williamson",1088-1112-1888-2246-722,DET,1008.0,2,31.0,61.0,11.0,13.0,20.0,0.7857142857142857,0.6875,0.8333333333333334,87.14285714285714,14.064516129032258,12.96774193548387,17.0,-5.0,30.0,1.0,14.0,28.0,1.0,3.0,6.0,,5.0,9.0,1.0,19.066666666666666,18.266666666666666,0.03333333333333333,4.0,2.0,10.0,1.0,5.0,,1.0,1.0,5.0,5.0,11.0,,,,,,,2.0,,,,8.0,26.0,,2.0,7.0,23.0,1.0,5.0,,,2.0,4.0,,1.0,,,,,12.0,4.0,,,2.0,1.0,,5.0,6.0,,6.0,,,1.0,,5.0,12.0,,7.0,,2.0,7.0,2.0,2.0,2.0,,3.0,2.0,,1.0,,1.0,11.0,1.0,6.0,,2.0,1.0,,2.0,1.0,19.0,,1.0,0.75,0.8571428571428571,,,,,,0.3076923076923077,0.2,,0.2857142857142857,0.2,,0.3484848484848485,0.2857142857142857,,0.07142857142857142,0.19230769230769232,0.4,0.2,0.5,0.6666666666666666,0.3888888888888889,,,0.3684210526315789,0.375,0.5,0.3333333333333333,,0.8,0.6666666666666666,,,0.14285714285714285,0.5,0.35714285714285715,0.2,0.3333333333333333,0.5,0.17857142857142858,0.2,0.25,,0.39285714285714285,0.45454545454545453,0.45454545454545453,1.0,,,,,0.07142857142857142,,,,1.0,0.2,,,,,1.0,,,,,0.42857142857142855,,0.451162962962963,0.52986,0.5065,0.18181818181818182,0.1935483870967742,0.17391304347826086,,9.192307692307692,43.9,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2419-361,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Tayshaun Prince, Clifford Robinson","Atkins, Wallace, Hamilton, Prince, Robinson",1088-1112-1888-2419-361,DET,2140.0,7,64.0,128.0,21.0,26.0,36.0,0.6176470588235294,0.6578947368421053,0.6,86.13084112149534,15.75,14.875,36.0,14.0,64.0,34.0,33.0,50.0,1.0,6.0,9.0,7.0,6.0,15.0,34.0,17.6875,16.140625,0.53125,9.0,8.0,13.0,1.0,2.0,4.0,6.0,2.0,6.0,2.0,12.0,3.0,8.0,2.0,,2.0,3.0,10.0,,,5.0,12.0,31.0,6.0,18.0,22.0,64.0,1.0,2.0,2.0,2.0,2.0,10.0,7.0,14.0,,7.0,15.0,29.0,8.0,16.0,18.0,,2.0,10.0,3.0,1.0,4.0,6.0,10.0,3.0,3.0,3.0,,1.0,26.0,5.0,5.0,4.0,1.0,10.0,2.0,7.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,,32.0,,9.0,7.0,6.0,4.0,1.0,6.0,3.0,54.0,29.0,4.0,0.3333333333333333,0.36363636363636365,1.0,0.3333333333333333,1.0,,0.3333333333333333,0.3870967741935484,0.5,0.5,0.42857142857142855,1.0,0.3333333333333333,0.49230769230769234,0.8333333333333334,0.453125,0.3673469387755102,0.03225806451612903,0.07692307692307693,,0.3333333333333333,1.0,0.2631578947368421,1.0,0.4166666666666667,0.3225806451612903,0.4,,0.3,0.42857142857142855,0.5384615384615384,0.7272727272727273,1.0,,0.06666666666666667,0.5,0.2653061224489796,0.6153846153846154,0.6666666666666666,0.375,0.12244897959183673,0.3333333333333333,0.3333333333333333,,0.24489795918367346,0.16666666666666666,0.16666666666666666,0.5,0.16326530612244897,0.375,0.375,1.0,0.20408163265306123,0.3,0.3,1.0,0.5,0.5,0.5,,,,0.2857142857142857,0.6666666666666666,0.09523809523809523,,0.23809523809523808,0.6326530612244898,0.3,0.47983979591836734,0.58485,0.47979047619047616,0.15517241379310345,0.225,0.15625,0.453125,8.735483870967743,24.783333333333335,2.0,,,,1.0,1.0,,1.0,1.0,4.0,1.0,0.4,,,,,,,,,,,,,,1610612765,2003,2002-03,False
1088-1112-1888-2419-688,1610612765,"Chucky Atkins, Ben Wallace, Richard Hamilton, Tayshaun Prince, Michael Curry","Atkins, Wallace, Hamilton, Prince, Curry",1088-1112-1888-2419-688,DET,73.0,4,5.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,138.08219178082192,9.4,9.4,1.0,-5.0,2.0,2.0,4.0,7.0,,,,,,,2.0,13.0,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,False
