EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGA,FG2M,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,LongMidRangeFGM,Arc3FGA,NonHeaveArc3FGA,SelfOReb,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PtsUnassisted3s,NonHeaveArc3FGM,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTDefRebounds,DefFTReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,LongMidRangeAssists,LongMidRangePctAssisted,SecondChanceArc3Frequency,LostBallSteals,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,AtRimPctBlocked,Technical Free Throw Trips,Arc3Assists,BlockedShortMidRange,LongMidRangePctBlocked,Arc3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,DefCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceFG3M,Offensive Fouls,3SecondViolations,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,OffensiveGoaltends,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,SecondChanceArc3FGM,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Clear Path Fouls,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1005-1110-1952-2059-2492,1610612742,"Walt Williams, Mark Strickland, Raja Bell, Eduardo Najera, Adam Harrington","Williams, Strickland, Bell, Najera, Harrington",1005-1110-1952-2059-2492,DAL,128.0,2,2.0,-2.0,5.0,5.0,5.0,5.0,1.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,112.5,11.2,14.4,10.0,14.4,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.43426666666666663,0.43426666666666663,0.25,1.0,9.65,23.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-1717-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Dirk Nowitzki, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Nowitzki, Van Exel",1005-1505-1711-1717-89,DAL,271.0,2,5.0,4.0,8.0,8.0,6.0,6.0,3.0,16.0,1.0,,,,,9.0,,,,10.0,6.0,,6.0,7.0,,,,8.0,,,,2.0,,4.0,3.0,3.0,4.0,3.0,7.0,,1.0,,,,4.0,8.0,6.0,,,,,0.5555555555555556,0.5714285714285714,0.5555555555555556,1.0,0.5714285714285714,,,,1.0,0.75,0.6666666666666666,0.75,,1.0,85.01845018450184,15.25,18.625,13.375,17.25,0.1111111111111111,,,,,,,0.6666666666666666,0.49335555555555555,0.5233857142857142,0.6,0.8,4.844444444444445,,0.75,4.0,6.0,2.0,2.0,4.0,6.0,1.0,2.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.4,0.6666666666666666,0.5555555555555556,1.0,0.5714285714285714,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,1.0,1.0,1.0,0.2222222222222222,0.6666666666666666,1.0,0.8571428571428571,0.6666666666666666,0.49723333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-1952-422,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Raja Bell, Avery Johnson","Williams, Abdul-Wahad, LaFrentz, Bell, Johnson",1005-1505-1711-1952-422,DAL,567.0,1,9.0,1.0,19.0,19.0,3.0,,1.0,38.0,2.0,1.0,1.0,,,9.0,1.0,2.0,4.0,15.0,14.0,1.0,1.0,2.0,,,1.0,3.0,3.0,,1.0,4.0,1.0,9.0,1.0,10.0,10.0,1.0,11.0,2.0,4.0,,10.0,2.0,14.0,3.0,3.0,1.0,0.5,,0.5,0.5,0.5,0.46875,0.5,0.5,0.18181818181818182,,,0.7692307692307693,0.2,0.7692307692307693,0.16666666666666666,,0.6666666666666666,96.50793650793652,16.157894736842106,13.68421052631579,16.157894736842106,13.0,0.18181818181818182,0.09090909090909091,1.0,1.0,1.0,,,0.6363636363636364,0.4708909090909091,0.39195,0.06666666666666667,0.2,5.677777777777778,23.25,0.15789473684210525,3.0,5.0,,,,,,2.0,4.0,,,1.0,6.0,2.0,,3.0,3.0,,,2.0,1.0,,2.0,,0.75,0.75,0.4444444444444444,,0.5,,0.5,,0.5,,0.8333333333333334,,0.45454545454545453,0.6,0.6,1.0,,,,0.18181818181818182,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,0.5,0.5,0.09090909090909091,0.21428571428571427,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-1952-461,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Raja Bell, Popeye Jones","Williams, Abdul-Wahad, LaFrentz, Bell, Jones",1005-1505-1711-1952-461,DAL,95.0,1,2.0,1.0,4.0,5.0,4.0,5.0,1.0,9.0,,,1.0,,1.0,,1.0,2.0,3.0,6.0,5.0,,,,1.0,2.0,3.0,6.0,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,,6.0,6.0,4.0,,0.5,0.5,0.5,0.75,0.75,0.75,,0.75,1.0,,,1.0,,1.0,1.0,,1.0,136.42105263157896,7.5,13.0,7.25,11.2,,0.5,,,,0.5,,1.0,0.5415,0.5415,,1.0,,23.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,2.0,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-2059-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Eduardo Najera, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Najera, Van Exel",1005-1505-1711-2059-89,DAL,93.0,1,2.0,4.0,3.0,3.0,,,,6.0,,,,,,3.0,,,,6.0,2.0,,,,,,,,,,,,,,,1.0,2.0,,2.0,,,,,,6.0,,,,,,,1.0,,1.0,,,,,,0.5,,0.5,,,1.0,92.90322580645162,14.0,17.0,14.0,17.0,,,,,,,,1.0,0.5649666666666667,,,,,,,3.0,3.0,,,,,,,3.0,,,,,6.0,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-461-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Popeye Jones, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Jones, Van Exel",1005-1505-1711-461-89,DAL,227.0,1,4.0,,6.0,5.0,6.0,5.0,1.0,11.0,3.0,,,,,4.0,,2.0,2.0,6.0,6.0,,,4.0,,2.0,2.0,6.0,,2.0,,1.0,,2.0,1.0,3.0,3.0,1.0,4.0,,,,2.0,1.0,6.0,6.0,6.0,,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,0.42857142857142855,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,0.75,0.25,0.5,1.0,69.77973568281938,18.333333333333332,23.4,17.5,20.0,0.5,,,,,,,0.3333333333333333,0.3991,0.3991,,1.0,9.65,24.85,1.0,,,,,,,1.0,1.0,2.0,,,2.0,2.0,2.0,,1.0,,,,,,1.0,1.0,,0.5,0.5,0.5,,0.5,,,,,,,,,,,,0.3333333333333333,1.0,,0.16666666666666666,,,,,0.38085,1.0,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,0.3333333333333333,,,,,2.0,,,,,,,,,,0.3333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1711-762-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Raef LaFrentz, Shawn Bradley, Nick Van Exel","Williams, Abdul-Wahad, LaFrentz, Bradley, Van Exel",1005-1505-1711-762-89,DAL,75.0,1,1.0,-5.0,2.0,2.0,,,,4.0,2.0,,,,,3.0,,,,,5.0,,,,,,,,,1.0,,,,,2.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,0.3333333333333333,0.5,,0.6666666666666666,,0.6666666666666666,0.5,,76.8,29.0,8.5,27.0,8.5,0.6666666666666666,,,,,,,,0.41113333333333335,,,,11.5,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,0.3333333333333333,,,,,0.4424,,,,1.0,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1717-2059-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Dirk Nowitzki, Eduardo Najera, Nick Van Exel","Williams, Abdul-Wahad, Nowitzki, Najera, Van Exel",1005-1505-1717-2059-89,DAL,258.0,2,4.0,-2.0,8.0,8.0,3.0,3.0,1.0,16.0,3.0,,,,,8.0,,,3.0,9.0,11.0,,,2.0,,,2.0,4.0,,,,3.0,,6.0,2.0,1.0,1.0,2.0,3.0,,1.0,1.0,5.0,1.0,9.0,4.0,3.0,,,,,0.375,0.5,0.45,,0.5,,,,0.5,0.4,0.5,0.4,0.5,,89.30232558139535,19.625,12.625,19.25,12.625,0.375,,,,,,,0.375,0.457125,0.4415,,0.4444444444444444,7.95,,0.375,1.0,3.0,,1.0,,1.0,1.0,2.0,3.0,,1.0,1.0,6.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,0.375,,0.5,,1.0,,0.5,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,,0.5,,0.5565,1.0,,,2.0,2.0,,,,,2.0,,,,,0.5,0.4,,0.5,0.5,,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-1717-762-89,1610612742,"Walt Williams, Tariq Abdul-Wahad, Dirk Nowitzki, Shawn Bradley, Nick Van Exel","Williams, Abdul-Wahad, Nowitzki, Bradley, Van Exel",1005-1505-1717-762-89,DAL,442.0,1,7.0,-1.0,14.0,14.0,,3.0,3.0,28.0,4.0,,,,,15.0,,1.0,1.0,19.0,20.0,,2.0,,,,,,,1.0,,6.0,,12.0,3.0,3.0,4.0,4.0,8.0,1.0,1.0,,2.0,,17.0,,,,,,,0.5625,,0.5588235294117647,0.3333333333333333,,0.0625,0.06666666666666667,0.25,0.75,0.5,0.5714285714285714,0.5714285714285714,0.6666666666666666,,91.22171945701358,14.785714285714286,16.785714285714285,13.857142857142858,16.714285714285715,0.25,,,,,,,0.375,0.469253125,,0.10526315789473684,,9.153333333333334,24.2,,3.0,5.0,1.0,3.0,,,1.0,6.0,9.0,1.0,3.0,,12.0,6.0,2.0,6.0,2.0,,1.0,,,4.0,6.0,,0.6666666666666666,0.75,0.6,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,0.5,,,0.3333333333333333,0.3125,0.6,0.6,0.6666666666666666,0.25,0.3333333333333333,,0.375,1.0,0.3333333333333333,,,0.55575,5.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,0.8333333333333334,0.8333333333333334,0.0625,0.058823529411764705,0.0625,,,,,,1.0,,1.0,1.0,,,,,,,,,,,4.0,0.8,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
1005-1505-2059-714-959,1610612742,"Walt Williams, Tariq Abdul-Wahad, Eduardo Najera, Michael Finley, Steve Nash","Williams, Abdul-Wahad, Najera, Finley, Nash",1005-1505-2059-714-959,DAL,62.0,1,1.0,1.0,2.0,3.0,,,1.0,5.0,1.0,,,,,3.0,,,,2.0,1.0,,2.0,,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,1.0,,,0.3333333333333333,,1.0,0.5,1.0,0.5,1.0,1.0,116.1290322580645,15.5,10.333333333333334,15.5,10.333333333333334,0.3333333333333333,,,,,,,0.6666666666666666,0.5255666666666666,,1.0,,1.3333333333333333,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,2.0,2.0,,,,,,,1.0,1.0,,,,0.3333333333333333,1.0,,1.0,,,,,,,0.6666666666666666,0.5,1.0,,,,,,1.0,1.0,,,0.5657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2003,2002-03,True
