EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,Travels,BlockedLongMidRange,BlockedShortMidRange,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PtsUnassisted3s,FTDefRebounds,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,OffCorner3ReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,SecondChanceArc3FGM,HeaveAttempts,Technical Free Throw Trips,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,DefensiveGoaltends,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1088-1112-1442-1888-2419,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Tayshaun Prince","Atkins, Wallace, Rebraca, Hamilton, Prince",1088-1112-1442-1888-2419,DET,93.0,2,2.0,2.0,4.0,3.0,2.0,2.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.4,1.0,1.0,1.0,1.0,108.38709677419355,14.0,12.333333333333334,14.0,12.333333333333334,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.4026,0.461,0.4,0.4,1.0,5.166666666666667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1442-1888-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Jon Barry","Atkins, Wallace, Rebraca, Hamilton, Barry",1088-1112-1442-1888-468,DET,553.0,4,9.0,-16.0,18.0,18.0,13.0,15.0,36.0,3.0,3.0,2.0,2.0,6.0,6.0,13.0,2.0,14.0,30.0,4.0,9.0,2.0,10.0,4.0,1.0,4.0,6.0,3.0,6.0,2.0,,12.0,10.0,13.0,0.46153846153846156,0.4444444444444444,0.42857142857142855,0.4,0.4666666666666667,0.45454545454545453,1.0,1.0,1.0,93.74321880650994,15.944444444444445,14.777777777777779,15.722222222222221,14.777777777777779,0.21428571428571427,1.0,1.0,0.42857142857142855,0.2,1.0,0.2857142857142857,0.43302857142857143,0.4324,,,0.7142857142857143,10.215384615384616,0.7222222222222222,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,2.0,1.0,4.0,4.0,2.0,2.0,8.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.8,1.0,1.0,1.0,0.07142857142857142,0.4,1.0,0.2857142857142857,0.25,0.25,0.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.2857142857142857,0.25,0.25,0.07142857142857142,1.0,1.0,0.1,0.5448,0.14285714285714285,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1442-1888-688,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Michael Curry","Atkins, Wallace, Rebraca, Hamilton, Curry",1088-1112-1442-1888-688,DET,2687.0,6,45.0,-20.0,79.0,79.0,10.0,14.0,158.0,4.0,16.0,1.0,1.0,18.0,20.0,60.0,12.0,61.0,81.0,3.0,6.0,2.0,8.0,24.0,4.0,24.0,35.0,4.0,21.0,13.0,6.0,52.0,8.0,10.0,0.3333333333333333,0.5,0.3656716417910448,0.42857142857142855,0.4178082191780822,0.5,0.8,0.7272727272727273,1.0,84.67435802009676,16.582278481012658,17.430379746835442,15.860759493670885,16.72151898734177,0.23880597014925373,0.25,0.2857142857142857,0.26865671641791045,0.14285714285714285,1.0,0.34328358208955223,0.4605126865671642,0.42514285714285716,0.08333333333333333,0.09230769230769231,0.13114754098360656,10.048333333333334,0.12658227848101267,8.0,,4.0,4.0,12.0,26.0,1.0,,7.0,2.0,7.0,9.0,1.0,16.0,,1.0,8.0,11.0,2.0,2.0,25.0,10.0,20.0,11.0,8.0,1.0,4.0,8.0,16.0,1.0,3.0,3.0,3.0,1.0,2.0,0.4,0.4,0.2857142857142857,0.3888888888888889,0.45,0.1044776119402985,0.5,0.7142857142857143,0.25,0.25,0.35714285714285715,0.07142857142857142,0.7,0.6666666666666666,0.5,0.2222222222222222,0.26666666666666666,0.5,0.3880597014925373,0.46153846153846156,0.5454545454545454,0.014925373134328358,0.4444444444444444,,,0.5428625,0.14754098360655737,24.185714285714287,3.0,6.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,9.0,9.0,3.0,3.0,4.0,1.0,1.0,10.0,6.0,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,1.0,0.42857142857142855,0.5,0.42857142857142855,0.15,0.125,0.16666666666666666,0.15384615384615385,0.25,0.3333333333333333,1.0,0.7777777777777778,0.5,0.02857142857142857,1.0,0.3333333333333333,0.08955223880597014,0.5,0.5,1.0,0.2222222222222222,0.5,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1442-1888-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Richard Hamilton, Corliss Williamson","Atkins, Wallace, Rebraca, Hamilton, Williamson",1088-1112-1442-1888-722,DET,1024.0,11,17.0,10.0,34.0,30.0,9.0,10.0,64.0,2.0,4.0,1.0,1.0,3.0,10.0,22.0,6.0,32.0,22.0,3.0,4.0,1.0,7.0,10.0,2.0,11.0,13.0,4.0,12.0,11.0,6.0,30.0,7.0,9.0,0.45454545454545453,0.75,0.52,0.75,0.5517241379310345,0.7,1.0,0.7857142857142857,1.0,90.0,13.911764705882353,18.366666666666667,13.558823529411764,17.9,0.16,0.5,0.6666666666666666,0.12,0.25,1.0,0.28,0.44813000000000003,0.44925,0.21428571428571427,0.24,0.21875,13.272727272727273,0.2647058823529412,1.0,,1.0,2.0,6.0,15.0,2.0,,3.0,1.0,2.0,2.0,,10.0,,2.0,5.0,7.0,1.0,1.0,16.0,2.0,9.0,2.0,3.0,,1.0,3.0,6.0,,4.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.12,0.5,0.75,0.18181818181818182,0.16666666666666666,1.0,,1.0,0.4,0.5,0.6666666666666666,0.6666666666666666,0.5,0.6,0.4,0.42857142857142855,0.08,0.5,,,0.48645,0.0625,24.96666666666667,1.0,1.0,,,,2.0,,,,6.0,2.0,2.0,1.0,3.0,,,3.0,3.0,,,2.0,3.0,2.0,,2.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,0.09090909090909091,0.25,,0.06666666666666667,,0.5,,1.0,,,0.5,0.5,0.04,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1442-468-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Corliss Williamson","Atkins, Wallace, Rebraca, Barry, Williamson",1088-1112-1442-468-722,DET,2424.0,12,40.0,-17.0,71.0,73.0,6.0,9.0,144.0,9.0,16.0,,,14.0,20.0,49.0,19.0,71.0,88.0,1.0,4.0,3.0,5.0,12.0,4.0,22.0,29.0,5.0,17.0,25.0,11.0,61.0,5.0,6.0,0.40816326530612246,0.25,0.4482758620689655,0.2,0.5071428571428571,0.35714285714285715,0.6666666666666666,0.6451612903225806,0.6,85.54455445544555,16.87323943661972,16.794520547945204,16.211267605633804,15.794520547945206,0.27586206896551724,0.5625,0.6428571428571429,0.2413793103448276,,,0.43103448275862066,0.45488362068965515,0.37985,0.16176470588235295,0.1864406779661017,0.07042253521126761,8.730612244897959,0.08450704225352113,6.0,1.0,2.0,3.0,8.0,19.0,6.0,,9.0,3.0,5.0,10.0,1.0,28.0,2.0,6.0,14.0,17.0,6.0,2.0,37.0,6.0,16.0,7.0,8.0,1.0,6.0,4.0,12.0,,,1.0,1.0,2.0,1.0,0.7,0.7368421052631579,0.6,0.75,0.7142857142857143,0.15517241379310345,0.6666666666666666,0.64,0.20689655172413793,0.20588235294117646,0.18181818181818182,0.18181818181818182,0.8,0.75,0.6666666666666666,0.21428571428571427,0.25,0.6666666666666666,0.3275862068965517,0.42105263157894735,0.4444444444444444,0.10344827586206896,0.3333333333333333,0.5,,0.44042000000000003,0.14084507042253522,25.788888888888888,1.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,9.0,5.0,3.0,1.0,6.0,1.0,2.0,8.0,3.0,5.0,1.0,2.0,1.0,4.0,3.0,4.0,3.0,0.75,0.4444444444444444,1.0,0.4444444444444444,0.10204081632653061,0.125,0.14285714285714285,0.05263157894736842,0.2,0.2857142857142857,,0.5,1.0,0.06896551724137931,0.75,0.75,0.05172413793103448,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,1.0,0.2,3.0,3.0,2.0,,1.0,,0.5,0.5,0.6666666666666666,0.5,3.0,2.0,1.0,1.0,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1497-1888-2246,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Mehmet Okur","Atkins, Wallace, Billups, Hamilton, Okur",1088-1112-1497-1888-2246,DET,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1497-1888-361,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Clifford Robinson","Atkins, Wallace, Billups, Hamilton, Robinson",1088-1112-1497-1888-361,DET,597.0,3,10.0,-3.0,18.0,19.0,11.0,11.0,37.0,5.0,5.0,5.0,5.0,4.0,8.0,11.0,2.0,21.0,24.0,6.0,9.0,,12.0,8.0,3.0,5.0,5.0,2.0,5.0,2.0,1.0,21.0,12.0,11.0,0.7272727272727273,0.6666666666666666,0.6785714285714286,0.6,0.7,0.6,0.75,0.8333333333333334,0.6666666666666666,89.2462311557789,16.38888888888889,15.894736842105264,16.38888888888889,15.894736842105264,0.35714285714285715,1.0,1.0,0.2857142857142857,0.5,1.0,0.5714285714285714,0.50005,0.5221750000000001,0.06666666666666667,0.08333333333333333,0.5714285714285714,7.1909090909090905,0.6111111111111112,,,,2.0,1.0,2.0,3.0,1.0,3.0,,,,1.0,8.0,,3.0,4.0,5.0,4.0,,11.0,,2.0,,1.0,,1.0,2.0,3.0,,1.0,1.0,,,2.0,0.5,0.5,,,,0.21428571428571427,0.3333333333333333,1.0,,,,,,1.0,0.8,0.5,0.5,,0.14285714285714285,0.5,0.5,0.21428571428571427,,,0.1,,,25.366666666666664,,,,,,1.0,,,,3.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,0.3333333333333333,0.5,1.0,0.3333333333333333,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1497-1888-688,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Michael Curry","Atkins, Wallace, Billups, Hamilton, Curry",1088-1112-1497-1888-688,DET,44.0,1,1.0,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,1.0,1.0,,2.0,,,,,,2.0,1.0,1.0,1.0,,,,,2.0,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,98.18181818181819,14.5,15.0,14.5,15.0,,,,,,,,0.3423,,,,,15.9,0.5,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1497-1888-722,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Richard Hamilton, Corliss Williamson","Atkins, Wallace, Billups, Hamilton, Williamson",1088-1112-1497-1888-722,DET,66.0,1,1.0,5.0,2.0,3.0,2.0,3.0,5.0,,,,,1.0,1.0,1.0,,5.0,,1.0,1.0,,5.0,2.0,1.0,1.0,1.0,,,,,5.0,5.0,2.0,1.0,1.0,1.25,1.25,1.25,1.25,1.0,1.0,1.0,109.09090909090908,14.0,12.666666666666666,14.0,12.666666666666666,,,,0.5,,,0.5,0.4235,0.4235,,,1.0,8.5,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,1.0,1.0,,,,,,,,,,,25.2,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.5,1.0,1.0,,,,,0.5,,,,,,,,,,,3.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
1088-1112-1497-2246-722,1610612765,"Chucky Atkins, Ben Wallace, Chauncey Billups, Mehmet Okur, Corliss Williamson","Atkins, Wallace, Billups, Okur, Williamson",1088-1112-1497-2246-722,DET,243.0,2,4.0,4.0,7.0,6.0,2.0,3.0,13.0,3.0,4.0,2.0,2.0,2.0,4.0,9.0,1.0,9.0,5.0,2.0,2.0,,4.0,4.0,,1.0,4.0,2.0,4.0,2.0,,6.0,4.0,2.0,0.4444444444444444,1.0,0.4444444444444444,1.0,0.45,1.0,,,,77.03703703703704,18.285714285714285,19.166666666666668,16.142857142857142,18.333333333333332,0.4444444444444444,0.75,0.75,0.2222222222222222,1.0,1.0,0.4444444444444444,0.4576,0.5877,,,0.4444444444444444,7.911111111111111,0.2857142857142857,2.0,1.0,1.0,,1.0,3.0,,,,1.0,2.0,3.0,,4.0,,,2.0,2.0,2.0,,4.0,3.0,,3.0,,,,,,,,1.0,,1.0,,0.5,0.5,0.5,0.5,0.5,,,,0.6,0.6,1.0,0.5,,,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.5,1.0,,0.45735,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2003,2002-03,True
