EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,FG2A,OpponentPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,ShortMidRangeFGM,Corner3FGM,Corner3FGA,FG2M,FG3M,FG3A,FtPoints,Points,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyFtPoints,PenaltyPoints,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,PtsUnassisted2s,LostBallSteals,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,DefTwoPtRebounds,SelfOReb,BadPassTurnovers,Travels,Loose Ball Fouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,DefTwoPtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
15-1709-1762-1889-399,1610612746,"Eric Piatkowski, Michael Olowokandi, Tremaine Fowlkes, Andre Miller, Sean Rooks","Piatkowski, Olowokandi, Fowlkes, Miller, Rooks",15-1709-1762-1889-399,LAC,120.0,1,2.0,-2.0,4.0,4.0,1.0,8.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.5,1.0,96.0,14.75,15.25,14.25,12.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.44516666666666665,6.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1762-1894-2039,1610612746,"Eric Piatkowski, Michael Olowokandi, Tremaine Fowlkes, Corey Maggette, Keyon Dooling","Piatkowski, Olowokandi, Fowlkes, Maggette, Dooling",15-1709-1762-1894-2039,LAC,205.0,1,3.0,-1.0,6.0,6.0,,12.0,,2.0,2.0,7.0,,,,,,,2.0,3.0,,1.0,2.0,,,,,,,,84.29268292682927,13.5,20.666666666666668,13.5,20.666666666666668,,0.6666666666666666,0.3333333333333333,0.3886833333333333,8.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.5,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1762-2039-2060,1610612746,"Eric Piatkowski, Michael Olowokandi, Tremaine Fowlkes, Keyon Dooling, Marko Jaric","Piatkowski, Olowokandi, Fowlkes, Dooling, Jaric",15-1709-1762-2039-2060,LAC,67.0,1,1.0,-3.0,2.0,2.0,,4.0,,,,4.0,,,,,,,1.0,1.0,,,,,,,,,,,85.97014925373134,17.0,16.5,17.0,16.5,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1762-2039-399,1610612746,"Eric Piatkowski, Michael Olowokandi, Tremaine Fowlkes, Keyon Dooling, Sean Rooks","Piatkowski, Olowokandi, Fowlkes, Dooling, Rooks",15-1709-1762-2039-399,LAC,52.0,1,1.0,2.0,2.0,2.0,,4.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,110.76923076923076,11.0,15.0,11.0,15.0,1.0,,1.0,0.8531,,,,,1.0,,,2.0,4.0,,,,,,,,,1.0,,,,,,2.0,,1.0,,4.0,,,,,,1.0,1.0,1.0,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1882-1889-1894,1610612746,"Eric Piatkowski, Michael Olowokandi, Elton Brand, Andre Miller, Corey Maggette","Piatkowski, Olowokandi, Brand, Miller, Maggette",15-1709-1882-1889-1894,LAC,14915.0,13,249.0,4.0,486.0,485.0,66.0,971.0,139.0,112.0,401.0,485.0,68.0,28.0,11.0,169.0,79.0,248.0,34.0,65.0,7.0,55.0,123.0,1.0,0.29694323144104806,0.7567567567567568,0.7314814814814815,0.2965779467680608,0.37333333333333335,0.7647058823529411,93.74723432785785,15.872427983539094,14.847422680412372,15.222222222222221,14.123711340206185,0.30151843817787416,0.24295010845986983,0.4316702819956616,0.47865271149674615,9.224438902743142,37.0,6.0,12.0,169.0,26.0,60.0,73.0,489.0,186.0,69.0,93.0,23.0,116.0,6.0,21.0,255.0,47.0,30.0,31.0,4.0,8.0,11.0,98.0,9.0,40.0,3.0,422.0,0.5502958579881657,0.6241610738255033,0.8846153846153846,0.43333333333333335,0.43333333333333335,0.42144638403990026,0.4511930585683297,0.4831013916500994,0.1301518438177874,0.47692307692307695,0.33035714285714285,0.37,0.5675675675675675,0.026030368763557483,0.5,0.5,1.0,0.08130081300813008,0.09259259259259259,24.986666666666668,80.0,22.0,68.0,5.0,13.0,11.0,68.0,80.0,0.4527027027027027,0.1390593047034765,0.1646090534979424,78.0,152.0,17.0,0.5611510791366906,0.65,112.0,24.0,42.0,4.0,14.0,54.0,150.0,2.0,2.0,2.0,20.0,48.0,1.0,3.0,2.0,7.0,28.0,61.0,1.0,5.0,8.0,67.0,17.0,51.0,4.0,9.0,9.0,40.0,48.0,20.0,34.0,17.0,37.0,35.0,10.0,1.0,130.0,13.0,23.0,3.0,8.0,5.0,18.0,6.0,1.0,11.0,18.0,10.0,1.0,1.0,3.0,15.0,0.2,0.4444444444444444,0.45901639344262296,0.3333333333333333,0.44696969696969696,0.38333333333333336,0.4785714285714286,0.08478802992518704,0.1366906474820144,0.10714285714285714,0.02,0.1111111111111111,0.7262569832402235,0.29411764705882354,0.4166666666666667,0.1595744680851064,0.32142857142857145,0.16666666666666666,0.5833333333333334,0.7023809523809523,0.847457627118644,0.6666666666666666,0.05652173913043478,0.5555555555555556,0.47435897435897434,0.32537960954446854,0.36,0.3673469387755102,0.6481481481481481,0.10412147505422993,0.4166666666666667,0.4166666666666667,0.85,0.6363636363636364,0.5714285714285714,0.16666666666666666,0.030303030303030304,0.045454545454545456,0.3333333333333333,1.0,0.23333333333333334,0.2857142857142857,0.03333333333333333,1.0,0.11666666666666667,0.2857142857142857,0.4166666666666667,0.5191191666666667,0.4334133333333333,0.13701431492842536,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1882-1889-2039,1610612746,"Eric Piatkowski, Michael Olowokandi, Elton Brand, Andre Miller, Keyon Dooling","Piatkowski, Olowokandi, Brand, Miller, Dooling",15-1709-1882-1889-2039,LAC,192.0,3,3.0,-6.0,8.0,8.0,2.0,16.0,5.0,3.0,8.0,14.0,1.0,,,,2.0,2.0,1.0,1.0,,1.0,2.0,,0.25,,,0.25,0.3333333333333333,,120.0,11.25,12.75,10.875,12.75,0.625,0.375,0.625,0.496975,4.225,,,,4.0,,,,8.0,4.0,,2.0,,2.0,,,4.0,1.0,1.0,,,,,2.0,,,,4.0,0.5,0.6666666666666666,,,,0.5,0.5,0.4444444444444444,,,,,,,,,,,,,4.0,,2.0,,1.0,1.0,2.0,4.0,0.25,0.25,0.5,4.0,4.0,,0.8,0.8,6.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,2.0,2.0,,,,4.0,1.0,3.0,,,,2.0,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,,,,,0.5,,,,,,,,,,,0.25,,0.5,,,,,,,,,1.0,1.0,,,,,,0.3333333333333333,1.0,,,,,,0.5841,0.4160333333333333,0.5,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1882-1889-2047,1610612746,"Eric Piatkowski, Michael Olowokandi, Elton Brand, Andre Miller, Quentin Richardson","Piatkowski, Olowokandi, Brand, Miller, Richardson",15-1709-1882-1889-2047,LAC,802.0,7,13.0,8.0,25.0,27.0,3.0,52.0,7.0,4.0,18.0,19.0,2.0,5.0,1.0,11.0,3.0,14.0,2.0,4.0,,3.0,8.0,1.0,0.2222222222222222,0.625,0.6666666666666666,0.2727272727272727,,0.7142857142857143,93.36658354114712,16.36,14.555555555555555,15.88,12.555555555555555,0.35,0.2,0.45,0.43348250000000005,8.394444444444444,1.0,,1.0,9.0,,2.0,9.0,27.0,4.0,,2.0,,2.0,,,4.0,,,2.0,,,,10.0,,2.0,,23.0,0.2222222222222222,0.2857142857142857,,,,0.5,0.45,0.54,0.1,0.5,0.25,0.25,,0.05,,,,0.09090909090909091,0.1,25.45,16.0,7.0,21.0,1.0,2.0,3.0,21.0,16.0,0.5833333333333334,0.7777777777777778,0.64,6.0,14.0,,0.8571428571428571,0.8571428571428571,15.0,2.0,2.0,5.0,6.0,2.0,7.0,,,1.0,,1.0,,,,1.0,2.0,3.0,,,,4.0,7.0,12.0,,2.0,,4.0,1.0,,,,2.0,,1.0,,5.0,1.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,,,2.0,,,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.5,0.6666666666666666,,,,,,0.7142857142857143,0.5,1.0,0.2,,1.0,1.0,0.5,1.0,,0.09090909090909091,1.0,0.3333333333333333,0.35,0.2857142857142857,0.2857142857142857,,0.05,,,,0.6666666666666666,1.0,,,,,,0.42857142857142855,0.8333333333333334,0.07142857142857142,,0.07142857142857142,,,0.5861,0.4417464285714286,0.14814814814814814,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1882-1889-2060,1610612746,"Eric Piatkowski, Michael Olowokandi, Elton Brand, Andre Miller, Marko Jaric","Piatkowski, Olowokandi, Brand, Miller, Jaric",15-1709-1882-1889-2060,LAC,4712.0,9,79.0,7.0,152.0,149.0,19.0,301.0,38.0,36.0,109.0,165.0,20.0,9.0,2.0,46.0,20.0,66.0,8.0,25.0,2.0,16.0,33.0,0.6666666666666666,0.3448275862068966,0.75,0.7457627118644068,0.29411764705882354,0.35,0.625,91.98641765704585,16.085526315789473,15.21476510067114,15.421052631578947,14.731543624161073,0.2773722627737226,0.26277372262773724,0.48175182481751827,0.4773605839416058,8.802752293577981,16.0,2.0,6.0,51.0,18.0,28.0,16.0,172.0,56.0,51.0,28.0,17.0,45.0,2.0,11.0,107.0,16.0,9.0,17.0,2.0,2.0,2.0,25.0,1.0,8.0,,148.0,0.5490196078431373,0.6086956521739131,0.9444444444444444,0.6428571428571429,0.6428571428571429,0.46788990825688076,0.5693430656934306,0.5777027027027027,0.20437956204379562,0.68,0.4444444444444444,0.5333333333333333,0.6875,0.043795620437956206,0.3333333333333333,0.3333333333333333,1.0,0.05555555555555555,0.06896551724137931,25.09642857142857,18.0,7.0,25.0,2.0,,4.0,25.0,18.0,0.5952380952380952,0.14534883720930233,0.11842105263157894,21.0,46.0,7.0,0.5526315789473685,0.7,24.0,7.0,9.0,3.0,7.0,14.0,35.0,1.0,1.0,1.0,16.0,22.0,2.0,2.0,1.0,4.0,7.0,12.0,2.0,3.0,4.0,24.0,6.0,13.0,2.0,5.0,3.0,10.0,22.0,16.0,14.0,15.0,8.0,9.0,,,35.0,1.0,15.0,1.0,2.0,3.0,4.0,3.0,,1.0,4.0,4.0,,,1.0,2.0,0.6666666666666666,0.4,0.5833333333333334,0.46153846153846156,0.6666666666666666,0.5,0.6666666666666666,0.12844036697247707,0.21052631578947367,0.16666666666666666,,,0.7446808510638298,,0.47058823529411764,0.23809523809523808,,,0.8,0.7727272727272727,0.6,1.0,0.018518518518518517,1.0,0.38095238095238093,0.25547445255474455,0.4,0.4,0.6428571428571429,0.16058394160583941,0.7272727272727273,0.7272727272727273,0.9375,0.6,0.7777777777777778,,0.06666666666666667,0.13333333333333333,1.0,1.0,0.3888888888888889,0.42857142857142855,0.05555555555555555,1.0,0.2222222222222222,0.25,0.7272727272727273,0.5159266666666666,0.49218888888888895,0.13953488372093023,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1882-1894-2039,1610612746,"Eric Piatkowski, Michael Olowokandi, Elton Brand, Corey Maggette, Keyon Dooling","Piatkowski, Olowokandi, Brand, Maggette, Dooling",15-1709-1882-1894-2039,LAC,382.0,4,6.0,7.0,12.0,11.0,3.0,23.0,4.0,3.0,13.0,8.0,4.0,1.0,,4.0,5.0,9.0,,,,,2.0,,0.5,1.0,0.6666666666666666,0.5,1.0,1.0,86.70157068062828,14.583333333333334,18.818181818181817,11.416666666666666,18.0,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.47808461538461533,10.876923076923077,2.0,,,5.0,,1.0,5.0,15.0,10.0,,5.0,,5.0,,2.0,10.0,2.0,1.0,,,,,8.0,,3.0,,12.0,1.0,1.0,,,,0.38461538461538464,0.35714285714285715,0.4166666666666667,0.07142857142857142,,0.6666666666666666,1.0,1.0,,,,,0.17647058823529413,0.1875,37.5,5.0,2.0,8.0,,,1.0,8.0,5.0,0.6666666666666666,0.5333333333333333,0.4166666666666667,1.0,,1.0,0.25,0.3333333333333333,7.0,,1.0,1.0,2.0,2.0,6.0,,,,,1.0,,,,1.0,,4.0,,,3.0,3.0,3.0,4.0,,1.0,,,1.0,,2.0,,1.0,2.0,,1.0,3.0,,,,1.0,,2.0,,,2.0,2.0,,,,,,,,,0.75,,0.6,0.25,0.15384615384615385,0.25,0.3333333333333333,,1.0,0.6,,0.6666666666666666,0.25,,,1.0,0.5,,,,,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,0.07142857142857142,,,,0.25,,,,,,,0.4,0.5,,,0.2,,,0.4726,0.538025,0.2,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
15-1709-1882-1894-399,1610612746,"Eric Piatkowski, Michael Olowokandi, Elton Brand, Corey Maggette, Sean Rooks","Piatkowski, Olowokandi, Brand, Maggette, Rooks",15-1709-1882-1894-399,LAC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2003,2002-03,True
