EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceCorner3FGA,SecondChanceFG3A,HeaveAttempts,SelfOReb,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Loose Ball Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,DefArc3ReboundPct,SecondChanceAtRimFGA,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimFGM,PtsUnassisted3s,LostBallSteals,Technical Free Throw Trips,ShortMidRangePctBlocked,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,SecondChanceFtPoints,Blocked3s,BlockedArc3,BlockedAtRim,SecondChanceAtRimPctAssisted,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,Fg3aBlocked,Corner3Assists,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1503-1521-1727-1921-2400,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Drew Gooden","McGrady, Vaughn, Garrity, Giricek, Gooden",1503-1521-1727-1921-2400,ORL,695.0,3,12.0,25.0,24.0,9.0,8.0,2.0,49.0,1.0,3.0,4.0,6.0,2.0,4.0,1.0,3.0,1.0,1.0,7.0,13.0,1.0,3.0,9.0,26.0,26.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,10.0,10.0,4.0,3.0,2.0,3.0,1.0,2.0,5.0,1.0,6.0,1.0,1.0,2.0,2.0,13.0,2.0,1.0,2.0,7.0,1.0,10.0,3.0,13.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,1.0,7.0,1.0,5.0,3.0,5.0,11.0,1.0,5.0,1.0,24.0,10.0,9.0,0.7142857142857143,0.8333333333333334,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5384615384615384,1.0,0.5,0.53125,1.0,0.8333333333333334,0.6190476190476191,1.0,0.8333333333333334,0.1875,0.15384615384615385,0.6666666666666666,0.5714285714285714,1.0,0.5,0.875,0.3333333333333333,1.0,0.9,0.25,0.5,0.5,1.0,0.8,1.0,101.5251798561151,13.6,14.791666666666666,13.4,14.708333333333334,0.1875,0.3333333333333333,1.0,1.0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,0.5,0.5,1.0,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.375,0.3333333333333333,0.47378125,0.5311,0.44495,0.25,0.29411764705882354,0.07692307692307693,0.38461538461538464,8.915384615384616,25.3,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1727-1921-353,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Darrell Armstrong","McGrady, Vaughn, Garrity, Giricek, Armstrong",1503-1521-1727-1921-353,ORL,20.0,2,,3.0,1.0,3.0,1.0,1.0,4.0,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,4.0,,,2.0,4.0,4.0,3.0,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,1.0,,,288.0,4.333333333333333,7.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1727-1921-43,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Chris Whitney","McGrady, Vaughn, Garrity, Giricek, Whitney",1503-1521-1727-1921-43,ORL,369.0,2,6.0,11.0,11.0,1.0,1.0,1.0,22.0,3.0,5.0,,,,1.0,1.0,3.0,,1.0,3.0,6.0,1.0,4.0,4.0,13.0,8.0,,,,1.0,1.0,,1.0,,2.0,2.0,4.0,3.0,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,5.0,1.0,,,2.0,,2.0,1.0,3.0,2.0,2.0,,1.0,,1.0,,,1.0,,,2.0,3.0,4.0,,2.0,,13.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,,0.3333333333333333,0.5,,1.0,0.45,,0.5,0.5416666666666666,,0.5,0.4,,,,,,0.5,0.3333333333333333,,0.5,0.2,,,0.3333333333333333,,,85.85365853658536,12.272727272727273,21.272727272727273,11.818181818181818,18.90909090909091,0.5,0.6,0.6,0.3333333333333333,,,,,0.1,,,,0.3,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.9,0.5,0.5016722222222222,0.44865,0.6213,0.16666666666666666,0.25,,0.15384615384615385,3.5833333333333335,31.65,0.09090909090909091,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.2,1.0,0.1,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1727-1921-692,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Gordan Giricek, Andrew DeClercq","McGrady, Vaughn, Garrity, Giricek, DeClercq",1503-1521-1727-1921-692,ORL,43.0,1,1.0,1.0,1.0,,,,2.0,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.97674418604652,21.0,22.0,21.0,22.0,,,,,,,,,1.0,,,,,,,,,,,,0.4147,,,,,,,17.3,,,-2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1727-2400-353,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Drew Gooden, Darrell Armstrong","McGrady, Vaughn, Garrity, Gooden, Armstrong",1503-1521-1727-2400-353,ORL,467.0,3,8.0,15.0,17.0,2.0,17.0,1.0,32.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,5.0,11.0,1.0,1.0,,13.0,22.0,,,,,1.0,1.0,1.0,,3.0,6.0,4.0,3.0,,1.0,1.0,,3.0,1.0,4.0,1.0,2.0,1.0,,9.0,1.0,,1.0,4.0,1.0,6.0,1.0,7.0,,,3.0,,2.0,1.0,1.0,,4.0,1.0,,2.0,8.0,,,,,13.0,3.0,2.0,0.6,0.6,1.0,1.0,1.0,1.0,0.45454545454545453,,,0.5416666666666666,,0.75,0.5416666666666666,,0.75,0.08333333333333333,,,0.75,1.0,,0.5714285714285714,0.16666666666666666,0.5,0.5555555555555556,0.16666666666666666,,0.16666666666666666,0.6666666666666666,1.0,,98.67237687366168,14.2,14.941176470588236,13.6,13.705882352941176,0.25,1.0,1.0,0.6666666666666666,0.08333333333333333,1.0,1.0,1.0,0.5833333333333334,0.14285714285714285,0.14285714285714285,,0.08333333333333333,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.4479916666666666,,0.4384,,,,0.23076923076923078,13.454545454545455,26.1,0.13333333333333333,-9.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1727-2400-43,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Drew Gooden, Chris Whitney","McGrady, Vaughn, Garrity, Gooden, Whitney",1503-1521-1727-2400-43,ORL,79.0,1,1.0,2.0,2.0,1.0,2.0,1.0,4.0,,1.0,,,,1.0,,1.0,,,,2.0,,1.0,,,4.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,0.5,,,0.6666666666666666,,,,,,72.9113924050633,23.0,16.5,17.5,16.5,0.3333333333333333,,,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,,0.6666666666666666,,0.52735,,,,,,,7.7,27.1,0.5,-4.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1727-353-43,1610612753,"Tracy McGrady, Jacque Vaughn, Pat Garrity, Darrell Armstrong, Chris Whitney","McGrady, Vaughn, Garrity, Armstrong, Whitney",1503-1521-1727-353-43,ORL,125.0,2,2.0,4.0,2.0,1.0,,,6.0,,1.0,,,,1.0,,,,,,2.0,,1.0,2.0,2.0,4.0,,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,0.25,,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,69.11999999999999,15.75,31.0,15.75,30.5,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,,,,,0.6666666666666666,,0.49555,,,0.25,0.3333333333333333,,1.0,10.4,23.9,0.25,-2.0,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1921-2212-2400,1610612753,"Tracy McGrady, Jacque Vaughn, Gordan Giricek, Steven Hunter, Drew Gooden","McGrady, Vaughn, Giricek, Hunter, Gooden",1503-1521-1921-2212-2400,ORL,792.0,3,13.0,23.0,25.0,2.0,2.0,3.0,48.0,5.0,8.0,1.0,5.0,3.0,5.0,1.0,4.0,,1.0,9.0,18.0,1.0,4.0,3.0,24.0,37.0,2.0,3.0,4.0,,1.0,,1.0,,,8.0,10.0,,4.0,4.0,1.0,2.0,4.0,,4.0,,2.0,,2.0,8.0,3.0,,1.0,4.0,1.0,6.0,3.0,9.0,2.0,1.0,1.0,,1.0,1.0,,,2.0,,,4.0,8.0,6.0,1.0,3.0,,20.0,,2.0,0.4444444444444444,0.5714285714285714,,0.25,,0.25,0.5,0.6666666666666666,,0.4772727272727273,0.6666666666666666,,0.4791666666666667,0.6666666666666666,,0.18181818181818182,0.1111111111111111,0.125,0.5,1.0,,0.5,0.3333333333333333,0.5,0.5,0.25,,0.5,,1.0,,87.27272727272728,16.347826086956523,16.64,16.17391304347826,15.8,0.36363636363636365,0.625,0.7142857142857143,0.4,0.22727272727272727,0.2,0.25,,0.22727272727272727,0.6,0.6,0.6666666666666666,0.18181818181818182,0.25,0.25,,0.5,,0.5454545454545454,0.25,0.49580454545454544,0.5772,0.458675,0.125,0.15,0.16666666666666666,,6.633333333333334,24.75,0.08695652173913043,-13.0,,,,,,,,,,,,0.6666666666666666,0.5,,,,,,,1.0,1.0,1.0,0.5,3.0,,,,1.0,2.0,3.0,1.0,1.0,0.2,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1921-2400-2469,1610612753,"Tracy McGrady, Jacque Vaughn, Gordan Giricek, Drew Gooden, Pat Burke","McGrady, Vaughn, Giricek, Gooden, Burke",1503-1521-1921-2400-2469,ORL,230.0,1,4.0,7.0,8.0,,5.0,,15.0,,,,1.0,4.0,5.0,1.0,1.0,,,4.0,6.0,1.0,1.0,,11.0,6.0,,,,,,,,,,6.0,2.0,,,1.0,1.0,,3.0,,3.0,,,,3.0,6.0,,,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,,,,,,,,,,1.0,4.0,,,,,11.0,,,0.75,0.75,,1.0,,1.0,0.6666666666666666,,,0.7857142857142857,,,0.7857142857142857,,,0.14285714285714285,,,,1.0,,1.0,,1.0,1.0,,,,,,,93.91304347826086,14.0,16.5,14.0,16.5,,,,,0.14285714285714285,,,,0.7142857142857143,0.8,0.8,0.75,0.14285714285714285,1.0,1.0,,,,0.14285714285714285,1.0,0.40672142857142857,,,,,,,15.166666666666666,27.6,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
1503-1521-1921-2400-353,1610612753,"Tracy McGrady, Jacque Vaughn, Gordan Giricek, Drew Gooden, Darrell Armstrong","McGrady, Vaughn, Giricek, Gooden, Armstrong",1503-1521-1921-2400-353,ORL,162.0,1,3.0,5.0,5.0,,3.0,1.0,10.0,2.0,2.0,,,,1.0,1.0,2.0,,,2.0,3.0,1.0,2.0,,7.0,4.0,1.0,1.0,2.0,,,,,,,,4.0,3.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,3.0,1.0,,,3.0,,3.0,1.0,4.0,,,,,,1.0,,,1.0,,,,2.0,,,,,5.0,,,,,1.0,0.5,,0.5,0.6666666666666666,1.0,,0.7,1.0,,0.7,1.0,,0.4,,,,,,1.0,1.0,,1.0,0.5,,1.0,,1.0,,88.88888888888889,13.4,19.0,13.2,19.0,0.4,1.0,1.0,,,,,,0.2,,,,0.4,0.5,0.5,1.0,,,0.8,0.5,0.47428,0.5634,,,,0.2857142857142857,,4.7,27.05,,3.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2003,2002-03,False
