EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Minutes,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,FG3M,FG3A,FtPoints,OpponentPoints,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,LostBallOutOfBoundsTurnovers,ShootingFouls,PenaltyArc3FGA,HeaveAttempts,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,LiveBallTurnoverPct,SelfORebPct,PenaltyArc3Frequency,AtRimFGM,DefTwoPtRebounds,NonShootingFoulsDrawn,DefTwoPtReboundPct,DefShortMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3FGM,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,DefLongMidRangeReboundPct,PenaltyAtRimFGM,AtRimAssists,AtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,ShortMidRangeFGM,LostBallTurnovers,Travels,2pt And 1 Free Throw Trips,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,DefAtRimReboundPct,ShortMidRangeAssists,ShortMidRangePctAssisted,Arc3Assists,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,BlocksRecoveredPct,Arc3PctAssisted,BadPassOutOfBoundsTurnovers,BlockedAtRim,OffensiveGoaltends,Technical Free Throw Trips,OffCorner3ReboundPct,SecondChanceTurnovers,Defensive 3 Seconds Violations,SecondChanceArc3FGA,SecondChanceFG3A,FTOffRebounds,Blocked3s,BlockedArc3,BlockedShortMidRange,3SecondViolations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceArc3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1496-1730-1761-243-947,1610612755,"Keith Van Horn, Brian Skinner, Greg Buckner, Aaron McKie, Allen Iverson","Van Horn, Skinner, Buckner, McKie, Iverson",1496-1730-1761-243-947,PHI,23.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,125.21739130434781,21.0,2.0,19.0,2.0,1.0,0.5,0.5,0.2789,0.2109,0.2789,1.0,1.0,18.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1730-1903-243-727,1610612755,"Keith Van Horn, Brian Skinner, Kenny Thomas, Aaron McKie, Eric Snow","Van Horn, Skinner, Thomas, McKie, Snow",1496-1730-1903-243-727,PHI,221.0,2,1.0,4.0,6.0,3.0,3.0,1.0,10.0,1.0,1.0,1.0,3.0,7.0,,1.0,1.0,1.0,3.0,6.0,,,2.0,,1.0,3.0,4.0,1.0,,6.0,3.0,0.3333333333333333,,0.3333333333333333,0.5,,0.625,0.5,0.25,0.6,,1.0,1.0,,65.15837104072399,28.0,18.166666666666668,25.25,18.166666666666668,0.2,1.0,1.0,0.46331,0.5487,0.474775,0.14285714285714285,0.8571428571428571,7.3999999999999995,0.75,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,1.0,1.0,1.0,0.5,1.0,0.5,0.4,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.2,1.0,1.0,1.0,0.2,1.0,0.25,0.25,1.0,0.6,0.2857142857142857,0.4,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1730-1903-243-947,1610612755,"Keith Van Horn, Brian Skinner, Kenny Thomas, Aaron McKie, Allen Iverson","Van Horn, Skinner, Thomas, McKie, Iverson",1496-1730-1903-243-947,PHI,38.0,2,-2.0,2.0,2.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,151.57894736842107,2.5,16.5,2.5,16.5,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1730-1903-727-947,1610612755,"Keith Van Horn, Brian Skinner, Kenny Thomas, Eric Snow, Allen Iverson","Van Horn, Skinner, Thomas, Snow, Iverson",1496-1730-1903-727-947,PHI,105.0,2,-8.0,4.0,4.0,4.0,4.0,1.0,8.0,,,,2.0,1.0,,,1.0,,2.0,1.0,,,1.0,,,1.0,1.0,,,1.0,4.0,,,,,,,0.125,0.5,0.125,,0.5,0.5,,109.71428571428571,11.75,14.5,11.5,8.75,,,,0.49025,,0.49025,1.0,1.0,,1.0,2.0,2.0,,2.0,,,,,,1.0,,1.0,1.0,9.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,2.0,,2.0,1.0,,,,,,,,0.3333333333333333,0.5,,,,,0.5,,,,0.6666666666666666,,,,,,,0.3333333333333333,,0.6666666666666666,,,1.0,0.25,0.3333333333333333,40.1,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1730-243-934-947,1610612755,"Keith Van Horn, Brian Skinner, Aaron McKie, Derrick Coleman, Allen Iverson","Van Horn, Skinner, McKie, Coleman, Iverson",1496-1730-243-934-947,PHI,50.0,1,3.0,3.0,1.0,1.0,1.0,,4.0,,,1.0,1.0,4.0,,,,,,2.0,2.0,,,,1.0,,1.0,,,2.0,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,115.19999999999999,9.666666666666666,21.0,9.666666666666666,21.0,,,,0.5794,,,,0.5,,0.3333333333333333,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,2.0,,4.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1761-1903-2422-243,1610612755,"Keith Van Horn, Greg Buckner, Kenny Thomas, John Salmons, Aaron McKie","Van Horn, Buckner, Thomas, Salmons, McKie",1496-1761-1903-2422-243,PHI,54.0,1,3.0,2.0,1.0,2.0,1.0,,3.0,,1.0,,1.0,3.0,,,,,1.0,3.0,,,,,1.0,,1.0,,,3.0,2.0,,,,0.75,,0.75,0.75,,0.75,,,,,80.0,22.0,10.0,22.0,10.0,0.5,,,0.323325,,0.323325,,1.0,17.3,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,3.0,,,,1.0,1.0,1.0,0.5,,,1.0,,1.0,,,,,,,,,,,,0.5,,,,,0.5,,,26.2,,,1.0,,,,,,,,,,0.5,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1761-1903-243-727,1610612755,"Keith Van Horn, Greg Buckner, Kenny Thomas, Aaron McKie, Eric Snow","Van Horn, Buckner, Thomas, McKie, Snow",1496-1761-1903-243-727,PHI,51.0,1,,1.0,2.0,,,,3.0,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,84.70588235294117,20.0,15.5,20.0,15.5,1.0,,,0.4037,,,,,17.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1761-1903-243-947,1610612755,"Keith Van Horn, Greg Buckner, Kenny Thomas, Aaron McKie, Allen Iverson","Van Horn, Buckner, Thomas, McKie, Iverson",1496-1761-1903-243-947,PHI,102.0,2,-2.0,4.0,3.0,4.0,3.0,,7.0,1.0,1.0,2.0,3.0,4.0,,,,2.0,3.0,4.0,2.0,,,1.0,1.0,,1.0,,,4.0,4.0,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.5,,0.5,1.0,,,,98.82352941176471,13.5,16.0,13.5,16.0,0.25,1.0,1.0,0.485825,,0.485825,,1.0,6.0,1.0,2.0,2.0,,2.0,,,,,,1.0,,1.0,,6.0,,,1.0,,2.0,,1.0,,1.0,,1.0,,,2.0,,,,,,,2.0,,,,4.0,0.5,0.5,,,,,0.25,,,,,,,,,,0.5,,,,,,,0.25,,0.5,,,0.75,,,25.2,,1.0,1.0,,,,,,1.0,,,,0.25,1.0,,,,,0.5,0.5,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1761-238-243-947,1610612755,"Keith Van Horn, Greg Buckner, Tyrone Hill, Aaron McKie, Allen Iverson","Van Horn, Buckner, Hill, McKie, Iverson",1496-1761-238-243-947,PHI,588.0,4,3.0,18.0,16.0,13.0,8.0,4.0,34.0,,3.0,8.0,19.0,19.0,3.0,6.0,7.0,5.0,9.0,12.0,10.0,4.0,5.0,,4.0,5.0,9.0,,,12.0,13.0,0.42105263157894735,0.5,0.5555555555555556,0.4,0.5,0.5,0.4523809523809524,0.5833333333333334,0.5454545454545454,,0.45454545454545453,0.4166666666666667,0.3333333333333333,83.26530612244898,15.722222222222221,19.0625,14.666666666666666,18.5,0.15,,,0.49211499999999997,0.5112666666666666,0.5125,0.3684210526315789,0.631578947368421,5.352631578947369,0.7222222222222222,10.0,12.0,4.0,6.0,4.0,,1.0,,1.0,,,1.0,3.0,16.0,1.0,,1.0,2.0,6.0,,,1.0,3.0,,3.0,,,6.0,,,,1.0,2.0,2.0,7.0,,4.0,2.0,12.0,0.375,0.5,,,,,0.05,0.05263157894736842,,,,0.5,0.4,0.6666666666666666,,,0.6,0.2,,0.05,,,,,0.6666666666666666,0.6,0.1,,0.65,0.1,0.10526315789473684,22.7,,4.0,,,,1.0,,1.0,1.0,0.08333333333333333,0.5,,,7.0,4.0,1.0,0.6666666666666666,0.5,0.5833333333333334,0.6363636363636364,,,,,,,,,,1.0,4.0,3.0,0.42857142857142855,0.6666666666666666,3.0,1.0,1.0,1.0,2.0,0.25,0.25,0.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
1496-1761-238-727-947,1610612755,"Keith Van Horn, Greg Buckner, Tyrone Hill, Eric Snow, Allen Iverson","Van Horn, Buckner, Hill, Snow, Iverson",1496-1761-238-727-947,PHI,128.0,1,-4.0,3.0,3.0,,2.0,,6.0,,3.0,,3.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,67.5,23.333333333333332,19.333333333333332,23.333333333333332,14.0,1.0,,,0.3902666666666667,,,,,18.233333333333334,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2003,2002-03,False
