EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,Loose Ball Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,LongMidRangeAssists,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,Fg2aBlocked,AtRimAssists,FTOffRebounds,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffLongMidRangeReboundPct,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,PenaltyArc3Frequency,Corner3FGA,SecondChanceFtPoints,PenaltyFtPoints,OffThreePtRebounds,SelfOReb,Travels,SecondChanceTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3Frequency,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedCorner3,RecoveredBlocks,3SecondViolations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,OffensiveGoaltends,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,DefensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,BlockedArc3,LongMidRangePctBlocked,OffCorner3ReboundPct,Defensive 3 Seconds Violations,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1425-1496-1533-2030-446,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Kenyon Martin, Lucious Harris","Williams, Van Horn, Johnson, Martin, Harris",1425-1496-1533-2030-446,NJN,173.0,3,3.0,4.0,5.0,5.0,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.6666666666666666,1.0,0.6,1.0,0.5,1.0,0.5,1.0,0.16666666666666666,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,1.0,83.23699421965318,15.8,18.8,15.6,18.8,0.16666666666666666,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.16666666666666666,1.0,1.0,0.3333333333333333,0.4403166666666667,0.5591,0.3333333333333333,5.9399999999999995,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2030-954,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Kenyon Martin, Kerry Kittles","Williams, Van Horn, Johnson, Martin, Kittles",1425-1496-1533-2030-954,NJN,76.0,1,1.0,2.0,3.0,2.0,2.0,,5.0,,,,,,,,1.0,2.0,,2.0,,,,,2.0,,,,1.0,1.0,,2.0,,,,1.0,,1.0,1.0,1.0,,,,2.0,,1.0,1.0,0.5,,0.5,,0.5,,,,,,1.0,,,,,94.73684210526316,12.0,20.0,12.0,20.0,,,,,,,,,,,,0.364,,,16.55,,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.364,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2210-446,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Richard Jefferson, Lucious Harris","Williams, Van Horn, Johnson, Jefferson, Harris",1425-1496-1533-2210-446,NJN,1769.0,9,29.0,-7.0,53.0,52.0,9.0,3.0,105.0,8.0,12.0,,1.0,3.0,7.0,2.0,15.0,31.0,2.0,42.0,49.0,2.0,3.0,4.0,18.0,12.0,,2.0,9.0,9.0,2.0,18.0,2.0,16.0,1.0,20.0,3.0,23.0,5.0,4.0,4.0,13.0,1.0,38.0,1.0,0.6,0.6,0.4838709677419355,0.6666666666666666,0.45454545454545453,0.6666666666666666,0.5,0.6666666666666666,0.06060606060606061,1.0,0.64,0.125,0.6333333333333333,0.1111111111111111,0.25,0.3333333333333333,0.7857142857142857,85.472018089316,15.547169811320755,18.173076923076923,15.358490566037736,17.03846153846154,0.36363636363636365,0.6666666666666666,0.7272727272727273,0.21212121212121213,0.42857142857142855,0.5,0.6666666666666666,0.06060606060606061,0.3333333333333333,,0.42424242424242425,0.4591,0.4351,0.09523809523809523,9.51290322580645,25.5,4.0,4.0,12.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.6666666666666666,0.36363636363636365,0.3333333333333333,0.3333333333333333,0.25,0.4019333333333333,0.047619047619047616,0.07547169811320754,1.0,1.0,12.0,2.0,6.0,1.0,1.0,6.0,3.0,4.0,7.0,3.0,2.0,13.0,1.0,1.0,18.0,9.0,4.0,3.0,1.0,4.0,0.06451612903225806,0.08333333333333333,0.14285714285714285,0.46153846153846156,0.25,0.25,0.5,0.5,0.75,0.3333333333333333,1.0,0.21428571428571427,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2215-446,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Jason Collins, Lucious Harris","Williams, Van Horn, Johnson, Collins, Harris",1425-1496-1533-2215-446,NJN,92.0,1,2.0,-5.0,3.0,3.0,,1.0,6.0,1.0,1.0,1.0,1.0,,1.0,,1.0,4.0,,2.0,7.0,1.0,1.0,2.0,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,2.0,,,,,,0.25,1.0,0.25,1.0,0.25,1.0,,,,0.3333333333333333,,0.3333333333333333,,,,93.91304347826086,16.333333333333332,14.333333333333334,15.333333333333334,14.0,0.25,1.0,1.0,0.25,,,,,1.0,1.0,0.25,0.446875,0.6207,1.0,10.15,,,,2.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-467-954,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Jason Kidd, Kerry Kittles","Williams, Van Horn, Johnson, Kidd, Kittles",1425-1496-1533-467-954,NJN,22.0,1,,,1.0,1.0,1.0,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,130.9090909090909,3.0,19.0,3.0,19.0,,,,,,,,1.0,,,1.0,,,,,71.5,1.0,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-2030-446-467,1610612751,"Aaron Williams, Keith Van Horn, Kenyon Martin, Lucious Harris, Jason Kidd","Williams, Van Horn, Martin, Harris, Kidd",1425-1496-2030-446-467,NJN,1836.0,12,31.0,22.0,56.0,51.0,22.0,6.0,107.0,11.0,16.0,2.0,4.0,3.0,6.0,5.0,23.0,38.0,6.0,69.0,47.0,2.0,5.0,6.0,26.0,20.0,,5.0,13.0,13.0,1.0,26.0,6.0,15.0,,21.0,7.0,28.0,3.0,1.0,5.0,17.0,,63.0,4.0,0.5652173913043478,0.5652173913043478,0.6052631578947368,0.4,0.5227272727272727,0.4,0.6388888888888888,0.5,0.13636363636363635,,0.8823529411764706,0.4,0.7777777777777778,0.3333333333333333,0.6666666666666666,0.75,1.0,83.92156862745098,15.964285714285714,18.470588235294116,15.160714285714286,18.0,0.36363636363636365,0.6875,0.6875,0.13636363636363635,0.5,0.5,0.3333333333333333,0.11363636363636363,0.8,0.5,0.5,0.4838727272727273,0.520375,0.08695652173913043,8.913157894736841,24.7,18.0,9.0,16.0,6.0,10.0,20.0,5.0,6.0,20.0,18.0,0.6,0.5,0.625,0.6,0.7142857142857143,0.36363636363636365,0.5625,0.5625,0.5555555555555556,0.48943333333333333,0.2898550724637681,0.32142857142857145,3.0,4.0,23.0,,7.0,,2.0,4.0,3.0,1.0,5.0,,3.0,9.0,3.0,1.0,23.0,9.0,,,,,,,,0.4444444444444444,,0.2,0.8333333333333334,0.3333333333333333,0.6363636363636364,0.3333333333333333,0.75,0.18,0.20454545454545456,0.42857142857142855,2.0,2.0,,0.16666666666666666,1.0,2.0,8.0,1.0,1.0,1.0,1.0,3.0,4.0,0.16666666666666666,0.2,0.047619047619047616,0.022727272727272728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-2030-467-954,1610612751,"Aaron Williams, Keith Van Horn, Kenyon Martin, Jason Kidd, Kerry Kittles","Williams, Van Horn, Martin, Kidd, Kittles",1425-1496-2030-467-954,NJN,4801.0,14,80.0,-26.0,161.0,165.0,83.0,28.0,326.0,28.0,44.0,11.0,16.0,10.0,30.0,32.0,47.0,111.0,38.0,130.0,156.0,13.0,21.0,35.0,48.0,46.0,16.0,31.0,24.0,29.0,6.0,63.0,24.0,38.0,7.0,58.0,31.0,89.0,12.0,5.0,20.0,48.0,1.0,95.0,12.0,0.5106382978723404,0.6153846153846154,0.42342342342342343,0.6190476190476191,0.37583892617449666,0.5714285714285714,0.3932926829268293,0.5833333333333334,0.2550335570469799,0.875,0.6666666666666666,0.375,0.6538461538461539,0.3263157894736842,0.45,0.75,0.8095238095238095,97.77962924390752,14.267080745341614,15.175757575757576,13.347826086956522,14.393939393939394,0.2953020134228188,0.6363636363636364,0.7368421052631579,0.20134228187919462,0.3333333333333333,0.3448275862068966,0.6,0.21476510067114093,0.5714285714285714,0.6875,0.5503355704697986,0.49112364864864866,0.5622113636363637,0.2692307692307692,8.63063063063063,26.336842105263155,77.0,9.0,37.0,24.0,52.0,77.0,3.0,13.0,77.0,77.0,0.46153846153846156,0.4090909090909091,0.43258426966292135,0.6190476190476191,0.5384615384615384,0.2483221476510067,0.24324324324324326,0.24324324324324326,0.3333333333333333,0.49103552631578945,0.5923076923076923,0.4782608695652174,13.0,21.0,18.0,7.0,15.0,,7.0,19.0,5.0,15.0,10.0,,4.0,29.0,6.0,4.0,35.0,9.0,14.0,10.0,4.0,15.0,0.06306306306306306,0.13636363636363635,0.03333333333333333,0.6551724137931034,,0.5,0.45,0.75,0.5357142857142857,0.2727272727272727,0.6190476190476191,0.05844155844155844,0.07758620689655173,0.25,21.0,25.0,1.0,0.2727272727272727,6.0,3.0,14.0,7.0,6.0,,1.0,4.0,10.0,0.22580645161290322,0.28,0.06818181818181818,0.040268456375838924,1.0,4.0,6.0,2.0,6.0,5.0,6.0,2.0,7.0,5.0,15.0,3.0,6.0,5.0,5.0,1.0,1.0,1.0,1.0,7.0,1.0,0.8333333333333334,0.15789473684210525,0.2857142857142857,0.2,0.16216216216216217,0.4666666666666667,0.1875,0.1875,0.8333333333333334,0.2727272727272727,0.03571428571428571,0.21428571428571427,0.3333333333333333,1.0,0.05194805194805195,0.23809523809523808,0.1935483870967742,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-2210-446-467,1610612751,"Aaron Williams, Keith Van Horn, Richard Jefferson, Lucious Harris, Jason Kidd","Williams, Van Horn, Jefferson, Harris, Kidd",1425-1496-2210-446-467,NJN,1659.0,12,28.0,-19.0,51.0,59.0,32.0,6.0,110.0,8.0,11.0,1.0,1.0,1.0,5.0,7.0,16.0,31.0,10.0,52.0,71.0,2.0,3.0,4.0,20.0,12.0,2.0,7.0,10.0,12.0,,26.0,3.0,13.0,4.0,19.0,6.0,25.0,5.0,1.0,14.0,26.0,1.0,48.0,6.0,0.625,0.6666666666666666,0.5161290322580645,0.6666666666666666,0.4634146341463415,0.5,0.53125,0.5,0.24390243902439024,0.6666666666666666,0.65,0.2,0.6,0.22727272727272727,0.25,0.6666666666666666,0.875,95.47920433996384,15.980392156862745,14.305084745762711,15.156862745098039,13.220338983050848,0.2682926829268293,0.7272727272727273,0.8,0.12195121951219512,0.2,0.25,,0.17073170731707318,0.25,1.0,0.5121951219512195,0.48416750000000003,0.476575,0.07692307692307693,10.506451612903225,25.79,15.0,7.0,15.0,4.0,8.0,17.0,5.0,2.0,17.0,15.0,0.5,0.4583333333333333,0.5666666666666667,0.4,0.5,0.36585365853658536,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.4811083333333333,0.3269230769230769,0.29411764705882354,2.0,3.0,14.0,2.0,5.0,1.0,4.0,7.0,1.0,4.0,4.0,,3.0,11.0,1.0,2.0,16.0,7.0,3.0,1.0,2.0,3.0,0.06451612903225806,0.09090909090909091,0.2,0.6363636363636364,1.0,0.3333333333333333,0.3333333333333333,,0.625,0.25,0.6666666666666666,0.14893617021276595,0.1891891891891892,0.125,2.0,4.0,,0.16666666666666666,3.0,,6.0,2.0,3.0,,2.0,1.0,1.0,0.2857142857142857,0.4,0.15,0.07317073170731707,1.0,2.0,1.0,,,,2.0,,1.0,1.0,6.0,,1.0,2.0,1.0,,1.0,,,1.0,,1.0,0.2,,0.25,0.2,0.3333333333333333,0.14285714285714285,0.14285714285714285,1.0,,0.25,,,,0.16666666666666666,,0.14285714285714285,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-2210-446-954,1610612751,"Aaron Williams, Keith Van Horn, Richard Jefferson, Lucious Harris, Kerry Kittles","Williams, Van Horn, Jefferson, Harris, Kittles",1425-1496-2210-446-954,NJN,397.0,3,7.0,-14.0,14.0,13.0,,1.0,27.0,4.0,7.0,1.0,1.0,,2.0,,4.0,12.0,,9.0,23.0,1.0,1.0,2.0,4.0,4.0,2.0,,2.0,2.0,,4.0,1.0,,,1.0,1.0,2.0,2.0,1.0,4.0,5.0,,7.0,,0.5,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,1.0,0.375,1.0,,,,0.125,0.5,0.125,0.5,,,97.93450881612091,16.714285714285715,12.538461538461538,16.642857142857142,12.076923076923077,0.5833333333333334,0.5714285714285714,0.6666666666666666,0.16666666666666666,,,,,1.0,1.0,0.5833333333333334,0.48635,0.5463,0.2222222222222222,7.0,,,,3.0,,,,,1.0,,,,,,1.0,,0.25,,,,,,,,,1.0,1.0,2.0,,1.0,2.0,,2.0,1.0,,,3.0,,1.0,1.0,1.0,,,,,0.08333333333333333,0.14285714285714285,,0.6666666666666666,,,,1.0,0.5,,,0.08333333333333333,0.08333333333333333,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-2210-467-954,1610612751,"Aaron Williams, Keith Van Horn, Richard Jefferson, Jason Kidd, Kerry Kittles","Williams, Van Horn, Jefferson, Kidd, Kittles",1425-1496-2210-467-954,NJN,573.0,6,10.0,,18.0,20.0,11.0,3.0,38.0,1.0,3.0,,1.0,1.0,3.0,4.0,4.0,11.0,4.0,18.0,18.0,1.0,4.0,2.0,4.0,4.0,,4.0,2.0,4.0,,10.0,3.0,6.0,,9.0,4.0,13.0,,,4.0,7.0,,16.0,1.0,0.5,0.5,0.36363636363636365,0.25,0.4666666666666667,0.25,0.5294117647058824,0.25,0.26666666666666666,,0.75,0.42857142857142855,0.8181818181818182,0.4444444444444444,0.5,1.0,1.0,95.49738219895288,14.166666666666666,15.9,11.666666666666666,14.9,0.2,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.3333333333333333,,0.26666666666666666,0.25,,0.4666666666666667,0.4738833333333333,0.4180333333333333,0.1111111111111111,11.581818181818182,24.725,2.0,2.0,5.0,,1.0,2.0,2.0,3.0,2.0,2.0,,,0.5,1.0,1.0,0.3333333333333333,0.4,0.4,1.0,0.3282,0.1111111111111111,0.1111111111111111,,,4.0,,,,,3.0,,,2.0,1.0,3.0,5.0,,,4.0,1.0,2.0,1.0,1.0,2.0,,,,0.6,,,,1.0,,,,0.0625,0.08333333333333333,0.6666666666666666,,,,,,,2.0,1.0,,,,,1.0,0.5,0.5,,,,,2.0,,,,2.0,,,,6.0,,2.0,2.0,2.0,,,,,1.0,,1.0,0.5,,,0.5,0.5,0.5,0.5,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
