EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,HeaveAttempts,ShortMidRangeAssists,DefThreePtRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,BlockedShortMidRange,PenaltyFg2Pct,PenaltyEfgPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,ShortMidRangePctAssisted,PenaltyShotQualityAvg,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3A,Fg3aBlocked,OffThreePtRebounds,FG3APctBlocked,Arc3PctBlocked,OffThreePtReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyFG3M,FTOffRebounds,FTDefRebounds,DefensiveGoaltends,PenaltyFg3Pct,DefFTReboundPct,OffFTReboundPct,PenaltyCorner3Accuracy,NonShootingPenaltyNonTakeFouls,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,PenaltyArc3FGM,PtsUnassisted3s,LongMidRangePctBlocked,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,OffArc3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,BlockedLongMidRange,3SecondViolations,Corner3PctBlocked,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
111-1735-1752-1853-2067,1610612748,"LaPhonso Ellis, Vladimir Stepania, Sean Marks, Anthony Carter, Eddie House","Ellis, Stepania, Marks, Carter, House",111-1735-1752-1853-2067,MIA,141.0,1,2.0,-7.0,5.0,5.0,4.0,5.0,1.0,10.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,0.125,0.25,1.0,0.5,1.0,0.5,1.0,1.0,102.12765957446808,16.6,11.6,15.6,11.6,0.5,0.5,0.3631,0.3333333333333333,0.3333333333333333,1.0,15.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1752-1853-224,1610612748,"LaPhonso Ellis, Vladimir Stepania, Sean Marks, Anthony Carter, Eddie Jones","Ellis, Stepania, Marks, Carter, Jones",111-1735-1752-1853-224,MIA,1133.0,2,19.0,-9.0,32.0,33.0,,6.0,4.0,65.0,9.0,14.0,27.0,3.0,23.0,32.0,,,5.0,13.0,13.0,5.0,18.0,4.0,5.0,,,5.0,2.0,4.0,2.0,,18.0,,,0.359375,,0.6842105263157895,0.25,0.6842105263157895,0.23809523809523808,0.2727272727272727,0.75,82.61253309796999,19.5625,15.363636363636363,18.625,14.090909090909092,0.3,0.4666666666666667,0.42150499999999996,0.0625,0.06896551724137931,,12.262962962962964,,2.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,3.0,1.0,3.0,1.0,1.0,5.0,4.0,10.0,6.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.2857142857142857,0.3333333333333333,1.0,0.6666666666666666,1.0,0.6666666666666666,0.25925925925925924,0.3333333333333333,0.3333333333333333,0.625,0.625,0.1,0.07407407407407407,0.25,0.1111111111111111,0.2,0.2857142857142857,0.8333333333333334,0.4,0.05263157894736842,0.5,0.13333333333333333,0.5,0.6666666666666666,0.5,0.2222222222222222,0.25,0.21428571428571427,0.21428571428571427,0.3333333333333333,0.03333333333333333,1.0,1.0,1.0,0.06666666666666667,0.5,0.5,1.0,0.5,0.5,0.25,1.0,1.0,0.23333333333333334,0.5,0.5427,0.21739130434782608,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1752-2067-224,1610612748,"LaPhonso Ellis, Vladimir Stepania, Sean Marks, Eddie House, Eddie Jones","Ellis, Stepania, Marks, House, Jones",111-1735-1752-2067-224,MIA,17.0,1,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,84.70588235294117,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2067-224,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Eddie Jones","Ellis, Stepania, Carter, House, Jones",111-1735-1853-2067-224,MIA,1688.0,5,28.0,-4.0,51.0,50.0,3.0,7.0,6.0,101.0,7.0,21.0,43.0,7.0,59.0,63.0,1.0,3.0,7.0,15.0,17.0,7.0,24.0,5.0,9.0,1.0,3.0,8.0,,10.0,5.0,,53.0,3.0,3.0,0.5686274509803921,0.5,0.7142857142857143,0.3684210526315789,0.7391304347826086,0.35,0.2,0.7142857142857143,86.1611374407583,16.45098039215686,16.98,15.450980392156863,16.26,0.14893617021276595,0.44680851063829785,0.4735989130434783,0.09803921568627451,0.10638297872340426,0.05084745762711865,10.390697674418606,0.058823529411764705,8.0,15.0,2.0,4.0,5.0,10.0,,,2.0,4.0,,1.0,23.0,2.0,4.0,2.0,5.0,,1.0,6.0,20.0,26.0,6.0,2.0,3.0,2.0,2.0,10.0,2.0,12.0,2.0,,4.0,4.0,26.0,1.0,4.0,3.0,4.0,,2.0,4.0,3.0,4.0,2.0,0.43478260869565216,0.45454545454545453,1.0,0.5,,0.6666666666666666,0.5348837209302325,0.4,0.5531914893617021,0.3333333333333333,0.42857142857142855,0.0851063829787234,0.046511627906976744,0.13333333333333333,,0.4444444444444444,0.5,0.6666666666666666,0.75,0.05555555555555555,0.5,0.3191489361702128,0.5333333333333333,0.6153846153846154,0.5,0.7142857142857143,0.7142857142857143,0.47619047619047616,0.47619047619047616,0.4,,,,,0.0851063829787234,0.5,0.5,1.0,0.6666666666666666,0.5,0.16666666666666666,,,0.40425531914893614,0.6666666666666666,0.5375666666666666,0.1016949152542373,28.65,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5714285714285714,1.0,0.4,0.3826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2067-258,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Brian Grant","Ellis, Stepania, Carter, House, Grant",111-1735-1853-2067-258,MIA,846.0,3,14.0,-2.0,25.0,28.0,4.0,4.0,6.0,53.0,2.0,10.0,18.0,5.0,28.0,30.0,1.0,3.0,5.0,6.0,11.0,6.0,17.0,1.0,2.0,,4.0,7.0,,6.0,3.0,,20.0,3.0,4.0,0.4827586206896552,0.25,0.75,0.45454545454545453,0.8461538461538461,0.4,0.5,0.6666666666666666,90.2127659574468,15.36,16.5,14.24,16.214285714285715,0.07692307692307693,0.38461538461538464,0.4879519230769231,0.10344827586206896,0.14285714285714285,0.10714285714285714,11.522222222222222,0.16,3.0,6.0,1.0,2.0,,4.0,2.0,4.0,1.0,4.0,1.0,1.0,7.0,3.0,8.0,2.0,3.0,1.0,2.0,8.0,2.0,12.0,9.0,2.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,,1.0,11.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,0.14285714285714285,0.16666666666666666,1.0,0.375,0.5,0.375,0.3888888888888889,0.6666666666666666,0.4423076923076923,0.7,0.6666666666666666,0.3076923076923077,0.05555555555555555,0.16666666666666666,,0.5,0.5,1.0,1.0,0.07142857142857142,,0.23076923076923078,0.5,0.6,,,,0.4,0.4,0.25,0.15384615384615385,0.5,0.5,1.0,0.15384615384615385,0.25,0.3333333333333333,1.0,0.4,0.5,0.2,1.0,1.0,0.5384615384615384,0.25,0.52424,0.2857142857142857,24.05,1.0,1.0,3.0,,,5.0,1.0,,,,,1.0,,,,0.3333333333333333,0.2,1.0,0.3333333333333333,1.0,,0.44598000000000004,1.0,1.0,1.0,2.0,1.0,1.0,0.125,0.25,0.25,0.5,1.0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2067-297,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Alonzo Mourning","Ellis, Stepania, Carter, House, Mourning",111-1735-1853-2067-297,MIA,81.0,1,1.0,-3.0,2.0,3.0,2.0,3.0,,5.0,,,1.0,,2.0,5.0,,2.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,1.0,1.0,,,0.5,,,,88.88888888888889,17.0,15.666666666666666,17.0,15.333333333333334,,,0.5032,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,0.5,,0.5,,0.5032,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2067-423,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Chris Gatling","Ellis, Stepania, Carter, House, Gatling",111-1735-1853-2067-423,MIA,1204.0,5,20.0,-12.0,39.0,36.0,7.0,16.0,6.0,75.0,6.0,12.0,25.0,5.0,31.0,43.0,1.0,4.0,5.0,8.0,12.0,6.0,18.0,2.0,10.0,,6.0,9.0,,8.0,4.0,,31.0,4.0,7.0,0.44285714285714284,0.25,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.2631578947368421,0.125,0.6666666666666666,89.70099667774086,16.0,16.11111111111111,14.923076923076923,15.61111111111111,0.1935483870967742,0.3870967741935484,0.4630967741935484,0.11428571428571428,0.13793103448275862,0.12903225806451613,11.456,0.1794871794871795,3.0,7.0,,2.0,3.0,4.0,1.0,2.0,1.0,4.0,,,10.0,2.0,6.0,,3.0,,,,12.0,8.0,6.0,,4.0,1.0,1.0,6.0,2.0,8.0,1.0,1.0,2.0,3.0,18.0,3.0,3.0,1.0,8.0,,4.0,,,,,0.6,0.6,1.0,0.3333333333333333,,0.3333333333333333,0.4,,0.41935483870967744,,,0.1935483870967742,0.04,0.14285714285714285,,0.8,1.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,,0.22580645161290322,0.42857142857142855,0.5,0.6666666666666666,0.5,0.5,0.3333333333333333,0.3333333333333333,0.75,0.06451612903225806,0.5,0.5,1.0,0.12903225806451613,0.25,0.25,1.0,0.6666666666666666,,,,,0.41935483870967744,0.25,0.5216333333333333,,24.583333333333332,,,5.0,,1.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,,,,,0.21428571428571427,1.0,0.25,1.0,0.3333333333333333,0.4488142857142857,,1.0,1.0,2.0,,,,,,,,,0.14285714285714285,0.14285714285714285,,,,,1.0,1.0,1.0,2.0,1.0,0.5,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2067-694,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Eddie House, Sam Mack","Ellis, Stepania, Carter, House, Mack",111-1735-1853-2067-694,MIA,36.0,1,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,0.5,,0.5,,,0.5,40.0,,36.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2081-224,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Ernest Brown, Eddie Jones","Ellis, Stepania, Carter, Brown, Jones",111-1735-1853-2081-224,MIA,203.0,1,3.0,-5.0,7.0,7.0,7.0,7.0,,14.0,3.0,2.0,5.0,,4.0,9.0,,4.0,,2.0,3.0,,3.0,1.0,2.0,2.0,,1.0,,,,,4.0,4.0,7.0,0.4,0.4,0.6666666666666666,,0.6666666666666666,,,1.0,99.3103448275862,16.857142857142858,12.142857142857142,16.857142857142858,12.0,0.6,0.4,0.38188,,,1.0,13.98,1.0,,,,,1.0,1.0,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,0.5,0.5,,,,,0.4,,0.4,,,,,,,0.5,,,1.0,,,,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,1.0,,,,0.4,0.4,,,,,0.38188,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
111-1735-1853-2124-224,1610612748,"LaPhonso Ellis, Vladimir Stepania, Anthony Carter, Malik Allen, Eddie Jones","Ellis, Stepania, Carter, Allen, Jones",111-1735-1853-2124-224,MIA,53.0,1,1.0,-2.0,2.0,2.0,,,1.0,4.0,,1.0,1.0,,,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,1.0,108.67924528301887,18.5,8.0,16.0,8.0,,0.5,0.5205,,,,15.7,,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,0.5,,0.6057,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2002,2001-02,False
