EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGA,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,FtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceAtRimFGM,Arc3FGM,PenaltyArc3FGM,PtsAssisted2s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,LongMidRangePctBlocked,LiveBallTurnoverPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Loose Ball Fouls,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,PtsUnassisted3s,2pt And 1 Free Throw Trips,DefCorner3ReboundPct,SecondChanceTurnovers,BlockedLongMidRange,3SecondViolations,Travels,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,SecondChanceFtPoints,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,Arc3PctBlocked,HeaveAttempts,FTOffRebounds,OffFTReboundPct,team_id,year,season,team_vs
1559-1711-1717-1761-89,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Greg Buckner, Nick Van Exel","Griffin, LaFrentz, Nowitzki, Buckner, Van Exel",1559-1711-1717-1761-89,DAL,172.0,2,3.0,-1.0,4.0,5.0,5.0,1.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,6.0,7.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.75,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,75.34883720930233,1.0,23.0,16.0,22.25,16.0,0.3333333333333333,1.0,1.0,0.16666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.47946666666666665,0.3957,0.3333333333333333,6.6,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1711-1717-1761-959,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Greg Buckner, Steve Nash","Griffin, LaFrentz, Nowitzki, Buckner, Nash",1559-1711-1717-1761-959,DAL,29.0,1,,-2.0,1.0,2.0,2.0,,3.0,,1.0,,,,,,,1.0,,,2.0,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,148.9655172413793,1.0,6.0,11.5,6.0,11.5,1.0,,,,,,,,,1.0,0.7109,,,,,1.0,1.0,1.0,1.0,1.0,0.7109,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1711-1717-714-89,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Michael Finley, Nick Van Exel","Griffin, LaFrentz, Nowitzki, Finley, Van Exel",1559-1711-1717-714-89,DAL,437.0,2,7.0,-12.0,14.0,16.0,14.0,2.0,30.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,9.0,6.0,12.0,24.0,,3.0,,6.0,3.0,1.0,2.0,2.0,4.0,3.0,7.0,3.0,3.0,3.0,2.0,3.0,1.0,12.0,0.3333333333333333,,0.3,,0.35294117647058826,,0.4,0.3333333333333333,0.3333333333333333,0.2,0.375,0.2727272727272727,,,,98.8558352402746,0.3333333333333333,18.071428571428573,11.5,17.357142857142858,11.3125,0.2,0.3333333333333333,0.5,0.3333333333333333,0.2,0.25,0.06666666666666667,0.2,0.2,0.6,0.5297033333333333,0.4913,,5.877777777777777,23.849999999999998,10.0,2.0,4.0,10.0,0.2222222222222222,0.5559333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,10.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,10.0,1.0,0.16666666666666666,0.2,0.16666666666666666,0.75,0.5,0.5,0.2222222222222222,0.3333333333333333,0.2,1.0,0.5,0.5,0.25,0.5,0.6666666666666666,1.0,0.1111111111111111,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,0.2222222222222222,0.5,0.3333333333333333,0.0625,0.1,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1711-1717-714-959,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Michael Finley, Steve Nash","Griffin, LaFrentz, Nowitzki, Finley, Nash",1559-1711-1717-714-959,DAL,1260.0,3,21.0,,39.0,39.0,9.0,7.0,78.0,8.0,8.0,4.0,5.0,19.0,,5.0,20.0,32.0,5.0,45.0,45.0,6.0,7.0,12.0,18.0,5.0,3.0,3.0,10.0,10.0,6.0,16.0,3.0,8.0,3.0,2.0,3.0,2.0,33.0,0.625,0.8571428571428571,0.581081081081081,0.8571428571428571,0.5769230769230769,0.8571428571428571,0.13513513513513514,0.7142857142857143,0.25,0.75,0.7142857142857143,0.375,0.18181818181818182,0.75,0.5,89.14285714285714,0.6666666666666666,16.256410256410255,16.05128205128205,15.102564102564102,15.871794871794872,0.21621621621621623,1.0,1.0,0.13513513513513514,0.8,0.8,0.5135135135135135,,0.13513513513513514,0.35135135135135137,0.4619797297297298,0.44626666666666664,0.26666666666666666,12.15625,24.7,15.0,3.0,11.0,15.0,0.21428571428571427,0.4533321428571429,0.38461538461538464,2.0,3.0,8.0,,,,3.0,1.0,2.0,6.0,1.0,3.0,1.0,16.0,3.0,1.0,1.0,12.0,,25.0,,,,5.0,4.0,4.0,2.0,,1.0,,16.0,1.0,0.2,0.3333333333333333,0.2,0.5454545454545454,0.5357142857142857,0.5333333333333333,0.03125,,,,,,1.0,,1.0,,,0.42105263157894735,0.4444444444444444,,,,0.2857142857142857,1.0,,,0.21428571428571427,0.05128205128205128,0.058823529411764705,0.35555555555555557,2.0,1.0,1.0,22.0,4.0,1.0,11.0,1.0,5.0,2.0,4.0,1.0,5.0,3.0,2.0,2.0,7.0,2.0,1.0,1.0,0.55,0.6111111111111112,0.05263157894736842,0.7142857142857143,0.6666666666666666,0.625,0.5,0.5,0.2,0.2,1.0,1.0,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1711-1717-89-959,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Nick Van Exel, Steve Nash","Griffin, LaFrentz, Nowitzki, Van Exel, Nash",1559-1711-1717-89-959,DAL,112.0,1,2.0,2.0,4.0,3.0,,,7.0,,,2.0,2.0,1.0,,1.0,2.0,3.0,1.0,4.0,2.0,,,,4.0,1.0,,,2.0,2.0,,2.0,,2.0,,,,,4.0,0.6666666666666666,,0.5,,0.5,,0.25,1.0,,,1.0,,,,,90.0,,15.25,17.0,15.25,17.0,,,,0.5,1.0,1.0,0.25,,0.25,0.25,0.4434125,,,16.2,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1711-1761-714-959,1610612742,"Adrian Griffin, Raef LaFrentz, Greg Buckner, Michael Finley, Steve Nash","Griffin, LaFrentz, Buckner, Finley, Nash",1559-1711-1761-714-959,DAL,7.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,205.71428571428572,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1711-1761-762-959,1610612742,"Adrian Griffin, Raef LaFrentz, Greg Buckner, Shawn Bradley, Steve Nash","Griffin, LaFrentz, Buckner, Bradley, Nash",1559-1711-1761-762-959,DAL,52.0,1,1.0,-4.0,2.0,2.0,2.0,,4.0,,,,1.0,,,,,1.0,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,17.5,8.5,17.5,7.5,,,,1.0,,,,,,,0.4329,,,13.3,,2.0,,1.0,2.0,,0.4329,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1717-1761-714-89,1610612742,"Adrian Griffin, Dirk Nowitzki, Greg Buckner, Michael Finley, Nick Van Exel","Griffin, Nowitzki, Buckner, Finley, Van Exel",1559-1717-1761-714-89,DAL,300.0,1,5.0,-1.0,9.0,10.0,5.0,1.0,19.0,,,,2.0,5.0,1.0,,4.0,7.0,1.0,10.0,11.0,1.0,1.0,2.0,4.0,,,1.0,3.0,4.0,1.0,5.0,3.0,3.0,,,,,8.0,0.5714285714285714,1.0,0.5,1.0,0.5555555555555556,1.0,0.125,1.0,0.3333333333333333,,0.8,0.25,,,1.0,91.2,,18.88888888888889,13.0,18.0,12.9,,,,0.25,,,0.625,0.125,,0.125,0.409225,0.3659,0.2,16.728571428571428,23.8,,,,,,,,,,4.0,,,,,,2.0,,,,,,,1.0,,2.0,,4.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,0.14285714285714285,,0.5,,0.5,,0.5,,1.0,0.5,,0.8,0.8,,,,,,,,,0.1111111111111111,0.125,,,,,4.0,,,2.0,,,,2.0,1.0,1.0,1.0,,,1.0,,,,0.5,0.5,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1717-1761-714-959,1610612742,"Adrian Griffin, Dirk Nowitzki, Greg Buckner, Michael Finley, Steve Nash","Griffin, Nowitzki, Buckner, Finley, Nash",1559-1717-1761-714-959,DAL,118.0,1,2.0,-2.0,4.0,4.0,,,8.0,,,,1.0,2.0,,,1.0,3.0,,2.0,4.0,,,,,,,,2.0,2.0,,2.0,,1.0,,,,,2.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,0.5,,,0.5,,,,1.0,97.6271186440678,,13.75,15.75,13.75,15.0,,,,0.3333333333333333,,,0.6666666666666666,,,,0.42146666666666666,,,15.4,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
1559-1717-1915-714-959,1610612742,"Adrian Griffin, Dirk Nowitzki, Evan Eschmeyer, Michael Finley, Steve Nash","Griffin, Nowitzki, Eschmeyer, Finley, Nash",1559-1717-1915-714-959,DAL,105.0,1,2.0,-2.0,4.0,4.0,4.0,,8.0,,,,,,,1.0,,,1.0,2.0,4.0,,,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,2.0,,,,,0.5,,1.0,0.5,,,0.5,,,,,109.71428571428571,,11.5,14.75,11.5,14.5,,,,,,,,,1.0,1.0,0.55185,,,,24.4,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,2.0,,,,,,,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,False
