EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,NonShootingFoulsDrawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,SelfOReb,LostBallSteals,LostBallTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,SecondChanceFtPoints,AtRimPctBlocked,DefCorner3ReboundPct,Corner3FGA,ShortMidRangeAssists,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,3SecondViolations,Assisted3sPct,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,SecondChanceTurnovers,SecondChanceFg3Pct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,PtsPutbacks,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,Travels,Defensive 3 Seconds Violations,FTOffRebounds,DefensiveGoaltends,OffensiveGoaltends,OffFTReboundPct,Technical Free Throw Trips,Clear Path Fouls,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
1731-1751-1838-1888-2041,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Richard Hamilton, Etan Thomas","Lue, White, Nesby, Hamilton, Thomas",1731-1751-1838-1888-2041,WAS,534.0,3,9.0,-7.0,15.0,17.0,10.0,1.0,32.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,4.0,10.0,2.0,2.0,10.0,17.0,1.0,4.0,7.0,2.0,2.0,10.0,6.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,6.0,1.0,8.0,1.0,9.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,0.75,0.75,0.4,0.5714285714285714,0.3333333333333333,0.4444444444444444,0.38461538461538464,0.5,0.16666666666666666,0.5,1.0,0.6666666666666666,0.16666666666666666,0.5,0.6363636363636364,0.14285714285714285,0.3333333333333333,0.5,0.6666666666666666,1.0,0.5,86.29213483146067,1.0,16.133333333333333,17.176470588235293,15.666666666666666,14.882352941176471,0.25,0.6666666666666666,0.6666666666666666,1.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,0.16666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.4166666666666667,0.4909954545454545,0.52365,0.53560625,0.07692307692307693,0.09090909090909091,1.0,10.35,34.45,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-1888-2042,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Richard Hamilton, Courtney Alexander","Lue, White, Nesby, Hamilton, Alexander",1731-1751-1838-1888-2042,WAS,17.0,1,,2.0,1.0,2.0,1.0,,3.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,254.11764705882354,,11.0,3.0,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-1888-363,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Richard Hamilton, Christian Laettner","Lue, White, Nesby, Hamilton, Laettner",1731-1751-1838-1888-363,WAS,607.0,6,10.0,,21.0,19.0,4.0,1.0,40.0,3.0,7.0,1.0,1.0,,2.0,,8.0,1.0,,,3.0,17.0,1.0,5.0,14.0,14.0,,1.0,1.0,,4.0,6.0,6.0,,,1.0,3.0,3.0,3.0,,6.0,2.0,,9.0,,9.0,2.0,11.0,3.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,7.0,,7.0,2.0,3.0,1.0,3.0,2.0,12.0,6.0,4.0,1.0,1.0,0.17647058823529413,1.0,0.25,1.0,0.3333333333333333,1.0,0.05555555555555555,0.5,,0.8181818181818182,0.14285714285714285,,0.8181818181818182,0.14285714285714285,0.125,0.6666666666666666,0.5,1.0,,94.89291598023064,0.6666666666666666,15.904761904761905,14.368421052631579,15.571428571428571,14.052631578947368,0.3888888888888889,0.42857142857142855,0.42857142857142855,1.0,0.1111111111111111,,,0.4444444444444444,,,,0.05555555555555555,,1.0,1.0,,0.4444444444444444,0.4716222222222222,0.69345,0.5544,0.10526315789473684,0.1111111111111111,0.42857142857142855,10.664705882352942,25.0,0.19047619047619047,5.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.058823529411764705,0.5,0.25,0.07692307692307693,1.0,1.0,1.0,0.5,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-1888-461,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Richard Hamilton, Popeye Jones","Lue, White, Nesby, Hamilton, Jones",1731-1751-1838-1888-461,WAS,280.0,4,5.0,-1.0,9.0,8.0,8.0,1.0,17.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,,,,3.0,7.0,,2.0,8.0,9.0,,3.0,7.0,,2.0,8.0,4.0,2.0,,,2.0,2.0,1.0,1.0,4.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,2.0,3.0,,2.0,,1.0,,1.0,,8.0,8.0,8.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5,,,1.0,0.3333333333333333,,,0.3333333333333333,,,,,0.5,,87.42857142857142,,14.11111111111111,19.125,13.88888888888889,17.875,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,0.5,0.5,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,0.2857142857142857,0.5,,0.2857142857142857,0.4542285714285715,,0.4542285714285715,,,1.0,10.071428571428571,,0.8888888888888888,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-1888-893,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Richard Hamilton, Michael Jordan","Lue, White, Nesby, Hamilton, Jordan",1731-1751-1838-1888-893,WAS,21.0,1,,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,68.57142857142857,,21.0,,21.0,,,,,,,,,1.0,,,,,,,,,,0.3289,,0.3289,,,,21.4,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-2041-2042,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Etan Thomas, Courtney Alexander","Lue, White, Nesby, Thomas, Alexander",1731-1751-1838-2041-2042,WAS,324.0,1,5.0,4.0,11.0,12.0,10.0,1.0,23.0,1.0,2.0,,1.0,,1.0,1.0,6.0,,,,2.0,9.0,,4.0,8.0,4.0,,1.0,8.0,,3.0,5.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,2.0,1.0,4.0,,5.0,2.0,7.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,2.0,,5.0,3.0,,,,,7.0,5.0,10.0,0.5,0.5,0.2222222222222222,0.125,0.2222222222222222,0.125,0.36363636363636365,0.25,,0.5,,0.8,0.2857142857142857,0.5,0.7142857142857143,0.2857142857142857,0.2,,1.0,0.6666666666666666,,102.22222222222221,,10.0,17.833333333333332,9.454545454545455,17.0,0.2222222222222222,0.5,1.0,,0.1111111111111111,,,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,,,0.125,,,0.2222222222222222,0.46736666666666665,0.3646,0.4149375,0.2727272727272727,0.2727272727272727,0.625,13.466666666666667,,0.9090909090909091,,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,0.25,0.1111111111111111,,1.0,,,,,,,,0.125,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-2041-2250,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Etan Thomas, Bobby Simmons","Lue, White, Nesby, Thomas, Simmons",1731-1751-1838-2041-2250,WAS,779.0,1,13.0,-13.0,23.0,24.0,1.0,3.0,47.0,3.0,6.0,,,2.0,2.0,,6.0,4.0,,,5.0,14.0,7.0,3.0,13.0,26.0,,,,,1.0,1.0,6.0,4.0,,4.0,3.0,3.0,2.0,,6.0,1.0,2.0,5.0,,7.0,3.0,10.0,2.0,1.0,1.0,,,1.0,2.0,,2.0,6.0,1.0,4.0,2.0,1.0,,1.0,,9.0,1.0,1.0,0.6,0.6,0.35714285714285715,,0.23809523809523808,,0.2826086956521739,0.5,0.3333333333333333,0.5,,0.7142857142857143,0.1111111111111111,1.0,0.7777777777777778,0.1875,,1.0,0.5,,1.0,86.8806161745828,,16.869565217391305,16.291666666666668,15.217391304347826,16.208333333333332,0.2857142857142857,0.5,0.75,0.6666666666666666,0.09523809523809523,1.0,1.0,0.2857142857142857,,,,0.19047619047619047,,,,,0.6190476190476191,0.47119761904761903,0.33205,,0.08695652173913043,0.125,0.07692307692307693,8.914285714285715,25.942857142857143,0.043478260869565216,7.0,,1.0,1.0,,,2.0,3.0,4.0,,,2.0,1.0,1.0,1.0,,,1.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14285714285714285,,0.3333333333333333,0.07142857142857142,,,0.3333333333333333,1.0,1.0,,0.3076923076923077,,0.3333333333333333,,3.0,1.0,2.0,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-2042-461,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Courtney Alexander, Popeye Jones","Lue, White, Nesby, Alexander, Jones",1731-1751-1838-2042-461,WAS,54.0,2,1.0,2.0,2.0,2.0,1.0,,4.0,1.0,1.0,,,,,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,,2.0,2.0,2.0,,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,2.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,106.66666666666666,,18.5,8.5,18.5,8.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.5656,,,,,0.5,1.8,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-2198-893,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Kwame Brown, Michael Jordan","Lue, White, Nesby, Brown, Jordan",1731-1751-1838-2198-893,WAS,145.0,1,2.0,-4.0,5.0,5.0,1.0,,10.0,,,,,,,,1.0,2.0,,1.0,,1.0,2.0,,6.0,10.0,,,,1.0,,3.0,,,,2.0,,1.0,,,3.0,,,,,,,,,,,1.0,,2.0,2.0,,1.0,2.0,,,,,,,,6.0,3.0,1.0,,,,,1.0,1.5,1.0,1.5,0.6666666666666666,,,,,,,,,,,,,99.3103448275862,,12.2,16.8,12.2,16.8,,,,,,,,0.3333333333333333,,,,0.6666666666666666,,,,1.0,0.6666666666666666,0.4280833333333333,,0.3255,,,0.5,16.7,25.25,0.2,1.0,,,,2.0,2.0,,,,3.0,2.0,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
1731-1751-1838-2198-93,1610612764,"Tyronn Lue, Jahidi White, Tyrone Nesby, Kwame Brown, Hubert Davis","Lue, White, Nesby, Brown, Davis",1731-1751-1838-2198-93,WAS,75.0,1,1.0,3.0,3.0,3.0,3.0,,6.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,,4.0,6.0,3.0,,1.0,1.0,,4.0,6.0,2.0,,,,1.0,1.0,1.0,,2.0,,1.0,,1.0,2.0,,2.0,,,,,,,,,2.0,2.0,,4.0,1.0,,,,,6.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,115.2,,13.0,12.0,13.0,11.666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,0.3617,,0.3617,0.5,0.5,1.0,2.3,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2002,2001-02,True
