EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyFtPoints,LostBallOutOfBoundsTurnovers,NonShootingFoulsDrawn,OffAtRimReboundPct,LongMidRangeFGM,LongMidRangeAssists,Travels,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,ShortMidRangeAssists,BlockedAtRim,SecondChanceFg3Pct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedShortMidRange,PenaltyCorner3FGA,FTDefRebounds,DefFTReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FTOffRebounds,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,SecondChanceAtRimPctAssisted,3SecondViolations,HeaveAttempts,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Technical Free Throw Trips,OffensiveGoaltends,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedCorner3,Corner3PctBlocked,team_id,year,season,team_vs
1032-1501-1747-193-2072,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Michael Redd","Ham, Thomas, Alston, Mason, Redd",1032-1501-1747-193-2072,MIL,1144.0,6,19.0,-1.0,32.0,33.0,4.0,6.0,3.0,65.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,7.0,1.0,1.0,4.0,13.0,6.0,10.0,8.0,34.0,35.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,4.0,4.0,15.0,3.0,2.0,7.0,4.0,1.0,2.0,5.0,7.0,3.0,2.0,2.0,19.0,2.0,1.0,5.0,6.0,11.0,3.0,14.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,7.0,1.0,2.0,4.0,9.0,1.0,2.0,12.0,1.0,5.0,1.0,1.0,31.0,5.0,4.0,1.0,0.5,0.6666666666666666,0.8333333333333334,0.6,1.0,0.6,0.3076923076923077,1.0,0.5,0.5652173913043478,1.0,0.8333333333333334,0.6071428571428571,0.75,0.8333333333333334,0.43478260869565216,0.07692307692307693,0.16666666666666666,0.42857142857142855,0.6,0.1111111111111111,0.7142857142857143,0.5,0.6470588235294118,0.23076923076923078,0.3333333333333333,0.6666666666666666,0.75,1.0,0.25,0.6,1.0,0.08333333333333333,81.81818181818181,17.6875,17.515151515151516,17.125,16.12121212121212,0.2608695652173913,0.5,0.6,0.6666666666666666,0.17391304347826086,0.25,0.25,0.13043478260869565,0.13043478260869565,0.6666666666666666,0.6666666666666666,1.0,0.30434782608695654,0.5714285714285714,0.5714285714285714,0.75,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6956521739130435,0.5714285714285714,0.49623260869565217,0.535,0.39168333333333333,0.21428571428571427,0.29411764705882354,0.09090909090909091,0.08823529411764706,0.14705882352941177,6.815384615384615,25.05,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-193-208,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Sam Cassell","Ham, Thomas, Alston, Mason, Cassell",1032-1501-1747-193-208,MIL,233.0,1,4.0,,7.0,7.0,7.0,2.0,1.0,14.0,1.0,2.0,,,1.0,2.0,,,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,6.0,,,1.0,1.0,1.0,2.0,1.0,2.0,6.0,,2.0,3.0,,,2.0,1.0,,,1.0,1.0,1.0,,,3.0,,1.0,,2.0,2.0,1.0,3.0,,1.0,,1.0,2.0,,2.0,1.0,,3.0,,3.0,,1.0,,,2.0,,,,,5.0,6.0,7.0,,,,1.0,0.5,0.5,0.5,0.5,,0.5,0.625,,0.625,0.6,0.5,0.6,0.5,,,0.6666666666666666,0.6666666666666666,1.0,,,0.6666666666666666,1.0,,,1.0,,0.5,,,,86.52360515021459,13.428571428571429,19.857142857142858,12.285714285714286,18.571428571428573,0.5,0.5,0.5,,,,,,,,,,0.5,0.5,0.5,1.0,,,0.5,0.5,0.5,0.5,1.0,0.5,0.5245,,0.5245,,,,0.16666666666666666,1.0,,25.05,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-193-299,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Glenn Robinson","Ham, Thomas, Alston, Mason, Robinson",1032-1501-1747-193-299,MIL,493.0,5,8.0,-6.0,13.0,15.0,2.0,3.0,,28.0,,1.0,,,,,1.0,3.0,6.0,,1.0,1.0,1.0,,,5.0,10.0,1.0,2.0,1.0,14.0,20.0,,,,,,1.0,,,,2.0,8.0,3.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,5.0,,1.0,2.0,2.0,4.0,1.0,5.0,,,,,1.0,,1.0,1.0,,2.0,,1.0,1.0,4.0,1.0,,2.0,,1.0,,,14.0,,2.0,1.0,0.2,0.2,1.0,0.5,,0.5,0.5,,,0.5416666666666666,,,0.5384615384615384,,,0.16666666666666666,0.1,,0.5,1.0,0.2,0.6666666666666666,,0.8,0.16666666666666666,,,1.0,,1.0,0.6666666666666666,,,81.78498985801217,18.692307692307693,16.666666666666668,18.692307692307693,13.466666666666667,0.08333333333333333,,,,0.25,0.3333333333333333,0.5,0.5,0.08333333333333333,,,,0.08333333333333333,1.0,1.0,1.0,,,,,,,0.25,1.0,0.4291833333333333,,0.3833,0.07692307692307693,0.09090909090909091,,,,12.88,24.1,0.15384615384615385,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-193-911,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Ervin Johnson","Ham, Thomas, Alston, Mason, Johnson",1032-1501-1747-193-911,MIL,541.0,3,9.0,13.0,17.0,16.0,,,1.0,33.0,3.0,5.0,,1.0,,,2.0,3.0,2.0,3.0,4.0,2.0,2.0,,,7.0,10.0,5.0,6.0,,29.0,16.0,,1.0,,3.0,,,,,,8.0,6.0,15.0,,,2.0,2.0,1.0,4.0,5.0,9.0,2.0,3.0,1.0,23.0,,2.0,,7.0,7.0,2.0,9.0,,,,,1.0,,,2.0,1.0,3.0,,,1.0,2.0,,,,,,,,26.0,,,,0.5714285714285714,0.5714285714285714,1.0,0.8333333333333334,,0.8333333333333334,0.7,,,0.90625,0.75,,0.90625,0.75,,0.375,0.1,0.2,0.3333333333333333,0.7,0.6666666666666666,,,0.7,0.5,,,0.4,1.0,1.0,,,,87.83733826247689,15.764705882352942,17.0625,15.352941176470589,16.375,0.3125,0.6,0.75,0.3333333333333333,0.1875,0.6666666666666666,0.6666666666666666,0.125,0.25,0.75,0.75,1.0,0.125,1.0,1.0,1.0,0.5,,,,,,0.6875,1.0,0.51643125,0.635675,,,,,0.10344827586206896,,6.69,24.0,,,1.0,,1.0,2.0,1.0,,3.0,,3.0,2.0,,,0.6666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-193-951,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Ray Allen","Ham, Thomas, Alston, Mason, Allen",1032-1501-1747-193-951,MIL,568.0,2,9.0,5.0,17.0,18.0,5.0,4.0,4.0,35.0,1.0,1.0,,,,,2.0,6.0,5.0,,,3.0,3.0,,,4.0,12.0,3.0,3.0,4.0,21.0,16.0,2.0,3.0,2.0,6.0,1.0,4.0,,,2.0,4.0,4.0,9.0,,,3.0,3.0,,2.0,3.0,5.0,3.0,,,13.0,,3.0,,7.0,7.0,3.0,10.0,1.0,1.0,1.0,,1.0,1.0,1.0,2.0,,3.0,,1.0,2.0,5.0,,,4.0,,2.0,,,15.0,2.0,5.0,,0.5,0.5,1.0,1.0,,1.0,0.3333333333333333,0.6666666666666666,0.25,0.5666666666666667,0.6666666666666666,0.25,0.6176470588235294,0.75,0.25,0.2,,,0.3333333333333333,0.875,0.375,,,0.7777777777777778,0.375,,,,1.0,1.0,,,0.125,88.73239436619718,15.823529411764707,16.61111111111111,14.588235294117647,15.777777777777779,0.06666666666666667,1.0,1.0,,0.4,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,0.2,1.0,1.0,1.0,,,,,,,0.26666666666666666,1.0,0.4435033333333333,0.40959999999999996,0.403475,0.11764705882352941,0.14285714285714285,,0.2857142857142857,0.09523809523809523,10.875,24.900000000000002,0.29411764705882354,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,0.75,1.0,0.2,0.2,1.0,,,,,1.0,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-193-998,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Mark Pope","Ham, Thomas, Alston, Mason, Pope",1032-1501-1747-193-998,MIL,71.0,1,1.0,,2.0,3.0,2.0,3.0,1.0,5.0,,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,1.0,,2.0,2.0,,,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,1.0,,1.0,,,,2.0,1.0,,2.0,,3.0,1.0,4.0,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,2.0,2.0,,1.0,1.0,,,,,1.0,,1.0,0.5,,0.5,0.5,,0.5,0.5,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,101.40845070422534,21.5,9.333333333333334,21.5,9.333333333333334,,,,,0.5,1.0,1.0,,0.5,,,,,,,,,,,,,,0.5,,0.42725,,0.42725,,,,,1.0,7.3,23.9,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-2038-2072,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Michael Redd","Ham, Thomas, Alston, Przybilla, Redd",1032-1501-1747-2038-2072,MIL,91.0,1,2.0,-2.0,3.0,3.0,,2.0,1.0,6.0,,,,,,,1.0,2.0,1.0,,,,,,,1.0,3.0,,,,2.0,4.0,1.0,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,3.0,,,,,1.0,,1.0,,,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,,,,1.0,1.0,0.5,,,1.0,0.5,1.0,,,,1.0,,,,94.94505494505495,21.333333333333332,9.0,18.0,9.0,,,,,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,0.3654,0.3573,,,,,1.0,,11.366666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-2038-299,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Glenn Robinson","Ham, Thomas, Alston, Przybilla, Robinson",1032-1501-1747-2038-299,MIL,212.0,1,4.0,5.0,7.0,8.0,,2.0,,15.0,1.0,1.0,,,,,,,1.0,1.0,2.0,,2.0,,,2.0,2.0,1.0,4.0,2.0,9.0,4.0,,,,,,,,,,2.0,2.0,3.0,,,2.0,,,1.0,1.0,2.0,,1.0,1.0,5.0,,,1.0,4.0,5.0,,5.0,,1.0,1.0,,1.0,,1.0,,,1.0,,,,1.0,,,3.0,1.0,2.0,,,9.0,,,,0.5,0.5,1.0,0.25,,0.25,1.0,,,0.5833333333333334,,,0.6428571428571429,,,0.6666666666666666,,,1.0,1.0,,0.5,,0.8333333333333334,,,,,1.0,1.0,1.0,,,101.88679245283019,12.857142857142858,15.25,12.857142857142858,14.0,0.16666666666666666,1.0,1.0,1.0,,,,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,,,,,,,,,,0.8333333333333334,,0.59955,,,0.2857142857142857,0.6666666666666666,,,,8.45,23.675,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-2038-679,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Jason Caffey","Ham, Thomas, Alston, Przybilla, Caffey",1032-1501-1747-2038-679,MIL,68.0,1,1.0,-1.0,3.0,2.0,,,,5.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,2.0,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,2.0,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,0.5,1.0,,,,1.0,,,,,1.0,,,,,105.88235294117648,13.333333333333334,14.0,13.333333333333334,14.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.3682,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
1032-1501-1747-2072-679,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Michael Redd, Jason Caffey","Ham, Thomas, Alston, Redd, Caffey",1032-1501-1747-2072-679,MIL,460.0,2,8.0,-5.0,13.0,14.0,,,3.0,27.0,,,,,,,1.0,3.0,5.0,,,2.0,4.0,,,3.0,8.0,2.0,4.0,,12.0,17.0,1.0,2.0,,5.0,,,,,,4.0,2.0,6.0,,,4.0,2.0,1.0,2.0,2.0,4.0,2.0,,,10.0,,3.0,1.0,4.0,5.0,3.0,8.0,,,,,1.0,2.0,,3.0,1.0,4.0,,,2.0,2.0,,,,,,,,7.0,,,,0.6666666666666666,0.6666666666666666,1.0,0.5,,0.5,0.375,0.5,,0.5,0.8333333333333334,,0.5,0.8333333333333334,,0.3333333333333333,0.125,,0.25,0.5714285714285714,0.6,0.5,,0.5555555555555556,0.42857142857142855,0.6666666666666666,,0.5,0.6666666666666666,0.5,,1.0,,84.52173913043478,15.76923076923077,18.214285714285715,14.846153846153847,17.785714285714285,,,,,0.25,0.3333333333333333,0.3333333333333333,0.4166666666666667,,,,,0.3333333333333333,0.5,0.5,1.0,,,,,,,0.3333333333333333,0.5,0.4275125,0.42313333333333336,,,,,0.4166666666666667,,13.775,25.1,,,,,,2.0,1.0,,,,,,,0.5,,0.4,0.5,0.5,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,0.2,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,False
