EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,SecondChanceOffPoss,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SecondChanceTurnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsUnassisted2s,OffThreePtRebounds,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChancePointsPct,LongMidRangeAssists,FTDefRebounds,2pt And 1 Free Throw Trips,DefFTReboundPct,LongMidRangePctAssisted,Corner3FGA,PenaltyCorner3FGA,LostBallSteals,LostBallTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,BlocksRecoveredPct,Corner3Frequency,PenaltyCorner3Frequency,DeadBallTurnovers,Offensive Fouls,Technical Free Throw Trips,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,Corner3FGM,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,Corner3Assists,SelfOReb,OffLongMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,PtsUnassisted3s,HeaveAttempts,BadPassOutOfBoundsTurnovers,BlockedAtRim,ShortMidRangePctBlocked,DefCorner3ReboundPct,Travels,PtsPutbacks,DefensiveGoaltends,SecondChanceCorner3FGA,Loose Ball Fouls,BlockedLongMidRange,Defensive 3 Seconds Violations,LongMidRangePctBlocked,SecondChanceCorner3Frequency,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,OffensiveGoaltends,3SecondViolations,Arc3PctBlocked,FoulsDrawn,Offensive Fouls Drawn,BlockedCorner3,team_id,year,season,team_vs
1073-1425-2030-446-467,1610612751,"Reggie Slater, Aaron Williams, Kenyon Martin, Lucious Harris, Jason Kidd","Slater, Williams, Martin, Harris, Kidd",1073-1425-2030-446-467,NJN,201.0,1,3.0,1.0,6.0,5.0,2.0,11.0,1.0,1.0,1.0,1.0,2.0,2.0,6.0,10.0,9.0,4.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,10.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,78.80597014925372,14.5,22.8,14.5,18.4,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.41655,0.3333333333333333,0.3333333333333333,0.4,3.05,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1073-1425-2210-467-954,1610612751,"Reggie Slater, Aaron Williams, Richard Jefferson, Jason Kidd, Kerry Kittles","Slater, Williams, Jefferson, Kidd, Kittles",1073-1425-2210-467-954,NJN,77.0,1,1.0,3.0,3.0,3.0,3.0,6.0,,1.0,,,,2.0,,3.0,,,3.0,,,1.0,,,3.0,,,1.0,1.0,1.0,,,,,,3.0,3.0,3.0,,,,0.5,0.5,0.5,1.0,112.2077922077922,9.333333333333334,16.333333333333332,8.333333333333334,16.333333333333332,0.3333333333333333,,,,,,,,0.6666666666666666,0.4625166666666667,,,1.0,9.2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.4625166666666667,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1073-1496-1760-2215-2220,1610612751,"Reggie Slater, Keith Van Horn, Derrick Dial, Jason Collins, Brandon Armstrong","Slater, Van Horn, Dial, Collins, Armstrong",1073-1496-1760-2215-2220,NJN,181.0,1,3.0,2.0,4.0,5.0,4.0,9.0,2.0,2.0,1.0,1.0,4.0,4.0,,8.0,6.0,,8.0,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,6.0,8.0,4.0,0.25,0.25,1.0,0.8,0.8,0.8,,71.60220994475138,16.25,23.2,15.25,20.8,0.4,1.0,1.0,0.5,0.2,1.0,1.0,,0.6,0.51505,,,1.0,5.725,1.0,5.0,1.0,2.0,1.0,,1.0,,1.0,,1.0,4.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,0.8,0.2,,,1.0,,,0.3333333333333333,1.0,,,,0.2,0.2,,,,0.4,0.2,,,0.51505,25.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1073-1760-2210-2215-2220,1610612751,"Reggie Slater, Derrick Dial, Richard Jefferson, Jason Collins, Brandon Armstrong","Slater, Dial, Jefferson, Collins, Armstrong",1073-1760-2210-2215-2220,NJN,164.0,2,3.0,5.0,6.0,7.0,6.0,13.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,11.0,6.0,1.0,11.0,4.0,2.0,2.0,1.0,,4.0,,,,,,,1.0,1.0,1.0,,11.0,11.0,6.0,0.4,0.4,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666,,114.14634146341463,14.333333333333334,11.142857142857142,14.333333333333334,11.142857142857142,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,,0.3333333333333333,0.42830833333333335,0.16666666666666666,0.2,1.0,12.8,1.0,5.0,,1.0,3.0,,1.0,,1.0,,1.0,5.0,,1.0,,1.0,,,,,,,1.0,2.0,,2.0,,,,,,,0.8333333333333334,0.16666666666666666,,,1.0,,,1.0,,,,,0.5,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,,,0.42830833333333335,23.8,,,1.0,3.0,,,,5.0,6.0,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2030-467,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Kenyon Martin, Jason Kidd","Williams, Van Horn, Johnson, Martin, Kidd",1425-1496-1533-2030-467,NJN,298.0,2,5.0,-1.0,9.0,10.0,8.0,19.0,3.0,3.0,1.0,1.0,5.0,5.0,3.0,13.0,14.0,2.0,12.0,10.0,5.0,5.0,3.0,1.0,10.0,2.0,,1.0,,1.0,,3.0,5.0,3.0,,13.0,12.0,8.0,1.0,1.0,1.0,0.8333333333333334,0.8125,0.8571428571428571,1.0,91.81208053691275,13.444444444444445,17.7,13.444444444444445,17.5,0.5,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,0.5171833333333333,0.375,0.42857142857142855,0.9230769230769231,5.16,0.8888888888888888,4.0,,3.0,1.0,,,,,,1.0,5.0,,1.0,,,,,,,,,2.0,2.0,,2.0,,1.0,,,,,0.8333333333333334,0.16666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,1.0,,0.16666666666666666,,,,,0.5,,,,0.5171833333333333,24.3,,,3.0,1.0,,,,5.0,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2210-446,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Richard Jefferson, Lucious Harris","Williams, Van Horn, Johnson, Jefferson, Harris",1425-1496-1533-2210-446,NJN,435.0,2,7.0,,13.0,13.0,,26.0,,1.0,2.0,4.0,7.0,10.0,1.0,15.0,15.0,,,14.0,7.0,7.0,,2.0,14.0,3.0,3.0,3.0,3.0,4.0,,4.0,1.0,,,15.0,,,1.0,1.0,0.7,0.6363636363636364,0.6363636363636364,,0.75,86.06896551724138,17.53846153846154,15.923076923076923,16.615384615384617,15.538461538461538,0.09090909090909091,,,,0.36363636363636365,0.5,0.5,1.0,0.18181818181818182,0.4320727272727272,,,,12.53,,,1.0,,5.0,,,,,,1.0,,,,,,,1.0,,,1.0,,3.0,3.0,2.0,5.0,1.0,,,,,,,0.09090909090909091,0.1,1.0,0.75,0.3333333333333333,,0.75,0.5,,,,0.45454545454545453,,,,,,,,,,23.3,,,,5.0,,1.0,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,5.0,,,,1.0,1.0,,,,,,,,,,0.09090909090909091,,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2210-467,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Richard Jefferson, Jason Kidd","Williams, Van Horn, Johnson, Jefferson, Kidd",1425-1496-1533-2210-467,NJN,382.0,3,6.0,-9.0,11.0,12.0,,23.0,1.0,4.0,,2.0,1.0,10.0,2.0,7.0,16.0,,,2.0,1.0,2.0,1.0,,5.0,2.0,2.0,2.0,1.0,2.0,3.0,5.0,2.0,1.0,,5.0,,,1.0,1.0,0.1,0.20833333333333334,0.2692307692307692,,1.0,86.70157068062828,18.454545454545453,14.916666666666666,15.545454545454545,14.916666666666666,0.3333333333333333,0.25,0.3333333333333333,1.0,0.16666666666666666,,,,0.5,0.4812916666666667,0.07692307692307693,0.09090909090909091,,9.22,,3.0,5.0,,4.0,,1.0,,,1.0,2.0,,,,3.0,1.0,,1.0,1.0,,4.0,1.0,2.0,3.0,4.0,7.0,1.0,,1.0,0.5,,0.5,,0.16666666666666666,0.1,0.25,1.0,0.4444444444444444,1.0,1.0,0.4,0.3333333333333333,1.0,1.0,0.3333333333333333,0.08333333333333333,,,,,,,,,24.95,,1.0,,,,2.0,2.0,,,,,,,0.25,,,1.0,,,0.3333333333333333,,,,0.2857142857142857,,,,,,1.0,,,1.0,,,,,,,0.08333333333333333,,,,,0.5,,,1.0,1.0,1.0,2.0,1.0,2.0,0.5,0.2222222222222222,1.0,1.0,1.0,0.3333333333333333,0.48478333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2210-954,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Richard Jefferson, Kerry Kittles","Williams, Van Horn, Johnson, Jefferson, Kittles",1425-1496-1533-2210-954,NJN,406.0,3,7.0,1.0,12.0,13.0,1.0,25.0,1.0,2.0,1.0,6.0,3.0,10.0,,12.0,11.0,,,2.0,1.0,2.0,1.0,,5.0,2.0,,,,1.0,1.0,6.0,,,,12.0,,1.0,0.3333333333333333,0.3333333333333333,0.3,0.42857142857142855,0.42857142857142855,,,88.66995073891626,16.916666666666668,15.615384615384615,16.333333333333332,15.538461538461538,0.14285714285714285,0.5,1.0,1.0,0.42857142857142855,0.16666666666666666,0.25,,0.42857142857142855,0.4545230769230769,,,,9.370000000000001,0.08333333333333333,5.0,1.0,,2.0,2.0,4.0,,,2.0,4.0,1.0,,,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,5.0,2.0,7.0,,,0.5,0.5,,0.6666666666666666,,0.2857142857142857,0.3,0.5,0.75,0.2857142857142857,1.0,0.8333333333333334,0.25,1.0,1.0,1.0,0.14285714285714285,0.2857142857142857,0.5,0.5,0.5,,,,0.6666666666666666,0.3605,29.125,,,,1.0,,2.0,,,4.0,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,2.0,,2.0,,2.0,1.0,1.0,0.5,,,1.0,,,0.2,,0.5,,,,,,,,,,,,,0.4277,3.0,1.0,1.0,2.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2243-446,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Brian Scalabrine, Lucious Harris","Williams, Van Horn, Johnson, Scalabrine, Harris",1425-1496-1533-2243-446,NJN,64.0,1,1.0,4.0,2.0,2.0,,4.0,2.0,2.0,,,2.0,2.0,,4.0,,,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,2.0,1.0,,4.0,,,0.5,0.5,1.0,1.0,0.6666666666666666,,,90.0,11.5,20.5,11.5,20.5,1.0,1.0,1.0,0.5,,,,,1.0,0.59785,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
1425-1496-1533-2243-954,1610612751,"Aaron Williams, Keith Van Horn, Anthony Johnson, Brian Scalabrine, Kerry Kittles","Williams, Van Horn, Johnson, Scalabrine, Kittles",1425-1496-1533-2243-954,NJN,71.0,1,1.0,,3.0,2.0,,5.0,,,,,1.0,1.0,,2.0,2.0,,,2.0,1.0,1.0,,,2.0,,,,,1.0,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,101.40845070422534,8.0,23.5,8.0,23.5,,,,,,,,,,0.4239,,,,18.6,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612751,2002,2001-02,False
