EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,DefTwoPtRebounds,DefTwoPtReboundPct,DefAtRimReboundPct,SecondChanceOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,NonShootingFoulsDrawn,BlockedLongMidRange,DefFTReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimPctAssisted,OffArc3ReboundPct,SecondChanceCorner3FGA,SecondChanceFG3A,SecondChanceTurnovers,SecondChanceCorner3Frequency,PenaltyArc3FGM,PtsUnassisted3s,PenaltyArc3Accuracy,LostBallOutOfBoundsTurnovers,LongMidRangePctBlocked,FTOffRebounds,Defensive 3 Seconds Violations,OffFTReboundPct,SecondChanceArc3FGA,Travels,SecondChanceArc3Frequency,Blocked3s,BlockedCorner3,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1559-1711-1717-1761-89,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Greg Buckner, Nick Van Exel","Griffin, LaFrentz, Nowitzki, Buckner, Van Exel",1559-1711-1717-1761-89,DAL,172.0,2,3.0,1.0,5.0,4.0,5.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.0,6.0,1.0,2.0,1.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,7.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.875,0.875,0.3333333333333333,0.5,1.0,0.5,0.3333333333333333,1.0,75.34883720930233,16.0,23.0,16.0,22.25,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.49451666666666666,0.49451666666666666,0.25,0.3333333333333333,1.0,8.85,24.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1711-1717-1761-959,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Greg Buckner, Steve Nash","Griffin, LaFrentz, Nowitzki, Buckner, Nash",1559-1711-1717-1761-959,DAL,29.0,1,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,,,,,,,1.0,,,2.0,2.0,,,1.0,,,2.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,2.0,1.0,2.0,2.0,2.0,,,,,,,,,,,0.5,0.5,,1.0,1.0,,1.0,,148.9655172413793,11.5,6.0,11.5,6.0,1.0,,,,,,,,,1.0,,,1.0,0.4933,0.4933,0.5,0.5,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1711-1717-714-89,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Michael Finley, Nick Van Exel","Griffin, LaFrentz, Nowitzki, Finley, Van Exel",1559-1711-1717-714-89,DAL,437.0,2,7.0,12.0,16.0,14.0,14.0,30.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,14.0,1.0,3.0,5.0,24.0,12.0,6.0,9.0,1.0,3.0,5.0,20.0,8.0,3.0,3.0,4.0,1.0,5.0,1.0,,11.0,4.0,8.0,13.0,1.0,2.0,2.0,2.0,,,6.0,3.0,16.0,20.0,14.0,0.5,0.8,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0.5588235294117647,0.625,0.6052631578947368,0.6785714285714286,0.17647058823529413,0.21428571428571427,0.2857142857142857,0.8,0.7272727272727273,0.5,98.8558352402746,11.5,18.071428571428573,11.3125,17.357142857142858,0.4117647058823529,0.058823529411764705,1.0,1.0,,0.11764705882352941,0.5,0.5,1.0,0.3333333333333333,0.16666666666666666,0.5,0.5882352941176471,0.5190882352941176,0.5209166666666667,0.15789473684210525,0.1875,0.8333333333333334,4.428571428571429,23.333333333333332,0.875,10.0,4.0,0.6666666666666666,0.5,4.0,4.0,2.0,3.0,3.0,3.0,6.0,1.0,1.0,3.0,4.0,2.0,8.0,8.0,6.0,1.0,2.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.75,0.75,0.8,0.16666666666666666,0.5,0.6666666666666666,0.5,0.625,1.0,0.3333333333333333,1.0,0.75,1.0,0.4,1.0,0.5714285714285714,0.8,0.5,0.35294117647058826,0.5,0.6,0.6666666666666666,0.058823529411764705,0.75,0.6666666666666666,0.75,0.08333333333333333,0.5719333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1711-1717-714-959,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Michael Finley, Steve Nash","Griffin, LaFrentz, Nowitzki, Finley, Nash",1559-1711-1717-714-959,DAL,1260.0,3,21.0,,39.0,39.0,9.0,78.0,15.0,4.0,4.0,10.0,,,,,17.0,31.0,1.0,1.0,8.0,45.0,45.0,4.0,6.0,,,2.0,10.0,12.0,3.0,3.0,6.0,1.0,7.0,,1.0,15.0,1.0,11.0,15.0,2.0,7.0,2.0,5.0,,,8.0,3.0,39.0,10.0,9.0,0.35294117647058826,0.4,1.0,1.0,,1.0,0.5483870967741935,0.6666666666666666,0.578125,0.6666666666666666,0.625,0.7142857142857143,0.03125,0.0967741935483871,0.13333333333333333,0.25,0.625,,89.14285714285714,16.05128205128205,16.256410256410255,15.871794871794872,15.102564102564102,0.46875,0.3125,0.4,0.4,0.25,,,,,0.6666666666666666,,,0.5,0.4914765625,0.49828333333333336,0.08571428571428572,0.08823529411764706,0.2222222222222222,7.451612903225806,24.7,0.23076923076923078,15.0,9.0,0.75,,3.0,11.0,2.0,3.0,3.0,2.0,6.0,1.0,,3.0,4.0,,6.0,22.0,4.0,1.0,4.0,1.0,,4.0,4.0,1.0,5.0,1.0,4.0,2.0,,,1.0,,,1.0,1.0,,0.75,0.75,0.75,0.16666666666666666,0.7142857142857143,0.2857142857142857,,0.2857142857142857,0.5,,,,0.25,0.09090909090909091,1.0,0.7333333333333333,0.8461538461538461,0.36363636363636365,0.1875,0.3333333333333333,0.4,0.5,0.03125,0.75,0.6666666666666666,0.75,,0.54495,0.13333333333333333,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8181818181818182,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1711-1717-89-959,1610612742,"Adrian Griffin, Raef LaFrentz, Dirk Nowitzki, Nick Van Exel, Steve Nash","Griffin, LaFrentz, Nowitzki, Van Exel, Nash",1559-1711-1717-89-959,DAL,112.0,1,2.0,-2.0,3.0,4.0,,7.0,,,1.0,1.0,,,,,1.0,3.0,,,,2.0,4.0,,,,,,,2.0,,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,,,,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,1.0,1.0,,90.0,17.0,15.25,17.0,15.25,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.40963333333333335,,,,,14.633333333333333,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1711-1761-714-959,1610612742,"Adrian Griffin, Raef LaFrentz, Greg Buckner, Michael Finley, Steve Nash","Griffin, LaFrentz, Buckner, Finley, Nash",1559-1711-1761-714-959,DAL,7.0,1,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,205.71428571428572,7.0,,7.0,,,,,,,,,,,,,,1.0,0.26595,,,,,,24.6,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1711-1761-762-959,1610612742,"Adrian Griffin, Raef LaFrentz, Greg Buckner, Shawn Bradley, Steve Nash","Griffin, LaFrentz, Buckner, Bradley, Nash",1559-1711-1761-762-959,DAL,52.0,1,1.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,2.0,4.0,,1.0,2.0,,,2.0,4.0,2.0,,,1.0,,1.0,,,2.0,,1.0,2.0,,,,,,,2.0,,2.0,4.0,2.0,1.0,1.0,,,,,0.5,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,,,,,1.0,,110.76923076923076,8.5,17.5,7.5,17.5,0.5,0.5,,,,,,,,0.5,,,0.5,0.54705,0.54705,,,1.0,7.2,,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,0.7105,0.5,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1717-1761-714-89,1610612742,"Adrian Griffin, Dirk Nowitzki, Greg Buckner, Michael Finley, Nick Van Exel","Griffin, Nowitzki, Buckner, Finley, Van Exel",1559-1717-1761-714-89,DAL,300.0,1,5.0,1.0,10.0,9.0,5.0,19.0,3.0,2.0,,,,,,,3.0,6.0,,2.0,5.0,11.0,10.0,2.0,3.0,,2.0,1.0,5.0,4.0,,,2.0,,2.0,,,4.0,1.0,3.0,4.0,,1.0,1.0,2.0,,,5.0,3.0,8.0,5.0,5.0,0.6666666666666666,1.0,,,,,0.5,0.6666666666666666,0.375,0.4,0.55,0.5,0.25,,,1.0,0.75,1.0,91.2,13.0,18.88888888888889,12.9,18.0,0.375,,,,,,,,,0.4,,,0.625,0.4952125,0.5294,0.3,0.375,0.45454545454545453,3.516666666666667,25.05,0.5,,2.0,0.6666666666666666,,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,1.5,,1.0,,0.5,0.2,,,,0.5,,,,0.6666666666666666,0.6666666666666666,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,0.4,,0.2727272727272727,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1717-1761-714-959,1610612742,"Adrian Griffin, Dirk Nowitzki, Greg Buckner, Michael Finley, Steve Nash","Griffin, Nowitzki, Buckner, Finley, Nash",1559-1717-1761-714-959,DAL,118.0,1,2.0,2.0,4.0,4.0,,8.0,3.0,,,3.0,,,,,2.0,6.0,,,,4.0,2.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,2.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,1.0,,97.6271186440678,15.75,13.75,15.0,13.75,0.5,0.5,,,,,,,,,,,0.5,0.45836666666666664,,,,,8.483333333333333,,,,2.0,1.0,,2.0,2.0,1.0,2.0,,,,,,1.0,2.0,,2.0,4.0,2.0,,,,,2.0,2.0,,,,,,,,,,,,,,0.5,0.5,0.5,,,0.5,,0.5,,,,1.0,,,,0.6666666666666666,0.6666666666666666,,,,,,,1.0,0.5,,,0.56375,0.5,,,,,,,,,,,,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
1559-1717-1915-714-959,1610612742,"Adrian Griffin, Dirk Nowitzki, Evan Eschmeyer, Michael Finley, Steve Nash","Griffin, Nowitzki, Eschmeyer, Finley, Nash",1559-1717-1915-714-959,DAL,105.0,1,2.0,2.0,4.0,4.0,4.0,8.0,3.0,3.0,,,,,,,2.0,4.0,,,,4.0,2.0,2.0,4.0,,,,4.0,,,1.0,,,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,2.0,4.0,4.0,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,0.25,0.3333333333333333,1.0,1.0,,109.71428571428571,14.75,11.5,14.5,11.5,0.75,,,,,,,,,0.75,,,0.75,0.515725,0.515725,,,1.0,1.625,,1.0,,,,,1.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,,2.0,4.0,2.0,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,1.0,0.5,,0.5,1.0,,,,1.0,,,0.6666666666666666,1.0,,0.25,,,,,1.0,1.0,0.6666666666666666,,0.587,0.5,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2002,2001-02,True
