EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,FG3APct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,PenaltyArc3FGM,FG2M,FG2A,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,Corner3Assists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,LostBallTurnovers,PenaltyTurnovers,BlockedShortMidRange,OffensiveGoaltends,OffAtRimReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,FTOffRebounds,LostBallOutOfBoundsTurnovers,Travels,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,OffFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceFG3M,Clear Path Fouls,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,OffCorner3ReboundPct,3SecondViolations,SecondChanceAtRimPctAssisted,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
120-1477-1495-1498-990,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Antonio Daniels, Malik Rose","Smith, Bowen, Duncan, Daniels, Rose",120-1477-1495-1498-990,SAS,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1495-198-2225,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Danny Ferry, Tony Parker","Smith, Bowen, Duncan, Ferry, Parker",120-1477-1495-198-2225,SAS,522.0,4,2.0,2.0,3.0,2.0,1.0,0.23076923076923078,0.15384615384615385,0.3333333333333333,0.23076923076923078,32.666666666666664,9.0,-2.0,11.0,13.0,7.0,3.0,2.0,24.0,2.0,6.0,3.0,4.0,1.0,1.0,1.0,5.0,10.0,1.0,2.0,15.0,17.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,11.0,2.0,8.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,1.0,6.0,3.0,9.0,1.0,2.0,4.0,2.0,1.0,13.0,11.0,7.0,1.0,0.2,0.2,1.0,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.75,0.5,0.3333333333333333,0.75,0.5357142857142857,0.3333333333333333,0.7857142857142857,0.2,0.3333333333333333,1.0,0.8333333333333334,0.6,0.8333333333333334,0.5,0.5,1.0,1.0,0.8,0.25,66.20689655172414,22.181818181818183,21.384615384615383,20.454545454545453,21.384615384615383,0.46153846153846156,0.3333333333333333,0.5,0.3076923076923077,0.75,0.75,0.3333333333333333,0.07692307692307693,0.5,0.5,1.0,0.5,1.0,0.40125000000000005,0.4142333333333333,0.34504,0.07142857142857142,0.09090909090909091,0.13333333333333333,0.7333333333333333,12.88,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1495-2225-764,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker, David Robinson","Smith, Bowen, Duncan, Parker, Robinson",120-1477-1495-2225-764,SAS,2666.0,4,9.0,1.0,17.0,2.0,,0.2463768115942029,0.13043478260869565,0.25,0.5362318840579711,24.33529411764706,44.0,2.0,74.0,72.0,5.0,10.0,8.0,146.0,8.0,17.0,5.0,15.0,8.0,1.0,,27.0,52.0,6.0,13.0,85.0,83.0,3.0,4.0,6.0,1.0,2.0,1.0,2.0,7.0,28.0,26.0,18.0,9.0,1.0,2.0,14.0,6.0,20.0,1.0,4.0,46.0,7.0,19.0,2.0,23.0,8.0,31.0,1.0,5.0,21.0,15.0,6.0,79.0,7.0,5.0,,0.5185185185185185,0.5833333333333334,1.0,0.35294117647058826,0.5,0.35294117647058826,0.5192307692307693,0.75,0.5,0.5217391304347826,0.5,0.625,0.5675675675675675,0.42857142857142855,0.7,0.038461538461538464,0.058823529411764705,1.0,0.6785714285714286,0.28,0.6176470588235294,0.2222222222222222,0.3333333333333333,0.4,0.7,0.625,0.029411764705882353,78.85971492873219,17.83783783783784,18.694444444444443,17.27027027027027,17.86111111111111,0.2463768115942029,0.47058823529411764,0.5,0.21739130434782608,0.3333333333333333,0.3333333333333333,0.8,0.11594202898550725,0.1111111111111111,0.1111111111111111,1.0,,0.1111111111111111,0.49926231884057976,0.46856,0.4305,0.0958904109589041,0.10909090909090909,0.07058823529411765,0.08235294117647059,8.048076923076923,0.06756756756756757,14.0,20.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,6.0,5.0,6.0,4.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,7.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.05,0.125,0.3333333333333333,0.09090909090909091,0.125,0.7,0.2,1.0,0.6666666666666666,0.2898550724637681,0.7,0.7368421052631579,0.42857142857142855,0.5,0.625,0.625,1.0,0.6666666666666666,0.75,0.16666666666666666,0.16666666666666666,0.25,1.0,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1495-2225-95,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker, Mark Bryant","Smith, Bowen, Duncan, Parker, Bryant",120-1477-1495-2225-95,SAS,2021.0,4,2.0,,7.0,,,0.12962962962962962,0.037037037037037035,,0.3888888888888889,23.8,34.0,1.0,62.0,59.0,11.0,,9.0,121.0,4.0,18.0,5.0,15.0,5.0,1.0,,18.0,47.0,5.0,14.0,65.0,64.0,1.0,6.0,3.0,3.0,7.0,,3.0,9.0,12.0,24.0,15.0,2.0,1.0,2.0,6.0,5.0,11.0,1.0,3.0,27.0,8.0,17.0,1.0,20.0,9.0,29.0,3.0,6.0,13.0,18.0,7.0,62.0,9.0,11.0,,0.3333333333333333,0.35294117647058826,1.0,0.7142857142857143,,0.7142857142857143,0.3829787234042553,0.16666666666666666,0.42857142857142855,0.4722222222222222,0.16666666666666666,0.42857142857142855,0.5080645161290323,0.21428571428571427,0.4444444444444444,0.0425531914893617,0.05555555555555555,1.0,0.6538461538461539,0.27586206896551724,0.6785714285714286,0.2903225806451613,0.2857142857142857,0.3,0.7272727272727273,0.7777777777777778,0.10344827586206896,86.21474517565562,16.64516129032258,16.76271186440678,15.548387096774194,16.389830508474578,0.3333333333333333,0.2222222222222222,0.23529411764705882,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.6,0.09259259259259259,0.5,0.5,1.0,,0.5,0.47641203703703705,0.4570666666666667,0.40318571428571426,0.11475409836065574,0.12962962962962962,0.046153846153846156,0.13846153846153847,8.936170212765957,0.1774193548387097,9.0,14.0,1.0,3.0,4.0,,,,,,2.0,4.0,3.0,,1.0,2.0,8.0,4.0,4.0,5.0,2.0,3.0,4.0,9.0,2.0,,1.0,,2.0,,1.0,3.0,2.0,3.0,1.0,,0.07142857142857142,0.5555555555555556,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.25925925925925924,0.6428571428571429,0.6923076923076923,0.3333333333333333,,0.8,0.8,1.0,0.5,0.3333333333333333,,,,,,1.0,2.0,2.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1495-2225-990,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Tony Parker, Malik Rose","Smith, Bowen, Duncan, Parker, Rose",120-1477-1495-2225-990,SAS,5427.0,9,10.0,3.0,18.0,3.0,,0.11464968152866242,0.06369426751592357,0.0625,0.45222929936305734,24.155555555555555,90.0,13.0,163.0,162.0,45.0,38.0,28.0,325.0,11.0,50.0,8.0,36.0,8.0,3.0,,52.0,139.0,5.0,45.0,164.0,151.0,14.0,30.0,34.0,13.0,45.0,,18.0,44.0,40.0,64.0,15.0,10.0,3.0,11.0,20.0,5.0,25.0,3.0,4.0,55.0,35.0,56.0,4.0,73.0,38.0,111.0,6.0,7.0,27.0,57.0,21.0,130.0,44.0,45.0,4.0,0.38461538461538464,0.5128205128205128,1.0,0.2777777777777778,,0.2777777777777778,0.37410071942446044,0.4666666666666667,0.28888888888888886,0.37898089171974525,0.45161290322580644,0.2708333333333333,0.44565217391304346,0.4722222222222222,0.3728813559322034,0.07913669064748201,0.1,0.8,0.7088607594936709,0.40229885057471265,0.69,0.37,0.5128205128205128,0.17857142857142858,0.6857142857142857,0.7142857142857143,0.06741573033707865,86.23548922056385,16.26993865030675,17.12962962962963,14.963190184049079,15.975308641975309,0.3184713375796178,0.22,0.24444444444444444,0.22929936305732485,0.2222222222222222,0.22857142857142856,0.5,0.050955414012738856,0.3,0.3,1.0,,0.3,0.4903671974522293,0.5231,0.46341562500000005,0.12,0.1337579617834395,0.2073170731707317,0.2682926829268293,7.870503597122302,0.27607361963190186,33.0,53.0,13.0,21.0,2.0,,,,1.0,1.0,26.0,2.0,12.0,4.0,2.0,13.0,16.0,10.0,6.0,8.0,4.0,5.0,10.0,18.0,1.0,5.0,2.0,3.0,,,9.0,14.0,5.0,15.0,11.0,1.0,0.09433962264150944,0.4444444444444444,0.6190476190476191,0.15384615384615385,0.2857142857142857,0.75,0.5882352941176471,0.75,0.7333333333333333,0.3375796178343949,0.6226415094339622,0.6875,0.36363636363636365,0.36363636363636365,0.25,0.25,1.0,0.6774193548387096,0.6190476190476191,,0.03225806451612903,,,,6.0,3.0,4.0,8.0,,0.5,8.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,0.027777777777777776,0.16666666666666666,0.3333333333333333,0.5,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1495-345-990,1610612759,"Steven Smith, Bruce Bowen, Tim Duncan, Terry Porter, Malik Rose","Smith, Bowen, Duncan, Porter, Rose",120-1477-1495-345-990,SAS,379.0,2,2.0,2.0,2.0,2.0,,0.2,0.2,0.4,0.5,24.5,6.0,4.0,11.0,12.0,7.0,11.0,1.0,23.0,,1.0,2.0,4.0,,2.0,2.0,4.0,8.0,2.0,2.0,16.0,12.0,1.0,2.0,2.0,2.0,3.0,2.0,,10.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,3.0,1.0,5.0,2.0,7.0,,,3.0,4.0,1.0,14.0,10.0,7.0,2.0,0.5,0.6666666666666666,0.5,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.7,0.5,1.0,0.6666666666666666,0.5,0.8333333333333334,0.125,1.0,1.0,0.75,0.5,0.8,0.5,1.0,,0.5,1.0,,87.38786279683377,13.636363636363637,19.083333333333332,13.0,19.083333333333332,0.1,,,0.4,0.5,0.5,1.0,,1.0,1.0,0.5,1.0,1.0,0.5143099999999999,0.59095,0.5352,0.09090909090909091,0.1111111111111111,0.125,0.625,10.1875,0.6363636363636364,2.0,3.0,1.0,2.0,,,,,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,0.3,0.6666666666666666,0.6666666666666666,,,,,,1.0,0.5,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,0.2,1.0,3.0,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1498-198-2225,1610612759,"Steven Smith, Bruce Bowen, Antonio Daniels, Danny Ferry, Tony Parker","Smith, Bowen, Daniels, Ferry, Parker",120-1477-1498-198-2225,SAS,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1498-2225-990,1610612759,"Steven Smith, Bruce Bowen, Antonio Daniels, Tony Parker, Malik Rose","Smith, Bowen, Daniels, Parker, Rose",120-1477-1498-2225-990,SAS,190.0,1,1.0,,1.0,,,0.2,0.2,,0.4,26.1,3.0,-3.0,7.0,7.0,,7.0,,14.0,,1.0,,2.0,,,,1.0,4.0,,,2.0,5.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,2.0,1.0,3.0,,3.0,,1.0,2.0,,,2.0,,,,,,,,,,0.25,,,0.2,,,0.2,,,,,1.0,1.0,,1.0,,,,1.0,,,106.10526315789474,17.0,10.142857142857142,17.0,10.142857142857142,0.2,,,0.4,,,,,,,,,,0.4633,,,,,,,10.9,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,0.2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612759,2002,2001-02,False
120-1477-1498-345-685,1610612759,"Steven Smith, Bruce Bowen, Antonio Daniels, Terry Porter, Cherokee Parks","Smith, Bowen, Daniels, Porter, Parks",120-1477-1498-345-685,SAS,358.0,1,6.0,6.0,8.0,8.0,,0.6666666666666666,0.5,0.5,0.9166666666666666,25.925,6.0,7.0,12.0,12.0,12.0,3.0,3.0,24.0,,1.0,,,2.0,2.0,2.0,1.0,4.0,3.0,3.0,14.0,7.0,1.0,2.0,5.0,1.0,4.0,3.0,3.0,14.0,,2.0,3.0,6.0,2.0,1.0,,1.0,1.0,1.0,,3.0,2.0,3.0,,4.0,4.0,8.0,,1.0,3.0,4.0,1.0,9.0,14.0,12.0,1.0,,,0.3333333333333333,0.375,0.375,0.375,0.25,0.5,0.25,0.4583333333333333,0.625,0.4583333333333333,0.5,0.625,0.5,0.25,,,0.75,0.6666666666666666,0.8,0.5,1.0,,,0.75,,96.53631284916202,13.666666666666666,16.166666666666668,12.25,15.666666666666666,0.08333333333333333,,,,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5151208333333334,0.566225,0.5151208333333334,0.07692307692307693,0.2,0.35714285714285715,1.0,1.425,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,2.0,1.0,2.0,,2.0,2.0,,1.0,,2.0,,,,,,,1.0,2.0,,2.0,1.0,,0.3333333333333333,1.0,1.0,0.4,0.5,,1.0,,0.5,0.25,0.3333333333333333,0.5,,,0.5,0.5,,0.5,0.5,0.25,0.25,0.16666666666666666,0.5,,,1.0,2.0,,,0.5,1.0,3.0,,,,,,2.0,,,0.25,0.3333333333333333,6.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,1610612759,2002,2001-02,False
120-1477-1498-685-95,1610612759,"Steven Smith, Bruce Bowen, Antonio Daniels, Cherokee Parks, Mark Bryant","Smith, Bowen, Daniels, Parks, Bryant",120-1477-1498-685-95,SAS,211.0,1,1.0,,2.0,,,0.4,0.2,,0.8,23.9,4.0,-1.0,8.0,7.0,2.0,,,15.0,,1.0,,,1.0,,,2.0,3.0,,2.0,6.0,7.0,,,,1.0,1.0,,,2.0,2.0,2.0,,1.0,,,1.0,,1.0,,,2.0,,2.0,,4.0,,4.0,,,,2.0,1.0,6.0,2.0,2.0,,0.5,0.5,,,,,0.6666666666666666,,1.0,0.4,,1.0,0.5,,1.0,,,,0.5,,0.6666666666666666,,,,,0.5,,102.3696682464455,15.0,13.0,15.0,12.714285714285714,0.2,,,,,,,0.2,,,,,,0.51944,,0.488,0.16666666666666666,0.25,,0.3333333333333333,5.466666666666666,0.25,2.0,2.0,,,,,,,,,,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,0.5,1.0,,,0.4,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1610612759,2002,2001-02,False
