EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,Arc3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FG2M,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Corner3FGM,Corner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,BadPassSteals,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,FTDefRebounds,DefFTReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Travels,2pt And 1 Free Throw Trips,DefensiveGoaltends,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFouls,PenaltyTurnovers,Offensive Fouls,Technical Free Throw Trips,PenaltyCorner3FGA,BadPassOutOfBoundsTurnovers,OffCorner3ReboundPct,PenaltyCorner3Frequency,PtsUnassisted3s,LostBallTurnovers,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTOffRebounds,Clear Path Fouls,BlockedShortMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,PenaltyCorner3FGM,OffensiveGoaltends,LongMidRangePctBlocked,PenaltyCorner3Accuracy,Defensive 3 Seconds Violations,Fg3aBlocked,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,BlockedCorner3,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1507-1594-1719-1739-201,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Ruben Patterson, Chris Dudley","Anderson, Brunson, Wells, Patterson, Dudley",1507-1594-1719-1739-201,POR,55.0,1,1.0,-2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,78.54545454545455,18.5,18.0,18.5,15.0,0.5,0.5,0.5,0.4206,0.2973,19.4,24.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-1739-431,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Ruben Patterson, Shawn Kemp","Anderson, Brunson, Wells, Patterson, Kemp",1507-1594-1719-1739-431,POR,505.0,5,8.0,4.0,15.0,16.0,2.0,4.0,31.0,5.0,,14.0,,18.0,1.0,,2.0,,88.3960396039604,16.533333333333335,16.0625,14.866666666666667,15.1875,0.35714285714285715,,0.42857142857142855,0.4705142857142857,0.5082,8.064285714285715,,0.13333333333333333,4.0,4.0,6.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,8.0,6.0,22.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,4.0,12.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,5.0,6.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,18.0,4.0,0.25,0.2857142857142857,0.5714285714285714,0.5,1.0,0.5714285714285714,0.5,1.0,0.6470588235294118,0.6666666666666666,1.0,0.07142857142857142,0.16666666666666666,0.5,0.7142857142857143,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,1.0,1.0,0.2,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.8,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.4,0.4,0.5,1.0,0.5,1.0,1.0,0.5768,0.125,0.125,0.18181818181818182,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-1739-739,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Ruben Patterson, Rasheed Wallace","Anderson, Brunson, Wells, Patterson, Wallace",1507-1594-1719-1739-739,POR,280.0,3,5.0,4.0,8.0,9.0,3.0,3.0,17.0,2.0,3.0,6.0,4.0,8.0,2.0,3.0,3.0,0.4,87.42857142857142,19.625,13.666666666666666,19.5,13.222222222222221,0.2,0.3,0.7,0.4710833333333333,0.33621666666666666,7.3500000000000005,28.35,0.375,1.0,2.0,3.0,,1.0,,,,1.0,1.0,3.0,,12.0,,1.0,,,1.0,,2.0,6.0,,,,3.0,5.0,,1.0,12.0,2.0,1.0,,1.0,3.0,4.0,,3.0,2.0,,,1.0,,1.0,1.0,2.0,2.0,,,,,,,,,12.0,2.0,1.0,1.0,0.5,,0.5,0.6,,0.25,0.6,,0.25,,,,,0.6666666666666666,1.0,0.5,0.6,1.0,1.0,,,,1.0,,,0.3,0.6666666666666666,0.6666666666666666,0.1,,,,0.5,0.5,1.0,1.0,,,,0.5439,,,,0.16666666666666666,1.0,1.0,1.0,2.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.1,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-1739-905,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Ruben Patterson, Dale Davis","Anderson, Brunson, Wells, Patterson, Davis",1507-1594-1719-1739-905,POR,419.0,3,7.0,-8.0,14.0,14.0,3.0,1.0,28.0,3.0,4.0,8.0,4.0,18.0,2.0,4.0,3.0,0.3333333333333333,96.22911694510739,15.928571428571429,14.0,15.928571428571429,12.571428571428571,0.25,0.3333333333333333,0.6666666666666666,0.4591083333333333,0.437275,7.8875,24.975,0.21428571428571427,2.0,1.0,4.0,,1.0,,2.0,,1.0,2.0,3.0,4.0,10.0,,1.0,2.0,2.0,,,,4.0,2.0,,,2.0,2.0,,1.0,4.0,1.0,1.0,2.0,4.0,2.0,6.0,,,,2.0,2.0,,,2.0,,2.0,2.0,4.0,2.0,,2.0,2.0,,2.0,,8.0,,0.6666666666666666,0.6666666666666666,0.375,,,0.25,,,0.35714285714285715,0.5,,,,1.0,0.3333333333333333,0.2,1.0,0.42857142857142855,0.25,0.3333333333333333,,,,0.3333333333333333,,,,0.3333333333333333,0.25,0.25,0.08333333333333333,,,,0.6666666666666666,0.6666666666666666,0.5,1.0,,0.5,,0.4184,0.14285714285714285,0.2,0.2,,,,,2.0,,2.0,,,,,,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,0.5,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-201-431,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Chris Dudley, Shawn Kemp","Anderson, Brunson, Wells, Dudley, Kemp",1507-1594-1719-201-431,POR,105.0,1,2.0,1.0,4.0,3.0,2.0,3.0,7.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.25,96.0,16.0,13.666666666666666,16.0,13.666666666666666,0.75,0.25,0.25,0.3503375,0.356725,18.266666666666666,25.3,0.5,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,1.0,,,3.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,1.0,,,,,,,,,3.0,3.0,,,,,,0.375,,0.75,0.375,,0.75,,,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,0.5,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-2057-739,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Erick Barkley, Rasheed Wallace","Anderson, Brunson, Wells, Barkley, Wallace",1507-1594-1719-2057-739,POR,17.0,1,,,1.0,1.0,1.0,1.0,2.0,,1.0,,1.0,,,1.0,1.0,1.0,169.41176470588235,16.0,1.0,16.0,,,1.0,1.0,0.3597,0.3597,,25.7,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-2216-431,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Zach Randolph, Shawn Kemp","Anderson, Brunson, Wells, Randolph, Kemp",1507-1594-1719-2216-431,POR,638.0,2,11.0,2.0,21.0,21.0,2.0,1.0,42.0,4.0,3.0,14.0,3.0,22.0,1.0,3.0,2.0,0.17647058823529413,94.79623824451411,13.380952380952381,17.0,13.238095238095237,16.714285714285715,0.23529411764705882,0.17647058823529413,0.5882352941176471,0.5058794117647059,0.2909,6.442857142857143,24.366666666666664,0.09523809523809523,2.0,6.0,7.0,2.0,2.0,,,1.0,3.0,,7.0,4.0,24.0,2.0,2.0,,4.0,,1.0,1.0,8.0,6.0,2.0,1.0,4.0,6.0,,,14.0,1.0,,5.0,5.0,2.0,7.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,2.0,3.0,7.0,4.0,,,,,,,20.0,1.0,0.5714285714285714,0.6666666666666666,0.5,1.0,,0.5882352941176471,1.0,,0.6,1.0,0.25,0.07142857142857142,0.14285714285714285,0.3333333333333333,0.7142857142857143,0.14285714285714285,,0.5555555555555556,0.25,,,0.25,1.0,,,,,0.4117647058823529,0.8571428571428571,1.0,0.17647058823529413,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,,,0.5504,0.2,0.23529411764705882,0.16666666666666666,0.041666666666666664,,,2.0,,2.0,,6.0,2.0,2.0,2.0,,4.0,1.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,,,,,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,,,0.5,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-2216-757,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Zach Randolph, Damon Stoudamire","Anderson, Brunson, Wells, Randolph, Stoudamire",1507-1594-1719-2216-757,POR,53.0,1,1.0,2.0,5.0,5.0,5.0,5.0,10.0,,1.0,6.0,1.0,7.0,6.0,1.0,5.0,0.14285714285714285,271.6981132075472,6.6,4.0,5.8,4.0,,0.14285714285714285,0.7142857142857143,0.5960071428571428,0.5960071428571428,3.1833333333333336,27.0,1.0,2.0,3.0,4.0,,,3.0,4.0,1.0,2.0,,4.0,1.0,9.0,1.0,2.0,,2.0,4.0,1.0,9.0,,8.0,,,,,,,,1.0,,,1.0,2.0,3.0,1.0,,,,,,,,,,3.0,1.0,1.0,,,,,,,7.0,9.0,,,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.5,0.5714285714285714,0.6428571428571429,0.5,0.6428571428571429,,,,,0.5,,,0.6666666666666666,1.0,,,,,,0.3333333333333333,,0.5714285714285714,0.75,0.75,0.2857142857142857,0.5,0.5,,,,,,,0.5714285714285714,0.75,0.3832,0.14285714285714285,0.16666666666666666,0.2222222222222222,1.0,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,0.14285714285714285,,1.0,1.0,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-2216-905,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Zach Randolph, Dale Davis","Anderson, Brunson, Wells, Randolph, Davis",1507-1594-1719-2216-905,POR,44.0,2,1.0,2.0,2.0,1.0,2.0,,3.0,,,,,,,,2.0,,98.18181818181819,13.0,18.0,13.0,18.0,,,,,,,,1.0,,,,,,,,,,,,2.0,2.0,,,,,,2.0,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,1.0,2.0,,1.0,,,,,,2.0,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
1507-1594-1719-2257-431,1610612757,"Derek Anderson, Rick Brunson, Bonzi Wells, Ruben Boumtje-Boumtje, Shawn Kemp","Anderson, Brunson, Wells, Boumtje-Boumtje, Kemp",1507-1594-1719-2257-431,POR,160.0,1,3.0,1.0,5.0,5.0,,,10.0,3.0,,5.0,,6.0,,,,,90.0,18.4,13.6,18.4,13.0,0.6,,0.2,0.40528000000000003,,15.16,,,,,1.0,,,,,1.0,1.0,2.0,3.0,1.0,7.0,,,,,,,,4.0,2.0,,1.0,2.0,2.0,1.0,1.0,4.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,,2.0,2.0,1.0,,,,,,,,7.0,,0.6666666666666666,0.6666666666666666,0.6,,,0.6,,,0.6,,,0.2,1.0,,0.5,,,0.5,,,,,1.0,,,,,0.2,,,0.2,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2002,2001-02,True
