EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFtPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,DefThreePtRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Offensive Fouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,Loose Ball Fouls,Technical Free Throw Trips,PenaltyFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,Fg2aBlocked,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SelfOReb,OffArc3ReboundPct,SelfORebPct,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceTurnovers,BlockedShortMidRange,RecoveredBlocks,3SecondViolations,LongMidRangePctBlocked,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PtsUnassisted3s,DefCorner3ReboundPct,FTDefRebounds,DefFTReboundPct,FTOffRebounds,OffFTReboundPct,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,DefensiveGoaltends,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,Clear Path Fouls,BlockedCorner3,HeaveMakes,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Corner3PctBlocked,team_id,year,season,team_vs
1720-1729-1730-179-1889,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Bryant Stith, Andre Miller","Doleac, Davis, Skinner, Stith, Miller",1720-1729-1730-179-1889,CLE,512.0,4,9.0,2.0,14.0,16.0,9.0,6.0,2.0,30.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,7.0,11.0,2.0,2.0,16.0,14.0,2.0,2.0,4.0,4.0,7.0,1.0,2.0,10.0,4.0,10.0,4.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,6.0,3.0,1.0,1.0,1.0,12.0,10.0,9.0,1.0,0.2857142857142857,0.4,0.6363636363636364,1.0,0.5714285714285714,0.5384615384615384,1.0,0.5,0.5714285714285714,1.0,0.5555555555555556,0.15384615384615385,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333,0.5,0.5,0.5,84.375,15.071428571428571,18.8125,14.857142857142858,16.75,0.38461538461538464,1.0,1.0,0.2,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.5,0.07692307692307693,0.07692307692307693,1.0,1.0,0.25,1.0,0.125,0.5384615384615384,0.5021730769230769,0.5336,0.4584375,0.07692307692307693,0.09090909090909091,0.25,0.625,9.89090909090909,24.65,0.6428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1889-1892,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Andre Miller, Trajan Langdon","Doleac, Davis, Skinner, Miller, Langdon",1720-1729-1730-1889-1892,CLE,112.0,1,2.0,-2.0,4.0,3.0,2.0,1.0,,7.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,2.0,1.0,2.0,4.0,6.0,,,,1.0,1.0,,2.0,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,1.0,,4.0,4.0,2.0,,,,0.5,,1.0,0.3333333333333333,,1.0,0.5,,1.0,0.3333333333333333,,,,,,,,,90.0,21.5,8.666666666666666,21.5,8.666666666666666,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,,0.3333333333333333,,,1.0,1.0,,0.6666666666666666,0.44838333333333336,,0.4753,0.25,0.3333333333333333,,1.0,8.3,24.9,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1889-1908,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Andre Miller, Jumaine Jones","Doleac, Davis, Skinner, Miller, Jones",1720-1729-1730-1889-1908,CLE,562.0,6,9.0,3.0,15.0,16.0,4.0,4.0,2.0,31.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,4.0,6.0,6.0,5.0,16.0,13.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,,7.0,2.0,5.0,6.0,2.0,8.0,2.0,,2.0,1.0,3.0,,,,4.0,1.0,3.0,5.0,6.0,,1.0,2.0,12.0,4.0,4.0,,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.4583333333333333,1.0,0.25,0.5333333333333333,1.0,0.4,0.5,0.25,0.5,1.0,0.5454545454545454,0.3333333333333333,1.0,0.5,0.4,79.4306049822064,17.733333333333334,18.5,17.733333333333334,16.0625,0.25,1.0,1.0,0.6666666666666666,0.16666666666666666,0.5,0.5,,0.16666666666666666,0.3333333333333333,1.0,1.0,0.25,1.0,0.25,0.75,0.48908749999999995,0.6697,0.44995,0.07692307692307693,0.14285714285714285,0.25,0.25,8.033333333333333,25.116666666666664,0.26666666666666666,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.08333333333333333,0.5,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1889-441,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Andre Miller, Lamond Murray","Doleac, Davis, Skinner, Miller, Murray",1720-1729-1730-1889-441,CLE,508.0,3,8.0,-3.0,15.0,16.0,9.0,,3.0,31.0,2.0,2.0,,,,,1.0,5.0,1.0,3.0,2.0,3.0,8.0,4.0,2.0,11.0,14.0,,1.0,,,4.0,2.0,2.0,5.0,6.0,,,3.0,3.0,4.0,2.0,1.0,9.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,,1.0,1.0,,,,2.0,1.0,,1.0,5.0,,1.0,1.0,11.0,5.0,9.0,,1.0,1.0,0.375,,,0.375,,0.25,0.35714285714285715,,0.25,0.3333333333333333,0.5,0.75,0.2,0.6,0.25,0.25,0.6666666666666666,1.0,87.8740157480315,17.333333333333332,15.5,16.8,15.5,0.16666666666666666,1.0,1.0,1.0,0.4166666666666667,0.2,0.2,1.0,0.08333333333333333,0.25,,,,,0.3333333333333333,0.5,0.45693333333333336,0.4884,0.4273666666666667,0.07692307692307693,0.1111111111111111,,0.45454545454545453,12.0125,24.825,0.6,1.0,,,1.0,,3.0,1.0,,,1.0,1.0,,1.0,0.25,0.25,,,,,0.08333333333333333,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1889-445,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Andre Miller, Wesley Person","Doleac, Davis, Skinner, Miller, Person",1720-1729-1730-1889-445,CLE,636.0,4,11.0,-3.0,20.0,20.0,12.0,9.0,4.0,40.0,1.0,6.0,,1.0,,4.0,3.0,4.0,4.0,5.0,4.0,4.0,12.0,9.0,6.0,20.0,23.0,1.0,3.0,5.0,1.0,7.0,6.0,6.0,11.0,6.0,2.0,,4.0,3.0,5.0,,3.0,12.0,3.0,3.0,4.0,6.0,10.0,4.0,2.0,2.0,,2.0,1.0,,,2.0,1.0,2.0,4.0,6.0,,2.0,1.0,15.0,11.0,12.0,,0.75,0.75,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.5,0.19230769230769232,0.4166666666666667,0.5,0.34375,0.42857142857142855,,0.6,0.42857142857142855,0.6666666666666666,0.5454545454545454,,1.0,0.6666666666666666,90.56603773584906,17.0,14.8,15.6,14.65,0.2857142857142857,0.16666666666666666,0.3333333333333333,,0.19047619047619047,0.75,0.75,1.0,0.19047619047619047,0.23809523809523808,0.2,,0.3076923076923077,,0.3076923076923077,0.7142857142857143,0.47892894736842107,0.442,0.48013636363636364,0.08695652173913043,0.14285714285714285,0.25,0.55,7.7,30.377777777777776,0.6,2.0,1.0,2.0,2.0,,6.0,2.0,1.0,1.0,1.0,,,1.0,0.2222222222222222,0.25,1.0,0.5,,1.0,0.09523809523809523,0.25,0.25,1.0,0.15384615384615385,1.0,2.0,,2.0,1.0,1.0,1.0,3.0,,,0.16666666666666666,0.75,1.0,0.2,0.2,1.0,0.4,,0.25,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,0.4,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1892-1908,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Trajan Langdon, Jumaine Jones","Doleac, Davis, Skinner, Langdon, Jones",1720-1729-1730-1892-1908,CLE,688.0,2,11.0,-11.0,23.0,23.0,8.0,18.0,3.0,46.0,4.0,5.0,1.0,1.0,,,2.0,4.0,,4.0,2.0,7.0,12.0,4.0,9.0,29.0,40.0,1.0,1.0,5.0,1.0,2.0,2.0,7.0,12.0,8.0,6.0,2.0,4.0,4.0,6.0,2.0,2.0,14.0,3.0,,2.0,3.0,5.0,,,,3.0,1.0,,,,4.0,1.0,5.0,10.0,12.0,,2.0,4.0,24.0,12.0,8.0,1.0,0.5714285714285714,0.6666666666666666,0.5833333333333334,1.0,0.5,0.625,1.0,0.625,0.6590909090909091,0.8333333333333334,0.75,0.25,0.75,,0.6,0.4,0.42857142857142855,0.5,,,96.27906976744185,15.304347826086957,14.608695652173912,15.0,14.08695652173913,0.3125,0.8,0.8,0.5,0.25,0.5,0.5,1.0,,0.25,1.0,1.0,,,0.5,0.5625,0.46285625,0.5346,0.3963,0.1111111111111111,0.14285714285714285,0.1724137931034483,0.41379310344827586,7.825,26.05,0.34782608695652173,3.0,,,2.0,3.0,6.0,2.0,,2.0,,3.0,1.0,1.0,0.5,0.5,1.0,0.5,,1.0,0.1875,,,,,2.0,,1.0,,1.0,2.0,2.0,,,,0.5,,,0.5,0.5,1.0,,0.5,0.5,,,,,1.0,,,,,,0.08333333333333333,,0.3333333333333333,1.0,,,,1.0,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1892-445,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Trajan Langdon, Wesley Person","Doleac, Davis, Skinner, Langdon, Person",1720-1729-1730-1892-445,CLE,118.0,1,2.0,-2.0,4.0,3.0,,3.0,,7.0,,,,,,,,,,3.0,,,,3.0,,,2.0,,,,,,,,,,,,3.0,,,,,,,1.0,2.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,85.42372881355932,17.75,15.666666666666666,17.75,15.666666666666666,,,,,,,,,,1.0,,,,,,1.0,0.4805,,,,,,,,25.133333333333336,,,,,,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1908-445,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Jumaine Jones, Wesley Person","Doleac, Davis, Skinner, Jones, Person",1720-1729-1730-1908-445,CLE,49.0,1,1.0,4.0,2.0,1.0,2.0,,,3.0,2.0,2.0,,,2.0,2.0,,,,,,2.0,2.0,,,4.0,,,,,2.0,2.0,,,4.0,4.0,,,,2.0,2.0,2.0,,4.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,4.0,4.0,2.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,88.16326530612245,12.0,25.0,12.0,25.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,0.7207,,0.7207,,,,1.0,0.7,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-1908-902,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Jumaine Jones, Bimbo Coles","Doleac, Davis, Skinner, Jones, Coles",1720-1729-1730-1908-902,CLE,389.0,3,6.0,,10.0,9.0,2.0,,4.0,19.0,4.0,8.0,2.0,5.0,2.0,4.0,,3.0,,2.0,,5.0,12.0,2.0,1.0,11.0,11.0,2.0,5.0,4.0,2.0,5.0,,,4.0,2.0,8.0,4.0,2.0,1.0,1.0,1.0,,2.0,5.0,2.0,3.0,6.0,9.0,1.0,1.0,,,1.0,,,,1.0,,,2.0,3.0,1.0,2.0,,7.0,4.0,2.0,,0.2,0.3333333333333333,0.4166666666666667,0.4,0.4,0.35714285714285715,0.4,0.4,0.36666666666666664,0.3333333333333333,0.4,0.14285714285714285,,0.3333333333333333,0.7142857142857143,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.25,70.33419023136247,19.4,21.666666666666668,17.0,20.444444444444443,0.5714285714285714,0.5,0.5714285714285714,0.25,0.21428571428571427,,,,,0.14285714285714285,1.0,0.4,0.8,0.5,,0.7142857142857143,0.4951964285714286,0.53554,0.48857999999999996,0.13333333333333333,0.15384615384615385,0.36363636363636365,0.36363636363636365,5.5,26.0,0.2,1.0,,,,,,,,1.0,,,,,,,1.0,,0.5,1.0,0.07142857142857142,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,0.08333333333333333,0.125,,0.75,,,,1.0,1.0,1.0,1.0,0.5,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
1720-1729-1730-441-445,1610612739,"Michael Doleac, Ricky Davis, Brian Skinner, Lamond Murray, Wesley Person","Doleac, Davis, Skinner, Murray, Person",1720-1729-1730-441-445,CLE,114.0,1,2.0,5.0,4.0,3.0,4.0,3.0,,7.0,1.0,1.0,,,1.0,1.0,,,1.0,,,2.0,2.0,1.0,,7.0,2.0,,,,2.0,2.0,1.0,,7.0,4.0,,,,2.0,3.0,1.0,,7.0,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,7.0,7.0,4.0,,1.0,1.0,1.0,,1.0,1.1666666666666667,,1.1666666666666667,1.1666666666666667,,1.1666666666666667,0.3333333333333333,,1.0,,1.0,,,,1.0,88.42105263157895,14.0,19.333333333333332,14.0,19.333333333333332,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,,,,0.3333333333333333,1.0,,0.6666666666666666,0.5248,,0.5248,,,,1.0,5.45,22.8,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612739,2002,2001-02,True
