EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Blocked3s,BlockedArc3,Blocks,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,NonShootingFoulsDrawn,SecondChanceOffPoss,PenaltyAtRimFGA,SecondChanceCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,SelfOReb,Loose Ball Fouls,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,LiveBallTurnovers,LostBallTurnovers,LiveBallTurnoverPct,ShortMidRangePctBlocked,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,Arc3FGM,PenaltyArc3FGM,NonHeaveArc3FGM,Arc3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Blocked2s,BlockedAtRim,OffFTReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallSteals,BadPassTurnovers,RecoveredBlocks,BlocksRecoveredPct,DefCorner3ReboundPct,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,3SecondViolations,OffCorner3ReboundPct,ShortMidRangeAssists,Defensive 3 Seconds Violations,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PtsUnassisted3s,HeaveAttempts,BlockedLongMidRange,team_id,year,season,team_vs
1601-1900-1905-252-731,1610612762,"Rusty LaRue, Quincy Lewis, Andrei Kirilenko, Karl Malone, Greg Ostertag","LaRue, Lewis, Kirilenko, Malone, Ostertag",1601-1900-1905-252-731,UTA,88.0,1,1.0,3.0,2.0,3.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,81.81818181818183,10.0,22.666666666666668,10.0,20.666666666666668,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.7274,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1900-1905-731-923,1610612762,"Rusty LaRue, Quincy Lewis, Andrei Kirilenko, Greg Ostertag, Donyell Marshall","LaRue, Lewis, Kirilenko, Ostertag, Marshall",1601-1900-1905-731-923,UTA,221.0,3,4.0,4.0,8.0,9.0,17,,1.0,1.0,1.0,3.0,6.0,1.0,1.0,12.0,8.0,2.0,3.0,1.0,1.0,2.0,1.0,,5.0,,,12.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.6428571428571429,0.6875,0.14285714285714285,110.76923076923077,11.25,14.555555555555555,11.25,14.444444444444445,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.45167857142857143,23.6,5.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,10.0,5.0,1.0,1.0,0.6666666666666666,0.875,0.9,0.16666666666666666,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.2857142857142857,0.5,0.5,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,0.4395125,0.125,0.14285714285714285,0.8333333333333334,11.966666666666667,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1900-1909-252-304,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, Karl Malone, John Stockton","LaRue, Lewis, Padgett, Malone, Stockton",1601-1900-1909-252-304,UTA,7.0,1,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.71428571428572,,7.0,,5.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1900-1909-252-923,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, Karl Malone, Donyell Marshall","LaRue, Lewis, Padgett, Malone, Marshall",1601-1900-1909-252-923,UTA,72.0,1,1.0,2.0,4.0,3.0,7,,,,,,1.0,,,3.0,1.0,,,,,,,,,,,3.0,,,,,,,,0.5,,140.0,7.75,13.666666666666666,7.75,13.666666666666666,,,,,,,,,,0.4086,,4.0,1.0,,1.0,,,,,3.0,,1.0,,,3.0,3.0,,,,,2.0,,2.0,2.0,,2.0,4.0,,,,3.0,4.0,,,,,0.5,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,0.4086,,,1.0,5.9,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1900-1909-731-923,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, Greg Ostertag, Donyell Marshall","LaRue, Lewis, Padgett, Ostertag, Marshall",1601-1900-1909-731-923,UTA,458.0,3,8.0,-6.0,14.0,14.0,28,,2.0,,2.0,,10.0,,4.0,5.0,11.0,,,,,,,,,1.0,1.0,4.0,,,,,,,,0.14705882352941177,0.2857142857142857,88.0349344978166,15.071428571428571,17.642857142857142,14.428571428571429,15.0,0.14285714285714285,,,,0.14285714285714285,,,,0.42857142857142855,0.45757499999999995,23.9,8.0,11.0,,4.0,,4.0,,1.0,5.0,,5.0,,3.0,2.0,2.0,,,,,1.0,2.0,3.0,6.0,3.0,5.0,6.0,,2.0,,2.0,8.0,2.0,,,,0.1111111111111111,,,0.5,0.25,,0.25,0.25,,0.2857142857142857,,,0.2857142857142857,,,,0.125,,0.4537625,0.125,0.16666666666666666,0.4,10.5,0.5714285714285714,,,,,,,,1.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.16666666666666666,0.3,0.21428571428571427,0.5,0.25,0.25,0.07142857142857142,0.14285714285714285,0.5,0.5,0.125,0.25,0.587475,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1905-1909-252-923,1610612762,"Rusty LaRue, Andrei Kirilenko, Scott Padgett, Karl Malone, Donyell Marshall","LaRue, Kirilenko, Padgett, Malone, Marshall",1601-1905-1909-252-923,UTA,166.0,1,3.0,1.0,6.0,6.0,12,2.0,5.0,,,3.0,8.0,,,7.0,6.0,2.0,,1.0,,1.0,,,2.0,,,5.0,0.3333333333333333,0.5,,,,0.375,0.375,0.4375,,104.09638554216868,13.166666666666666,14.5,12.666666666666666,14.5,0.625,0.4,0.5,,,,,,0.625,0.4801875,,6.0,6.0,,,1.0,3.0,,,1.0,3.0,8.0,,,1.0,7.0,4.0,1.0,1.0,,2.0,,2.0,4.0,2.0,2.0,1.0,,1.0,,7.0,6.0,,,0.375,0.375,0.4375,0.125,0.2,,1.0,,1.0,1.0,,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,,,0.4801875,0.125,0.125,1.0,8.55,1.0,,,,,,,,,2.0,5.0,,,,,,,2.0,,2.0,2.0,1.0,,0.5,0.4,0.4,0.3333333333333333,,0.5,0.25,,,,0.625,,0.55145,0.2857142857142857,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.5,0.5,1.0,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1905-1909-252-935,1610612762,"Rusty LaRue, Andrei Kirilenko, Scott Padgett, Karl Malone, Bryon Russell","LaRue, Kirilenko, Padgett, Malone, Russell",1601-1905-1909-252-935,UTA,32.0,1,1.0,-3.0,1.0,1.0,2,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,90.0,11.0,21.0,11.0,21.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1905-1909-731-923,1610612762,"Rusty LaRue, Andrei Kirilenko, Scott Padgett, Greg Ostertag, Donyell Marshall","LaRue, Kirilenko, Padgett, Ostertag, Marshall",1601-1905-1909-731-923,UTA,53.0,1,1.0,3.0,2.0,2.0,4,1.0,1.0,,,1.0,2.0,,,4.0,1.0,2.0,,1.0,,1.0,,1.0,2.0,,,2.0,1.0,1.0,,,,0.5,0.5,0.6666666666666666,,108.67924528301887,9.5,17.0,7.0,17.0,0.5,1.0,1.0,1.0,,,,,0.5,0.4924,,2.0,2.0,,1.0,,,,,2.0,1.0,2.0,,,2.0,4.0,,1.0,,1.0,,,1.0,2.0,1.0,1.0,2.0,,1.0,,4.0,2.0,,,0.5,0.5,0.6666666666666666,0.5,,,,1.0,1.0,,1.0,0.5,,,,,,,,,0.4924,0.3333333333333333,0.3333333333333333,1.0,2.6,1.0,,,,,,,,,1.0,1.0,,,,,,2.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,0.5,,,0.5,,,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1905-2260-252-935,1610612762,"Rusty LaRue, Andrei Kirilenko, Jarron Collins, Karl Malone, Bryon Russell","LaRue, Kirilenko, Collins, Malone, Russell",1601-1905-2260-252-935,UTA,216.0,1,4.0,2.0,5.0,6.0,11,2.0,4.0,,,3.0,7.0,,2.0,8.0,6.0,2.0,,1.0,,1.0,,1.0,2.0,,,5.0,0.3333333333333333,0.5,,,,0.42857142857142855,0.3333333333333333,0.3888888888888889,0.2222222222222222,73.33333333333333,21.2,18.333333333333332,17.8,18.333333333333332,0.4444444444444444,0.5,1.0,0.5,,,,,0.6666666666666666,0.5420888888888888,24.75,,,1.0,1.0,,2.0,,,2.0,,,,,,,4.0,2.0,,,2.0,,2.0,7.0,,2.0,2.0,1.0,1.0,,,,,,,,,0.2857142857142857,0.5,,1.0,,1.0,1.0,,0.1111111111111111,1.0,1.0,0.2222222222222222,,,,,,,0.1111111111111111,0.14285714285714285,,7.114285714285714,,,,,1.0,1.0,,1.0,,1.0,,,2.0,2.0,,2.0,1.0,3.0,2.0,3.0,5.0,,,0.375,0.75,0.8333333333333334,1.0,,0.5,,0.2222222222222222,,0.5,,,0.5866666666666667,0.375,1.0,2.0,,1.0,2.0,2.0,1.0,0.5,0.25,0.5,0.5,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
1601-1905-252-304-923,1610612762,"Rusty LaRue, Andrei Kirilenko, Karl Malone, John Stockton, Donyell Marshall","LaRue, Kirilenko, Malone, Stockton, Marshall",1601-1905-252-304-923,UTA,51.0,1,1.0,4.0,2.0,1.0,3,1.0,1.0,,,2.0,2.0,,,4.0,,,,,,,,,,,,4.0,,,,,,1.0,1.0,1.0,,84.70588235294117,11.5,28.0,11.5,28.0,0.5,1.0,1.0,,,,,,0.5,0.51175,,,,,,1.0,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,True
