EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGA,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,DefLongMidRangeReboundPct,LongMidRangeFrequency,PenaltyShotQualityAvg,PenaltyOffPossPct,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,PenaltyArc3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,ShortMidRangeAssists,DefThreePtRebounds,SelfOReb,Steals,BadPassSteals,PenaltyTurnovers,FTA,NonShootingFoulsDrawn,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyPointsPct,FTDefRebounds,Loose Ball Fouls,Offensive Fouls,DefFTReboundPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,Fg2aBlocked,AtRimAssists,OffThreePtRebounds,FTOffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,BlockedAtRim,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,LongMidRangeAssists,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,ShortMidRangePctBlocked,BadPassOutOfBoundsTurnovers,BlockedLongMidRange,HeaveAttempts,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Technical Free Throw Trips,Blocked3s,BlockedCorner3,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3PctBlocked,Clear Path Fouls,BlockedArc3,OffensiveGoaltends,team_id,year,season,team_vs
1051-1497-1732-1887-2230,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Wally Szczerbiak, Maurice Evans","Garrett, Billups, Lopez, Szczerbiak, Evans",1051-1497-1732-1887-2230,MIN,75.0,1,1.0,3.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,0.5,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,115.2,1.0,10.666666666666666,14.333333333333334,10.666666666666666,14.333333333333334,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,0.6666666666666666,0.5,0.46659999999999996,11.3,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-1887-417,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Wally Szczerbiak, Sam Mitchell","Garrett, Billups, Lopez, Szczerbiak, Mitchell",1051-1497-1732-1887-417,MIN,33.0,1,1.0,1.0,2.0,,3.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,130.9090909090909,,14.0,9.5,14.0,9.5,,,,,,,,0.407,20.5,,-2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.407,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-1887-708,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Wally Szczerbiak, Kevin Garnett","Garrett, Billups, Lopez, Szczerbiak, Garnett",1051-1497-1732-1887-708,MIN,166.0,2,3.0,6.0,5.0,1.0,11.0,1.0,,2.0,3.0,,2.0,6.0,7.0,,2.0,,,,1.0,,2.0,1.0,1.0,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,2.0,,,,,6.0,,,,0.4,0.5,0.4,,,1.0,1.0,0.6666666666666666,0.3333333333333333,,,95.42168674698796,,12.166666666666666,18.6,11.833333333333334,17.2,0.2,0.4,,,,0.6,,0.49885,7.733333333333333,24.65,-1.0,4.0,3.0,1.0,2.0,4.0,,0.2,0.50765,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,0.5,0.5,0.6666666666666666,0.5,0.3333333333333333,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-1887-718,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Wally Szczerbiak, Gary Trent","Garrett, Billups, Lopez, Szczerbiak, Trent",1051-1497-1732-1887-718,MIN,71.0,1,1.0,3.0,3.0,,6.0,,,1.0,1.0,,1.0,,4.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,2.0,,,,,,,,,,,0.5,,,,,,,,,121.69014084507042,,20.333333333333332,3.3333333333333335,20.333333333333332,3.3333333333333335,,0.5,,,,1.0,,0.524475,,24.6,-4.0,3.0,2.0,,1.0,3.0,,,0.524475,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,0.5,,,,,,0.5,0.5,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-2230-2254,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Maurice Evans, Loren Woods","Garrett, Billups, Lopez, Evans, Woods",1051-1497-1732-2230-2254,MIN,886.0,2,15.0,34.0,35.0,7.0,69.0,8.0,1.0,4.0,29.0,1.0,5.0,37.0,30.0,,4.0,1.0,,,5.0,,10.0,7.0,6.0,11.0,11.0,22.0,2.0,,4.0,,5.0,17.0,3.0,,3.0,3.0,23.0,,0.2,0.2,0.39705882352941174,0.4625,0.14705882352941177,,,0.8571428571428571,0.4117647058823529,0.6363636363636364,0.42857142857142855,0.5,0.5,112.14446952595937,1.0,13.235294117647058,12.457142857142857,12.5,11.6,0.23529411764705882,0.11764705882352941,0.25,0.25,,0.5588235294117647,0.25,0.49883529411764704,6.651724137931034,24.66,7.0,27.0,19.0,7.0,23.0,27.0,1.0,0.20588235294117646,0.5040178571428572,0.7941176470588235,14.0,13.0,2.0,,4.0,12.0,10.0,11.0,5.0,6.0,31.0,10.0,14.0,5.0,1.0,1.0,1.0,3.0,2.0,4.0,15.0,2.0,,31.0,9.0,0.4166666666666667,0.7142857142857143,0.41379310344827586,0.4782608695652174,0.44642857142857145,0.5,0.25,0.25,1.0,,0.058823529411764705,0.4117647058823529,0.25,0.25,0.5,,,0.4642857142857143,0.14285714285714285,0.8378378378378378,4.0,,1.0,0.6666666666666666,10.0,6.0,8.0,9.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,2.0,14.0,1.0,3.0,10.0,4.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,7.0,3.0,0.2,0.6666666666666666,0.6,0.6363636363636364,0.13793103448275862,0.14285714285714285,0.2857142857142857,0.5,0.6666666666666666,0.5,0.42857142857142855,0.3333333333333333,1.0,1.0,0.7142857142857143,0.8333333333333334,0.4,0.029411764705882353,0.8,0.75,0.16666666666666666,0.1,0.6923076923076923,0.03571428571428571,0.25,0.5661625,0.18421052631578946,0.21212121212121213,0.3783783783783784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-2230-417,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Maurice Evans, Sam Mitchell","Garrett, Billups, Lopez, Evans, Mitchell",1051-1497-1732-2230-417,MIN,282.0,1,5.0,11.0,11.0,3.0,22.0,1.0,1.0,4.0,7.0,2.0,5.0,14.0,14.0,6.0,4.0,1.0,,2.0,5.0,1.0,12.0,3.0,1.0,1.0,4.0,5.0,,,2.0,1.0,2.0,3.0,,,,,14.0,1.0,0.4,0.4,0.5,0.5384615384615384,0.4166666666666667,,,0.5,0.75,0.5,0.5714285714285714,1.0,,112.34042553191489,,12.636363636363637,13.0,10.545454545454545,12.545454545454545,0.08333333333333333,0.3333333333333333,0.25,0.25,1.0,0.5833333333333334,0.25,0.470725,10.185714285714285,25.3,,9.0,8.0,4.0,4.0,9.0,,0.3333333333333333,0.4995666666666667,0.8181818181818182,2.0,2.0,,3.0,4.0,3.0,2.0,1.0,5.0,2.0,10.0,6.0,,3.0,,,,1.0,,2.0,2.0,1.0,,10.0,,1.0,1.0,0.42857142857142855,0.25,0.4444444444444444,0.5,,0.5,1.0,,,0.16666666666666666,,,,0.75,0.75,0.2222222222222222,0.4444444444444444,0.7142857142857143,,,,,,,1.0,,1.0,1.0,2.0,1.0,,1.0,2.0,,,2.0,,,2.0,,1.0,,1.0,2.0,,2.0,,,,0.4,,,,0.2857142857142857,1.0,,1.0,,0.3333333333333333,1.0,0.3333333333333333,,,,,,0.08333333333333333,0.3333333333333333,,,0.6666666666666666,,0.1111111111111111,0.25,0.47415,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-2254-324,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Loren Woods, Anthony Peeler","Garrett, Billups, Lopez, Woods, Peeler",1051-1497-1732-2254-324,MIN,96.0,1,2.0,5.0,4.0,,9.0,1.0,,1.0,3.0,,1.0,2.0,6.0,,1.0,,,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,2.0,,,,0.25,0.25,0.25,,,,,1.0,,,,135.0,,13.0,7.75,13.0,7.75,0.25,0.25,,,,0.5,,0.4704125,7.866666666666667,25.6,-4.0,5.0,4.0,1.0,3.0,5.0,,0.25,0.4704125,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,2.0,2.0,,1.0,,1.0,,,,,,,,2.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,,,1.0,,0.25,,,,,,0.25,0.25,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-2254-417,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Loren Woods, Sam Mitchell","Garrett, Billups, Lopez, Woods, Mitchell",1051-1497-1732-2254-417,MIN,351.0,2,6.0,12.0,13.0,3.0,25.0,2.0,1.0,3.0,12.0,1.0,3.0,11.0,10.0,,3.0,1.0,,,3.0,,6.0,3.0,5.0,5.0,4.0,9.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,7.0,,0.3333333333333333,0.3333333333333333,0.36666666666666664,0.36666666666666664,0.2,,,0.8333333333333334,0.375,0.8333333333333334,0.4,,,102.56410256410257,1.0,13.833333333333334,14.23076923076923,12.833333333333334,13.923076923076923,0.13333333333333333,0.2,0.3333333333333333,0.3333333333333333,,0.6,0.3333333333333333,0.5016,8.241666666666667,24.96666666666667,1.0,4.0,9.0,4.0,3.0,4.0,1.0,0.26666666666666666,0.534,0.3333333333333333,6.0,2.0,1.0,2.0,1.0,4.0,,1.0,1.0,,5.0,6.0,2.0,3.0,1.0,,,2.0,1.0,,,,,5.0,,0.75,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,,0.4,0.6666666666666666,,,0.4,0.5,0.5,1.0,0.5,0.5,0.5,0.25,0.45454545454545453,,,,,1.0,,2.0,1.0,,,,1.0,2.0,4.0,,,4.0,1.0,3.0,2.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,0.5,0.5,0.5,,,,,,0.5,0.5,0.5,,,0.16666666666666666,0.16666666666666666,1.0,,0.5,,,,0.5,,1.0,0.5295,,,0.36363636363636365,,,,1.0,0.5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-324-693,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Anthony Peeler, Joe Smith","Garrett, Billups, Lopez, Peeler, Smith",1051-1497-1732-324-693,MIN,114.0,1,2.0,3.0,3.0,1.0,6.0,2.0,,,3.0,1.0,1.0,5.0,4.0,3.0,,,,1.0,2.0,,5.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,3.0,1.0,1.0,1.0,0.625,0.625,0.25,,,,0.5,,0.5,,,75.78947368421053,,22.333333333333332,15.666666666666666,19.0,15.666666666666666,0.5,,,,,0.5,,0.4089625,7.1000000000000005,23.3,1.0,3.0,3.0,,3.0,3.0,,,0.4089625,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,5.0,2.0,,1.0,1.0,,,,,,,,,5.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,0.625,0.625,,1.0,,,,0.25,0.5,1.0,1.0,,,0.25,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,2.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,,,,,,,,,,,,0.25,,,,,,0.25,,0.3301,,,0.4,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
1051-1497-1732-324-708,1610612750,"Dean Garrett, Chauncey Billups, Felipe Lopez, Anthony Peeler, Kevin Garnett","Garrett, Billups, Lopez, Peeler, Garnett",1051-1497-1732-324-708,MIN,149.0,1,2.0,5.0,5.0,1.0,10.0,1.0,,,4.0,,,4.0,4.0,,,,,,1.0,,2.0,1.0,2.0,2.0,1.0,3.0,1.0,,2.0,1.0,,1.0,,,,,4.0,,,,0.5,0.5,,,,1.0,0.5,1.0,0.5,1.0,1.0,96.64429530201342,,12.6,17.2,9.8,17.2,0.25,,,,,0.25,,0.4196,10.525,,,4.0,5.0,2.0,3.0,4.0,1.0,0.5,0.434,0.8,1.0,1.0,,1.0,,2.0,,2.0,,,4.0,2.0,2.0,1.0,,,,,,1.0,,,,4.0,,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,,,,,0.25,,,,0.5,0.5,0.3333333333333333,,1.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,0.5,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,0.3764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,False
