EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PlusMinus,PenaltyDefPoss,PenaltyOffPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,Corner3Assists,FTDefRebounds,3SecondViolations,PenaltyFg3Pct,DefFTReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,Fg3aBlocked,FTOffRebounds,LostBallTurnovers,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveMakes,HeaveAttempts,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Defensive 3 Seconds Violations,SecondChanceArc3FGM,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Arc3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1088-1112-1442-1630-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Mikki Moore, Jon Barry","Atkins, Wallace, Rebraca, Moore, Barry",1088-1112-1442-1630-468,DET,155.0,1,3.0,6.0,6.0,1.0,12.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.25,0.25,0.4,0.5,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,111.48387096774194,1.0,14.0,11.833333333333334,14.0,11.833333333333334,0.25,0.25,1.0,1.0,0.5,0.25,0.444725,0.2,0.2,13.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-2073-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Brian Cardinal, Jon Barry","Atkins, Wallace, Rebraca, Cardinal, Barry",1088-1112-1442-2073-468,DET,6.0,1,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,240.0,,,6.0,,,,,,,,,,,,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-2206-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Rodney White, Jon Barry","Atkins, Wallace, Rebraca, White, Barry",1088-1112-1442-2206-468,DET,1159.0,4,19.0,35.0,33.0,5.0,68.0,12.0,6.0,9.0,4.0,16.0,25.0,5.0,43.0,21.0,12.0,3.0,4.0,10.0,14.0,5.0,19.0,1.0,3.0,3.0,5.0,1.0,8.0,1.0,2.0,10.0,9.0,5.0,4.0,3.0,,4.0,2.0,37.0,0.64,0.6333333333333333,0.6515151515151515,0.375,0.625,0.3333333333333333,0.6666666666666666,0.6363636363636364,0.4166666666666667,0.3333333333333333,0.375,1.0,0.6,0.09090909090909091,84.48662640207075,0.5,14.657142857142857,19.575757575757574,12.971428571428572,18.181818181818183,0.4,0.3,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.5666666666666667,0.5216716666666666,0.15625,0.18518518518518517,6.256,22.0,1.0,4.0,9.0,2.0,3.0,1.0,2.0,5.0,2.0,5.0,3.0,4.0,6.0,1.0,1.0,2.0,4.0,20.0,6.0,2.0,5.0,2.0,1.0,10.0,2.0,12.0,2.0,5.0,4.0,1.0,26.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,0.625,0.6666666666666666,1.0,0.4,0.4,0.75,1.0,0.75,1.0,0.75,1.0,0.16666666666666666,0.04,0.08333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.8,1.0,0.75,0.8181818181818182,0.5555555555555556,0.6666666666666666,0.25,0.25,1.0,0.16666666666666666,0.4,0.4,1.0,0.75,0.6666666666666666,0.4,0.5572,0.3743,0.13953488372093023,0.09302325581395349,27.139999999999997,0.11428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-2206-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Rodney White, Corliss Williamson","Atkins, Wallace, Rebraca, White, Williamson",1088-1112-1442-2206-722,DET,159.0,1,3.0,4.0,4.0,,8.0,2.0,,1.0,1.0,3.0,4.0,,6.0,7.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,6.0,0.75,0.75,0.75,,,,1.0,1.0,,,,,1.0,,72.45283018867924,,18.5,21.25,18.5,21.25,0.5,0.25,,,0.25,0.5,0.521525,,,6.625,-1.0,,,2.0,,,1.0,,,,,,,,,,,,4.0,,,,,,2.0,,2.0,,1.0,,1.0,4.0,,,,,,,,,,,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-361-711,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Clifford Robinson, Jerry Stackhouse","Atkins, Wallace, Rebraca, Robinson, Stackhouse",1088-1112-1442-361-711,DET,116.0,2,2.0,4.0,3.0,1.0,7.0,,,2.0,,,2.0,2.0,2.0,2.0,,1.0,,1.0,1.0,1.0,2.0,,,,2.0,,2.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,0.3333333333333333,,0.5,0.5,,0.5,0.5,,1.0,,,,86.89655172413794,1.0,15.75,17.666666666666668,13.5,14.333333333333334,,1.0,,,,,0.36345,0.3333333333333333,0.3333333333333333,5.3,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0.3303,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-361-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Clifford Robinson, Corliss Williamson","Atkins, Wallace, Rebraca, Robinson, Williamson",1088-1112-1442-361-722,DET,30.0,1,,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,3.0,1.0,1.0,1.5,,,,,,,,,,,,48.0,,16.0,,16.0,,,1.0,1.0,1.0,,,0.3641,1.0,1.0,7.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-468-688,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Michael Curry","Atkins, Wallace, Rebraca, Barry, Curry",1088-1112-1442-468-688,DET,1447.0,7,24.0,44.0,44.0,3.0,88.0,8.0,2.0,12.0,6.0,10.0,26.0,13.0,42.0,55.0,4.0,3.0,3.0,10.0,15.0,4.0,19.0,1.0,2.0,2.0,1.0,,3.0,,9.0,11.0,15.0,6.0,6.0,3.0,3.0,6.0,5.0,38.0,0.38461538461538464,0.4027777777777778,0.4883720930232558,0.6666666666666666,0.5555555555555556,0.1875,0.75,0.5909090909090909,0.17391304347826086,0.5,0.4,1.0,1.0,0.045454545454545456,87.57429163787145,0.8333333333333334,17.068181818181817,15.818181818181818,16.386363636363637,14.840909090909092,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.47951388888888885,0.14634146341463414,0.1935483870967742,8.453846153846154,-13.0,17.0,23.0,6.0,1.0,2.0,2.0,2.0,6.0,3.0,10.0,1.0,2.0,4.0,6.0,13.0,8.0,23.0,16.0,9.0,2.0,6.0,2.0,1.0,8.0,3.0,11.0,2.0,5.0,1.0,2.0,25.0,1.0,2.0,1.0,1.0,,3.0,,1.0,2.0,,23.0,23.0,0.8,0.8888888888888888,1.0,0.3,0.3,0.5,0.46153846153846156,0.5,0.4166666666666667,0.6666666666666666,0.5,0.2777777777777778,0.038461538461538464,0.125,0.14285714285714285,0.2,,,0.5,0.5,0.75,0.8571428571428571,0.8333333333333334,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.4556,0.4721944444444444,0.09523809523809523,0.5476190476190477,25.2,0.5227272727272727,,1.0,4.0,5.0,1.0,4.0,2.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,1.0,0.2,1.0,0.3333333333333333,0.1111111111111111,0.25,0.25,1.0,0.2777777777777778,0.8,0.1111111111111111,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-468-711,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Jerry Stackhouse","Atkins, Wallace, Rebraca, Barry, Stackhouse",1088-1112-1442-468-711,DET,2637.0,17,44.0,83.0,85.0,7.0,168.0,16.0,9.0,16.0,12.0,26.0,44.0,20.0,90.0,85.0,36.0,4.0,3.0,23.0,27.0,7.0,34.0,,10.0,8.0,8.0,,18.0,,8.0,20.0,27.0,6.0,4.0,2.0,2.0,4.0,1.0,82.0,0.5909090909090909,0.5833333333333334,0.6041666666666666,0.5555555555555556,0.6216216216216216,0.2222222222222222,0.6,0.6190476190476191,0.24,,0.6,0.4444444444444444,0.6666666666666666,,91.74061433447099,0.25,15.036144578313253,16.341176470588234,14.493975903614459,15.470588235294118,0.26666666666666666,0.26666666666666666,0.5625,0.5625,0.2,0.5333333333333333,0.4736655172413793,0.09090909090909091,0.12,8.502272727272727,5.0,38.0,38.0,11.0,3.0,5.0,6.0,4.0,11.0,6.0,16.0,4.0,7.0,8.0,9.0,12.0,13.0,43.0,16.0,15.0,4.0,11.0,4.0,2.0,8.0,5.0,13.0,4.0,3.0,2.0,3.0,31.0,2.0,8.0,5.0,3.0,2.0,9.0,5.0,,6.0,,43.0,38.0,0.3076923076923077,0.3333333333333333,0.8333333333333334,0.375,0.375,0.5714285714285714,0.75,0.5714285714285714,0.625,0.5714285714285714,0.640625,0.26666666666666666,0.045454545454545456,0.125,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.25,0.7222222222222222,0.5,0.6875,0.7857142857142857,0.2727272727272727,0.2222222222222222,0.5,0.5,0.5,0.18333333333333332,0.36363636363636365,0.36363636363636365,1.0,0.7142857142857143,0.6,0.36363636363636365,0.47495714285714286,0.4694590909090909,0.08888888888888889,0.4777777777777778,25.79375,0.4578313253012048,,,2.0,3.0,2.0,5.0,3.0,3.0,9.0,,4.0,12.0,1.0,1.0,,0.3333333333333333,1.0,0.3333333333333333,0.08333333333333333,0.4,0.5,0.5,0.125,0.6666666666666666,0.125,0.375,0.3333333333333333,1.0,3.0,1.0,1.0,2.0,3.0,0.0625,0.2,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-468-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Corliss Williamson","Atkins, Wallace, Rebraca, Barry, Williamson",1088-1112-1442-468-722,DET,4361.0,25,73.0,132.0,128.0,21.0,260.0,37.0,11.0,33.0,26.0,42.0,96.0,18.0,138.0,135.0,34.0,19.0,10.0,33.0,49.0,26.0,75.0,2.0,13.0,7.0,16.0,1.0,29.0,4.0,18.0,50.0,23.0,10.0,12.0,8.0,4.0,12.0,8.0,117.0,0.4375,0.5,0.5307692307692308,0.4482758620689655,0.6111111111111112,0.35185185185185186,0.9090909090909091,0.6615384615384615,0.4,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.9090909090909091,0.03571428571428571,85.8518688374226,0.6666666666666666,16.106060606060606,17.4609375,15.181818181818182,16.390625,0.30833333333333335,0.275,0.3333333333333333,0.39285714285714285,0.21666666666666667,0.5083333333333333,0.4752176470588235,0.07874015748031496,0.0970873786407767,7.8999999999999995,3.0,29.0,48.0,22.0,8.0,15.0,9.0,6.0,13.0,12.0,24.0,8.0,19.0,21.0,12.0,27.0,9.0,51.0,50.0,27.0,10.0,11.0,5.0,9.0,25.0,9.0,34.0,4.0,14.0,4.0,7.0,77.0,7.0,8.0,4.0,4.0,1.0,9.0,10.0,3.0,3.0,,51.0,48.0,0.5952380952380952,0.6756756756756757,0.75,0.5,0.4782608695652174,0.42105263157894735,0.4444444444444444,0.41304347826086957,0.525,0.45652173913043476,0.5543478260869565,0.2,0.09375,0.10810810810810811,0.6363636363636364,0.4090909090909091,0.17647058823529413,0.5,0.64,,0.5945945945945946,0.6666666666666666,0.6363636363636364,0.36363636363636365,0.34615384615384615,0.34615384615384615,0.7777777777777778,0.10833333333333334,0.46153846153846156,0.46153846153846156,0.6666666666666666,0.6521739130434783,0.5333333333333333,0.45454545454545453,0.4983147058823529,0.4487833333333333,0.15217391304347827,0.3695652173913043,26.141666666666666,0.36363636363636365,1.0,,5.0,6.0,6.0,11.0,6.0,3.0,7.0,2.0,6.0,13.0,5.0,6.0,1.0,0.46153846153846156,1.0,0.8,0.09166666666666666,0.5454545454545454,0.5454545454545454,0.8333333333333334,0.15,0.8333333333333334,0.15,0.175,0.42857142857142855,3.0,9.0,,,6.0,,,,,0.5,1.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,3.0,0.25,0.15151515151515152,0.375,0.08695652173913043,0.5,1.0,0.08695652173913043,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
1088-1112-1442-688-711,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Michael Curry, Jerry Stackhouse","Atkins, Wallace, Rebraca, Curry, Stackhouse",1088-1112-1442-688-711,DET,2738.0,16,46.0,80.0,81.0,7.0,161.0,20.0,4.0,13.0,25.0,23.0,58.0,19.0,71.0,79.0,26.0,6.0,8.0,24.0,34.0,8.0,42.0,,6.0,3.0,7.0,,13.0,1.0,6.0,17.0,26.0,11.0,6.0,3.0,1.0,6.0,4.0,62.0,0.39655172413793105,0.37142857142857144,0.4329268292682927,0.46153846153846156,0.6857142857142857,0.18181818181818182,1.0,0.7441860465116279,0.1951219512195122,0.375,0.5384615384615384,0.6923076923076923,1.0,,84.67494521548576,0.6666666666666666,17.2875,16.728395061728396,16.825,15.604938271604938,0.2857142857142857,0.18571428571428572,0.3076923076923077,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4599092857142857,0.13924050632911392,0.16417910447761194,9.724137931034482,-8.0,21.0,17.0,12.0,2.0,3.0,7.0,1.0,11.0,2.0,12.0,4.0,5.0,9.0,3.0,8.0,8.0,14.0,20.0,6.0,4.0,11.0,1.0,4.0,10.0,2.0,12.0,1.0,5.0,1.0,4.0,26.0,2.0,5.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,14.0,17.0,0.43478260869565216,0.47619047619047616,1.0,0.16666666666666666,0.16666666666666666,0.8,0.375,0.6666666666666666,0.23076923076923078,0.6428571428571429,0.3888888888888889,0.17142857142857143,0.06896551724137931,0.15,0.25,,0.1875,0.25,0.8888888888888888,1.0,0.6,0.7058823529411765,0.4166666666666667,0.25,0.28,0.28,0.5714285714285714,0.15714285714285714,0.09090909090909091,0.09090909090909091,1.0,0.5,0.6666666666666666,0.09090909090909091,0.49036,0.38771538461538463,0.1267605633802817,0.19718309859154928,26.28333333333333,0.2125,,,,1.0,1.0,1.0,,,5.0,1.0,,5.0,1.0,2.0,,,0.6666666666666666,,0.014285714285714285,1.0,1.0,1.0,0.07692307692307693,,,0.38461538461538464,,,,,,3.0,,,,,,,,1.0,,1.0,,,,2.0,,0.07692307692307693,,,,,0.16666666666666666,,,,,,,,,,,,,,,1610612765,2002,2001-02,False
