EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,BadPassSteals,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FtPoints,OpponentPoints,SecondChanceFG2A,PtsUnassisted2s,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyFtPoints,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,DefCorner3ReboundPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyAtRimFGA,PenaltyFG2A,BadPassOutOfBoundsTurnovers,OffLongMidRangeReboundPct,PenaltyAtRimFrequency,PenaltyShotQualityAvg,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SecondChancePointsPct,Blocked3s,BlockedArc3,NonShootingFoulsDrawn,Loose Ball Fouls,ShortMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG2M,PenaltyFG3A,NonHeaveArc3FGA,PenaltyFg2Pct,PenaltyEfgPct,FG3APct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimAccuracy,SecondChanceFG2M,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SelfORebPct,SecondChanceAtRimFGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,PenaltyTurnovers,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,ShortMidRangeAssists,SecondChanceFg3Pct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGA,PtsPutbacks,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Frequency,3SecondViolations,FTDefRebounds,DefFTReboundPct,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyArc3Accuracy,BlockedShortMidRange,OffArc3ReboundPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,PenaltyCorner3FGA,DefensiveGoaltends,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,FTOffRebounds,Travels,ShortMidRangePctBlocked,OffFTReboundPct,Corner3FGM,Corner3Assists,Technical Free Throw Trips,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,team_id,year,season,team_vs
1500-1506-1563-1802-1886,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Brad Miller, Jonathan Bender","Mercer, Croshere, Ollie, Miller, Bender",1500-1506-1563-1802-1886,IND,48.0,1,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,90.0,14.5,19.0,14.5,19.0,1.0,1.0,1.0,1.0,1.0,0.4467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1802-1897,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Brad Miller, Metta World Peace","Mercer, Croshere, Ollie, Miller, World Peace",1500-1506-1563-1802-1897,IND,4.0,1,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,360.0,,4.0,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1802-397,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Brad Miller, Reggie Miller","Mercer, Croshere, Ollie, Miller, Miller",1500-1506-1563-1802-397,IND,353.0,2,6.0,-5.0,10.0,11.0,21.0,1.0,2.0,3.0,9.0,7.0,2.0,1.0,1.0,,2.0,2.0,1.0,7.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3888888888888889,85.6657223796034,18.2,15.545454545454545,18.0,14.181818181818182,0.2222222222222222,0.5,0.5,,0.2222222222222222,0.4130888888888889,1.0,1.0,1.0,3.0,2.0,4.0,1.0,12.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.16666666666666666,1.0,0.8,0.16666666666666666,0.3333333333333333,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,0.4444444444444444,0.5,0.5,0.5,1.0,0.5481,0.1111111111111111,0.1111111111111111,11.833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1886-979,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Jonathan Bender, Jermaine O'Neal","Mercer, Croshere, Ollie, Bender, O'Neal",1500-1506-1563-1886-979,IND,165.0,2,3.0,3.0,6.0,6.0,12.0,,,,,5.0,,,,,,1.0,1.0,5.0,,,,,0.625,104.72727272727273,9.0,18.5,9.0,18.333333333333332,,,,,,,4.0,,,,,,5.0,2.0,,,,,1.0,1.0,2.0,,2.0,,,,1.0,,1.0,,1.0,8.0,,4.0,,,,,,0.5,,1.0,0.6666666666666666,,,,,0.5,,,,,,,,,,1.0,1.0,,3.0,2.0,2.0,2.0,3.0,0.5,1.0,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1897-1902,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Metta World Peace, Jeff Foster","Mercer, Croshere, Ollie, World Peace, Foster",1500-1506-1563-1897-1902,IND,275.0,2,5.0,-6.0,8.0,7.0,15.0,2.0,3.0,3.0,6.0,6.0,2.0,1.0,1.0,1.0,2.0,,,6.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,78.54545454545455,17.75,19.0,17.625,19.0,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.44270000000000004,,2.0,1.0,,1.0,3.0,,12.0,1.0,4.0,,1.0,,,,1.0,1.0,,,,2.0,1.0,2.0,,2.0,,,,,,,,,,0.3333333333333333,,,0.3333333333333333,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,,1.0,0.43,,,9.516666666666667,1.0,,,,1.0,,,,0.125,1.0,2.0,1.0,0.5,0.5,0.36365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1897-979,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Metta World Peace, Jermaine O'Neal","Mercer, Croshere, Ollie, World Peace, O'Neal",1500-1506-1563-1897-979,IND,481.0,1,8.0,-9.0,14.0,14.0,28.0,2.0,3.0,6.0,10.0,13.0,6.0,3.0,3.0,1.0,6.0,,,12.0,0.5,0.5,0.6,0.6,0.5909090909090909,83.82536382536382,14.428571428571429,19.928571428571427,14.285714285714286,19.928571428571427,0.3,0.6666666666666666,1.0,0.5,0.3,0.43445999999999996,8.0,2.0,,1.0,4.0,6.0,1.0,22.0,,6.0,2.0,2.0,,3.0,3.0,2.0,5.0,,3.0,2.0,2.0,,5.0,2.0,7.0,2.0,,1.0,,,,,0.6,1.0,0.5,,1.0,0.5,1.0,1.0,,1.0,,,0.1,0.6,0.6666666666666666,0.6666666666666666,0.5,,,0.09090909090909091,0.09090909090909091,11.83,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.1,0.3333333333333333,1.0,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1902-397,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Jeff Foster, Reggie Miller","Mercer, Croshere, Ollie, Foster, Miller",1500-1506-1563-1902-397,IND,9.0,1,,1.0,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-1902-979,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Jeff Foster, Jermaine O'Neal","Mercer, Croshere, Ollie, Foster, O'Neal",1500-1506-1563-1902-979,IND,112.0,1,2.0,1.0,3.0,4.0,7.0,,1.0,1.0,3.0,2.0,2.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,90.0,11.0,19.75,11.0,19.75,0.3333333333333333,,,,0.3333333333333333,0.41076666666666667,,,,,1.0,2.0,,1.0,,,1.0,,1.0,2.0,3.0,,3.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,0.6666666666666666,0.5,0.5,1.0,,,,,13.066666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1563-397-979,1610612754,"Ron Mercer, Austin Croshere, Kevin Ollie, Reggie Miller, Jermaine O'Neal","Mercer, Croshere, Ollie, Miller, O'Neal",1500-1506-1563-397-979,IND,169.0,1,3.0,2.0,6.0,6.0,12.0,,,2.0,3.0,7.0,2.0,1.0,1.0,,2.0,1.0,,7.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5833333333333334,102.24852071005917,12.333333333333334,15.833333333333334,12.333333333333334,15.833333333333334,,,,,,0.4086,2.0,,,1.0,2.0,2.0,3.0,5.0,,2.0,1.0,1.0,,3.0,3.0,1.0,4.0,1.0,,,1.0,,1.0,,,6.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,0.3333333333333333,0.6666666666666666,1.0,1.0,0.5,,,0.25,0.25,14.966666666666667,2.0,2.0,2.0,2.0,2.0,0.5,,0.2857142857142857,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
1500-1506-1802-1886-2224,1610612754,"Ron Mercer, Austin Croshere, Brad Miller, Jonathan Bender, Jamaal Tinsley","Mercer, Croshere, Miller, Bender, Tinsley",1500-1506-1802-1886-2224,IND,45.0,1,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,64.0,30.0,15.0,30.0,15.0,,,,,,0.3788,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2002,2001-02,True
