EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,LongMidRangeFGA,LongMidRangeFrequency,PenaltyOffPoss,PenaltyDefPoss,LongMidRangeFGM,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,ShootingFouls,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,Assisted3sPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,BlockedAtRim,DefAtRimReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,AtRimPctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Corner3FGA,SecondChanceFtPoints,Loose Ball Fouls,3SecondViolations,DefCorner3ReboundPct,Corner3Frequency,LostBallTurnovers,Travels,2pt And 1 Free Throw Trips,OffensiveGoaltends,Defensive 3 Seconds Violations,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,BlockedLongMidRange,HeaveAttempts,OffCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedCorner3,Arc3PctBlocked,ThreePtShootingFoulsDrawn,BlockedArc3,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1542-1609-1740-1742-2046,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Shammond Williams, Desmond Mason","Drobnjak, Long, Lewis, Williams, Mason",1542-1609-1740-1742-2046,SEA,215.0,1,4.0,1.0,5.0,5.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,10.0,9.0,2.0,2.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.75,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,66.9767441860465,27.8,15.2,24.4,15.2,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,0.8333333333333334,0.3333333333333333,0.4890916666666667,0.3585,0.4,3.966666666666667,25.633333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1740-1742-699,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Shammond Williams, Brent Barry","Drobnjak, Long, Lewis, Williams, Barry",1542-1609-1740-1742-699,SEA,54.0,1,1.0,-3.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,53.33333333333333,28.0,26.0,28.0,24.0,,,,,,,,,,,,,,,,0.372,,,19.2,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1740-2046-56,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Desmond Mason, Gary Payton","Drobnjak, Long, Lewis, Mason, Payton",1542-1609-1740-2046-56,SEA,283.0,3,5.0,,8.0,8.0,,16.0,,,,,1.0,2.0,,,3.0,4.0,,,4.0,10.0,10.0,,,,4.0,2.0,,,,2.0,2.0,,4.0,,2.0,2.0,,2.0,,2.0,3.0,,4.0,,10.0,0.6666666666666666,0.6666666666666666,,,0.75,,0.75,,0.8333333333333334,,,0.5,,0.4,,,,81.41342756183745,14.375,21.0,14.375,18.0,,,,,0.5,0.5,1.0,,,,,,,,,0.398075,,,11.9,,2.0,0.5,6.0,5.0,2.0,3.0,4.0,2.0,8.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,6.0,0.75,0.75,0.8,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.398075,0.2,0.2,0.8,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1740-2248-56,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Earl Watson, Gary Payton","Drobnjak, Long, Lewis, Watson, Payton",1542-1609-1740-2248-56,SEA,144.0,1,2.0,-5.0,4.0,4.0,,8.0,1.0,1.0,,,1.0,1.0,,,2.0,3.0,,,,4.0,9.0,,,,2.0,2.0,,,,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,2.0,,,,4.0,0.5,0.5,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,,,,,80.0,18.5,17.5,18.5,16.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,0.3333333333333333,,0.4081666666666666,,,7.966666666666666,,1.0,0.3333333333333333,2.0,3.0,,,1.0,,,,,,,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,0.3098,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1740-56-699,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Gary Payton, Brent Barry","Drobnjak, Long, Lewis, Payton, Barry",1542-1609-1740-56-699,SEA,459.0,4,8.0,2.0,17.0,15.0,3.0,32.0,4.0,7.0,1.0,3.0,1.0,3.0,1.0,2.0,7.0,14.0,1.0,2.0,4.0,21.0,19.0,1.0,4.0,2.0,8.0,6.0,,2.0,1.0,4.0,5.0,1.0,11.0,1.0,1.0,3.0,5.0,8.0,3.0,4.0,3.0,,4.0,,19.0,0.5714285714285714,0.6666666666666666,0.5,0.5,0.5,0.25,0.53125,0.25,0.5833333333333334,0.25,0.125,0.5,1.0,0.6666666666666666,0.625,1.0,1.0,100.3921568627451,14.705882352941176,13.933333333333334,13.470588235294118,13.466666666666667,0.4375,0.5714285714285714,0.5714285714285714,0.25,0.1875,0.3333333333333333,0.3333333333333333,0.125,0.5,0.5,0.75,0.3333333333333333,,0.5625,0.5,0.5075125,0.5021,0.09523809523809523,7.392857142857143,25.35,4.0,0.25,6.0,10.0,2.0,3.0,3.0,2.0,8.0,,2.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,,8.0,6.0,1.0,0.75,0.8,,,0.25,,,0.5,0.5,1.0,0.6002875,0.1111111111111111,0.125,0.38095238095238093,0.35294117647058826,2.0,,1.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5714285714285714,1.0,0.3333333333333333,1.0,0.5,1.0,0.125,1.0,1.0,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1742-2046-2209,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Desmond Mason, Vladimir Radmanovic","Drobnjak, Long, Williams, Mason, Radmanovic",1542-1609-1742-2046-2209,SEA,147.0,1,2.0,-1.0,4.0,3.0,2.0,7.0,1.0,2.0,1.0,1.0,,2.0,,,2.0,5.0,,,,4.0,5.0,1.0,1.0,2.0,2.0,2.0,,,,1.0,1.0,,2.0,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,,2.0,0.5,1.0,,,0.4,1.0,0.4,1.0,0.4,1.0,,1.0,,1.0,0.6666666666666666,,,68.57142857142857,21.25,20.666666666666668,20.25,20.666666666666668,0.4,0.5,0.5,,0.4,,,,,,1.0,1.0,,0.4,,0.43563999999999997,0.5264,0.5,7.040000000000001,,1.0,0.2,,,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,,,,2.0,,,,,,1.0,,,,0.6666666666666666,,1.0,0.5,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1742-2046-56,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Desmond Mason, Gary Payton","Drobnjak, Long, Williams, Mason, Payton",1542-1609-1742-2046-56,SEA,922.0,5,15.0,7.0,26.0,26.0,1.0,52.0,2.0,3.0,,,3.0,6.0,3.0,4.0,10.0,19.0,3.0,4.0,5.0,34.0,27.0,,,3.0,12.0,8.0,3.0,4.0,3.0,6.0,8.0,,18.0,,7.0,8.0,1.0,9.0,1.0,2.0,4.0,,5.0,1.0,31.0,0.6,0.6,0.75,0.75,0.5263157894736842,,0.6304347826086957,1.5,0.66,1.5,0.17391304347826086,0.7777777777777778,,0.7272727272727273,0.1,,0.75,81.21475054229934,16.0,19.46153846153846,15.884615384615385,18.692307692307693,0.13043478260869565,0.6666666666666666,1.0,,0.2608695652173913,0.5,0.6,0.17391304347826086,0.75,0.75,,,,0.30434782608695654,0.75,0.4623326086956521,0.5988,0.08823529411764706,13.178947368421053,24.725,10.0,0.43478260869565216,1.0,8.0,5.0,,,2.0,2.0,2.0,5.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,0.10526315789473684,0.16666666666666666,0.5,0.75,1.0,0.5,0.5,1.0,,0.041666666666666664,0.05,0.058823529411764705,0.038461538461538464,3.0,1.0,,,,,,6.0,,2.0,2.0,1.0,1.0,1.0,,,2.0,,,,0.6666666666666666,,0.1111111111111111,0.5,,,0.2,0.5,,0.3333333333333333,0.6666666666666666,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1742-2046-699,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Desmond Mason, Brent Barry","Drobnjak, Long, Williams, Mason, Barry",1542-1609-1742-2046-699,SEA,919.0,6,15.0,,24.0,27.0,1.0,51.0,2.0,7.0,,1.0,1.0,5.0,2.0,3.0,7.0,20.0,2.0,4.0,2.0,22.0,22.0,,2.0,1.0,12.0,2.0,,3.0,2.0,6.0,8.0,2.0,18.0,,11.0,13.0,3.0,16.0,1.0,3.0,7.0,,3.0,1.0,21.0,0.8571428571428571,0.8571428571428571,0.5,0.5,0.35,,0.4166666666666667,,0.42,0.16666666666666666,0.16666666666666666,0.8461538461538461,,0.8666666666666667,0.2,,1.0,79.91294885745376,19.166666666666668,17.0,18.833333333333332,15.407407407407407,0.2916666666666667,0.2857142857142857,0.5,1.0,0.20833333333333334,0.2,0.2,0.125,0.6666666666666666,0.6666666666666666,0.5,,,0.4583333333333333,0.6666666666666666,0.46476249999999997,0.42155,0.045454545454545456,10.01,24.55,8.0,0.3333333333333333,,2.0,4.0,,,,,3.0,4.0,2.0,2.0,,2.0,1.0,,2.0,,2.0,2.0,,,,,,0.15,,0.6666666666666666,1.0,1.0,0.5,0.5,1.0,,0.04,0.047619047619047616,,,,,,,,,,6.0,,2.0,2.0,,3.0,2.0,,,,,,,1.0,,0.23076923076923078,1.0,0.6,,,1.0,,,1.0,,,,2.0,0.6666666666666666,,,,,,0.42857142857142855,,,,1.0,1.0,1.0,1.0,1.0,0.041666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1742-2071-2248,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Olumide Oyedeji, Earl Watson","Drobnjak, Long, Williams, Oyedeji, Watson",1542-1609-1742-2071-2248,SEA,342.0,2,6.0,2.0,15.0,15.0,3.0,30.0,5.0,5.0,1.0,1.0,1.0,6.0,,,6.0,13.0,,,4.0,16.0,14.0,1.0,1.0,4.0,6.0,6.0,,,,3.0,3.0,3.0,6.0,,3.0,5.0,3.0,8.0,,2.0,1.0,,4.0,,12.0,0.5,0.6,,,0.46153846153846156,1.0,0.46153846153846156,1.0,0.5333333333333333,1.0,,0.6,,0.6666666666666666,0.42857142857142855,,,126.3157894736842,11.733333333333333,11.066666666666666,11.2,9.8,0.38461538461538464,1.0,1.0,0.6,0.46153846153846156,0.16666666666666666,0.16666666666666666,,,,1.0,1.0,,0.38461538461538464,,0.4839076923076923,0.5529,0.25,7.607692307692308,,2.0,0.15384615384615385,15.0,8.0,,6.0,13.0,4.0,16.0,,,2.0,1.0,2.0,,1.0,1.0,,,,,16.0,15.0,0.46153846153846156,0.46153846153846156,0.5333333333333333,,,1.0,0.6666666666666666,,,,,0.4839076923076923,0.07142857142857142,0.07142857142857142,1.0,1.0,2.0,1.0,,5.0,5.0,,,,2.0,,,,3.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,0.42857142857142855,1.0,,0.6,,1.0,,,,0.38461538461538464,1.0,,,1.0,,,,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
1542-1609-1742-2248-699,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Earl Watson, Brent Barry","Drobnjak, Long, Williams, Watson, Barry",1542-1609-1742-2248-699,SEA,142.0,1,2.0,6.0,5.0,6.0,1.0,11.0,1.0,1.0,,,1.0,1.0,,1.0,3.0,3.0,,2.0,2.0,8.0,2.0,,,2.0,4.0,2.0,,1.0,,2.0,2.0,1.0,4.0,1.0,,2.0,1.0,3.0,,,,,2.0,,6.0,0.6666666666666666,0.6666666666666666,,,1.0,,0.6,,0.6666666666666666,1.0,0.4,,0.5,1.0,0.5,1.0,,111.54929577464789,12.4,13.333333333333334,12.4,13.333333333333334,0.2,1.0,1.0,1.0,0.2,1.0,1.0,0.2,,,,,,0.6,,0.50916,,0.25,6.8999999999999995,24.1,1.0,0.2,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,0.16666666666666666,0.25,,,3.0,,,,,,,,,,,1.0,,2.0,,,3.0,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,2.0,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,False
