EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeAssists,NonShootingPenaltyNonTakeFouls,ShortMidRangePctAssisted,Corner3FGM,Arc3FGM,FG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,FTOffRebounds,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,BlockedShortMidRange,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,LongMidRangePctBlocked,OffFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,AtRimPctBlocked,BadPassOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffCorner3ReboundPct,BlockedLongMidRange,3SecondViolations,OffShortMidRangeReboundPct,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Blocked3s,BlockedArc3,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,HeaveAttempts,PenaltyCorner3Accuracy,DefensiveGoaltends,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,Defensive 3 Seconds Violations,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,Corner3PctBlocked,BlockedCorner3,team_id,year,season,team_vs
1032-1501-1747-193-2072,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Michael Redd","Ham, Thomas, Alston, Mason, Redd",1032-1501-1747-193-2072,MIL,1144.0,6,19.0,1.0,33.0,32.0,6.0,4.0,5.0,65.0,4.0,8.0,2.0,2.0,1.0,1.0,3.0,5.0,6.0,10.0,2.0,1.0,6.0,1.0,1.0,13.0,23.0,8.0,9.0,35.0,34.0,4.0,4.0,1.0,2.0,10.0,1.0,2.0,2.0,4.0,6.0,12.0,14.0,4.0,6.0,6.0,6.0,3.0,3.0,12.0,2.0,4.0,2.0,8.0,2.0,12.0,6.0,18.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,6.0,11.0,1.0,11.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,25.0,6.0,6.0,0.46153846153846156,0.5454545454545454,0.5652173913043478,1.0,0.5,0.41935483870967744,0.8,0.25,0.4861111111111111,0.8333333333333334,0.5,0.25806451612903225,1.0,1.0,0.8888888888888888,0.4,0.5,0.2857142857142857,0.7692307692307693,0.35294117647058826,0.25,0.75,0.4,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.058823529411764705,81.81818181818181,1.0,17.515151515151516,17.6875,16.12121212121212,17.125,0.25806451612903225,0.5,0.5,0.75,0.16129032258064516,0.6,0.6,0.3225806451612903,0.6,0.6,0.5,0.06451612903225806,0.1935483870967742,0.4,1.0,0.5,0.2,0.25,1.0,0.25,0.25,0.5161290322580645,0.45781612903225805,0.5427125,0.4402125,0.11428571428571428,0.14814814814814814,0.2857142857142857,0.17142857142857143,9.682608695652174,24.75,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-193-208,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Sam Cassell","Ham, Thomas, Alston, Mason, Cassell",1032-1501-1747-193-208,MIL,233.0,1,4.0,,7.0,7.0,2.0,7.0,1.0,14.0,,1.0,,1.0,,,1.0,1.0,2.0,4.0,,,1.0,,1.0,3.0,6.0,1.0,,6.0,6.0,,1.0,,,,1.0,1.0,1.0,,2.0,4.0,2.0,,1.0,2.0,2.0,,1.0,4.0,,1.0,,,,,1.0,1.0,,2.0,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,6.0,2.0,2.0,0.6666666666666666,0.6666666666666666,0.5,,1.0,0.42857142857142855,,0.5,0.42857142857142855,,0.5,0.14285714285714285,1.0,,,0.3333333333333333,,,,0.3333333333333333,,0.5,,,,,,,,86.52360515021459,,19.857142857142858,13.428571428571429,18.571428571428573,12.285714285714286,0.14285714285714285,,,,0.14285714285714285,1.0,1.0,0.5714285714285714,0.5,0.5,0.5,,0.14285714285714285,1.0,,,,,,,0.5,0.2857142857142857,0.36495714285714287,0.5636,0.33255,,,,0.3333333333333333,14.716666666666667,26.5,0.2857142857142857,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-193-299,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Glenn Robinson","Ham, Thomas, Alston, Mason, Robinson",1032-1501-1747-193-299,MIL,493.0,5,8.0,6.0,15.0,13.0,3.0,2.0,3.0,28.0,1.0,2.0,,,,,1.0,1.0,2.0,4.0,1.0,,5.0,1.0,,4.0,7.0,6.0,3.0,20.0,14.0,1.0,2.0,1.0,,2.0,1.0,2.0,,1.0,3.0,2.0,6.0,,5.0,1.0,4.0,,1.0,11.0,1.0,,1.0,4.0,,5.0,2.0,7.0,,1.0,1.0,,,,,2.0,1.0,3.0,,4.0,,1.0,1.0,1.0,,1.0,1.0,18.0,3.0,3.0,0.25,0.25,0.5714285714285714,0.5,0.5,0.6538461538461539,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,0.5,0.46153846153846156,,,0.8,,1.0,0.3333333333333333,0.8333333333333334,0.2,,,0.3333333333333333,1.0,0.5,1.0,,1.0,,81.78498985801217,1.0,16.666666666666668,18.692307692307693,13.466666666666667,18.692307692307693,0.15384615384615385,0.5,0.5,,0.07692307692307693,1.0,1.0,0.3076923076923077,0.5,0.6666666666666666,0.5,0.07692307692307693,0.38461538461538464,,,,0.3333333333333333,,,,,0.6153846153846154,0.5004076923076923,0.32305,0.32305,0.07142857142857142,0.125,0.1,0.15,12.62857142857143,25.099999999999998,0.2,,,,1.0,2.0,3.0,9.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.14285714285714285,0.25,1.0,1.0,1.0,1.0,0.4,0.4,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-193-911,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Ervin Johnson","Ham, Thomas, Alston, Mason, Johnson",1032-1501-1747-193-911,MIL,541.0,3,9.0,-13.0,16.0,17.0,,,2.0,33.0,3.0,8.0,1.0,3.0,,,2.0,4.0,2.0,5.0,,,,,,7.0,17.0,,2.0,16.0,29.0,1.0,3.0,,,2.0,,,,,,6.0,8.0,2.0,,3.0,3.0,1.0,1.0,6.0,,3.0,1.0,1.0,,2.0,3.0,5.0,,1.0,,1.0,,,,1.0,,1.0,,2.0,,1.0,,1.0,1.0,1.0,,14.0,,,0.42857142857142855,0.5,0.4117647058823529,0.3333333333333333,,0.4117647058823529,0.3333333333333333,,0.4444444444444444,0.3333333333333333,,,,,0.3333333333333333,0.3,1.0,,0.5,0.3,0.6,,,,1.0,,,1.0,,87.83733826247689,,17.0625,15.764705882352942,16.375,15.352941176470589,0.47058823529411764,0.375,0.6,0.3333333333333333,0.23529411764705882,0.5,0.5,0.29411764705882354,0.4,0.4,0.5,,,1.0,0.3333333333333333,,,,,,,0.47058823529411764,0.49249411764705886,0.5383333333333333,,0.05555555555555555,0.05555555555555555,0.125,,7.464705882352941,,,1.0,,0.5,,,,,,3.0,,,,,1.0,,1.0,,,,,0.17647058823529413,,,,,,,,,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-193-951,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Ray Allen","Ham, Thomas, Alston, Mason, Allen",1032-1501-1747-193-951,MIL,568.0,2,9.0,-5.0,18.0,17.0,4.0,5.0,2.0,35.0,4.0,5.0,1.0,1.0,,,1.0,4.0,,4.0,1.0,,1.0,,,5.0,13.0,2.0,3.0,16.0,21.0,1.0,2.0,,,2.0,,2.0,,2.0,2.0,6.0,4.0,2.0,1.0,3.0,4.0,2.0,,9.0,1.0,1.0,,5.0,,5.0,2.0,7.0,,1.0,1.0,,1.0,1.0,,4.0,2.0,5.0,,3.0,,2.0,,,,,,14.0,2.0,4.0,0.6,0.75,0.38461538461538464,0.5,,0.43333333333333335,0.5,,0.5,0.5,0.3333333333333333,0.13333333333333333,0.25,,0.625,0.125,,1.0,0.625,0.2222222222222222,1.0,,1.0,,0.25,1.0,,,,88.73239436619718,,16.61111111111111,15.823529411764707,15.777777777777779,14.588235294117647,0.3333333333333333,0.8,0.8,0.5,0.26666666666666666,0.25,0.3333333333333333,0.26666666666666666,,,,0.06666666666666667,0.06666666666666667,0.5,1.0,,,,,,,0.4666666666666667,0.47678666666666664,0.4002,0.3867,0.125,0.14285714285714285,0.125,0.125,9.084615384615384,24.2,0.2222222222222222,1.0,,1.0,1.0,,1.0,3.0,,1.0,1.0,,1.0,,3.0,1.0,1.0,,1.0,0.5,0.5,0.07692307692307693,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-193-998,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Anthony Mason, Mark Pope","Ham, Thomas, Alston, Mason, Pope",1032-1501-1747-193-998,MIL,71.0,1,1.0,,3.0,2.0,3.0,2.0,,5.0,,,,,,,,,,,,,2.0,,2.0,,,2.0,2.0,2.0,2.0,,,,,,,,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,2.0,3.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,101.40845070422534,,9.333333333333334,21.5,9.333333333333334,21.5,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,0.408,,0.408,0.3333333333333333,,,1.0,,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-2038-2072,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Michael Redd","Ham, Thomas, Alston, Przybilla, Redd",1032-1501-1747-2038-2072,MIL,91.0,1,2.0,2.0,3.0,3.0,2.0,,,6.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,2.0,,2.0,4.0,2.0,,,,,,1.0,2.0,,1.0,3.0,2.0,,,,1.0,1.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,3.0,,2.0,,,,,,4.0,3.0,2.0,1.0,1.0,0.5,,0.5,0.5,,0.5,0.6666666666666666,,0.75,,,,0.5,,,,0.5,,,,,,1.0,,,,,94.94505494505495,,9.0,21.333333333333332,9.0,18.0,0.5,1.0,1.0,1.0,,,,0.5,,,,,,,,,,0.5,1.0,,,0.5,0.613,,0.613,0.6666666666666666,0.6666666666666666,,0.75,9.15,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-2038-299,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Glenn Robinson","Ham, Thomas, Alston, Przybilla, Robinson",1032-1501-1747-2038-299,MIL,212.0,1,4.0,-5.0,8.0,7.0,2.0,,1.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,,,2.0,6.0,2.0,,4.0,9.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,2.0,2.0,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,3.0,,,3.0,1.0,4.0,,1.0,1.0,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,2.0,2.0,2.0,0.5,0.5,0.3333333333333333,1.0,0.5,0.25,1.0,0.3333333333333333,0.25,1.0,0.3333333333333333,0.25,1.0,,,,1.0,0.5,1.0,0.16666666666666666,,,,,,,1.0,1.0,,101.88679245283019,,15.25,12.857142857142858,14.0,12.857142857142858,0.125,1.0,1.0,,0.25,,,0.375,0.3333333333333333,0.3333333333333333,1.0,0.125,0.125,1.0,1.0,,,0.3333333333333333,1.0,0.3333333333333333,,0.375,0.4493875,0.4643,0.4586333333333333,,,0.5,0.5,11.966666666666667,23.55,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-2038-679,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Joel Przybilla, Jason Caffey","Ham, Thomas, Alston, Przybilla, Caffey",1032-1501-1747-2038-679,MIL,68.0,1,1.0,1.0,2.0,3.0,,,,5.0,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,3.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,,3.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,0.75,,,0.75,,,0.5,,,,,,,,,,,,,,,,,,105.88235294117648,,14.0,13.333333333333334,14.0,13.333333333333334,,,,,0.5,,,,,,,,0.5,,,,,,,,,0.5,0.458175,,,,,,,11.0,25.1,,,,,,1.0,1.0,3.0,1.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
1032-1501-1747-2072-679,1610612749,"Darvin Ham, Tim Thomas, Rafer Alston, Michael Redd, Jason Caffey","Ham, Thomas, Alston, Redd, Caffey",1032-1501-1747-2072-679,MIL,460.0,2,8.0,5.0,14.0,13.0,,,3.0,27.0,1.0,3.0,,2.0,,,2.0,5.0,,2.0,1.0,,4.0,,,3.0,10.0,5.0,2.0,17.0,12.0,1.0,3.0,,1.0,3.0,,,,,,4.0,2.0,2.0,4.0,2.0,5.0,1.0,,13.0,1.0,3.0,2.0,2.0,,4.0,4.0,8.0,,1.0,,1.0,,,,2.0,,,,4.0,,2.0,,1.0,,1.0,,14.0,,,0.6666666666666666,1.0,0.3,0.3333333333333333,,0.5,0.3333333333333333,,0.5,0.375,,0.3333333333333333,,,0.4,0.42857142857142855,1.0,0.5,0.5714285714285714,0.4444444444444444,0.5,0.5,1.0,,0.5,0.3333333333333333,1.0,,,84.52173913043478,,18.214285714285715,15.76923076923077,17.785714285714285,14.846153846153847,0.2,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.4,0.4,0.13333333333333333,,,,0.06666666666666667,0.26666666666666666,0.6666666666666666,,,,,,,,0.5333333333333333,0.46309,0.56685,,0.11764705882352941,0.16666666666666666,0.17647058823529413,,7.58,25.34,,1.0,,0.5,,3.0,3.0,9.0,3.0,,3.0,3.0,,,2.0,,,,1.0,0.6,0.6,,,,,,,0.75,0.75,1.0,0.75,,,1.0,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2002,2001-02,True
