EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,ShootingFouls,Offensive Fouls,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,PenaltyFtPoints,ShortMidRangePctBlocked,PenaltyCorner3FGA,LostBallTurnovers,2pt And 1 Free Throw Trips,PenaltyCorner3Frequency,PenaltyAtRimFGM,Corner3FGM,SecondChanceFtPoints,PenaltyFG2M,Corner3Assists,FTOffRebounds,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Technical Free Throw Trips,BlockedAtRim,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyFg2Pct,OffFTReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimAccuracy,HeaveAttempts,3SecondViolations,BadPassOutOfBoundsTurnovers,Travels,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,DefensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
109-1904-2058-216-977,1610612747,"Robert Horry, Devean George, Mark Madsen, Brian Shaw, Kobe Bryant","Horry, George, Madsen, Shaw, Bryant",109-1904-2058-216-977,LAL,182.0,2,3.0,4.0,6.0,6.0,1.0,6.0,12.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,9.0,5.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,9.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,0.7,0.6428571428571429,0.2,1.0,1.0,1.0,1.0,94.94505494505495,17.333333333333332,13.0,17.333333333333332,13.0,0.2,1.0,1.0,1.0,0.6,0.3333333333333333,0.3333333333333333,0.2,1.0,1.0,1.0,0.4,1.0,0.48107,0.3022,0.16666666666666666,0.2,12.375,25.4,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-283-406,1610612747,"Robert Horry, Devean George, Brian Shaw, Lindsey Hunter, Shaquille O'Neal","Horry, George, Shaw, Hunter, O'Neal",109-1904-216-283-406,LAL,829.0,4,14.0,3.0,23.0,22.0,2.0,5.0,45.0,4.0,10.0,1.0,3.0,4.0,7.0,7.0,19.0,4.0,9.0,1.0,27.0,24.0,1.0,8.0,6.0,12.0,7.0,4.0,4.0,4.0,8.0,4.0,2.0,20.0,1.0,2.0,10.0,19.0,1.0,,7.0,2.0,1.0,,18.0,2.0,2.0,0.5714285714285714,0.6666666666666666,1.0,0.4444444444444444,0.4444444444444444,0.3684210526315789,0.4642857142857143,0.46551724137931033,0.32142857142857145,1.0,1.0,0.5714285714285714,,78.1664656212304,16.869565217391305,20.045454545454547,14.0,19.545454545454547,0.35714285714285715,0.4,0.5714285714285714,0.5,0.10714285714285714,0.3333333333333333,0.3333333333333333,0.25,0.5714285714285714,0.6666666666666666,1.0,0.6785714285714286,0.5714285714285714,0.5167196428571429,0.5884833333333334,0.034482758620689655,0.05,5.5473684210526315,24.61111111111111,0.08695652173913043,7.0,2.0,4.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,7.0,1.0,3.0,9.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,3.0,6.0,7.0,9.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,6.0,0.3333333333333333,1.0,0.42857142857142855,0.45,1.0,0.45,1.0,0.1111111111111111,0.15789473684210525,0.3,0.14285714285714285,0.3333333333333333,0.5384615384615384,0.5,0.6,0.5294117647058824,0.5,0.5,0.5,0.6666666666666666,0.5,0.75,0.3333333333333333,0.5,1.0,0.15384615384615385,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.5,1.0,0.07142857142857142,0.4,0.5,0.5,0.1,0.2,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.5169050000000001,0.3333333333333333,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-283-955,1610612747,"Robert Horry, Devean George, Brian Shaw, Lindsey Hunter, Samaki Walker","Horry, George, Shaw, Hunter, Walker",109-1904-216-283-955,LAL,5.0,1,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-283-977,1610612747,"Robert Horry, Devean George, Brian Shaw, Lindsey Hunter, Kobe Bryant","Horry, George, Shaw, Hunter, Bryant",109-1904-216-283-977,LAL,6.0,1,,,1.0,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,240.0,6.0,,6.0,,,,,,,,,1.0,,,,1.0,,0.33345,,,,,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-296-955,1610612747,"Robert Horry, Devean George, Brian Shaw, Rick Fox, Samaki Walker","Horry, George, Shaw, Fox, Walker",109-1904-216-296-955,LAL,51.0,1,1.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,1.0,,,2.0,2.0,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,,1.0,2.0,2.0,,,,,,,,,0.5,,,,0.5,,112.94117647058823,10.0,15.5,10.0,15.0,,,,,,,,,,,,,,0.3767,0.3767,,,8.9,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,0.5,,1.0,,,,0.5,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-296-977,1610612747,"Robert Horry, Devean George, Brian Shaw, Rick Fox, Kobe Bryant","Horry, George, Shaw, Fox, Bryant",109-1904-216-296-977,LAL,93.0,3,2.0,-5.0,5.0,6.0,2.0,6.0,11.0,,,,,,,,,,2.0,3.0,3.0,8.0,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,2.0,4.0,,2.0,3.0,2.0,2.0,,,,,,,,0.375,1.0,,1.0,1.0,,170.32258064516128,11.0,6.333333333333333,11.0,6.333333333333333,,,,,,,,,,,,1.0,,0.56865,,,,,23.3,0.4,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,3.0,,,,,,,0.75,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-406-965,1610612747,"Robert Horry, Devean George, Brian Shaw, Shaquille O'Neal, Derek Fisher","Horry, George, Shaw, O'Neal, Fisher",109-1904-216-406-965,LAL,808.0,5,13.0,-2.0,24.0,24.0,2.0,7.0,48.0,3.0,4.0,1.0,3.0,3.0,6.0,6.0,12.0,3.0,8.0,4.0,25.0,27.0,,10.0,2.0,9.0,6.0,3.0,5.0,3.0,8.0,3.0,3.0,19.0,,,8.0,9.0,,,5.0,7.0,4.0,,25.0,2.0,,0.8333333333333334,0.8333333333333334,1.0,0.375,0.375,0.5,0.525,0.5434782608695652,0.4,,,0.6153846153846154,,85.54455445544555,16.458333333333332,17.208333333333332,16.333333333333332,15.875,0.2,0.75,0.75,1.0,0.15,0.3333333333333333,0.3333333333333333,0.3,0.5,0.5,1.0,0.6,0.5,0.5021175,0.55845,0.17391304347826086,0.26666666666666666,8.583333333333334,24.0125,0.08333333333333333,1.0,,1.0,,2.0,5.0,2.0,,,,,1.0,,1.0,,,,,2.0,,,,,1.0,1.0,,1.0,8.0,1.0,,,3.0,2.0,,,3.0,3.0,,,,,,,,,,,,,,,,,1.0,0.6153846153846154,0.16666666666666666,,0.09090909090909091,,0.3333333333333333,,,,0.5,0.5,0.7142857142857143,,,0.25,0.4,0.4,0.5,1.0,0.1,1.0,,,,,,,,0.5,,0.5567,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-406-977,1610612747,"Robert Horry, Devean George, Brian Shaw, Shaquille O'Neal, Kobe Bryant","Horry, George, Shaw, O'Neal, Bryant",109-1904-216-406-977,LAL,2393.0,12,40.0,3.0,76.0,78.0,23.0,12.0,154.0,14.0,23.0,5.0,15.0,4.0,12.0,26.0,52.0,5.0,15.0,17.0,84.0,81.0,16.0,30.0,22.0,15.0,12.0,4.0,15.0,5.0,20.0,4.0,9.0,45.0,7.0,3.0,35.0,48.0,5.0,2.0,16.0,22.0,6.0,4.0,71.0,23.0,2.0,0.5769230769230769,0.6521739130434783,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5454545454545454,0.22388059701492538,1.0,0.7,0.8,1.0,92.67028834099457,16.026315789473685,15.064102564102564,15.105263157894736,14.58974358974359,0.34328358208955223,0.6086956521739131,0.6363636363636364,0.6428571428571429,0.22388059701492538,0.3333333333333333,0.3333333333333333,0.1791044776119403,0.3333333333333333,0.3333333333333333,1.0,0.5671641791044776,0.3333333333333333,0.48991268656716425,0.4727547619047619,0.0821917808219178,0.10344827586206896,7.848076923076923,24.84,0.3026315789473684,11.0,5.0,6.0,6.0,7.0,14.0,3.0,1.0,,1.0,2.0,5.0,5.0,6.0,,2.0,13.0,2.0,5.0,26.0,6.0,2.0,,2.0,4.0,2.0,9.0,25.0,13.0,,3.0,7.0,5.0,4.0,,11.0,6.0,3.0,5.0,2.0,5.0,26.0,,0.4,0.8333333333333334,0.625,0.47619047619047616,0.65,0.5,,0.038461538461538464,0.043478260869565216,,0.6363636363636364,0.8333333333333334,0.34615384615384615,0.2,0.3055555555555556,0.1111111111111111,0.8571428571428571,0.2,0.25,,0.5,1.0,0.8666666666666667,0.625,,0.208955223880597,0.5,0.5384615384615384,0.2857142857142857,0.8,0.04477611940298507,0.75,0.8333333333333334,,0.125,0.125,,,0.2857142857142857,0.23809523809523808,0.4,0.5866333333333333,0.15476190476190477,0.30952380952380953,6.0,0.07142857142857142,,2.0,,,4.0,1.0,3.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.4375,0.6666666666666666,0.8,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-955-965,1610612747,"Robert Horry, Devean George, Brian Shaw, Samaki Walker, Derek Fisher","Horry, George, Shaw, Walker, Fisher",109-1904-216-955-965,LAL,45.0,1,1.0,1.0,2.0,2.0,2.0,2.0,4.0,,,,,,1.0,,,,1.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,0.5,1.0,1.0,,,,128.0,10.5,12.0,10.5,12.0,,,,,,,,1.0,,,,1.0,,0.5007,0.5007,,,,26.3,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
109-1904-216-955-977,1610612747,"Robert Horry, Devean George, Brian Shaw, Samaki Walker, Kobe Bryant","Horry, George, Shaw, Walker, Bryant",109-1904-216-955-977,LAL,1257.0,9,21.0,-37.0,40.0,40.0,7.0,8.0,80.0,4.0,9.0,3.0,8.0,1.0,9.0,8.0,25.0,1.0,11.0,2.0,21.0,58.0,6.0,6.0,10.0,3.0,8.0,1.0,3.0,1.0,4.0,1.0,1.0,9.0,4.0,,11.0,15.0,3.0,,16.0,2.0,1.0,,17.0,7.0,2.0,0.375,0.42857142857142855,1.0,0.09090909090909091,0.1,0.32,0.2638888888888889,0.28378378378378377,0.3055555555555556,,1.0,0.6875,,91.64677804295943,17.425,14.0,16.9,13.0,0.25,0.4444444444444444,0.6666666666666666,0.25,0.2222222222222222,0.375,0.375,0.25,0.1111111111111111,0.125,1.0,0.5555555555555556,0.125,0.4767957142857143,0.4256,0.02702702702702703,0.038461538461538464,9.116,26.654545454545453,0.175,4.0,1.0,2.0,2.0,1.0,8.0,2.0,,,,,2.0,1.0,3.0,,,4.0,,3.0,,2.0,3.0,1.0,1.0,1.0,1.0,3.0,7.0,4.0,1.0,3.0,6.0,3.0,2.0,,8.0,8.0,1.0,4.0,,4.0,,,,0.3333333333333333,0.3333333333333333,,0.5,,0.09090909090909091,0.12,0.3333333333333333,0.1111111111111111,0.75,0.5833333333333334,0.17647058823529413,0.125,0.16,0.2,0.14285714285714285,0.2,,0.5,0.5714285714285714,0.75,,1.0,0.045454545454545456,0.2222222222222222,0.125,0.125,1.0,0.3333333333333333,0.05555555555555555,0.6666666666666666,0.5,,,,,,0.2222222222222222,0.2222222222222222,,0.54105,0.19047619047619047,,,,1.0,3.0,,0.1111111111111111,,,2.0,,,,,1.0,2.0,,4.0,2.0,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612747,2002,2001-02,False
