EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGA,PenaltyArc3FGA,PenaltyFG3A,FTOffRebounds,LongMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3Frequency,PenaltyArc3Frequency,SecondChanceArc3FGA,SelfOReb,LostBallSteals,Travels,SecondChanceTurnovers,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3Frequency,PtsPutbacks,OffAtRimReboundPct,Corner3FGM,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,LostBallTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,3SecondViolations,PtsUnassisted3s,DefensiveGoaltends,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,Blocked3s,BlockedCorner3,Corner3PctBlocked,HeaveAttempts,BlockedArc3,team_id,year,season,team_vs
124-1444-1517-1710-2045,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Mike Bibby, Hedo Turkoglu","Divac, Funderburke, Jackson, Bibby, Turkoglu",124-1444-1517-1710-2045,SAC,1504.0,9,25.0,1.0,47.0,48.0,12.0,20.0,4.0,95.0,7.0,8.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,22.0,3.0,1.0,1.0,16.0,36.0,4.0,10.0,42.0,41.0,2.0,2.0,1.0,4.0,4.0,8.0,5.0,13.0,18.0,14.0,1.0,1.0,9.0,9.0,5.0,1.0,3.0,18.0,1.0,4.0,5.0,14.0,1.0,20.0,5.0,25.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,7.0,15.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,38.0,13.0,12.0,1.0,0.5625,0.5625,0.4444444444444444,1.0,0.5,0.4,0.6666666666666666,0.5,0.43617021276595747,0.5,0.5909090909090909,0.1,0.027777777777777776,0.125,0.25,1.0,0.8235294117647058,0.2,0.8333333333333334,0.25,0.8260869565217391,0.20833333333333334,0.25,0.3333333333333333,0.6666666666666666,0.5,1.0,0.8,1.0,90.95744680851064,0.5,15.212765957446809,16.4375,14.659574468085106,16.25,0.2,0.875,1.0,0.7142857142857143,0.15,0.5,0.5,0.3333333333333333,0.55,0.2727272727272727,0.2727272727272727,0.5,0.075,0.025,0.3333333333333333,1.0,0.3333333333333333,0.125,1.0,0.3,0.45468125,0.44175,0.429925,0.1111111111111111,0.12195121951219512,0.09523809523809523,0.30952380952380953,12.616666666666667,23.7,0.2553191489361702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-1710-57,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Mike Bibby, Doug Christie","Divac, Funderburke, Jackson, Bibby, Christie",124-1444-1517-1710-57,SAC,250.0,2,4.0,-4.0,7.0,8.0,7.0,6.0,1.0,15.0,,,,,,,3.0,3.0,,2.0,1.0,,1.0,3.0,5.0,2.0,1.0,7.0,11.0,1.0,1.0,,2.0,3.0,5.0,1.0,7.0,6.0,,1.0,1.0,3.0,3.0,,3.0,,6.0,,,1.0,2.0,,3.0,1.0,4.0,,,,,,,,,,2.0,6.0,2.0,,,1.0,,,,,5.0,7.0,7.0,1.0,1.0,1.0,0.6,1.0,0.6,0.42857142857142855,1.0,0.42857142857142855,0.4375,1.0,0.4375,0.2857142857142857,0.2,,,,0.6666666666666666,,1.0,,0.75,,,,,1.0,1.0,,1.0,86.39999999999999,,17.428571428571427,16.0,16.857142857142858,14.75,,,,,0.42857142857142855,1.0,1.0,1.0,0.2857142857142857,,,,0.14285714285714285,0.14285714285714285,,,,,,0.2857142857142857,0.4414285714285714,0.3225,0.4414285714285714,,,0.2857142857142857,1.0,12.040000000000001,24.5,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-1710-978,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Mike Bibby, Peja Stojakovic","Divac, Funderburke, Jackson, Bibby, Stojakovic",124-1444-1517-1710-978,SAC,760.0,3,13.0,-12.0,24.0,22.0,8.0,6.0,5.0,46.0,2.0,6.0,1.0,3.0,,4.0,1.0,6.0,2.0,7.0,,,2.0,5.0,19.0,2.0,3.0,13.0,25.0,1.0,3.0,1.0,2.0,1.0,8.0,,2.0,2.0,8.0,2.0,3.0,1.0,1.0,,,1.0,2.0,,5.0,1.0,5.0,,6.0,5.0,11.0,2.0,1.0,2.0,2.0,2.0,4.0,,6.0,,3.0,3.0,4.0,,2.0,,,,,,11.0,2.0,8.0,,0.2,0.2,0.2631578947368421,0.3333333333333333,0.125,0.23809523809523808,0.25,0.1111111111111111,0.2826086956521739,0.25,0.1111111111111111,0.09523809523809523,0.15789473684210525,0.16666666666666666,0.3333333333333333,,0.5555555555555556,0.35714285714285715,1.0,,0.6,0.3333333333333333,0.6,,,0.6666666666666666,0.5,1.0,,87.15789473684211,,17.916666666666668,15.0,16.541666666666668,14.090909090909092,0.2857142857142857,0.3333333333333333,0.4,,0.2857142857142857,0.16666666666666666,0.25,,0.3333333333333333,0.2857142857142857,0.2857142857142857,0.5,,0.09523809523809523,0.75,0.3333333333333333,,0.4444444444444444,,0.38095238095238093,0.4060904761904762,0.4947125,0.3955388888888889,0.08695652173913043,0.09523809523809523,0.15384615384615385,0.15384615384615385,9.463157894736844,24.7,0.3333333333333333,,1.0,1.0,,,,,0.1111111111111111,1.0,1.0,1.0,1.0,2.0,0.3333333333333333,0.4,0.08333333333333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-2045-2222,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Hedo Turkoglu, Gerald Wallace","Divac, Funderburke, Jackson, Turkoglu, Wallace",124-1444-1517-2045-2222,SAC,107.0,2,2.0,,5.0,5.0,,5.0,1.0,10.0,2.0,3.0,1.0,1.0,,,,,,1.0,,,,2.0,4.0,,,4.0,4.0,1.0,1.0,,2.0,,,,,2.0,2.0,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,2.0,,3.0,1.0,4.0,,,1.0,,1.0,1.0,,2.0,,,,,,,,,,,,2.0,,,,0.5,1.0,0.5,1.0,,0.5,1.0,,0.5,1.0,,,,,0.5,,1.0,0.5,1.0,,1.0,0.5,,,1.0,,1.0,,1.0,134.57943925233644,,13.2,8.2,13.2,8.2,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,0.25,,,,,,1.0,1.0,,,,0.75,0.5161,0.5665,,,,0.5,,4.85,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-2045-57,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Hedo Turkoglu, Doug Christie","Divac, Funderburke, Jackson, Turkoglu, Christie",124-1444-1517-2045-57,SAC,2573.0,12,43.0,27.0,86.0,81.0,17.0,9.0,14.0,167.0,20.0,31.0,4.0,7.0,5.0,5.0,4.0,11.0,7.0,20.0,2.0,,11.0,31.0,62.0,13.0,21.0,95.0,68.0,8.0,13.0,,19.0,8.0,13.0,4.0,23.0,38.0,24.0,11.0,5.0,19.0,23.0,13.0,2.0,4.0,50.0,4.0,12.0,5.0,26.0,1.0,32.0,16.0,48.0,10.0,7.0,8.0,1.0,6.0,7.0,3.0,15.0,2.0,8.0,19.0,26.0,,12.0,1.0,5.0,1.0,5.0,4.0,76.0,23.0,17.0,1.0,0.6129032258064516,0.6551724137931034,0.5,0.6153846153846154,0.6153846153846154,0.49333333333333335,0.6153846153846154,0.59375,0.5523255813953488,0.6333333333333333,0.6388888888888888,0.17333333333333334,0.08064516129032258,0.0967741935483871,0.5333333333333333,1.0,0.7878787878787878,0.3870967741935484,0.8333333333333334,0.4444444444444444,0.7948717948717948,0.4,0.38461538461538464,,0.75,0.7777777777777778,0.8181818181818182,0.8,1.0,93.46288379323747,0.8,14.116279069767442,16.77777777777778,12.988372093023257,16.617283950617285,0.41333333333333333,0.6451612903225806,0.7142857142857143,0.65,0.14666666666666667,0.36363636363636365,0.4444444444444444,0.5,0.26666666666666666,0.35,0.35,0.5714285714285714,0.02666666666666667,0.14666666666666667,0.5384615384615384,0.5714285714285714,,0.3125,1.0,0.5866666666666667,0.5091193333333334,0.48475,0.457075,0.15294117647058825,0.16901408450704225,0.2,0.24210526315789474,6.887096774193548,24.476923076923075,0.19767441860465115,,3.0,3.0,,,,,0.1875,,3.0,3.0,1.0,1.0,0.18181818181818182,0.42857142857142855,0.08571428571428572,,4.0,0.36363636363636365,1.0,3.0,1.0,4.0,3.0,1.0,12.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,0.3076923076923077,0.3333333333333333,0.3076923076923077,0.5,0.5,0.5,1.0,0.2727272727272727,0.2727272727272727,1.0,0.3333333333333333,0.2727272727272727,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-2045-978,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Hedo Turkoglu, Peja Stojakovic","Divac, Funderburke, Jackson, Turkoglu, Stojakovic",124-1444-1517-2045-978,SAC,3376.0,15,56.0,24.0,105.0,106.0,29.0,23.0,19.0,211.0,25.0,36.0,7.0,7.0,5.0,7.0,5.0,15.0,10.0,30.0,10.0,1.0,6.0,40.0,81.0,16.0,22.0,123.0,99.0,12.0,17.0,2.0,35.0,11.0,22.0,11.0,42.0,40.0,40.0,6.0,5.0,20.0,27.0,13.0,,7.0,61.0,3.0,16.0,7.0,32.0,4.0,43.0,20.0,63.0,4.0,3.0,10.0,2.0,6.0,9.0,1.0,19.0,4.0,11.0,25.0,26.0,,9.0,5.0,4.0,1.0,4.0,3.0,88.0,42.0,29.0,3.0,0.5,0.5555555555555556,0.49382716049382713,0.7058823529411765,0.5,0.520618556701031,0.7894736842105263,0.5961538461538461,0.5747663551401869,0.8333333333333334,0.65625,0.16494845360824742,0.06172839506172839,0.05555555555555555,0.5263157894736842,0.8,0.7441860465116279,0.4,0.5833333333333334,0.3333333333333333,0.7090909090909091,0.3877551020408163,0.3684210526315789,0.5,0.8333333333333334,0.6470588235294118,0.8,0.5,0.6666666666666666,90.0,0.75,16.095238095238095,15.90566037735849,14.971428571428572,15.066037735849056,0.3711340206185567,0.6944444444444444,0.7352941176470589,0.52,0.15463917525773196,0.3333333333333333,0.38461538461538464,,0.30927835051546393,0.3333333333333333,0.3448275862068966,0.7,0.10309278350515463,0.061855670103092786,0.3684210526315789,1.0,0.05263157894736842,0.2692307692307692,0.7142857142857143,0.5360824742268041,0.4956139175257732,0.47554375,0.467825,0.09803921568627451,0.10588235294117647,0.2845528455284553,0.34146341463414637,8.298765432098765,24.1,0.2761904761904762,2.0,2.0,4.0,1.0,0.03333333333333333,0.3333333333333333,0.07692307692307693,0.07692307692307693,1.0,1.0,1.0,,2.0,0.13333333333333333,0.3,0.022727272727272728,0.05263157894736842,8.0,0.5454545454545454,4.0,3.0,2.0,7.0,5.0,3.0,21.0,3.0,7.0,3.0,4.0,4.0,2.0,4.0,5.0,1.0,,3.0,,1.0,0.4375,0.75,0.4375,,0.4,0.4,1.0,0.5,0.5,1.0,1.0,0.5,0.058823529411764705,1.0,1.0,1.0,2.0,1.0,0.2857142857142857,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-2222-57,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Gerald Wallace, Doug Christie","Divac, Funderburke, Jackson, Wallace, Christie",124-1444-1517-2222-57,SAC,277.0,1,5.0,12.0,10.0,10.0,6.0,5.0,1.0,20.0,3.0,5.0,,,2.0,3.0,2.0,2.0,2.0,2.0,,,,7.0,9.0,,,14.0,2.0,1.0,1.0,,2.0,5.0,6.0,,10.0,8.0,6.0,,,4.0,4.0,1.0,2.0,1.0,8.0,,,1.0,5.0,,6.0,1.0,7.0,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,2.0,,2.0,,,,,,12.0,10.0,6.0,,0.5714285714285714,0.5714285714285714,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,,,,,,0.8333333333333334,,1.0,,0.8571428571428571,,,,,1.0,0.6666666666666666,1.0,,103.97111913357402,,9.9,17.8,9.7,17.1,0.5555555555555556,0.6,0.6,0.3333333333333333,0.2222222222222222,1.0,1.0,1.0,0.2222222222222222,1.0,1.0,0.5,,,,,,0.5,0.6666666666666666,0.5555555555555556,0.5311111111111111,0.3109,0.5148,0.2222222222222222,0.2222222222222222,0.14285714285714285,0.7142857142857143,6.277777777777778,,0.6,,,,1.0,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1517-57-978,1610612758,"Vlade Divac, Lawrence Funderburke, Bobby Jackson, Doug Christie, Peja Stojakovic","Divac, Funderburke, Jackson, Christie, Stojakovic",124-1444-1517-57-978,SAC,789.0,6,13.0,,26.0,22.0,10.0,14.0,4.0,48.0,2.0,3.0,,,1.0,2.0,2.0,5.0,3.0,9.0,,,5.0,7.0,17.0,5.0,7.0,24.0,24.0,1.0,2.0,2.0,2.0,4.0,7.0,5.0,13.0,8.0,6.0,5.0,,4.0,5.0,1.0,1.0,2.0,11.0,1.0,3.0,1.0,6.0,,7.0,5.0,12.0,1.0,,2.0,,1.0,2.0,,4.0,1.0,3.0,6.0,11.0,3.0,2.0,2.0,2.0,1.0,2.0,,22.0,13.0,10.0,,0.5714285714285714,0.6666666666666666,0.4117647058823529,0.5,0.5714285714285714,0.38636363636363635,0.25,0.5714285714285714,0.40384615384615385,0.2,0.5555555555555556,0.22727272727272727,,,0.5,,0.5454545454545454,0.3333333333333333,0.5,0.3333333333333333,0.5384615384615384,0.3333333333333333,0.4,,0.3333333333333333,0.8,0.3333333333333333,0.5,,87.60456273764258,,15.692307692307692,17.318181818181817,13.961538461538462,16.272727272727273,0.13636363636363635,0.6666666666666666,0.6666666666666666,0.5,0.22727272727272727,0.4,0.4,0.5,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.22727272727272727,,,,0.2857142857142857,0.5,0.36363636363636365,0.42851136363636366,0.39781666666666665,0.41047142857142854,0.08333333333333333,0.10526315789473684,0.08333333333333333,0.5416666666666666,11.370588235294118,24.98,0.38461538461538464,,,,1.0,,0.5,,,2.0,,1.0,1.0,,,,,0.5,2.0,1.0,,1.0,,1.0,,,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,1.0,0.2,,0.2,0.3333333333333333,,,,0.2,0.2,1.0,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1710-2045-2222,1610612758,"Vlade Divac, Lawrence Funderburke, Mike Bibby, Hedo Turkoglu, Gerald Wallace","Divac, Funderburke, Bibby, Turkoglu, Wallace",124-1444-1710-2045-2222,SAC,115.0,1,2.0,4.0,4.0,4.0,,,,8.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,,6.0,2.0,,,,,,,,,2.0,4.0,1.0,,1.0,1.0,,,1.0,2.0,,,,2.0,,2.0,,2.0,,,,,,,,,,1.0,2.0,,,,,,,,,6.0,,,,0.3333333333333333,0.3333333333333333,1.0,,,0.75,,,0.75,,,0.25,,,,,1.0,,,,1.0,,,,,,1.0,,,100.17391304347825,,13.0,15.75,13.0,15.75,0.25,1.0,1.0,,0.25,1.0,1.0,,0.25,1.0,1.0,1.0,,0.25,,,,,,0.5,0.4454125,,,,,,,7.8999999999999995,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
124-1444-1710-2045-57,1610612758,"Vlade Divac, Lawrence Funderburke, Mike Bibby, Hedo Turkoglu, Doug Christie","Divac, Funderburke, Bibby, Turkoglu, Christie",124-1444-1710-2045-57,SAC,526.0,5,9.0,7.0,17.0,18.0,15.0,6.0,4.0,35.0,2.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,,,1.0,5.0,12.0,1.0,8.0,18.0,11.0,2.0,3.0,,6.0,3.0,9.0,8.0,14.0,2.0,8.0,1.0,1.0,1.0,1.0,,,1.0,2.0,,4.0,2.0,5.0,,7.0,4.0,11.0,2.0,2.0,3.0,,2.0,1.0,,4.0,3.0,1.0,4.0,11.0,1.0,5.0,1.0,,,,,12.0,14.0,15.0,,0.2,0.3333333333333333,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.38461538461538464,0.6666666666666666,0.3,0.5,0.75,0.4642857142857143,0.07692307692307693,0.08333333333333333,0.25,0.75,,1.0,0.5714285714285714,1.0,,1.0,0.5,,,,1.0,1.0,1.0,,95.81749049429656,,17.176470588235293,13.0,16.58823529411765,13.0,0.3076923076923077,0.5,0.6666666666666666,,0.3076923076923077,0.5,0.5,,0.3076923076923077,0.25,0.25,1.0,,0.07692307692307693,1.0,0.6666666666666666,,0.3,0.3333333333333333,0.38461538461538464,0.4361,0.5548000000000001,0.43766,0.3125,0.3333333333333333,0.3333333333333333,0.7777777777777778,9.008333333333333,26.8,0.8823529411764706,,1.0,1.0,,,,,0.1,,1.0,,,,,1.0,0.14285714285714285,,4.0,1.0,,,,,2.0,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2002,2001-02,False
