EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BlockedArc3,BlockedLongMidRange,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,HeaveAttempts,Arc3PctBlocked,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
1005-1509-1749-1883-1903,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Steve Francis, Kenny Thomas","Williams, Cato, Mobley, Francis, Thomas",1005-1509-1749-1883-1903,HOU,14691.0,20,245.0,39.0,472.0,471.0,41.0,53.0,56.0,943.0,87.0,127.0,23.0,33.0,6.0,9.0,33.0,96.0,81.0,175.0,2.0,10.0,2.0,1.0,1.0,11.0,33.0,3.0,5.0,1.0,2.0,201.0,398.0,13.0,43.0,87.0,528.0,489.0,34.0,55.0,3.0,7.0,7.0,84.0,19.0,29.0,2.0,3.0,12.0,56.0,228.0,174.0,27.0,12.0,34.0,33.0,11.0,35.0,114.0,9.0,123.0,7.0,2.0,45.0,12.0,57.0,255.0,8.0,59.0,2.0,39.0,122.0,8.0,169.0,69.0,238.0,2.0,43.0,25.0,18.0,23.0,13.0,17.0,35.0,4.0,6.0,7.0,58.0,3.0,3.0,48.0,88.0,5.0,6.0,107.0,15.0,6.0,53.0,5.0,16.0,1.0,12.0,1.0,4.0,17.0,9.0,3.0,1.0,9.0,444.0,56.0,41.0,2.0,0.5671641791044776,0.6195652173913043,0.6923076923076923,0.3023255813953488,0.42857142857142855,0.6666666666666666,0.3023255813953488,0.5050251256281407,0.6181818181818182,0.6551724137931034,0.5,0.6209677419354839,0.6875,0.5392561983471075,0.6461538461538462,0.717948717948718,0.09750566893424037,0.08793969849246232,0.16535433070866143,0.11458333333333333,0.017142857142857144,0.39655172413793105,0.7272727272727273,0.2,0.7393939393939394,0.29949238578680204,0.7222222222222222,0.26666666666666666,0.7351598173515982,0.29515418502202645,0.425,0.2857142857142857,0.2553191489361702,0.18181818181818182,0.5,0.7708333333333334,0.5757575757575758,0.7857142857142857,0.7027027027027027,0.7647058823529411,0.010416666666666666,92.43210128650195,0.5294117647058824,15.182203389830509,15.976645435244162,14.489406779661017,15.290870488322717,0.28798185941043086,0.6850393700787402,0.8207547169811321,0.5172413793103449,0.21768707482993196,0.34375,0.38823529411764707,0.36363636363636365,0.3968253968253968,0.46285714285714286,0.47093023255813954,0.7037037037037037,0.022675736961451247,0.2,0.2,1.0,0.07482993197278912,0.3333333333333333,0.3333333333333333,0.6363636363636364,0.532258064516129,0.696969696969697,0.2608695652173913,0.03225806451612903,0.08064516129032258,0.6,0.3333333333333333,0.28125,0.6666666666666666,0.03125,1.0,0.0625,0.5,0.3854875283446712,0.3333333333333333,0.4787214772727273,0.5111336363636364,0.4556640625,0.11064718162839249,0.12155963302752294,0.1590909090909091,0.10606060606060606,9.95175879396985,25.206976744186047,0.08686440677966102,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-1883-2204,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Steve Francis, Eddie Griffin","Williams, Cato, Mobley, Francis, Griffin",1005-1509-1749-1883-2204,HOU,687.0,5,11.0,9.0,22.0,23.0,9.0,2.0,4.0,45.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,9.0,1.0,1.0,,,,1.0,2.0,,,,1.0,9.0,18.0,2.0,3.0,3.0,27.0,18.0,3.0,3.0,,,1.0,7.0,4.0,9.0,,1.0,1.0,9.0,6.0,12.0,6.0,,4.0,2.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,,,3.0,12.0,1.0,3.0,,1.0,10.0,1.0,12.0,4.0,16.0,,2.0,2.0,,3.0,,1.0,,,2.0,,3.0,,1.0,2.0,5.0,,,3.0,1.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,,20.0,9.0,9.0,,0.3333333333333333,0.42857142857142855,1.0,0.6666666666666666,,,0.6666666666666666,0.5,1.0,0.4444444444444444,0.5714285714285714,1.0,0.4,0.6136363636363636,1.1666666666666667,0.45,0.14285714285714285,0.1111111111111111,0.2,0.25,,1.0,1.0,,0.9090909090909091,0.3333333333333333,1.0,1.0,0.9166666666666666,0.4,0.5,,0.4,1.0,,1.0,1.0,0.8571428571428571,1.0,,,94.3231441048035,1.0,14.318181818181818,16.17391304347826,13.863636363636363,16.17391304347826,0.23809523809523808,0.6,0.75,,0.19047619047619047,0.5,0.6666666666666666,,0.42857142857142855,0.4444444444444444,0.4444444444444444,0.75,0.047619047619047616,1.0,1.0,1.0,0.09523809523809523,0.5,0.5,1.0,0.6666666666666666,1.0,,,,,,0.2,1.0,,,0.1,,0.38095238095238093,0.5,0.4658761904761905,0.4947,0.438115,0.09090909090909091,0.10526315789473684,0.25925925925925924,0.3333333333333333,10.838888888888889,24.566666666666666,0.4090909090909091,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-1883-2242,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Steve Francis, Terence Morris","Williams, Cato, Mobley, Francis, Morris",1005-1509-1749-1883-2242,HOU,651.0,3,11.0,-15.0,20.0,22.0,5.0,5.0,3.0,42.0,2.0,5.0,,2.0,1.0,3.0,4.0,7.0,1.0,3.0,,,,,,,2.0,,,,,7.0,15.0,,2.0,5.0,19.0,34.0,,3.0,,,1.0,1.0,2.0,6.0,,,,4.0,6.0,8.0,,,,2.0,,1.0,3.0,,3.0,,,,2.0,1.0,6.0,1.0,3.0,,1.0,1.0,,2.0,4.0,6.0,,1.0,1.0,,3.0,,1.0,1.0,,2.0,,4.0,,1.0,2.0,5.0,,1.0,6.0,,,3.0,,2.0,,1.0,,1.0,2.0,,,,,18.0,4.0,5.0,,0.42857142857142855,0.42857142857142855,,,,,,0.4666666666666667,,0.3333333333333333,0.4117647058823529,,0.3333333333333333,0.475,0.125,0.3333333333333333,0.11764705882352941,0.06666666666666667,0.2,,,0.75,,,0.3333333333333333,0.42857142857142855,1.0,0.5,0.5,0.4444444444444444,0.5,0.3333333333333333,0.5,0.5,,,,1.0,1.0,,,92.90322580645162,,17.4,13.772727272727273,15.85,13.318181818181818,0.29411764705882354,0.4,0.5,,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,,,,,0.11764705882352941,,,,0.6666666666666666,,,,,,,0.5,0.3333333333333333,,,,,0.4117647058823529,,0.4704264705882353,0.4718,0.5028666666666667,0.15,0.16666666666666666,0.05263157894736842,0.21052631578947367,8.8,25.95,0.25,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-1883-779,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Steve Francis, Glen Rice","Williams, Cato, Mobley, Francis, Rice",1005-1509-1749-1883-779,HOU,627.0,2,10.0,7.0,21.0,19.0,,,4.0,40.0,6.0,8.0,2.0,2.0,,,,,4.0,8.0,,1.0,,,,,1.0,,,,,10.0,16.0,,2.0,5.0,25.0,18.0,3.0,3.0,,,,6.0,,,,,,,12.0,8.0,,,4.0,1.0,,1.0,6.0,,6.0,,,3.0,,3.0,12.0,1.0,3.0,,2.0,4.0,,6.0,4.0,10.0,,2.0,2.0,,3.0,,2.0,2.0,,1.0,,5.0,1.0,,1.0,6.0,,2.0,5.0,1.0,,3.0,,,,,,,,,,,,19.0,,,,0.6,0.75,,,,,,0.625,1.0,,0.5555555555555556,1.0,,0.625,1.0,,0.1111111111111111,0.0625,0.125,,,0.6,,,0.8,0.5,0.6666666666666666,0.5,0.75,0.5,0.5,,0.5,1.0,,0.6666666666666666,1.0,,1.0,0.5,,91.86602870813398,,14.238095238095237,17.263157894736842,13.476190476190476,16.42105263157895,0.4444444444444444,0.75,0.8571428571428571,0.5,,,,,0.4444444444444444,0.5,0.5,0.75,0.05555555555555555,,,,0.05555555555555555,,,,0.6666666666666666,1.0,,,,,,,,,,,,0.5555555555555556,,0.5003777777777778,0.54585,,0.15,0.16666666666666666,0.24,,8.56875,24.3,,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-1883-983,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Steve Francis, Moochie Norris","Williams, Cato, Mobley, Francis, Norris",1005-1509-1749-1883-983,HOU,325.0,2,5.0,2.0,12.0,12.0,11.0,10.0,1.0,24.0,1.0,1.0,,,1.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,3.0,5.0,,,7.0,13.0,11.0,,,,,,,3.0,4.0,,,7.0,13.0,2.0,4.0,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,1.0,,3.0,3.0,,6.0,1.0,7.0,,,,,,,,2.0,,,1.0,2.0,1.0,2.0,1.0,3.0,,1.0,11.0,,1.0,1.0,4.0,1.0,1.0,1.0,,,2.0,1.0,,,,13.0,13.0,11.0,,0.3333333333333333,0.3333333333333333,,,,,,0.6,,0.75,0.6,,0.75,0.6,,0.6666666666666666,,0.2,,,1.0,,,,0.6,0.5,1.0,,0.75,0.5,,,1.0,,,0.3333333333333333,1.0,1.0,1.0,,,106.33846153846153,0.5,12.916666666666666,14.166666666666666,12.916666666666666,13.25,0.2,1.0,1.0,,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,,,,,,,,,,,,,,,,,,,0.25,1.0,,,,,0.2,,0.367,,0.358675,0.16666666666666666,0.16666666666666666,,1.0,8.379999999999999,,0.9166666666666666,1.0,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-1903-2357,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Kenny Thomas, Tierre Brown","Williams, Cato, Mobley, Thomas, Brown",1005-1509-1749-1903-2357,HOU,448.0,1,7.0,-1.0,14.0,14.0,,9.0,2.0,28.0,2.0,4.0,2.0,3.0,,,4.0,6.0,2.0,3.0,,,,,,,1.0,,,,,8.0,13.0,,1.0,1.0,17.0,18.0,2.0,3.0,,,,4.0,,,,,,,12.0,4.0,,,4.0,1.0,,,6.0,,6.0,,,,4.0,2.0,12.0,,3.0,,,4.0,2.0,6.0,3.0,9.0,,,,,1.0,,1.0,1.0,,,,2.0,,,2.0,7.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,13.0,,,1.0,0.75,1.0,,,,,,0.6153846153846154,0.6666666666666666,,0.5714285714285714,0.6666666666666666,,0.5666666666666667,0.6666666666666666,,0.07142857142857142,,,,,0.5,1.0,,0.5714285714285714,0.6,,,0.5714285714285714,0.5,1.0,0.5,,,,1.0,,0.75,,,,90.0,,14.642857142857142,17.357142857142858,14.357142857142858,16.285714285714285,0.2857142857142857,0.5,0.5,,0.42857142857142855,0.6666666666666666,0.6666666666666666,1.0,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,,,,,0.07142857142857142,,,,1.0,0.6666666666666666,,,,,,,,,,,,0.35714285714285715,,0.4419071428571429,0.5408000000000001,,0.06666666666666667,0.07142857142857142,0.23529411764705882,,8.276923076923076,24.4,,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-1903-983,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Kenny Thomas, Moochie Norris","Williams, Cato, Mobley, Thomas, Norris",1005-1509-1749-1903-983,HOU,5452.0,8,91.0,-15.0,154.0,157.0,7.0,22.0,21.0,311.0,30.0,45.0,6.0,12.0,1.0,3.0,12.0,40.0,28.0,62.0,,1.0,,,,6.0,11.0,1.0,2.0,,,70.0,147.0,6.0,12.0,18.0,176.0,191.0,10.0,26.0,1.0,2.0,5.0,28.0,2.0,9.0,,,4.0,8.0,72.0,68.0,18.0,,10.0,11.0,6.0,12.0,36.0,6.0,42.0,6.0,,17.0,4.0,15.0,90.0,3.0,29.0,1.0,8.0,34.0,5.0,47.0,33.0,80.0,6.0,11.0,6.0,5.0,8.0,4.0,4.0,11.0,,4.0,1.0,19.0,2.0,1.0,21.0,40.0,3.0,3.0,24.0,2.0,,12.0,1.0,17.0,,9.0,,7.0,17.0,5.0,,2.0,1.0,148.0,8.0,7.0,2.0,0.5142857142857142,0.5538461538461539,1.0,0.5,0.5,,0.5,0.47619047619047616,0.38461538461538464,0.2222222222222222,0.4968553459119497,0.4107142857142857,0.2222222222222222,0.5176470588235295,0.4375,0.3333333333333333,0.07547169811320754,0.08163265306122448,0.08888888888888889,0.2,,0.42105263157894735,0.7142857142857143,0.5,0.5666666666666667,0.37662337662337664,0.6153846153846154,0.5,0.5753424657534246,0.3855421686746988,0.5333333333333333,0.32142857142857145,0.35294117647058826,0.6,,0.4,0.4444444444444444,0.7407407407407407,0.5714285714285714,0.6666666666666666,0.08450704225352113,82.14233308877476,0.29411764705882354,16.66883116883117,18.37579617834395,15.558441558441558,16.694267515923567,0.2830188679245283,0.6666666666666666,0.7317073170731707,0.5666666666666667,0.25157232704402516,0.3,0.375,0.3333333333333333,0.389937106918239,0.45161290322580644,0.45161290322580644,0.5357142857142857,0.006289308176100629,,,,0.06918238993710692,0.5454545454545454,0.5454545454545454,1.0,0.42857142857142855,0.5,0.16666666666666666,,0.07142857142857142,0.5,1.0,0.3333333333333333,0.3333333333333333,,,,,0.3584905660377358,0.5454545454545454,0.4624172955974843,0.49169444444444443,0.4095111111111111,0.07100591715976332,0.07643312101910828,0.1590909090909091,0.045454545454545456,9.891156462585034,25.09166666666667,0.045454545454545456,,1.0,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-2204-2357,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Eddie Griffin, Tierre Brown","Williams, Cato, Mobley, Griffin, Brown",1005-1509-1749-2204-2357,HOU,137.0,1,2.0,4.0,5.0,4.0,,,1.0,9.0,1.0,1.0,1.0,1.0,,,,3.0,,,,,,,,1.0,1.0,,,,,1.0,4.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,,,,2.0,,,,,,,,2.0,3.0,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,3.0,,1.0,,1.0,1.0,,2.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,4.0,,,,,,1.0,1.0,,,1.0,0.25,1.0,,0.5,1.0,,0.5,1.0,,0.2,,,,,,,,1.0,0.3333333333333333,1.0,,1.0,0.3333333333333333,,0.3333333333333333,,,,,,1.0,1.0,,,94.59854014598541,,15.8,14.5,15.6,14.5,0.2,1.0,1.0,,0.6,,,,,,,,,,,,0.2,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,0.4,1.0,0.44973,0.5388,,0.3333333333333333,0.4,0.3333333333333333,,8.15,25.6,,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-2204-983,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Eddie Griffin, Moochie Norris","Williams, Cato, Mobley, Griffin, Norris",1005-1509-1749-2204-983,HOU,4938.0,7,82.0,5.0,150.0,150.0,41.0,31.0,18.0,300.0,24.0,42.0,2.0,5.0,12.0,17.0,18.0,37.0,26.0,47.0,1.0,2.0,,1.0,2.0,9.0,19.0,3.0,5.0,2.0,8.0,68.0,126.0,10.0,21.0,19.0,185.0,180.0,5.0,12.0,3.0,5.0,3.0,22.0,20.0,34.0,3.0,10.0,6.0,55.0,70.0,66.0,18.0,12.0,4.0,19.0,9.0,11.0,35.0,6.0,41.0,5.0,1.0,12.0,11.0,12.0,88.0,2.0,17.0,,16.0,28.0,2.0,46.0,19.0,65.0,1.0,11.0,7.0,4.0,,1.0,,8.0,1.0,,,8.0,,2.0,19.0,36.0,5.0,4.0,28.0,,,11.0,3.0,7.0,,5.0,,2.0,7.0,3.0,,1.0,,163.0,55.0,41.0,4.0,0.5147058823529411,0.5303030303030303,0.6,0.47619047619047616,0.6,0.3,0.47619047619047616,0.5396825396825397,0.4166666666666667,0.5882352941176471,0.564625850340136,0.5588235294117647,0.5568181818181818,0.5745341614906833,0.5789473684210527,0.5851063829787234,0.14285714285714285,0.0873015873015873,0.14285714285714285,0.10810810810810811,0.02127659574468085,,0.6666666666666666,,0.5833333333333334,0.29310344827586204,0.7272727272727273,0.2,0.6285714285714286,0.27941176470588236,0.2777777777777778,0.3684210526315789,0.23809523809523808,0.1111111111111111,1.0,0.4375,0.6875,0.625,0.8,0.5714285714285714,0.017543859649122806,87.48481166464155,0.42857142857142855,14.78,18.14,14.253333333333334,16.973333333333333,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.5,0.25170068027210885,0.4864864864864865,0.5454545454545454,0.6111111111111112,0.3197278911564626,0.5531914893617021,0.5652173913043478,0.46153846153846156,0.013605442176870748,0.5,0.5,1.0,0.1292517006802721,0.47368421052631576,0.47368421052631576,0.5555555555555556,0.29411764705882354,0.4,,,0.29411764705882354,0.6,0.3333333333333333,0.38636363636363635,0.7058823529411765,0.045454545454545456,0.5,0.18181818181818182,0.25,0.42857142857142855,0.47368421052631576,0.4758643835616439,0.49028125,0.5009720930232557,0.06962025316455696,0.08029197080291971,0.11891891891891893,0.2972972972972973,9.046825396825398,25.885714285714286,0.2733333333333333,,,,,,,,,,,,,,1610612745,2002,2001-02,True
1005-1509-1749-2242-983,1610612745,"Walt Williams, Kelvin Cato, Cuttino Mobley, Terence Morris, Moochie Norris","Williams, Cato, Mobley, Morris, Norris",1005-1509-1749-2242-983,HOU,95.0,2,2.0,3.0,4.0,2.0,1.0,,2.0,6.0,,,,,,,,,1.0,4.0,,1.0,1.0,,,,,,,,,1.0,4.0,,1.0,1.0,3.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,2.0,2.0,,,,,,,,1.0,,1.0,,,,,1.0,2.0,1.0,1.0,,1.0,1.0,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,2.0,2.0,1.0,,1.0,1.0,,,,,,0.25,,1.0,0.2,,1.0,0.25,0.16666666666666666,1.0,0.2,,,,,,,,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,,,0.3333333333333333,,1.0,1.0,,,,1.0,,90.94736842105263,,9.0,29.5,4.0,20.0,,,,,,,,,0.8,0.25,0.25,1.0,0.2,,,,,,,,,,,0.5,,,,,,,,,,0.2,,0.42374999999999996,0.64215,0.1913,,,0.3333333333333333,0.6666666666666666,17.775,22.9,0.25,,,,,,,,,,,,,,1610612745,2002,2001-02,True
