EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,FG2M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,NonShootingFoulsDrawn,FTDefRebounds,DeadBallTurnovers,ShootingFouls,Offensive Fouls,DefFTReboundPct,PenaltyAtRimFGM,PenaltyFG2M,PtsUnassisted2s,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,PenaltyFg2Pct,PenaltyAtRimAccuracy,Fg2aBlocked,FG2APctBlocked,ShortMidRangePctBlocked,DefShortMidRangeReboundPct,PtsPutbacks,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,NonShootingPenaltyNonTakeFouls,ShortMidRangeFGM,PtsUnassisted3s,ShortMidRangeAssists,LostBallSteals,Loose Ball Fouls,Technical Free Throw Trips,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3FGM,SecondChanceCorner3FGA,Corner3Assists,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,ThreePtShootingFoulsDrawn,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,DefCorner3ReboundPct,OffCorner3ReboundPct,HeaveMakes,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
1723-1952-2049-243-934,1610612755,"Matt Harpring, Raja Bell, Speedy Claxton, Aaron McKie, Derrick Coleman","Harpring, Bell, Claxton, McKie, Coleman",1723-1952-2049-243-934,PHI,171.0,1,3.0,-4.0,5.0,5.0,5.0,5.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,7.0,1.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3,1.5,0.3,0.3,1.5,0.3,0.6,1.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,84.21052631578947,24.0,10.2,21.0,10.2,0.2,0.2,0.2,0.4,0.5,0.5,1.0,1.0,1.0,1.0,0.2,0.2,0.4,0.5,0.8,0.5,0.47077,0.4917,0.47077,1.0,1.0,11.95,24.333333333333332,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-2049-243-365-87,1610612755,"Matt Harpring, Speedy Claxton, Aaron McKie, Derrick McKey, Dikembe Mutombo","Harpring, Claxton, McKie, McKey, Mutombo",1723-2049-243-365-87,PHI,303.0,1,5.0,1.0,9.0,9.0,,,1.0,18.0,2.0,,2.0,,,1.0,2.0,,,,,5.0,1.0,2.0,9.0,8.0,,,3.0,,,,,3.0,2.0,1.0,1.0,3.0,1.0,7.0,,2.0,,2.0,1.0,3.0,,,1.0,0.5,,,0.5,0.5,1.0,,0.5625,1.5,,0.2857142857142857,,,1.0,0.6666666666666666,0.25,,,1.0,85.54455445544555,17.333333333333332,16.333333333333332,16.333333333333332,16.0,0.2857142857142857,0.2857142857142857,,0.2857142857142857,0.5,0.5,1.0,,,,,,,,0.5714285714285714,0.5,0.4986642857142857,,,0.3333333333333333,,9.28,26.5,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,6.0,1.0,1.0,0.4,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.14285714285714285,0.5,0.5,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-2049-243-727-916,1610612755,"Matt Harpring, Speedy Claxton, Aaron McKie, Eric Snow, Corie Blount","Harpring, Claxton, McKie, Snow, Blount",1723-2049-243-727-916,PHI,8.0,1,,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,180.0,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-2049-243-87-947,1610612755,"Matt Harpring, Speedy Claxton, Aaron McKie, Dikembe Mutombo, Allen Iverson","Harpring, Claxton, McKie, Mutombo, Iverson",1723-2049-243-87-947,PHI,147.0,1,2.0,-11.0,6.0,6.0,,,,12.0,,,,,,,2.0,,,,,,,2.0,,11.0,,,,,,,,,2.0,,,,,,,,1.0,2.0,,2.0,,,,,,,,,,,,,,1.0,0.3333333333333333,,,0.3333333333333333,,,0.5,,117.55102040816325,14.5,10.0,14.5,9.5,,,,1.0,,,,,,,,,,,1.0,,0.57705,,,,,,25.4,,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,4.0,3.0,,,,,,,,,0.75,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-2049-243-934-947,1610612755,"Matt Harpring, Speedy Claxton, Aaron McKie, Derrick Coleman, Allen Iverson","Harpring, Claxton, McKie, Coleman, Iverson",1723-2049-243-934-947,PHI,73.0,1,1.0,,2.0,1.0,2.0,1.0,,3.0,1.0,1.0,,,,,,,,,,1.0,,,2.0,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,59.178082191780824,19.5,34.0,19.5,29.0,1.0,,,,,,,,,,1.0,,,,1.0,,0.4681,,0.4681,,1.0,1.6,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-2049-727-87-934,1610612755,"Matt Harpring, Speedy Claxton, Eric Snow, Dikembe Mutombo, Derrick Coleman","Harpring, Claxton, Snow, Mutombo, Coleman",1723-2049-727-87-934,PHI,19.0,1,,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,151.57894736842107,17.0,2.0,17.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-243-727-87-916,1610612755,"Matt Harpring, Aaron McKie, Eric Snow, Dikembe Mutombo, Corie Blount","Harpring, McKie, Snow, Mutombo, Blount",1723-243-727-87-916,PHI,93.0,1,2.0,,3.0,3.0,,1.0,,6.0,2.0,,,,,,,,,,,2.0,,,4.0,4.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,92.90322580645162,15.666666666666666,15.333333333333334,15.666666666666666,15.333333333333334,1.0,,,,,,,,,,,,,,1.0,,0.59305,,,,,1.3,,,2.0,,,,,2.0,,,,,2.0,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,4.0,0.5,0.5,1.0,,1.0,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-243-727-87-934,1610612755,"Matt Harpring, Aaron McKie, Eric Snow, Dikembe Mutombo, Derrick Coleman","Harpring, McKie, Snow, Mutombo, Coleman",1723-243-727-87-934,PHI,114.0,1,2.0,-7.0,4.0,4.0,,,,8.0,,,1.0,,,,1.0,,,,,2.0,,1.0,,7.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,0.3333333333333333,1.0,,,1.0,,,,,101.05263157894737,17.25,11.25,17.25,11.25,,0.3333333333333333,,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.48056666666666664,,,,,10.45,25.3,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-243-727-87-947,1610612755,"Matt Harpring, Aaron McKie, Eric Snow, Dikembe Mutombo, Allen Iverson","Harpring, McKie, Snow, Mutombo, Iverson",1723-243-727-87-947,PHI,146.0,2,2.0,3.0,6.0,5.0,,5.0,1.0,11.0,2.0,,1.0,,,1.0,1.0,,,,,4.0,1.0,1.0,5.0,2.0,,,2.0,,,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,5.0,,,1.0,1.0,,,1.0,0.5,1.0,,0.5,1.0,,0.2,0.6,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.0,0.5,1.0,108.49315068493152,10.166666666666666,17.0,10.0,15.6,0.4,0.2,,0.2,1.0,1.0,1.0,,,,,,,,0.6,1.0,0.50827,0.7496,,0.4,,7.2,25.4,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,2.0,,2.0,2.0,,,,,3.0,,,0.25,1.0,1.0,,,0.5,0.5,,0.2,,,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
1723-243-727-916-947,1610612755,"Matt Harpring, Aaron McKie, Eric Snow, Corie Blount, Allen Iverson","Harpring, McKie, Snow, Blount, Iverson",1723-243-727-916-947,PHI,17.0,1,,-1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2002,2001-02,True
