EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,AtRimFGA,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,FtPoints,Points,OpponentPoints,NonHeaveArc3FGA,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,PenaltyOffPoss,SecondChanceOffPoss,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,SecondChanceTsPct,PenaltyTsPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,PenaltyDefPoss,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,FG2M,FG3M,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,AtRimAssists,PenaltyTurnovers,2pt And 1 Free Throw Trips,DefensiveGoaltends,PenaltyFg3Pct,OffCorner3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallSteals,Loose Ball Fouls,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Corner3FGM,HeaveAttempts,Corner3Assists,BlockedShortMidRange,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,SecondChanceAtRimPctAssisted,Fg3aBlocked,BlockedLongMidRange,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,Clear Path Fouls,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,Corner3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1088-1112-1442-1630-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Mikki Moore, Jon Barry","Atkins, Wallace, Rebraca, Moore, Barry",1088-1112-1442-1630-468,DET,155.0,1,3.0,6.0,6.0,12.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,0.4,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,111.48387096774194,11.833333333333334,14.0,11.833333333333334,14.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5387000000000001,0.4,0.5,4.05,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-2073-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Brian Cardinal, Jon Barry","Atkins, Wallace, Rebraca, Cardinal, Barry",1088-1112-1442-2073-468,DET,6.0,1,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,1.0,,0.5,,,,,,,,240.0,6.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-2206-468,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Rodney White, Jon Barry","Atkins, Wallace, Rebraca, White, Barry",1088-1112-1442-2206-468,DET,1159.0,4,19.0,33.0,35.0,68.0,12.0,5.0,6.0,24.0,7.0,2.0,21.0,43.0,6.0,4.0,6.0,10.0,18.0,3.0,3.0,2.0,5.0,9.0,5.0,10.0,4.0,2.0,13.0,0.3181818181818182,0.22580645161290322,0.16666666666666666,0.25,,0.6666666666666666,0.5833333333333334,0.6666666666666666,84.48662640207075,19.575757575757574,14.657142857142857,18.181818181818183,12.971428571428572,0.3870967741935484,0.16129032258064516,0.1935483870967742,0.6129032258064516,0.48840322580645157,0.06060606060606061,0.07692307692307693,7.1625000000000005,26.071428571428573,-22.0,1.0,8.0,,8.0,,2.0,2.0,1.0,0.8,0.5,0.38095238095238093,0.09523809523809523,0.030303030303030304,4.0,4.0,4.0,5.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,8.0,1.0,4.0,5.0,1.0,2.0,8.0,8.0,3.0,8.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,11.0,2.0,6.0,1.0,3.0,8.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.8,0.5,0.3064516129032258,0.8,0.5,0.14285714285714285,0.4444444444444444,1.0,0.375,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.625,0.2,0.4,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.1111111111111111,1.0,0.3333333333333333,0.4444444444444444,0.4,0.4,1.0,0.22580645161290322,0.2857142857142857,0.3333333333333333,1.0,0.03225806451612903,0.16666666666666666,0.16666666666666666,1.0,1.0,0.8,1.0,0.5,0.16666666666666666,0.54814,0.4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-2206-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Rodney White, Corliss Williamson","Atkins, Wallace, Rebraca, White, Williamson",1088-1112-1442-2206-722,DET,159.0,1,3.0,4.0,4.0,8.0,,1.0,2.0,2.0,2.0,,7.0,6.0,2.0,,1.0,1.0,1.0,,,,,,,1.0,,,7.0,0.875,0.5,,,,1.0,1.0,,72.45283018867924,21.25,18.5,21.25,18.5,,0.25,0.5,0.5,0.368625,,,12.35,25.95,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,2.0,1.0,,,,,4.0,,3.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,1.0,,,0.875,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,0.25,1.0,1.0,1.0,,0.5,0.5,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-361-711,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Clifford Robinson, Jerry Stackhouse","Atkins, Wallace, Rebraca, Robinson, Stackhouse",1088-1112-1442-361-711,DET,116.0,2,2.0,3.0,4.0,7.0,2.0,,,3.0,,,2.0,2.0,,1.0,1.0,1.0,2.0,,,,1.0,1.0,1.0,2.0,,,,0.3333333333333333,,0.3333333333333333,0.5,,0.5,0.5,,86.89655172413794,17.666666666666668,15.75,14.333333333333334,13.5,0.6666666666666666,,,0.6666666666666666,0.5008,,,7.766666666666667,,,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,0.3333333333333333,,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,,,,,0.5,,,0.5,,1.0,,,0.5,,,,0.5,1.0,,,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,,,0.5749,0.4907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-361-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Clifford Robinson, Corliss Williamson","Atkins, Wallace, Rebraca, Robinson, Williamson",1088-1112-1442-361-722,DET,30.0,1,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,48.0,,16.0,,16.0,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-468-688,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Michael Curry","Atkins, Wallace, Rebraca, Barry, Curry",1088-1112-1442-468-688,DET,1447.0,7,24.0,44.0,44.0,88.0,10.0,7.0,6.0,33.0,8.0,13.0,55.0,42.0,6.0,6.0,13.0,21.0,30.0,2.0,2.0,,2.0,4.0,6.0,12.0,17.0,9.0,47.0,0.5612244897959183,0.1951219512195122,0.18181818181818182,0.3,0.42857142857142855,0.8125,0.8260869565217391,1.0,87.57429163787145,15.818181818181818,17.068181818181817,14.840909090909092,16.386363636363637,0.24390243902439024,0.17073170731707318,0.14634146341463414,0.43902439024390244,0.46693902439024393,0.1836734693877551,0.21951219512195122,10.542424242424241,26.025,13.0,17.0,8.0,4.0,8.0,4.0,19.0,19.0,17.0,0.5714285714285714,0.5588235294117647,0.14545454545454545,0.34545454545454546,0.38636363636363635,23.0,5.0,1.0,2.0,4.0,7.0,4.0,6.0,16.0,2.0,4.0,15.0,4.0,2.0,4.0,6.0,12.0,18.0,12.0,9.0,4.0,4.0,9.0,3.0,12.0,3.0,4.0,2.0,27.0,1.0,8.0,6.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,0.6,0.6923076923076923,0.75,0.5,0.5,0.45454545454545453,0.5,0.5,0.5121951219512195,0.5,0.5357142857142857,,0.5,1.0,0.4444444444444444,0.8571428571428571,0.25,0.4090909090909091,0.6,0.5,,0.5,0.8,1.0,0.0625,1.0,0.5,0.7142857142857143,0.5714285714285714,1.0,1.0,0.3902439024390244,0.375,0.375,0.3333333333333333,0.04878048780487805,0.6666666666666666,0.6666666666666666,0.75,0.5,0.5,0.5,0.5714285714285714,0.6666666666666666,0.4227666666666667,0.51085,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6,0.14285714285714285,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-468-711,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Jerry Stackhouse","Atkins, Wallace, Rebraca, Barry, Stackhouse",1088-1112-1442-468-711,DET,2637.0,17,44.0,85.0,83.0,168.0,26.0,19.0,9.0,67.0,11.0,14.0,85.0,90.0,9.0,4.0,14.0,20.0,36.0,10.0,8.0,1.0,8.0,16.0,6.0,24.0,17.0,8.0,70.0,0.4941860465116279,0.14102564102564102,0.05970149253731343,0.07692307692307693,0.10526315789473684,0.7777777777777778,0.76,0.6666666666666666,91.74061433447099,16.341176470588234,15.036144578313253,15.470588235294118,14.493975903614459,0.3333333333333333,0.24358974358974358,0.11538461538461539,0.47435897435897434,0.4676160256410256,0.09411764705882353,0.10810810810810811,8.285074626865672,25.763636363636362,-5.0,38.0,15.0,4.0,15.0,4.0,39.0,39.0,38.0,0.5769230769230769,0.527027027027027,0.17647058823529413,0.4588235294117647,0.4470588235294118,38.0,15.0,3.0,6.0,7.0,13.0,9.0,4.0,22.0,2.0,5.0,28.0,5.0,4.0,10.0,13.0,28.0,32.0,24.0,12.0,4.0,5.0,16.0,4.0,20.0,4.0,6.0,2.0,44.0,2.0,14.0,5.0,1.0,16.0,2.0,8.0,5.0,,3.0,,3.0,3.0,2.0,2.0,3.0,2.0,6.0,0.5714285714285714,0.6153846153846154,0.8,0.45454545454545453,0.45454545454545453,0.417910447761194,0.4,0.4642857142857143,0.4551282051282051,0.5,0.5147058823529411,,0.5,0.5,0.3783783783783784,0.7142857142857143,0.4,0.38095238095238093,0.4,0.2777777777777778,0.3333333333333333,1.0,0.7142857142857143,0.75,0.05128205128205128,0.6666666666666666,0.5769230769230769,0.625,0.47368421052631576,0.5294117647058824,0.6666666666666666,0.28205128205128205,0.18181818181818182,0.18181818181818182,0.5,0.02564102564102564,0.5555555555555556,0.5555555555555556,0.8,0.5454545454545454,0.5,0.38235294117647056,0.5384615384615384,0.5555555555555556,0.52952,0.48575882352941174,3.0,5.0,3.0,6.0,3.0,8.0,6.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.5333333333333333,0.14705882352941177,0.6,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.09090909090909091,1.0,1.0,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-468-722,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Jon Barry, Corliss Williamson","Atkins, Wallace, Rebraca, Barry, Williamson",1088-1112-1442-468-722,DET,4361.0,25,73.0,128.0,132.0,260.0,36.0,20.0,15.0,102.0,17.0,28.0,135.0,138.0,14.0,12.0,35.0,40.0,62.0,13.0,7.0,2.0,8.0,16.0,10.0,24.0,40.0,18.0,109.0,0.4927007299270073,0.14285714285714285,0.11764705882352941,0.2222222222222222,0.2,0.6481481481481481,0.6,0.8235294117647058,85.8518688374226,17.4609375,16.106060606060606,16.390625,15.181818181818182,0.3025210084033613,0.16806722689075632,0.12605042016806722,0.44537815126050423,0.4681974576271187,0.13533834586466165,0.15517241379310345,9.713725490196078,27.22941176470588,-3.0,29.0,21.0,6.0,26.0,9.0,31.0,31.0,29.0,0.6842105263157895,0.5,0.1925925925925926,0.22962962962962963,0.2265625,48.0,20.0,6.0,7.0,6.0,9.0,6.0,20.0,46.0,2.0,3.0,46.0,5.0,10.0,14.0,11.0,22.0,50.0,42.0,12.0,10.0,3.0,25.0,4.0,29.0,2.0,3.0,15.0,62.0,1.0,21.0,4.0,1.0,22.0,3.0,8.0,4.0,,4.0,1.0,3.0,2.0,9.0,4.0,9.0,4.0,3.0,0.5434782608695652,0.6097560975609756,0.8,0.29411764705882354,0.3125,0.45098039215686275,0.7142857142857143,0.5,0.4495798319327731,0.625,0.4230769230769231,,0.5,1.0,0.3888888888888889,0.36363636363636365,0.09090909090909091,0.3384615384615385,0.5333333333333333,0.36,0.09090909090909091,0.5333333333333333,0.5909090909090909,0.5,0.05555555555555555,0.4444444444444444,0.5555555555555556,0.7142857142857143,0.3,0.375,0.5,0.3865546218487395,0.43478260869565216,0.43478260869565216,0.75,0.01680672268907563,0.2,0.2,0.6666666666666666,0.4375,0.8571428571428571,0.34615384615384615,0.6666666666666666,0.21428571428571427,0.478353125,0.490502,,4.0,,4.0,3.0,7.0,1.0,4.0,,,,0.2,0.35,0.15384615384615385,,,,2.0,,2.0,6.0,2.0,4.0,,,,0.2857142857142857,0.125,,,,2.0,1.0,2.0,5.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
1088-1112-1442-688-711,1610612765,"Chucky Atkins, Ben Wallace, Zeljko Rebraca, Michael Curry, Jerry Stackhouse","Atkins, Wallace, Rebraca, Curry, Stackhouse",1088-1112-1442-688-711,DET,2738.0,16,46.0,81.0,80.0,161.0,25.0,22.0,9.0,65.0,10.0,13.0,79.0,71.0,9.0,6.0,27.0,33.0,45.0,6.0,3.0,2.0,5.0,10.0,11.0,20.0,17.0,6.0,67.0,0.47560975609756095,0.13333333333333333,0.09230769230769231,0.12,0.045454545454545456,0.8181818181818182,0.8048780487804879,0.8125,84.67494521548576,16.728395061728396,17.2875,15.604938271604938,16.825,0.3333333333333333,0.29333333333333333,0.12,0.4666666666666667,0.46843199999999996,0.075,0.08571428571428572,8.353846153846154,25.610000000000003,8.0,21.0,11.0,4.0,12.0,6.0,18.0,18.0,21.0,0.4230769230769231,0.40476190476190477,0.1518987341772152,0.22784810126582278,0.25925925925925924,17.0,12.0,4.0,9.0,2.0,5.0,9.0,9.0,18.0,1.0,2.0,30.0,2.0,4.0,10.0,6.0,15.0,30.0,30.0,3.0,,2.0,15.0,1.0,16.0,1.0,3.0,3.0,33.0,,11.0,6.0,,12.0,2.0,5.0,2.0,,3.0,1.0,,2.0,4.0,3.0,4.0,1.0,3.0,0.5,0.5,0.5,0.2,0.2,0.46153846153846156,0.4,0.4,0.44,0.36363636363636365,0.3333333333333333,0.1111111111111111,0.5,,0.3142857142857143,0.75,,0.2558139534883721,0.46153846153846156,0.1111111111111111,,0.625,1.0,0.75,0.05405405405405406,0.25,0.48,0.5454545454545454,0.4090909090909091,0.42857142857142855,0.3333333333333333,0.24,0.5,0.5625,0.3333333333333333,0.013333333333333334,0.2222222222222222,0.2222222222222222,0.5,0.8181818181818182,0.4444444444444444,0.2777777777777778,0.4,0.2222222222222222,0.5380863636363636,0.46396666666666664,,3.0,,3.0,3.0,9.0,3.0,1.0,,,,,0.75,0.16666666666666666,,,,1.0,,1.0,3.0,,2.0,,,,0.3076923076923077,0.09090909090909091,,,,,,,1.0,,,,1.0,2.0,0.3333333333333333,0.25,,,,,,,,,,,,,,,,,,,1610612765,2002,2001-02,True
