EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,Fouls,Defensive 3 Seconds Violations,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGA,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FtPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Fg2aBlocked,Corner3Assists,OffThreePtRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,AtRimAssists,FTOffRebounds,LiveBallTurnovers,LostBallTurnovers,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,LiveBallTurnoverPct,OffFTReboundPct,OffShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShortMidRangeFGM,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,BadPassTurnovers,NonShootingFoulsDrawn,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PtsUnassisted3s,AtRimPctBlocked,DefThreePtRebounds,Travels,Loose Ball Fouls,BlockedAtRim,DefThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,PtsPutbacks,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,3SecondViolations,DefCorner3ReboundPct,LostBallSteals,SecondChanceTurnovers,FTDefRebounds,SelfOReb,DefFTReboundPct,SelfORebPct,Clear Path Fouls,LongMidRangePctBlocked,DefensiveGoaltends,BlockedLongMidRange,OffensiveGoaltends,Blocked3s,BlockedCorner3,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,HeaveMakes,3pt And 1 Free Throw Trips,Arc3PctBlocked,team_id,year,season,team_vs
1542-1609-1740-1742-2046,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Shammond Williams, Desmond Mason","Drobnjak, Long, Lewis, Williams, Mason",1542-1609-1740-1742-2046,SEA,215.0,1,4.0,-1.0,5.0,5.0,10.0,3.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,9.0,10.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,9.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.75,0.9,0.9,0.2,66.9767441860465,15.2,27.8,15.2,24.4,0.8,0.75,0.75,0.3333333333333333,0.2,1.0,1.0,1.0,0.2,1.0,0.41966000000000003,17.3,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1740-1742-699,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Shammond Williams, Brent Barry","Drobnjak, Long, Lewis, Williams, Barry",1542-1609-1740-1742-699,SEA,54.0,1,1.0,3.0,1.0,1.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,3.0,,,,3.0,1.0,1.0,,1.0,1.0,1.0,,3.0,,,3.0,,,1.0,1.0,1.0,,0.75,0.75,0.5,53.33333333333333,26.0,28.0,24.0,28.0,,,,,0.5,1.0,1.0,1.0,1.0,1.0,0.574825,,25.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1740-2046-56,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Desmond Mason, Gary Payton","Drobnjak, Long, Lewis, Mason, Payton",1542-1609-1740-2046-56,SEA,283.0,3,5.0,,8.0,8.0,16.0,,2.0,,,1.0,5.0,2.0,3.0,10.0,10.0,,2.0,6.0,,,,2.0,2.0,,,6.0,3.0,,6.0,,,1.0,0.6666666666666666,0.6666666666666666,0.2,0.5,0.5,0.375,81.41342756183745,21.0,14.375,18.0,14.375,0.25,,,,,,,,0.5,,0.45113125,10.16,23.53333333333333,1.0,2.0,1.0,1.0,3.0,4.0,1.0,0.5,1.0,0.6,,,0.125,5.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,7.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,7.0,5.0,1.0,1.0,1.0,0.25,0.75,0.5,0.6666666666666666,0.5,0.2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.375,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,0.2,1.0,0.2,1.0,0.3864,0.41357,0.2,0.2857142857142857,0.4,0.7,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1740-2248-56,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Earl Watson, Gary Payton","Drobnjak, Long, Lewis, Watson, Payton",1542-1609-1740-2248-56,SEA,144.0,1,2.0,5.0,4.0,4.0,8.0,,,1.0,1.0,2.0,3.0,1.0,1.0,9.0,4.0,4.0,,3.0,1.0,1.0,2.0,1.0,3.0,1.0,,7.0,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.875,0.9,0.25,80.0,17.5,18.5,16.0,18.5,,,,,0.25,1.0,1.0,1.0,0.75,1.0,0.50395,1.9000000000000001,24.0,2.0,1.0,,,2.0,2.0,,1.0,,1.0,,,0.5,3.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,6.0,,,,,,,1.0,1.0,,,3.0,2.0,,,,,6.0,3.0,,1.0,1.0,0.5,1.25,0.8333333333333334,1.5,1.0,,,,,,,,1.0,1.0,0.25,,,,,,,,0.3333333333333333,1.0,,,0.55585,0.4946333333333333,0.4,0.5,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1740-56-699,1610612760,"Predrag Drobnjak, Art Long, Rashard Lewis, Gary Payton, Brent Barry","Drobnjak, Long, Lewis, Payton, Barry",1542-1609-1740-56-699,SEA,459.0,4,8.0,-2.0,15.0,17.0,32.0,2.0,3.0,1.0,2.0,5.0,7.0,1.0,2.0,19.0,21.0,8.0,2.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,11.0,3.0,,17.0,0.8,0.8,1.0,0.5,0.5,0.7142857142857143,0.7222222222222222,0.7916666666666666,0.2222222222222222,100.3921568627451,13.933333333333334,14.705882352941176,13.466666666666667,13.470588235294118,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.5,0.5,1.0,0.3333333333333333,0.5,0.47875,11.942857142857141,24.75,1.0,1.0,3.0,3.0,1.0,4.0,0.42857142857142855,0.5,0.375,0.3333333333333333,,0.5,0.1111111111111111,10.0,6.0,1.0,1.0,,,3.0,,,,,,,6.0,,,,2.0,2.0,3.0,5.0,1.0,1.0,4.0,13.0,1.0,,,1.0,1.0,1.0,3.0,2.0,2.0,,6.0,2.0,,,,,13.0,10.0,,,1.0,0.6,,0.75,1.0,0.8125,0.14285714285714285,0.3333333333333333,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,0.448925,0.18181818181818182,0.2222222222222222,0.10526315789473684,0.6842105263157895,0.6666666666666666,,,,,1.0,1.0,,1.0,,2.0,,,,0.6666666666666666,,1.0,1.0,,,,,,,0.16666666666666666,1.0,2.0,1.0,1.0,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1742-2046-2209,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Desmond Mason, Vladimir Radmanovic","Drobnjak, Long, Williams, Mason, Radmanovic",1542-1609-1742-2046-2209,SEA,147.0,1,2.0,1.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,,2.0,,1.0,1.0,,,,,,,,,5.0,,,,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,68.57142857142857,20.666666666666668,21.25,20.666666666666668,20.25,0.3333333333333333,1.0,1.0,,0.3333333333333333,1.0,1.0,,0.6666666666666666,1.0,0.5100833333333333,7.1,25.4,1.0,,1.0,1.0,,1.0,0.3333333333333333,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1742-2046-56,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Desmond Mason, Gary Payton","Drobnjak, Long, Williams, Mason, Payton",1542-1609-1742-2046-56,SEA,922.0,5,15.0,-7.0,26.0,26.0,52.0,3.0,8.0,2.0,4.0,7.0,17.0,3.0,5.0,27.0,34.0,10.0,4.0,6.0,4.0,2.0,5.0,2.0,7.0,1.0,3.0,16.0,3.0,1.0,25.0,0.7142857142857143,0.7142857142857143,0.6666666666666666,0.6,0.6,0.4117647058823529,0.5227272727272727,0.5625,0.22727272727272727,81.21475054229934,19.46153846153846,16.0,18.692307692307693,15.884615384615385,0.36363636363636365,0.375,0.375,1.0,0.18181818181818182,0.5,0.5,0.5,0.3181818181818182,0.5,0.43967727272727275,13.111764705882353,24.740000000000002,2.0,2.0,8.0,9.0,3.0,12.0,0.8888888888888888,0.2222222222222222,0.9,0.2727272727272727,,0.8,0.09090909090909091,8.0,1.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,,,,,4.0,2.0,,,,2.0,3.0,7.0,1.0,3.0,,9.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,,1.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,9.0,8.0,1.0,,0.3333333333333333,0.42857142857142855,0.5,0.45,0.5,0.45,0.058823529411764705,,0.5,0.25,,1.0,1.0,0.5,1.0,0.3181818181818182,0.045454545454545456,1.0,1.0,1.0,,,,0.1,1.0,,,0.7056,0.47706499999999996,0.08333333333333333,0.10526315789473684,0.07407407407407407,0.3333333333333333,0.3076923076923077,1.0,1.0,,,1.0,3.0,1.0,1.0,,3.0,1.0,,0.5,0.6,,0.25,1.0,0.5,1.0,1.0,,,,0.3,0.3333333333333333,3.0,1.0,,2.0,,1.0,0.42857142857142855,0.42857142857142855,0.3333333333333333,3.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1742-2046-699,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Desmond Mason, Brent Barry","Drobnjak, Long, Williams, Mason, Barry",1542-1609-1742-2046-699,SEA,919.0,6,15.0,,27.0,24.0,51.0,3.0,9.0,1.0,2.0,6.0,19.0,2.0,4.0,22.0,22.0,6.0,6.0,6.0,2.0,1.0,3.0,2.0,5.0,1.0,2.0,12.0,9.0,,18.0,0.5,0.6,1.0,0.5,0.5,0.3157894736842105,0.391304347826087,0.4230769230769231,0.17391304347826086,79.91294885745376,17.0,19.166666666666668,15.407407407407407,18.833333333333332,0.391304347826087,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.08695652173913043,0.5,0.5,1.0,0.4782608695652174,0.5,0.49069565217391303,10.073684210526316,24.05,7.0,2.0,10.0,12.0,2.0,14.0,0.7692307692307693,0.15384615384615385,0.8,0.13333333333333333,0.3333333333333333,1.0,0.30434782608695654,2.0,,3.0,1.0,,,3.0,1.0,2.0,,,,1.0,4.0,3.0,,,2.0,4.0,,,,1.0,,,2.0,1.0,,2.0,2.0,4.0,4.0,1.0,1.0,2.0,7.0,2.0,3.0,,3.0,,,2.0,,,,,0.3333333333333333,,0.5,,0.10526315789473684,,,,,1.0,,0.14285714285714285,0.2,0.13043478260869565,0.08695652173913043,0.5,0.5,1.0,,,,,,1.0,,0.45553333333333335,0.55215,0.08,0.09523809523809523,0.18181818181818182,,0.07407407407407407,,1.0,,,,,1.0,1.0,,,,,0.3333333333333333,,,,1.0,0.3333333333333333,,,,,,,,2.0,,,,1.0,0.4,0.6666666666666666,0.6666666666666666,,,0.2857142857142857,2.0,,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1742-2071-2248,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Olumide Oyedeji, Earl Watson","Drobnjak, Long, Williams, Oyedeji, Watson",1542-1609-1742-2071-2248,SEA,342.0,2,6.0,-2.0,15.0,15.0,30.0,1.0,2.0,1.0,2.0,5.0,10.0,1.0,2.0,14.0,16.0,8.0,2.0,,2.0,1.0,4.0,,4.0,,1.0,8.0,2.0,,10.0,0.8,0.8,,0.5,0.5,0.5,0.5416666666666666,0.5384615384615384,0.16666666666666666,126.3157894736842,11.066666666666666,11.733333333333333,9.8,11.2,0.16666666666666666,0.5,0.5,1.0,0.16666666666666666,0.5,0.5,,0.3333333333333333,0.5,0.44950833333333334,7.93,24.9,2.0,2.0,4.0,4.0,2.0,6.0,0.5714285714285714,0.4,0.5714285714285714,0.3333333333333333,,1.0,0.16666666666666666,8.0,15.0,2.0,1.0,,,6.0,,,,,,,1.0,2.0,,,,4.0,2.0,5.0,,1.0,1.0,5.0,,,,2.0,1.0,1.0,3.0,1.0,1.0,,2.0,,,,,,5.0,8.0,1.0,,,0.4,1.0,0.3333333333333333,1.0,0.35714285714285715,,,,1.0,,0.4,,0.5,0.5,0.5,,,,,,,,,,,,0.4366,0.3905,,,0.2857142857142857,0.35714285714285715,0.5333333333333333,,,,,,1.0,2.0,1.0,,2.0,1.0,,1.0,0.6666666666666666,,0.3333333333333333,1.0,,,,,,,0.16666666666666666,,3.0,2.0,1.0,1.0,1.0,,0.5,0.5,0.6666666666666666,3.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
1542-1609-1742-2248-699,1610612760,"Predrag Drobnjak, Art Long, Shammond Williams, Earl Watson, Brent Barry","Drobnjak, Long, Williams, Watson, Barry",1542-1609-1742-2248-699,SEA,142.0,1,2.0,-6.0,6.0,5.0,11.0,,,,2.0,1.0,1.0,,2.0,2.0,8.0,2.0,,,2.0,,1.0,,1.0,,,2.0,2.0,,2.0,1.0,1.0,,,,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,111.54929577464789,13.333333333333334,12.4,13.333333333333334,12.4,,,,,0.6666666666666666,,,,0.6666666666666666,,0.4922166666666667,4.3,25.3,,,,1.0,,1.0,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,3.0,,,1.0,1.0,1.0,,,1.0,,,,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612760,2002,2001-02,True
