EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,LostBallSteals,DeadBallTurnovers,LostBallTurnovers,Offensive Fouls,NonShootingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,BadPassSteals,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,Corner3FGM,Corner3FGA,SecondChanceFG2A,Corner3Assists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3A,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,SelfOReb,LongMidRangePctBlocked,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3FGM,Fg3aBlocked,FTOffRebounds,3SecondViolations,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,HeaveAttempts,BlockedCorner3,Clear Path Fouls,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Corner3PctBlocked,OffensiveGoaltends,HeaveMakes,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1065-1499-1718-1960-677,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Milt Palacio, Eric Williams","Strickland, Battie, Pierce, Palacio, Williams",1065-1499-1718-1960-677,BOS,241.0,3,4.0,5.0,8.0,6.0,3.0,2.0,14.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,2.0,2.0,11.0,6.0,1.0,2.0,1.0,1.0,5.0,2.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,11.0,5.0,3.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.5,0.75,0.5,0.75,0.8333333333333334,0.7857142857142857,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,83.65145228215768,1.0,14.0,21.5,14.0,21.5,0.6666666666666666,0.75,0.75,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.43651666666666666,0.43839999999999996,0.14285714285714285,0.2,0.45454545454545453,20.425,25.8,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-1960-952,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Milt Palacio, Antoine Walker","Strickland, Battie, Pierce, Palacio, Walker",1065-1499-1718-1960-952,BOS,1162.0,10,19.0,-20.0,35.0,38.0,18.0,12.0,73.0,5.0,9.0,,8.0,,3.0,12.0,23.0,,8.0,5.0,29.0,49.0,8.0,14.0,,3.0,20.0,12.0,12.0,,8.0,,6.0,,6.0,,2.0,12.0,6.0,8.0,9.0,1.0,,2.0,7.0,9.0,6.0,1.0,2.0,,2.0,1.0,27.0,20.0,18.0,0.5,0.5,,,,,0.5217391304347826,0.5714285714285714,0.3870967741935484,0.47058823529411764,0.4264705882352941,0.5263157894736842,0.25806451612903225,0.5,0.8571428571428571,0.5,1.0,0.75,90.46471600688469,0.5,16.057142857142857,15.789473684210526,16.057142857142857,14.447368421052632,0.2903225806451613,0.5555555555555556,0.5555555555555556,0.4,0.25806451612903225,,,,0.17647058823529413,,0.6129032258064516,,0.485441935483871,0.43175,0.03125,0.041666666666666664,0.6896551724137931,8.856521739130434,25.575,0.5142857142857142,1.0,5.0,11.0,3.0,6.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.043478260869565216,0.09090909090909091,1.0,0.09090909090909091,0.14285714285714285,0.05263157894736842,0.16666666666666666,1.0,0.14285714285714285,0.3548387096774194,0.45454545454545453,0.5,0.8,0.0967741935483871,0.6666666666666666,0.6666666666666666,0.35294117647058826,0.5,0.06896551724137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-1960-958,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Milt Palacio, Vitaly Potapenko","Strickland, Battie, Pierce, Palacio, Potapenko",1065-1499-1718-1960-958,BOS,26.0,2,,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,,9.5,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-1960-962,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Milt Palacio, Walter McCarty","Strickland, Battie, Pierce, Palacio, McCarty",1065-1499-1718-1960-962,BOS,27.0,1,,-2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,106.66666666666666,,12.0,15.0,12.0,15.0,,,,,,,,,,,,,0.2593,0.2593,,,,12.9,,1.0,1.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-2207-677,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Joe Johnson, Eric Williams","Strickland, Battie, Pierce, Johnson, Williams",1065-1499-1718-2207-677,BOS,435.0,3,7.0,9.0,11.0,11.0,,,22.0,2.0,3.0,,,,,3.0,5.0,1.0,3.0,3.0,12.0,3.0,,,,,,2.0,4.0,3.0,,,1.0,1.0,2.0,,1.0,5.0,4.0,6.0,7.0,,,2.0,1.0,2.0,4.0,2.0,1.0,,1.0,1.0,12.0,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,0.6,,0.5625,,0.6,,0.375,,0.6666666666666666,0.75,0.5,1.0,72.82758620689656,1.0,16.90909090909091,22.636363636363637,15.545454545454545,22.181818181818183,0.375,0.6666666666666666,0.6666666666666666,0.5,,,,,,,0.625,,0.49069375,,0.2,0.2857142857142857,,10.74,23.599999999999998,,1.0,1.0,2.0,,,,,,,,1.0,,,2.0,,1.0,1.0,1.0,2.0,,,,1.0,,,,,0.2,0.5,,,1.0,0.25,,0.6666666666666666,1.0,0.25,0.5,1.0,,,,,,,,,,,1.0,3.0,1.0,1.0,1.0,2.0,0.5,0.5,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-2207-952,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Joe Johnson, Antoine Walker","Strickland, Battie, Pierce, Johnson, Walker",1065-1499-1718-2207-952,BOS,2871.0,9,48.0,12.0,93.0,89.0,20.0,23.0,182.0,11.0,19.0,10.0,22.0,1.0,2.0,29.0,56.0,10.0,25.0,29.0,117.0,105.0,4.0,9.0,1.0,3.0,26.0,36.0,22.0,27.0,22.0,10.0,18.0,9.0,27.0,9.0,9.0,63.0,29.0,35.0,50.0,8.0,5.0,12.0,9.0,16.0,31.0,9.0,2.0,,2.0,1.0,102.0,26.0,20.0,0.6206896551724138,0.6923076923076923,0.9,0.4,0.3333333333333333,0.4,0.5178571428571429,0.4444444444444444,0.5432098765432098,0.4583333333333333,0.6117021276595744,0.65,0.30864197530864196,0.6666666666666666,0.7631578947368421,0.7555555555555555,0.8571428571428571,0.85,91.28526645768025,0.5,14.53763440860215,17.06741573033708,13.720430107526882,16.337078651685392,0.2345679012345679,0.5789473684210527,0.5789473684210527,0.8181818181818182,0.2716049382716049,0.45454545454545453,0.45454545454545453,0.9,0.16666666666666666,0.5,0.654320987654321,0.45454545454545453,0.5038413580246913,0.46153333333333335,0.10344827586206896,0.14516129032258066,0.2222222222222222,8.251785714285715,24.971999999999998,0.21505376344086022,14.0,15.0,28.0,2.0,5.0,3.0,9.0,5.0,15.0,15.0,3.0,7.0,11.0,5.0,1.0,15.0,5.0,2.0,4.0,3.0,,7.0,1.0,1.0,,1.0,0.5769230769230769,0.05357142857142857,0.10714285714285714,1.0,0.4074074074074074,0.7142857142857143,0.35714285714285715,0.5384615384615384,0.5454545454545454,0.7142857142857143,0.345679012345679,0.5357142857142857,0.6,0.4666666666666667,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4,0.1282051282051282,3.0,,,,3.0,9.0,,4.0,2.0,0.26666666666666666,,0.037037037037037035,,,,4.0,7.0,1.0,1.0,1.0,5.0,2.0,3.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.5555555555555556,0.45454545454545453,0.5,0.3333333333333333,0.6666666666666666,0.6363636363636364,0.5714285714285714,0.25,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.508075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-2208-677,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Kedrick Brown, Eric Williams","Strickland, Battie, Pierce, Brown, Williams",1065-1499-1718-2208-677,BOS,190.0,1,3.0,4.0,8.0,8.0,8.0,,16.0,,1.0,,1.0,,1.0,3.0,6.0,,2.0,,6.0,2.0,3.0,6.0,,2.0,6.0,4.0,2.0,,1.0,,2.0,,2.0,,,4.0,1.0,2.0,2.0,,,,,2.0,,,,,,,6.0,6.0,8.0,0.6666666666666666,0.6666666666666666,,,,,0.5,0.5,0.375,0.375,0.375,0.375,0.25,,0.3333333333333333,0.5,,1.0,121.26315789473685,,13.25,10.5,13.25,10.5,0.125,,,,0.125,,,,0.125,,0.75,,0.5995125,0.5995125,,,1.0,4.3500000000000005,23.5,1.0,,3.0,4.0,3.0,4.0,,1.0,,,,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,0.16666666666666666,0.25,,,1.0,,,,1.0,0.5,0.75,1.0,0.6666666666666666,0.125,,,0.5,0.75,,1.0,,,,1.0,,,,,,,0.125,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-2208-958,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Kedrick Brown, Vitaly Potapenko","Strickland, Battie, Pierce, Brown, Potapenko",1065-1499-1718-2208-958,BOS,7.0,1,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,411.42857142857144,,1.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-677-72,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Eric Williams, Kenny Anderson","Strickland, Battie, Pierce, Williams, Anderson",1065-1499-1718-677-72,BOS,1296.0,12,22.0,9.0,37.0,40.0,6.0,17.0,77.0,6.0,12.0,2.0,8.0,,1.0,8.0,25.0,3.0,10.0,13.0,38.0,29.0,2.0,4.0,,1.0,8.0,12.0,4.0,9.0,8.0,2.0,6.0,3.0,9.0,2.0,5.0,21.0,8.0,13.0,23.0,3.0,1.0,5.0,2.0,7.0,14.0,5.0,,,,,36.0,8.0,6.0,0.75,0.75,1.0,0.3,,0.3,0.32,0.5,0.35714285714285715,0.4,0.4523809523809524,0.5714285714285714,0.2857142857142857,0.6,0.6666666666666666,0.7222222222222222,1.0,0.6666666666666666,85.55555555555554,,16.81081081081081,16.85,14.756756756756756,15.55,0.34285714285714286,0.5,0.5454545454545454,0.8333333333333334,0.22857142857142856,0.25,0.25,1.0,0.2,,0.6,0.25,0.4828785714285714,0.46898999999999996,0.125,0.16666666666666666,0.21052631578947367,9.468,25.52,0.16216216216216217,7.0,2.0,11.0,,1.0,,2.0,2.0,2.0,4.0,6.0,1.0,6.0,5.0,,10.0,6.0,1.0,2.0,2.0,1.0,2.0,,,1.0,1.0,0.125,0.24,0.45454545454545453,,0.35294117647058826,0.8333333333333334,0.4166666666666667,0.5555555555555556,,0.75,0.3142857142857143,0.18181818181818182,0.3333333333333333,0.5,0.05714285714285714,,,0.2,,0.05263157894736842,5.0,,0.5,1.0,2.0,5.0,1.0,4.0,,0.5714285714285714,,0.05714285714285714,0.5,0.5,1.0,,2.0,,,2.0,,2.0,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,0.6666666666666666,,0.2857142857142857,,,,0.2857142857142857,,0.49666666666666665,2.0,0.08333333333333333,1.0,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
1065-1499-1718-677-915,1610612738,"Erick Strickland, Tony Battie, Paul Pierce, Eric Williams, Rodney Rogers","Strickland, Battie, Pierce, Williams, Rogers",1065-1499-1718-677-915,BOS,143.0,2,2.0,-2.0,5.0,5.0,2.0,,10.0,,,,,,,1.0,2.0,,,6.0,8.0,10.0,,,,,2.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,2.0,3.0,1.0,,1.0,2.0,3.0,6.0,3.0,,,,,6.0,2.0,2.0,1.0,1.0,,,,,0.5,,0.5,,0.8,1.0,,1.0,1.0,1.0,,,100.69930069930071,,15.2,13.4,14.8,13.4,,,,,,,,,,,,,0.38525,,0.6,0.6,0.25,5.65,,0.4,1.0,,,,,1.0,2.0,2.0,2.0,2.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,0.5,0.5,,,0.25,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2002,2001-02,False
