EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,Fouls,Loose Ball Fouls,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,OffFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,DefThreePtRebounds,ShootingFouls,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg3Pct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,LongMidRangeAssists,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangePctAssisted,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,OffLongMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PtsUnassisted3s,BadPassTurnovers,BlockedLongMidRange,DefensiveGoaltends,FTDefRebounds,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,BlockedShortMidRange,3SecondViolations,DefFTReboundPct,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,LongMidRangePctBlocked,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SelfOReb,SecondChanceTurnovers,SelfORebPct,PenaltyCorner3FGA,ShortMidRangeAssists,OffCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,Travels,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGA,PenaltyCorner3FGM,HeaveAttempts,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
1601-1900-1905-1909-252,1610612762,"Rusty LaRue, Quincy Lewis, Andrei Kirilenko, Scott Padgett, Karl Malone","LaRue, Lewis, Kirilenko, Padgett, Malone",1601-1900-1905-1909-252,UTA,131.0,1,2.0,-3.0,5.0,5.0,2.0,5.0,1.0,10.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,6.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.3,0.25,0.2,1.0,1.0,1.0,1.0,109.92366412213741,1.0,18.0,8.2,16.8,8.2,0.6,0.2,0.2,1.0,1.0,1.0,0.2,1.0,0.41104,0.4381,0.4075,14.55,25.9,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1900-1905-2052-2260,1610612762,"Rusty LaRue, Quincy Lewis, Andrei Kirilenko, DeShawn Stevenson, Jarron Collins","LaRue, Lewis, Kirilenko, Stevenson, Collins",1601-1900-1905-2052-2260,UTA,308.0,1,5.0,11.0,11.0,12.0,8.0,11.0,,23.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,16.0,5.0,,4.0,3.0,1.0,1.0,1.0,3.0,1.0,7.0,,,2.0,,2.0,3.0,3.0,3.0,,8.0,1.0,,,,,16.0,8.0,2.0,1.0,1.0,1.0,0.6428571428571429,0.7272727272727273,0.14285714285714285,,,1.0,,107.53246753246752,,12.454545454545455,14.25,12.454545454545455,14.25,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.0,1.0,1.0,0.5714285714285714,1.0,0.48930714285714283,,0.47457000000000005,7.75,24.7,0.7272727272727273,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,7.0,2.0,1.0,1.0,5.0,12.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,12.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.7,0.75,0.16666666666666666,0.3333333333333333,1.0,1.0,0.42857142857142855,0.6666666666666666,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.3,0.3333333333333333,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1900-1905-2260-252,1610612762,"Rusty LaRue, Quincy Lewis, Andrei Kirilenko, Jarron Collins, Karl Malone","LaRue, Lewis, Kirilenko, Collins, Malone",1601-1900-1905-2260-252,UTA,146.0,1,2.0,-1.0,5.0,6.0,2.0,6.0,,11.0,1.0,1.0,,,4.0,,,5.0,6.0,,1.0,,,,,2.0,,4.0,,3.0,3.0,,3.0,,,2.0,,2.0,,,,,,5.0,2.0,,,,,0.5,0.5,,,1.0,1.0,,108.49315068493152,,14.8,12.0,14.8,12.0,0.25,0.25,,,,,0.5,,0.442325,,0.3204,7.675,,0.4,1.0,2.0,,,1.0,,,2.0,1.0,,,,1.0,1.0,4.0,,,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,0.5,,,0.25,,,,,0.5,0.5,0.5,1.0,1.0,1.0,,,,,0.2,0.2,0.2,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1900-1909-2052-252,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, DeShawn Stevenson, Karl Malone","LaRue, Lewis, Padgett, Stevenson, Malone",1601-1900-1909-2052-252,UTA,56.0,1,1.0,-5.0,1.0,2.0,1.0,2.0,,3.0,,1.0,,,1.0,,,,5.0,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,77.14285714285714,,26.0,15.0,26.0,15.0,,1.0,,,,,,,0.3247,,0.3247,15.4,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1900-1909-252-680,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, Karl Malone, John Amaechi","LaRue, Lewis, Padgett, Malone, Amaechi",1601-1900-1909-252-680,UTA,87.0,1,1.0,,3.0,4.0,3.0,4.0,,7.0,,,1.0,1.0,,1.0,1.0,5.0,5.0,,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,3.0,,2.0,1.0,,,,,5.0,3.0,1.0,1.0,1.0,1.0,1.5,1.25,1.0,,,,,115.86206896551724,,16.333333333333332,9.5,16.333333333333332,9.5,,,1.0,1.0,1.0,1.0,1.0,1.0,0.492,,0.492,,23.9,1.0,,,,,,1.0,1.0,,2.0,,1.0,1.0,2.0,5.0,,,,,,,1.0,,5.0,,,1.0,,,1.5,1.25,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1900-1909-252-935,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, Karl Malone, Bryon Russell","LaRue, Lewis, Padgett, Malone, Russell",1601-1900-1909-252-935,UTA,99.0,1,2.0,-3.0,2.0,2.0,,,,4.0,,1.0,,,2.0,,,2.0,5.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,0.5,0.5,,,,,,58.18181818181819,,22.0,27.5,22.0,26.0,,0.5,,,,,0.5,,0.4758,,,11.5,,,1.0,1.0,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,0.5,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1900-1909-680-935,1610612762,"Rusty LaRue, Quincy Lewis, Scott Padgett, John Amaechi, Bryon Russell","LaRue, Lewis, Padgett, Amaechi, Russell",1601-1900-1909-680-935,UTA,136.0,1,2.0,7.0,4.0,4.0,,,1.0,8.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,8.0,1.0,1.0,,6.0,3.0,1.0,2.0,3.0,1.0,8.0,,1.0,1.0,3.0,4.0,1.0,,2.0,,,,,,,,5.0,,,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.3333333333333333,,84.70588235294117,,15.25,18.75,12.5,17.75,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.5375666666666666,0.58365,,12.5,24.5,,,,,,1.0,,,1.0,,,,,,,2.0,,1.0,1.0,,,1.0,,,1.0,1.0,,0.5,,,,0.5,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1905-1909-2052-2260,1610612762,"Rusty LaRue, Andrei Kirilenko, Scott Padgett, DeShawn Stevenson, Jarron Collins","LaRue, Kirilenko, Padgett, Stevenson, Collins",1601-1905-1909-2052-2260,UTA,310.0,3,5.0,3.0,8.0,7.0,1.0,,2.0,15.0,1.0,4.0,1.0,2.0,7.0,1.0,2.0,9.0,6.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,7.0,,3.0,4.0,3.0,7.0,,,2.0,,2.0,,,,,,5.0,1.0,,1.0,0.5,0.5,0.5,0.45,0.2222222222222222,,1.0,1.0,,69.6774193548387,,20.125,21.285714285714285,16.875,21.285714285714285,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.5,0.5,1.0,0.4444444444444444,0.5,0.46125555555555553,0.4361,0.2794,11.328571428571427,24.9,0.125,1.0,2.0,,,2.0,,,3.0,,1.0,,,,2.0,4.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0,0.6666666666666666,1.0,,0.42857142857142855,1.0,1.0,1.0,0.14285714285714285,,1.0,1.0,0.2222222222222222,0.5,0.5,,0.5,0.5,,,,,0.1,0.125,0.2222222222222222,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,4.0,,1.0,2.0,,,,,0.6666666666666666,0.6666666666666666,1.0,,0.5,1.0,0.6,1.0,1.0,,,,,,,,0.4444444444444444,1.0,1.0,2.0,2.0,0.6666666666666666,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1905-1909-2052-252,1610612762,"Rusty LaRue, Andrei Kirilenko, Scott Padgett, DeShawn Stevenson, Karl Malone","LaRue, Kirilenko, Padgett, Stevenson, Malone",1601-1905-1909-2052-252,UTA,291.0,2,5.0,1.0,10.0,10.0,7.0,7.0,,20.0,,3.0,1.0,3.0,3.0,1.0,3.0,12.0,11.0,,3.0,,3.0,1.0,,,,,,2.0,4.0,,4.0,,,2.0,,6.0,,1.0,,1.0,1.0,12.0,7.0,1.0,,0.3333333333333333,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5,,1.0,1.0,1.0,98.96907216494846,1.0,14.1,15.0,14.1,15.0,,0.5,0.5,0.3333333333333333,0.3333333333333333,,0.5,0.3333333333333333,0.42783333333333334,,0.37055,15.799999999999999,25.566666666666666,0.7,,,,,2.0,,1.0,2.0,5.0,2.0,,1.0,5.0,9.0,,4.0,,,,2.0,1.0,3.0,9.0,,,,0.6666666666666666,0.6666666666666666,0.5,0.6428571428571429,,,1.0,1.0,,,,,0.6666666666666666,0.6666666666666666,,,0.25,,0.3333333333333333,0.5,0.75,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
1601-1905-1909-2052-680,1610612762,"Rusty LaRue, Andrei Kirilenko, Scott Padgett, DeShawn Stevenson, John Amaechi","LaRue, Kirilenko, Padgett, Stevenson, Amaechi",1601-1905-1909-2052-680,UTA,82.0,1,1.0,-3.0,3.0,2.0,,,,5.0,,1.0,,,2.0,,,1.0,4.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,0.16666666666666666,,,,,,87.80487804878048,,18.0,14.0,18.0,14.0,,0.5,,,,,0.5,,0.4968,,,8.55,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2002,2001-02,False
