EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,Arc3FGA,SecondChanceArc3FGA,FG3A,SecondChanceFG2A,SecondChanceFG3A,NonHeaveArc3FGA,Fg2aBlocked,AtRimAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,NonShootingPenaltyNonTakeFouls,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,DefThreePtRebounds,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefCorner3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,FtPoints,PtsPutbacks,HeaveAttempts,LongMidRangeAssists,OffThreePtRebounds,FTA,TwoPtShootingFoulsDrawn,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,SecondChanceTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceFtPoints,PenaltyFtPoints,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,NonShootingFoulsDrawn,BlockedAtRim,Loose Ball Fouls,2pt And 1 Free Throw Trips,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Corner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffAtRimReboundPct,OffCorner3ReboundPct,Corner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,PtsUnassisted3s,Corner3FGM,Corner3Assists,SelfOReb,Technical Free Throw Trips,BlockedLongMidRange,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,DefensiveGoaltends,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,3SecondViolations,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,FTOffRebounds,Travels,OffensiveGoaltends,Defensive 3 Seconds Violations,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,HeaveMakes,Blocked3s,BlockedCorner3,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
1051-1502-2211-2240-2352,1610612744,"Dean Garrett, Adonal Foyle, Troy Murphy, Gilbert Arenas, Dean Oliver","Garrett, Foyle, Murphy, Arenas, Oliver",1051-1502-2211-2240-2352,GSW,80.0,1,1.0,2.0,4.0,3.0,7,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,126.0,11.25,11.666666666666666,11.25,11.666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.3545,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-1504-1538-1716-2240,1610612744,"Dean Garrett, Danny Fortson, Cedric Henderson, Larry Hughes, Gilbert Arenas","Garrett, Fortson, Henderson, Hughes, Arenas",1051-1504-1538-1716-2240,GSW,77.0,1,1.0,-2.0,3.0,2.0,5,1.0,2.0,,1.0,1.0,3.0,2.0,4.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,93.5064935064935,20.333333333333332,8.0,20.333333333333332,8.0,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,0.3783666666666667,12.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-1538-1716-2211-2240,1610612744,"Dean Garrett, Cedric Henderson, Larry Hughes, Troy Murphy, Gilbert Arenas","Garrett, Henderson, Hughes, Murphy, Arenas",1051-1538-1716-2211-2240,GSW,149.0,1,2.0,-8.0,9.0,9.0,18,,2.0,,1.0,1.0,4.0,2.0,10.0,2.0,,1.0,1.0,,2.0,1.0,4.0,6.0,3.0,2.0,2.0,5.0,4.0,,2.0,1.0,1.0,0.25,0.2,0.2,0.6,0.5,0.5,,173.95973154362414,11.444444444444445,5.111111111111111,10.0,5.0,0.4,,,,0.2,,,0.45176999999999995,7.1,9.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.2,0.5,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.5,0.4,0.412425,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-1538-2211-2240-2352,1610612744,"Dean Garrett, Cedric Henderson, Troy Murphy, Gilbert Arenas, Dean Oliver","Garrett, Henderson, Murphy, Arenas, Oliver",1051-1538-2211-2240-2352,GSW,241.0,1,4.0,-2.0,9.0,9.0,18,2.0,3.0,1.0,2.0,5.0,8.0,10.0,12.0,6.0,4.0,3.0,3.0,1.0,6.0,2.0,3.0,4.0,1.0,1.0,,1.0,1.0,,10.0,0.6,0.6,0.625,0.625,0.625,1.0,0.5,0.6,,107.55186721991701,16.333333333333332,10.444444444444445,14.88888888888889,10.0,0.375,0.6666666666666666,0.6666666666666666,0.5,0.25,0.5,0.5,0.4758,8.8875,5.0,1.0,2.0,3.0,,,,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.375,0.6666666666666666,0.6666666666666666,1.0,,,0.375,0.3724,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-168-1716-2211-2240,1610612744,"Dean Garrett, Chris Mills, Larry Hughes, Troy Murphy, Gilbert Arenas","Garrett, Mills, Hughes, Murphy, Arenas",1051-168-1716-2211-2240,GSW,88.0,1,1.0,4.0,3.0,3.0,6,,,1.0,1.0,3.0,3.0,6.0,2.0,4.0,2.0,2.0,2.0,,4.0,1.0,2.0,2.0,,,,,,,4.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,,1.0,1.0,,98.18181818181819,16.333333333333332,13.0,15.333333333333334,13.0,,,,,0.3333333333333333,1.0,1.0,0.48889999999999995,7.333333333333333,,1.0,2.0,2.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,0.6666666666666666,1.0,1.0,1.0,,,0.6666666666666666,0.5128,,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-168-1716-2211-2352,1610612744,"Dean Garrett, Chris Mills, Larry Hughes, Troy Murphy, Dean Oliver","Garrett, Mills, Hughes, Murphy, Oliver",1051-168-1716-2211-2352,GSW,158.0,1,3.0,1.0,8.0,7.0,15,,1.0,1.0,3.0,2.0,6.0,5.0,4.0,2.0,2.0,1.0,1.0,,2.0,3.0,4.0,6.0,1.0,1.0,1.0,2.0,,,3.0,0.5,1.0,0.3333333333333333,0.25,0.2777777777777778,0.5,1.0,1.0,1.0,136.70886075949366,12.75,8.0,11.625,8.0,0.125,,,,0.375,0.3333333333333333,0.3333333333333333,0.4500285714285714,10.483333333333333,,2.0,1.0,2.0,2.0,,2.0,2.0,,1.0,1.0,,1.0,,2.0,1.0,,1.0,,,,,0.25,0.16666666666666666,,,0.25,0.4,,0.5,1.0,0.25,0.5,1.0,,0.25,,0.5,0.50695,52.45,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,0.5,0.5,0.5,,0.5,1.0,,0.4,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.1111111111111111,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-168-2211-2240-2352,1610612744,"Dean Garrett, Chris Mills, Troy Murphy, Gilbert Arenas, Dean Oliver","Garrett, Mills, Murphy, Arenas, Oliver",1051-168-2211-2240-2352,GSW,210.0,1,4.0,-1.0,8.0,7.0,15,,1.0,1.0,3.0,2.0,5.0,4.0,5.0,4.0,,2.0,2.0,,4.0,2.0,3.0,5.0,2.0,,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.75,,102.85714285714286,15.375,12.428571428571429,14.75,11.428571428571429,0.16666666666666666,,,,0.5,0.3333333333333333,0.3333333333333333,0.44195,11.9,,2.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,2.0,2.0,1.0,1.0,,2.0,,,0.16666666666666666,,,,0.6666666666666666,0.5,,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,0.3333333333333333,0.378,25.8,1.0,0.5,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,,,,,0.5,,,,1.0,,,,,,,1.0,,,8.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,1.0,3.0,4.0,8.0,0.4,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.16666666666666666,0.44195,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-1712-2202-2240-956,1610612744,"Dean Garrett, Antawn Jamison, Jason Richardson, Gilbert Arenas, Erick Dampier","Garrett, Jamison, Richardson, Arenas, Dampier",1051-1712-2202-2240-956,GSW,193.0,1,3.0,,6.0,7.0,13,1.0,5.0,1.0,4.0,3.0,10.0,8.0,8.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,7.0,,,,,3.0,,2.0,0.6666666666666666,1.0,0.3,0.3,0.36363636363636365,,0.5,0.6666666666666666,,96.99481865284974,18.333333333333332,11.857142857142858,15.5,11.857142857142858,0.5,0.2,0.5,1.0,0.4,0.25,0.25,0.4085,11.0,3.0,4.0,1.0,1.0,,,,4.0,,,3.0,,5.0,,5.0,,,,,,3.0,,,0.3,0.6,,0.7142857142857143,0.7142857142857143,0.5,1.0,,0.1,1.0,1.0,,,,0.1,0.456075,,1.0,1.0,0.5,1.0,1.0,1.0,2.0,6.0,0.5,0.5,0.6,,0.25,1.0,,0.75,2.0,2.0,,1.0,,2.0,1.0,,,,1.0,0.09090909090909091,0.09090909090909091,6.0,1.0,1.0,,3.0,10.0,,8.0,,,8.0,6.0,0.3,0.3,0.36363636363636365,0.1,1.0,,0.4085,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-1712-2202-2352-956,1610612744,"Dean Garrett, Antawn Jamison, Jason Richardson, Dean Oliver, Erick Dampier","Garrett, Jamison, Richardson, Oliver, Dampier",1051-1712-2202-2352-956,GSW,235.0,1,4.0,-5.0,8.0,8.0,16,1.0,3.0,1.0,1.0,3.0,5.0,8.0,13.0,4.0,2.0,2.0,2.0,,4.0,2.0,3.0,3.0,1.0,,,1.0,1.0,,8.0,0.6666666666666666,0.6666666666666666,0.6,0.5,0.5714285714285714,1.0,1.0,0.6666666666666666,1.0,98.04255319148936,15.5,13.875,15.5,13.0,0.5,0.3333333333333333,0.5,,0.16666666666666666,1.0,1.0,0.470975,9.18,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,0.16666666666666666,0.2,0.3333333333333333,1.0,,,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,0.3333333333333333,,26.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,2.0,,,,,1.0,,,4.0,,,,1.0,2.0,,4.0,,1.0,4.0,4.0,0.5,0.5,0.6666666666666666,,,,0.4001,0.5,0.5,,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
1051-1712-2211-2352-956,1610612744,"Dean Garrett, Antawn Jamison, Troy Murphy, Dean Oliver, Erick Dampier","Garrett, Jamison, Murphy, Oliver, Dampier",1051-1712-2211-2352-956,GSW,242.0,1,4.0,3.0,8.0,7.0,15,1.0,2.0,,3.0,2.0,7.0,9.0,6.0,4.0,,2.0,2.0,1.0,4.0,3.0,3.0,7.0,,,1.0,1.0,1.0,1.0,7.0,1.0,1.0,0.2857142857142857,0.25,0.4090909090909091,,1.0,1.0,,89.25619834710744,16.625,15.571428571428571,13.125,15.571428571428571,0.25,0.5,1.0,1.0,0.375,,,0.4471,9.242857142857144,,3.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,4.0,1.0,1.0,,,,,,0.125,0.14285714285714285,0.5,,0.6,0.6666666666666666,1.0,0.6666666666666666,1.0,0.25,0.5,0.5,1.0,0.125,0.25,0.375,0.45313333333333333,27.6,,,1.0,,,1.0,,2.0,,,0.2,,0.25,,,0.2222222222222222,5.0,,,,1.0,6.0,2.0,,1.0,1.0,,0.2,0.2222222222222222,1.0,,,,,1.0,,2.0,,,2.0,1.0,,,0.5,,,,0.3696,0.2222222222222222,0.125,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2002,2001-02,True
