EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyOffPossPct,DefPoss,PenaltyDefPoss,FTDefRebounds,DefRebounds,Rebounds,LostBallTurnovers,DefFTReboundPct,DefTwoPtRebounds,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,Steals,BadPassSteals,ShootingFouls,Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,DefThreePtRebounds,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceOffPoss,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,ShortMidRangeAssists,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Corner3Assists,NonShootingFoulsDrawn,Assisted3sPct,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGM,Arc3Assists,BlockedAtRim,RecoveredBlocks,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3PctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,2pt And 1 Free Throw Trips,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,OffLongMidRangeReboundPct,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,BadPassOutOfBoundsTurnovers,Fg2aBlocked,Loose Ball Fouls,BlockedShortMidRange,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffThreePtRebounds,LostBallSteals,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFg3Pct,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceTurnovers,DefensiveGoaltends,team_id,year,season,team_vs
123-1497-1732-1887-324,1610612750,"Robert Pack, Chauncey Billups, Felipe Lopez, Wally Szczerbiak, Anthony Peeler","Pack, Billups, Lopez, Szczerbiak, Peeler",123-1497-1732-1887-324,MIN,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1497-1732-324-708,1610612750,"Robert Pack, Chauncey Billups, Felipe Lopez, Anthony Peeler, Kevin Garnett","Pack, Billups, Lopez, Peeler, Garnett",123-1497-1732-324-708,MIN,3.0,1,1.0,,2.0,1.0,,1.0,,,1.0,960.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1725-1887-324-708,1610612750,"Robert Pack, Rasho Nesterovic, Wally Szczerbiak, Anthony Peeler, Kevin Garnett","Pack, Nesterovic, Szczerbiak, Peeler, Garnett",123-1725-1887-324-708,MIN,26.0,1,1.0,1.0,2.0,,,,,1.0,,110.76923076923076,19.0,19.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1725-1887-693-708,1610612750,"Robert Pack, Rasho Nesterovic, Wally Szczerbiak, Joe Smith, Kevin Garnett","Pack, Nesterovic, Szczerbiak, Smith, Garnett",123-1725-1887-693-708,MIN,149.0,1,6.0,,12.0,,,,,,,115.97315436241611,12.0,12.0,,6.0,4.0,1.0,1.0,1.0,,1.0,,,,,12.833333333333334,11.833333333333334,2.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,11.0,7.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,11.0,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,0.9,0.9166666666666666,0.4,0.2,1.0,1.0,1.0,0.4,1.0,1.0,0.5,0.2,0.2,1.0,1.0,0.6,1.0,0.51695,0.16666666666666666,0.25,13.266666666666666,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1725-324-708-718,1610612750,"Robert Pack, Rasho Nesterovic, Anthony Peeler, Kevin Garnett, Gary Trent","Pack, Nesterovic, Peeler, Garnett, Trent",123-1725-324-708-718,MIN,53.0,1,2.0,2.0,4.0,,,,,2.0,,108.67924528301887,12.5,12.5,1.0,2.0,2.0,,2.0,2.0,,,1.0,1.0,1.0,,14.0,14.0,1.0,2.0,,,,,,,1.0,1.0,1.0,,1.0,,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,0.5,0.5,0.5,,,,,,,,,,0.5,,,0.5,,0.4225,,,6.8,24.1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.4225,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1732-1887-693-708,1610612750,"Robert Pack, Felipe Lopez, Wally Szczerbiak, Joe Smith, Kevin Garnett","Pack, Lopez, Szczerbiak, Smith, Garnett",123-1732-1887-693-708,MIN,37.0,1,1.0,,2.0,,,,,,,77.83783783783784,14.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,23.0,23.0,1.0,2.0,,,,,,,,1.0,1.0,,,,2.0,,2.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.3599,,,6.8,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3599,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1732-1887-693-718,1610612750,"Robert Pack, Felipe Lopez, Wally Szczerbiak, Joe Smith, Gary Trent","Pack, Lopez, Szczerbiak, Smith, Trent",123-1732-1887-693-718,MIN,82.0,1,4.0,4.0,7.0,,,,,4.0,,122.92682926829268,9.75,9.75,1.0,3.0,3.0,,2.0,2.0,,,2.0,1.0,1.0,,14.333333333333334,14.333333333333334,1.0,8.0,,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,8.0,,,2.0,,,,,1.0,,,3.0,1.0,1.0,,,4.0,1.0,,,,8.0,,,1.0,1.0,1.0,1.25,1.0,0.5,,,,,0.5,1.0,1.0,,0.5,,,,0.5,,0.465875,0.3333333333333333,0.5,16.0,23.3,,,,1.0,1.0,1.0,8.0,,8.0,1.0,1.25,1.0,,,,,,,,0.465875,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1732-324-708-718,1610612750,"Robert Pack, Felipe Lopez, Anthony Peeler, Kevin Garnett, Gary Trent","Pack, Lopez, Peeler, Garnett, Trent",123-1732-324-708-718,MIN,100.0,1,3.0,,6.0,,,,,,,86.39999999999999,17.0,17.0,,3.0,,,2.0,2.0,,,2.0,1.0,1.0,,16.333333333333332,16.333333333333332,2.0,6.0,1.0,1.0,,,,,,1.0,1.0,,,4.0,6.0,,,2.0,,,,,,,,,,,,,4.0,2.0,,,,6.0,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,0.5525,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1887-324-693-718,1610612750,"Robert Pack, Wally Szczerbiak, Anthony Peeler, Joe Smith, Gary Trent","Pack, Szczerbiak, Peeler, Smith, Trent",123-1887-324-693-718,MIN,63.0,1,2.0,1.0,4.0,,,,,1.0,,91.42857142857143,4.5,4.5,0.5,2.0,1.0,,2.0,2.0,,,1.0,0.5,0.6666666666666666,0.5,27.0,24.5,1.0,6.0,,,,,,2.0,2.0,,,2.0,2.0,,6.0,,,,3.0,2.0,2.0,,1.0,,,3.0,,,,1.0,,,1.0,,1.0,6.0,,,1.0,1.0,,1.5,1.5,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.53355,,,,30.6,,,1.0,,,1.0,3.0,1.0,3.0,,1.5,1.5,1.0,,,,,,1.0,,0.5,,,,,,,,,,,,,,,,1.0,,3.0,1.0,,,0.5,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
123-1887-324-708-718,1610612750,"Robert Pack, Wally Szczerbiak, Anthony Peeler, Kevin Garnett, Gary Trent","Pack, Szczerbiak, Peeler, Garnett, Trent",123-1887-324-708-718,MIN,19.0,1,,,1.0,,,,,,,75.78947368421053,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612750,2002,2001-02,True
