index,PLAYER_ID,PLAYER_NAME,W,GP,year,POSS,TEAM_ABBREVIATION,TEAM_ID,AGE,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,FGM_PG,sp_work_PACE,sp_work_DEF_RATING,DEF_RATING,sp_work_NET_RATING,E_DEF_RATING,OFF_RATING,PACE_PER40,AST_RATIO,sp_work_OFF_RATING,E_PACE,NET_RATING,E_NET_RATING,PACE,E_OFF_RATING,FGA_PG,AST_TO,ITP_FGM,ABOVE_BREAK_3_FGA,MID_FGM,RIGHT_CORNER_3_FGM,MID_FGA,RA_FGA,LEFT_CORNER_3_FGM,ITP_FGA,LEFT_CORNER_3_FGA,BACKCOURT_FGA,RA_FGM,CORNER_3_FGM,RIGHT_CORNER_3_FGA,BACKCOURT_FGM,CORNER_3_FGA,ABOVE_BREAK_3_FGM,FGM_10_14,FGP_5_9,FGP_35_39,FGP_LT_5,FGP_10_14,FGA_15_19,FGP_15_19,FGA_25_29,FGM_40_PLUS,FGM_LT_5,FGM_15_19,FGA_40_PLUS,FGM_20_24,FGA_30_34,FGM_5_9,FGM_30_34,FGA_10_14,FGP_30_34,FGA_5_9,FGP_25_29,FGP_40_PLUS,FGM_25_29,FGA_20_24,FGP_20_24,FGA_35_39,FGM_35_39,FGA_LT_5,POTENTIAL_AST,AST_ADJ,FT_AST,PASSES_RECEIVED,PASSES_MADE,SECONDARY_AST,AST_PTS_CREATED,DRIVE_FTM,DRIVE_TOV,DRIVE_FGM,DRIVE_PASSES,DRIVES,DRIVE_PTS,DRIVE_PF,DRIVE_AST,DRIVE_FTA,DRIVE_FGA,TOUCHES,AVG_SEC_PER_TOUCH,POINTS,TIME_OF_POSS,AVG_DRIB_PER_TOUCH,PAINT_TOUCHES,FRONT_CT_TOUCHES,ELBOW_TOUCHES,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_TOUCH,PTS_PER_POST_TOUCH,DREB_CHANCE_DEFER,AVG_DREB_DIST,REB_UNCONTEST,OREB_CHANCE_DEFER,OREB_CHANCES,AVG_OREB_DIST,DREB_CONTEST,OREB_UNCONTEST,AVG_REB_DIST,REB_CONTEST,REB_CHANCES,REB_CHANCE_DEFER,DREB_UNCONTEST,DREB_CHANCES,OREB_CONTEST,very_tight_FG3M,very_tight_FGA_FREQUENCY,very_tight_FG3A,very_tight_FG2M,very_tight_FGM,very_tight_FG2A_FREQUENCY,very_tight_FGA,very_tight_FG2A,very_tight_FG3A_FREQUENCY,tight_FGM,tight_FGA_FREQUENCY,tight_FG3A,tight_FGA,tight_FG2A_FREQUENCY,tight_FG2M,tight_FG2A,tight_FG3A_FREQUENCY,tight_FG3M,open_FG3A_FREQUENCY,open_FG3A,open_FG2A,open_FG3M,open_FG2A_FREQUENCY,open_FG2M,open_FGM,open_FGA_FREQUENCY,open_FGA,wide_open_FG2A,wide_open_FG2M,wide_open_FGM,wide_open_FG3M,wide_open_FGA_FREQUENCY,wide_open_FGA,wide_open_FG2A_FREQUENCY,wide_open_FG3A,wide_open_FG3A_FREQUENCY,PULL_UP_PTS,PULL_UP_FG3A,PULL_UP_FGA,PULL_UP_FGM,PULL_UP_FG3M,PAINT_TOUCH_PTS,ELBOW_TOUCH_PTS,POST_TOUCH_PTS,CATCH_SHOOT_PTS,FGM_LT_06,FGA_LT_06,PLUSMINUS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FGA,CATCH_SHOOT_FGM,more_15ft_def_REB_CHANCE_DEFER,less_10ft_def_PLUSMINUS,two_pt_def_FG2A,hustle_LOOSE_BALLS_RECOVERED,DIST_FEET,less_6ft_def_PLUSMINUS,DIST_MILES_DEF,post_touch_POST_TOUCH_FOULS,two_pt_def_FG2M,three_pt_def_FG3M,post_touch_POST_TOUCH_FGM,hustle_BOX_OUTS,hustle_DEF_BOXOUTS,post_touch_POST_TOUCH_TOV,DIST_MILES,more_15ft_def_AVG_OREB_DIST,more_15ft_def_DREB_UNCONTEST,AVG_SPEED_DEF,more_15ft_def_AVG_DREB_DIST,more_15ft_def_AVG_REB_DIST,post_touch_POST_TOUCH_PASSES,hustle_OFF_BOXOUTS,hustle_SCREEN_ASSISTS,less_6ft_def_FGM_LT_06,more_15ft_def_OREB,hustle_CONTESTED_SHOTS_2PT,hustle_BOX_OUT_PLAYER_REBS,D_FGA,more_15ft_def_DREB,post_touch_POST_TOUCH_FGA,post_touch_TOUCHES,hustle_OFF_LOOSE_BALLS_RECOVERED,less_10ft_def_FGM_LT_10,more_15ft_def_DREB_CHANCES,more_15ft_def_OREB_CONTEST,AVG_SPEED,team_poss,D_FGM,post_touch_POST_TOUCH_FTM,three_pt_def_PLUSMINUS,more_15ft_def_OREB_UNCONTEST,AVG_SPEED_OFF,more_15ft_def_REB,more_15ft_def_DREB_CONTEST,hustle_CHARGES_DRAWN,less_6ft_def_FGA_LT_06,more_15ft_def_OREB_CHANCES,hustle_BOX_OUT_PLAYER_TEAM_REBS,hustle_CONTESTED_SHOTS_3PT,more_15ft_def_REB_CONTEST,post_touch_POST_TOUCHES,three_pt_def_FG3A,hustle_CONTESTED_SHOTS,hustle_DEFLECTIONS,more_15ft_def_DREB_CHANCE_DEFER,post_touch_POST_TOUCH_AST,hustle_SCREEN_AST_PTS,post_touch_POST_TOUCH_FTA,more_15ft_def_OREB_CHANCE_DEFER,less_10ft_def_FGA_LT_10,post_touch_POST_TOUCH_PTS,hustle_DEF_LOOSE_BALLS_RECOVERED,DIST_MILES_OFF,more_15ft_def_REB_UNCONTEST,more_15ft_def_REB_CHANCES,W_PCT,FG_PCT,FG3_PCT,FT_PCT,TM_TOV_PCT,REB_PCT,AST_PCT,DREB_PCT,E_TOV_PCT,TS_PCT,EFG_PCT,E_USG_PCT,OREB_PCT,USG_PCT,MID_FG_PCT,BACKCOURT_FG_PCT,ABOVE_BREAK_3_FG_PCT,CORNER_3_FG_PCT,RA_FG_PCT,LEFT_CORNER_3_FG_PCT,RIGHT_CORNER_3_FG_PCT,ITP_FG_PCT,AST_TO_PASS_PCT_ADJ,AST_TO_PASS_PCT,DRIVE_PTS_PCT,DRIVE_FT_PCT,DRIVE_PASSES_PCT,DRIVE_TOV_PCT,DRIVE_PF_PCT,DRIVE_FG_PCT,DRIVE_AST_PCT,REB_CHANCE_PCT,OREB_CONTEST_PCT,OREB_CHANCE_PCT,DREB_CHANCE_PCT,DREB_CONTEST_PCT,DREB_CHANCE_PCT_ADJ,REB_CHANCE_PCT_ADJ,OREB_CHANCE_PCT_ADJ,REB_CONTEST_PCT,very_tight_EFG_PCT,very_tight_FG2_PCT,very_tight_FG3_PCT,very_tight_FG_PCT,tight_FG_PCT,tight_EFG_PCT,tight_FG2_PCT,tight_FG3_PCT,open_FG2_PCT,open_EFG_PCT,open_FG3_PCT,open_FG_PCT,wide_open_FG2_PCT,wide_open_FG_PCT,wide_open_FG3_PCT,wide_open_EFG_PCT,PULL_UP_EFG_PCT,PULL_UP_FG3_PCT,PULL_UP_FG_PCT,ELBOW_TOUCH_FG_PCT,CATCH_SHOOT_FG_PCT,PAINT_TOUCH_FG_PCT,POST_TOUCH_FG_PCT,EFF_FG_PCT,LT_06_PCT,NS_LT_06_PCT,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,hustle_PCT_BOX_OUTS_TEAM_REB,post_touch_POST_TOUCH_AST_PCT,post_touch_POST_TOUCH_FG_PCT,D_FG_PCT,post_touch_POST_TOUCH_PTS_PCT,more_15ft_def_OREB_CHANCE_PCT_ADJ,PCT_PLUSMINUS,post_touch_POST_TOUCH_TOV_PCT,less_6ft_def_LT_06_PCT,more_15ft_def_REB_CHANCE_PCT_ADJ,hustle_PCT_LOOSE_BALLS_RECOVERED_OFF,post_touch_POST_TOUCH_FOULS_PCT,three_pt_def_FREQ,more_15ft_def_DREB_CHANCE_PCT_ADJ,less_6ft_def_NS_LT_06_PCT,three_pt_def_FG3_PCT,more_15ft_def_REB_CHANCE_PCT,post_touch_POST_TOUCH_PASSES_PCT,three_pt_def_NS_FG3_PCT,more_15ft_def_OREB_CONTEST_PCT,two_pt_def_FG2_PCT,less_10ft_def_FREQ,less_10ft_def_NS_LT_10_PCT,NORMAL_FG_PCT,less_6ft_def_FREQ,more_15ft_def_DREB_CONTEST_PCT,more_15ft_def_REB_CONTEST_PCT,two_pt_def_FREQ,hustle_PCT_LOOSE_BALLS_RECOVERED_DEF,post_touch_POST_TOUCH_FT_PCT,hustle_PCT_BOX_OUTS_REB,hustle_PCT_BOX_OUTS_DEF,more_15ft_def_OREB_CHANCE_PCT,hustle_PCT_BOX_OUTS_OFF,two_pt_def_NS_FG2_PCT,more_15ft_def_DREB_CHANCE_PCT,less_10ft_def_LT_10_PCT
594,1629875,Xavier Moon,7,10,2022,294,LAC,1610612746,27.0,137.36833333333334,25,51,5,14,3,5,2,12,14,24,6,7,3,3,9,5,58,2,0,0,2.5,103.08,111.5,111.5,1.4,108.6,112.9,85.9,28.9,112.9,105.53,1.4,2.1,103.08,110.7,5.1,4.0,1.0,13.0,16.0,0.0,26.0,6.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,3.0,0.2,0.0,0.429,0.5,16.0,0.625,13.0,0.0,3.0,10.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,5.0,0.385,0.0,5.0,4.0,0.75,0.0,0.0,7.0,40.0,27.0,0.0,249.0,241.0,4.0,61.0,0.0,0.0,3.0,4.0,16.0,6.0,0.0,0.0,0.0,12.0,308.0,4.36,58.0,22.4,4.16,1.0,105.0,0.0,0.0,0.0,0.0,0.188,0.0,4.0,10.0,10.0,0.0,8.0,10.9,4.0,2.0,10.1,4.0,34.0,4.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.275,1.0,14.0,0.255,4.0,13.0,0.02,1.0,0.098,5.0,22.0,2.0,0.431,16.0,18.0,0.529,27.0,2.0,0.0,2.0,2.0,0.196,10.0,0.039,8.0,0.157,36.0,5.0,28.0,17.0,2.0,0.0,0.0,0.0,9.0,12.0,25.0,-0.137,2.0,8.0,10.0,2.0,4.0,-0.148,3.8,0.38,5681.2,-0.137,0.5,0.0,1.8,0.7,0.0,0.0,0.0,0.0,1.08,10.9,8.0,3.91,10.0,10.1,0.0,0.0,0.25,1.2,2.0,1.25,0.0,6.0,12.0,0.0,30.8,0.13,1.2,26.0,0.0,4.34,0.0,2.5,0.0,-0.015,2.0,4.8,14.0,4.0,0.0,2.5,8.0,0.0,0.63,4.0,0.0,2.2,1.88,1.13,4.0,0.0,0.75,0.0,0.0,2.8,0.0,0.25,0.58,10.0,34.0,0.7,0.49,0.357,0.6,7.2,0.045,0.245,0.072,7.2,0.545,0.539,0.182,0.014,0.177,0.615,0.0,0.385,0.0,0.5,0.0,0.0,0.2,0.112,0.1,0.375,0.0,0.25,0.0,0.0,0.25,0.0,0.412,0.0,0.25,0.462,0.333,0.545,0.467,0.25,0.286,0.0,0.0,0.0,0.0,0.357,0.393,0.308,1.0,0.727,0.704,0.4,0.667,0.0,0.2,0.25,0.3,0.643,0.4,0.607,0.0,0.273,0.0,0.0,0.539,0.48,0.617,0.25,0.3,0.0,0.0,0.0,0.417,0.0,0.25,-0.033,0.0,0.48,0.467,0.333,0.0,0.367,0.545,0.617,0.318,0.412,0.0,0.333,0.0,0.474,0.467,0.577,0.45,0.417,0.333,0.286,0.633,0.667,0.0,0.0,0.0,0.25,0.0,0.52,0.462,0.429
593,1629875,Xavier Moon,2,4,2023,39,LAC,1610612746,28.0,19.566666666666663,3,9,1,3,0,0,0,3,3,5,1,0,0,0,2,0,7,3,0,0,0.8,96.9,82.5,82.5,9.8,86.1,92.3,80.75,33.3,92.3,95.23,9.8,5.4,96.9,91.6,2.3,5.0,1.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.5,0.0,1.0,2.0,0.5,0.0,0.0,0.0,8.0,5.0,0.0,36.0,34.0,0.0,12.0,0.0,1.0,1.0,3.0,7.0,2.0,0.0,0.0,0.0,2.0,45.0,4.51,7.0,3.4,4.31,0.0,19.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,6.1,2.0,0.0,2.0,0.0,1.0,0.0,6.1,1.0,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.222,0.0,2.0,0.222,1.0,2.0,0.0,0.0,0.222,2.0,4.0,1.0,0.444,1.0,2.0,0.667,6.0,0.0,0.0,0.0,0.0,0.111,1.0,0.0,1.0,0.111,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.186,1.0,2.0,2.0,1.0,0.0,0.16,2.25,0.0,1910.75,0.186,0.16,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.36,0.0,2.0,3.41,6.1,6.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.5,3.0,0.0,11.3,0.0,1.25,3.0,0.0,3.92,497.0,1.5,0.0,-0.25,0.0,4.42,3.0,1.0,0.0,1.25,2.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.2,2.0,5.0,0.5,0.333,0.333,0.0,6.7,0.079,0.455,0.15,6.7,0.389,0.389,0.236,0.0,0.233,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.147,0.147,0.286,0.0,0.429,0.143,0.0,0.5,0.0,0.6,0.0,0.0,1.0,0.333,1.0,0.6,0.0,0.333,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.25,0.417,0.5,0.333,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.5,0.0,0.0,0.389,0.8,0.614,0.5,0.75,0.0,0.0,0.0,0.6,0.0,0.0,0.184,0.0,0.8,0.6,0.0,0.0,0.1,1.0,0.614,0.0,0.6,0.0,0.25,0.0,0.667,0.7,0.555,0.416,0.5,0.333,0.333,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.0,0.714
563,1629875,Xavier Moon,7,14,2024,257,LAC,1610612746,29.0,119.25,15,46,2,17,1,2,8,10,18,21,5,3,3,0,8,3,33,-37,0,0,1.1,103.65,107.4,107.4,-14.0,108.9,93.4,86.37,28.8,93.4,102.04,-14.0,-13.9,103.65,95.0,3.3,4.2,7.0,15.0,5.0,0.0,8.0,6.0,0.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,6.0,0.4,0.0,0.25,0.6,6.0,0.5,11.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,10.0,0.0,5.0,0.182,0.0,2.0,5.0,0.0,0.0,0.0,8.0,27.0,22.0,0.0,218.0,215.0,2.0,46.0,0.0,0.0,4.0,8.0,20.0,8.0,0.0,1.0,0.0,12.0,274.0,4.11,33.0,18.8,3.65,3.0,99.0,3.0,0.0,0.0,0.0,0.12,0.0,2.0,10.8,13.0,0.0,10.0,10.3,0.0,5.0,10.5,3.0,25.0,2.0,8.0,16.0,3.0,0.0,0.022,0.0,0.0,0.0,0.022,1.0,1.0,0.0,4.0,0.348,2.0,16.0,0.304,4.0,14.0,0.043,0.0,0.152,7.0,14.0,1.0,0.304,9.0,10.0,0.457,21.0,0.0,0.0,1.0,1.0,0.174,8.0,0.0,8.0,0.174,26.0,6.0,23.0,12.0,2.0,0.0,0.0,0.0,2.0,20.0,26.0,0.175,0.0,11.0,13.0,1.0,2.0,0.158,3.36,0.33,3333.21,0.175,0.28,0.0,2.18,0.55,0.0,0.0,0.0,0.0,0.63,10.3,8.0,4.02,10.8,10.5,0.0,0.0,0.17,1.82,8.0,0.67,0.0,5.27,8.0,0.0,19.6,0.0,1.91,16.0,3.0,4.3,550.0,2.73,0.0,-0.05,5.0,4.55,16.0,0.0,0.0,2.36,10.0,0.0,0.5,3.0,0.0,1.91,1.17,1.67,2.0,0.0,0.33,0.0,0.0,2.64,0.0,0.33,0.35,13.0,25.0,0.5,0.326,0.118,0.5,6.8,0.067,0.25,0.079,6.9,0.352,0.348,0.178,0.057,0.174,0.625,0.0,0.133,0.0,0.167,0.0,0.0,0.467,0.102,0.098,0.4,0.0,0.4,0.0,0.0,0.333,0.05,0.64,0.375,0.8,0.5,0.0,0.571,0.696,0.8,0.188,0.0,0.0,0.0,0.0,0.25,0.25,0.286,0.0,0.643,0.5,0.143,0.476,0.0,0.125,0.125,0.188,0.565,0.333,0.522,0.0,0.077,0.0,0.0,0.348,0.769,0.594,0.0,0.077,0.0,0.0,0.0,0.517,0.0,0.8,0.074,0.0,0.769,0.696,0.0,0.0,0.362,0.571,0.594,0.286,0.64,0.0,0.336,0.375,0.649,0.5,0.566,0.443,0.448,0.0,0.188,0.638,1.0,0.0,0.0,0.0,0.8,0.0,0.524,0.5,0.724
