EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,Corner3FGM,Corner3FGA,FG2M,FG2A,FG3M,Points,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Avg2ptShotDistance,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,Fg2aBlocked,OffTwoPtRebounds,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,ThreePtShootingFoulsDrawnPct,PenaltyFtPoints,PtsUnassisted3s,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2M,LostBallSteals,BadPassOutOfBoundsTurnovers,PenaltyFg2Pct,DefCorner3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShortMidRangePctBlocked,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PtsPutbacks,BlockedShortMidRange,DefShortMidRangeReboundPct,LostBallTurnovers,DefLongMidRangeReboundPct,SelfOReb,SelfORebPct,SecondChanceTurnovers,Offensive Fouls,StepOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,Fg3aBlocked,Charge Fouls,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,FG3APctBlocked,Arc3PctBlocked,LostBallOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,HeaveAttempts,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,OffLongMidRangeReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,ShortMidRangeAssists,LongMidRangePctBlocked,ShortMidRangePctAssisted,Clear Path Fouls,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,LongMidRangeAssists,LongMidRangePctAssisted,3pt And 1 Free Throw Trips,BlockedLongMidRange,BlockedCorner3,Defensive 3 Seconds Violations,DefensiveGoaltends,OffensiveGoaltends,HeaveMakes,3SecondViolations,team_id,year,season,team_vs
1626187-1627863-1628392-1629598-1629739,1610612745,"Michael Frazier, Danuel House Jr., Isaiah Hartenstein, Chris Clemons, William Howard","Frazier, House Jr., Hartenstein, Clemons, Howard",1626187-1627863-1628392-1629598-1629739,HOU,76.0,1,1.0,-4.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,113.6842105263158,13.666666666666666,11.666666666666666,13.666666666666666,11.666666666666666,1.0,1.0,1.0,0.503475,0.503475,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-1628392-1629598-200757,1610612745,"Michael Frazier, Danuel House Jr., Isaiah Hartenstein, Chris Clemons, Thabo Sefolosha","Frazier, House Jr., Hartenstein, Clemons, Sefolosha",1626187-1627863-1628392-1629598-200757,HOU,102.0,1,2.0,-2.0,3.0,4.0,,,7.0,1.0,,2.0,7.0,,1.0,,1.0,1.0,2.0,2.0,,0.6666666666666666,,1.0,,98.82352941176471,15.0,14.25,15.0,14.25,0.3333333333333333,,1.0,0.5849333333333333,,25.45,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.5,0.5,1.0,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-1629598-200757-203085,1610612745,"Michael Frazier, Danuel House Jr., Chris Clemons, Thabo Sefolosha, Austin Rivers","Frazier, House Jr., Clemons, Sefolosha, Rivers",1626187-1627863-1629598-200757-203085,HOU,368.0,1,6.0,-6.0,15.0,14.0,6.0,14.0,29.0,4.0,2.0,6.0,16.0,3.0,4.0,3.0,5.0,6.0,3.0,4.0,6.0,0.5454545454545454,0.75,0.75,1.0,113.4782608695652,13.066666666666666,12.285714285714286,12.533333333333333,12.214285714285714,0.36363636363636365,0.5,0.9090909090909091,0.5507590909090909,0.4660375,26.45,0.4,3.0,4.0,,2.0,3.0,5.0,1.0,10.0,2.0,3.0,1.0,1.0,2.0,,1.0,5.0,,1.0,,,,,8.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,0.6,0.4090909090909091,0.4166666666666667,,,,0.36363636363636365,0.75,0.75,0.3333333333333333,0.18181818181818182,,,,2.54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,0.3333333333333333,1.0,1.0,0.375,1.0,0.375,0.25,1.0,0.2,0.14285714285714285,0.3333333333333333,0.09090909090909091,0.25,0.25,1.0,1.0,1.0,1.0,0.25,0.5,0.25,0.08333333333333333,0.16666666666666666,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-200782-201569,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, P.J. Tucker, Eric Gordon","Frazier, House Jr., Sefolosha, Tucker, Gordon",1626187-1627863-200757-200782-201569,HOU,240.0,1,4.0,-2.0,7.0,8.0,,5.0,15.0,3.0,,3.0,11.0,,3.0,2.0,2.0,4.0,,1.0,,0.6,1.0,1.0,1.0,90.0,18.285714285714285,14.0,16.428571428571427,14.0,0.6,,0.8,0.5200400000000001,,24.7,,,1.0,,,,2.0,1.0,9.0,,3.0,,1.0,1.0,,,3.0,,6.0,,,,,4.0,,,1.0,0.3333333333333333,0.3333333333333333,,0.3,0.5,,,,0.2,,,,,,,,6.6,2.0,,,1.0,,1.0,,6.0,,,5.0,,,,,1.0,1.0,,,2.0,,,,,,,,,9.0,3.0,,,,,1.5,,1.25,,,,,0.5,,0.2,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.3333333333333333,0.4444444444444444,0.6,0.5555555555555556,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6192,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-200782-203085,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, P.J. Tucker, Austin Rivers","Frazier, House Jr., Sefolosha, Tucker, Rivers",1626187-1627863-200757-200782-203085,HOU,77.0,1,1.0,3.0,3.0,3.0,3.0,3.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,112.2077922077922,13.0,12.666666666666666,13.0,12.666666666666666,1.0,1.0,1.0,0.56715,0.56715,25.15,1.0,,,,,,,1.0,4.0,,,,,,,,,1.0,1.0,,,,,4.0,,,,0.5,0.5,,0.75,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,4.0,,1.0,,,,,1.0,1.0,,,,,,,2.0,,4.0,,0.5,,,0.75,,0.6666666666666666,,,,,,,0.5,0.5,,,,,,0.5,0.5,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-201569-203085,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, Eric Gordon, Austin Rivers","Frazier, House Jr., Sefolosha, Gordon, Rivers",1626187-1627863-200757-201569-203085,HOU,293.0,1,5.0,9.0,12.0,12.0,12.0,9.0,24.0,1.0,1.0,1.0,8.0,1.0,1.0,4.0,6.0,6.0,2.0,4.0,12.0,0.125,0.8,0.7142857142857143,1.0,117.95221843003412,9.666666666666666,14.75,9.666666666666666,14.166666666666666,0.125,0.125,0.875,0.55185625,0.55185625,27.7,1.0,5.0,6.0,,,6.0,7.0,,17.0,2.0,,1.0,,1.0,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,17.0,0.16666666666666666,0.16666666666666666,,,,0.8571428571428571,0.75,0.7727272727272727,0.5,1.0,1.0,0.75,0.8333333333333334,0.8333333333333334,0.2,,,,,4.042857142857143,,,,,,,,5.0,,,,7.0,,17.0,10.0,,,,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,17.0,1.0,,,,0.75,,0.7727272727272727,0.5,1.0,,,,,,,,,,,,,,0.2,0.2222222222222222,,1.0,,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,5.0,6.0,1.0,1.0,6.0,1.0,1.0,0.8571428571428571,0.5,0.125,1.0,1.0,0.75,0.8333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-201935-203463,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, James Harden, Ben McLemore","Frazier, House Jr., Sefolosha, Harden, McLemore",1626187-1627863-200757-201935-203463,HOU,179.0,1,3.0,-5.0,4.0,4.0,,3.0,8.0,2.0,,2.0,8.0,,2.0,,,,1.0,2.0,,0.6666666666666666,,,,64.35754189944134,25.0,19.75,25.0,16.0,0.6666666666666666,,0.6666666666666666,0.47798333333333337,,25.1,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,3.0,,,,0.5,0.5,,0.5,0.5,,,,,,,,,,,,4.1,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,0.3333333333333333,0.5,0.5,,,,,,,0.5,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200757-203085-203463,1610612745,"Michael Frazier, Danuel House Jr., Thabo Sefolosha, Austin Rivers, Ben McLemore","Frazier, House Jr., Sefolosha, Rivers, McLemore",1626187-1627863-200757-203085-203463,HOU,213.0,1,4.0,4.0,9.0,8.0,8.0,,17.0,5.0,5.0,5.0,6.0,5.0,5.0,,,,,1.0,8.0,0.625,,,,114.92957746478874,13.333333333333334,11.625,13.333333333333334,11.625,0.625,0.7142857142857143,0.875,0.529025,0.5547714285714286,25.44,0.8888888888888888,,2.0,,,1.0,3.0,2.0,10.0,,3.0,,1.0,1.0,,,3.0,,2.0,,,,,10.0,,,0.5,0.4,0.4,0.3333333333333333,0.5,0.5555555555555556,,,,0.25,,,,,,,,5.033333333333333,,,,1.0,,2.0,2.0,2.0,,,,2.0,2.0,10.0,2.0,2.0,1.0,,,,4.0,,,,,,,,2.0,,10.0,,0.4,,,0.5714285714285714,,0.625,,,,,,0.125,0.4,0.4,0.5,,,,,0.4,0.4,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,1.0,,1.0,,,1.0,4.0,,0.5,,,,,0.14285714285714285,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200782-201566-201935,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, Russell Westbrook, James Harden","Frazier, House Jr., Tucker, Westbrook, Harden",1626187-1627863-200782-201566-201935,HOU,20.0,1,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,144.0,11.0,9.0,11.0,9.0,1.0,1.0,1.0,0.36375,0.36375,27.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
1626187-1627863-200782-201569-203085,1610612745,"Michael Frazier, Danuel House Jr., P.J. Tucker, Eric Gordon, Austin Rivers","Frazier, House Jr., Tucker, Gordon, Rivers",1626187-1627863-200782-201569-203085,HOU,199.0,1,3.0,3.0,7.0,7.0,7.0,1.0,14.0,2.0,2.0,2.0,7.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,7.0,0.3333333333333333,1.0,1.0,1.0,101.30653266331657,13.428571428571429,15.0,13.285714285714286,15.0,0.3333333333333333,0.3333333333333333,1.0,0.46270833333333333,0.46270833333333333,25.1,1.0,2.0,4.0,,,2.0,4.0,1.0,10.0,2.0,3.0,1.0,1.0,2.0,,1.0,5.0,2.0,2.0,1.0,,1.0,1.0,8.0,0.5,1.0,1.0,0.5,0.5,0.5,0.5833333333333334,0.625,1.0,,1.0,0.6666666666666666,0.5,0.6666666666666666,0.5,,,,,2.725,1.0,1.0,1.0,,,1.0,1.0,3.0,1.0,1.0,2.0,4.0,1.0,10.0,2.0,1.0,1.0,,,1.0,,,,,,,,,4.0,,10.0,,0.5,1.0,1.0,0.5833333333333334,1.0,0.625,,,,0.3333333333333333,,,0.5,0.5,1.0,1.0,1.0,,,0.5,0.5,,,0.2,1.0,,,,,,1.0,1.0,,,,0.25,0.25,0.5,0.5,,,,,0.5538,,3.0,,2.0,1.0,2.0,4.0,,,2.0,,,0.5,,,,,0.6666666666666666,0.5,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2020,2019-20,False
