EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGA,SecondChanceFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,LongMidRangeFrequency,SecondChanceShotQualityAvg,PlusMinus,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,AtRimAssists,OffThreePtRebounds,DefThreePtRebounds,BadPassTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChancePointsPct,Avg3ptShotDistance,Steals,BadPassSteals,DeadBallTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Fouls,PenaltyDefPoss,LongMidRangeFGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,FTDefRebounds,SelfOReb,LostBallSteals,PenaltyTurnovers,PenaltyFg3Pct,SecondChanceFg2Pct,DefFTReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ThreePtShootingFoulsDrawn,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,FTOffRebounds,StepOutOfBoundsTurnovers,ShortMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctAssisted,PenaltyCorner3FGA,PenaltyCorner3Frequency,Charge Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Charge Fouls Drawn,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveAttempts,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,Defensive 3 Seconds Violations,3pt And 1 Free Throw Trips,BlockedCorner3,BlockedLongMidRange,3SecondViolations,LongMidRangePctBlocked,team_id,year,season,team_vs
1626245-1627739-1627756-1628990-1629632,1610612741,"Cristiano Felicio, Kris Dunn, Denzel Valentine, Chandler Hutchison, Coby White","Felicio, Dunn, Valentine, Hutchison, White",1626245-1627739-1627756-1628990-1629632,CHI,108.0,2,2.0,4.0,5.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,6.0,6.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120.0,1.0,11.75,12.2,11.75,12.2,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.52765,0.52765,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.85,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1627853-1628990-203897,1610612741,"Cristiano Felicio, Kris Dunn, Ryan Arcidiacono, Chandler Hutchison, Zach LaVine","Felicio, Dunn, Arcidiacono, Hutchison, LaVine",1626245-1627739-1627853-1628990-203897,CHI,50.0,1,1.0,1.0,1.0,,2.0,,1.0,,,1.0,1.0,1.0,3.0,,2.0,2.0,,,,2.0,,1.0,1.0,1.0,2.0,,,1.0,,,,1.0,1.0,1.0,,,,,,2.0,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,,57.599999999999994,,33.0,17.0,18.0,17.0,0.3333333333333333,,,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,0.4179,,0.3333333333333333,0.3333333333333333,,8.066666666666666,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.3333333333333333,0.3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1628374-1628990-203897,1610612741,"Cristiano Felicio, Kris Dunn, Lauri Markkanen, Chandler Hutchison, Zach LaVine","Felicio, Dunn, Markkanen, Hutchison, LaVine",1626245-1627739-1628374-1628990-203897,CHI,222.0,1,4.0,6.0,6.0,4.0,12.0,3.0,3.0,3.0,3.0,,1.0,3.0,4.0,1.0,10.0,11.0,3.0,4.0,7.0,2.0,4.0,1.0,2.0,,5.0,,1.0,3.0,1.0,,1.0,5.0,2.0,2.0,,,,,,7.0,7.0,4.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.6428571428571429,0.75,0.7142857142857143,0.875,1.0,,0.3333333333333333,,77.83783783783784,,21.833333333333332,15.166666666666666,19.333333333333332,15.166666666666666,0.42857142857142855,1.0,1.0,0.14285714285714285,,,,0.75,1.0,0.8571428571428571,0.5209785714285714,0.50975,0.2857142857142857,0.5,0.7,3.9,0.6666666666666666,1.0,,,,,2.0,2.0,,,,0.6666666666666666,,,0.539775,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.75,0.75,0.42857142857142855,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,1.0,1.0,0.5,0.3,24.933333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1628374-1629632-203897,1610612741,"Cristiano Felicio, Kris Dunn, Lauri Markkanen, Coby White, Zach LaVine","Felicio, Dunn, Markkanen, White, LaVine",1626245-1627739-1628374-1629632-203897,CHI,275.0,4,5.0,11.0,11.0,,22.0,4.0,5.0,,,,,4.0,5.0,2.0,13.0,14.0,,,,8.0,,4.0,5.0,,11.0,,1.0,2.0,2.0,,4.0,3.0,2.0,1.0,,,,,,13.0,,,1.0,1.0,0.8,,0.7857142857142857,,0.8125,,0.5,,0.3333333333333333,,115.2,,11.909090909090908,13.090909090909092,11.909090909090908,12.909090909090908,0.7142857142857143,0.8,0.8,,,,,,,1.0,0.6427142857142857,,0.125,0.16666666666666666,,1.48,,1.0,,,,1.0,1.0,,,,1.0,0.5,1.0,,,-1.0,1.0,1.0,,,1.0,,1.0,2.0,,,,,3.0,1.0,1.0,1.0,4.0,,1.0,2.0,,1.0,1.0,0.5,,0.5,,,0.2857142857142857,0.5,,,0.5,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,,,,,,25.9,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1628374-203107-203897,1610612741,"Cristiano Felicio, Kris Dunn, Lauri Markkanen, Tomas Satoransky, Zach LaVine","Felicio, Dunn, Markkanen, Satoransky, LaVine",1626245-1627739-1628374-203107-203897,CHI,599.0,4,10.0,21.0,21.0,4.0,42.0,5.0,7.0,1.0,1.0,1.0,4.0,7.0,12.0,,26.0,21.0,1.0,1.0,5.0,4.0,10.0,2.0,5.0,,13.0,4.0,8.0,10.0,2.0,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,,21.0,5.0,4.0,0.2857142857142857,0.3333333333333333,0.5833333333333334,1.0,0.6842105263157895,1.25,0.65,1.25,1.0,0.5714285714285714,0.6363636363636364,0.5,100.96828046744575,1.0,13.714285714285714,14.80952380952381,13.476190476190476,14.19047619047619,0.3684210526315789,0.7142857142857143,1.0,0.21052631578947367,0.25,0.25,,0.5,1.0,0.7368421052631579,0.5185947368421053,0.651275,0.05,0.07692307692307693,0.19230769230769232,5.491666666666667,0.19047619047619047,3.0,1.0,1.0,2.0,1.0,2.0,,0.16666666666666666,0.2857142857142857,0.2,0.25,,0.05263157894736842,0.4772,5.0,2.0,3.0,1.0,1.0,4.0,,4.0,7.0,1.0,1.0,5.0,,9.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,,,0.75,0.5714285714285714,1.0,0.5714285714285714,1.25,1.25,0.3684210526315789,0.75,0.3333333333333333,,0.6666666666666666,0.4,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.21052631578947367,0.5,1.0,1.0,,0.19230769230769232,24.357142857142858,3.0,1.0,,,,4.0,7.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1628990-1629632-203897,1610612741,"Cristiano Felicio, Kris Dunn, Chandler Hutchison, Coby White, Zach LaVine","Felicio, Dunn, Hutchison, White, LaVine",1626245-1627739-1628990-1629632-203897,CHI,244.0,2,4.0,8.0,8.0,,16.0,2.0,2.0,,,,2.0,2.0,4.0,7.0,11.0,4.0,,,,,4.0,,,,,2.0,4.0,6.0,,,,4.0,7.0,2.0,1.0,1.0,1.0,1.0,,9.0,,,,,0.5,,0.2857142857142857,,0.55,,,1.0,0.8,1.0,94.42622950819673,1.0,15.625,14.875,14.75,14.25,0.2857142857142857,1.0,1.0,0.2857142857142857,,,,,,0.7142857142857143,0.5505142857142857,,0.3,0.3333333333333333,,3.7,,1.0,,2.0,,1.0,2.0,,,,0.5,0.4,,,0.5856,7.0,,,,,3.0,,,3.0,,,2.0,,,3.0,,,,1.0,2.0,,,1.0,,,,,0.5,0.5,0.42857142857142855,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.42857142857142855,,,,,0.18181818181818182,25.766666666666666,,,,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,,0.5,,0.5,,,1.0,,,,,,,,,,,1.0,1.0,1.0,0.5,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1628990-201152-203897,1610612741,"Cristiano Felicio, Kris Dunn, Chandler Hutchison, Thaddeus Young, Zach LaVine","Felicio, Dunn, Hutchison, Young, LaVine",1626245-1627739-1628990-201152-203897,CHI,99.0,1,2.0,3.0,3.0,,6.0,1.0,1.0,,,,,1.0,1.0,,5.0,,,,,,2.0,,1.0,,3.0,2.0,2.0,2.0,,,1.0,2.0,,,1.0,,1.0,1.0,,5.0,,,,,1.0,,1.25,,1.25,,,1.0,1.0,,87.27272727272728,1.0,12.333333333333334,20.666666666666668,12.333333333333334,20.666666666666668,0.5,1.0,1.0,,,,,,,1.0,0.552825,,,,,2.2,,,,,,,,,,,,,,,,5.0,,,,,1.0,,1.0,1.0,,,,,3.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,0.5,,,,,,,,,,0.5,,,,,,24.7,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1629632-201152-203897,1610612741,"Cristiano Felicio, Kris Dunn, Coby White, Thaddeus Young, Zach LaVine","Felicio, Dunn, White, Young, LaVine",1626245-1627739-1629632-201152-203897,CHI,1242.0,6,21.0,39.0,39.0,6.0,78.0,12.0,15.0,2.0,3.0,1.0,5.0,13.0,24.0,8.0,46.0,45.0,2.0,5.0,7.0,12.0,14.0,6.0,10.0,,24.0,10.0,16.0,25.0,5.0,1.0,6.0,10.0,13.0,7.0,4.0,3.0,4.0,3.0,,32.0,7.0,6.0,0.46153846153846156,0.6666666666666666,0.5416666666666666,0.4,0.5428571428571428,0.5833333333333334,0.5609756097560976,0.5833333333333334,0.8333333333333334,0.9090909090909091,0.8888888888888888,0.8333333333333334,90.43478260869566,0.75,16.435897435897434,15.41025641025641,15.743589743589743,15.0,0.42857142857142855,0.8,0.8571428571428571,0.14285714285714285,0.2,0.25,,0.5,0.6666666666666666,0.7428571428571429,0.5643897058823529,0.5741083333333333,0.17073170731707318,0.23333333333333334,0.15217391304347827,5.133333333333334,0.15384615384615385,7.0,4.0,8.0,2.0,4.0,9.0,1.0,0.08333333333333333,0.06666666666666667,0.36363636363636365,0.4444444444444444,0.3333333333333333,0.11428571428571428,0.66674,1.0,1.0,1.0,,,10.0,1.0,4.0,11.0,,1.0,14.0,,12.0,10.0,4.0,1.0,6.0,4.0,6.0,4.0,1.0,1.0,1.0,0.36363636363636365,,0.36363636363636365,0.7777777777777778,0.7777777777777778,0.3142857142857143,0.8571428571428571,0.5714285714285714,0.5714285714285714,0.8571428571428571,0.5,0.02857142857142857,1.0,1.0,1.0,0.2857142857142857,,,,0.1111111111111111,0.30434782608695654,27.127272727272725,2.0,1.0,1.0,,,3.0,8.0,7.0,,3.0,1.0,1.0,7.0,1.0,1.0,,8.0,3.0,3.0,,,1.0,1.0,1.0,0.875,,0.5,,1.0,1.0,,,,,0.3,0.3,1.0,0.16666666666666666,1.0,0.3,7.0,7.0,,0.7777777777777778,1.0,,1.0,1.0,1.0,0.2,0.25,0.25,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-1629632-203107-203897,1610612741,"Cristiano Felicio, Kris Dunn, Coby White, Tomas Satoransky, Zach LaVine","Felicio, Dunn, White, Satoransky, LaVine",1626245-1627739-1629632-203107-203897,CHI,76.0,1,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,2.0,2.0,2.0,,,1.0,1.0,0.5,0.5,0.5,0.5,,,1.0,,94.73684210526316,,14.5,15.666666666666666,14.5,15.666666666666666,0.5,1.0,1.0,,,,,0.5,1.0,1.0,0.51355,0.51355,,,1.0,2.6,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,0.5,1.0,,,,,,,,,0.5,,,,,,26.7,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
1626245-1627739-201152-203107-203897,1610612741,"Cristiano Felicio, Kris Dunn, Thaddeus Young, Tomas Satoransky, Zach LaVine","Felicio, Dunn, Young, Satoransky, LaVine",1626245-1627739-201152-203107-203897,CHI,1283.0,4,21.0,46.0,46.0,3.0,92.0,5.0,11.0,,,1.0,7.0,9.0,23.0,4.0,40.0,50.0,,2.0,2.0,10.0,8.0,5.0,10.0,1.0,25.0,9.0,17.0,26.0,8.0,3.0,12.0,8.0,6.0,2.0,2.0,2.0,2.0,2.0,,31.0,2.0,3.0,0.5555555555555556,0.625,0.391304347826087,,0.46153846153846156,,0.47560975609756095,0.3333333333333333,0.6666666666666666,0.9,0.8947368421052632,1.0,103.25798908807482,1.0,14.891304347826088,13.0,13.869565217391305,12.804347826086957,0.28205128205128205,0.45454545454545453,0.5555555555555556,0.1794871794871795,0.14285714285714285,0.14285714285714285,1.0,,,0.6923076923076923,0.529975641025641,0.35865,0.05,0.08333333333333333,0.05,7.060869565217391,0.06521739130434782,7.0,5.0,3.0,2.0,6.0,9.0,1.0,0.08695652173913043,0.18181818181818182,0.42857142857142855,0.375,0.5,0.1282051282051282,0.5938,-10.0,3.0,5.0,2.0,3.0,11.0,2.0,6.0,16.0,2.0,5.0,9.0,2.0,15.0,11.0,5.0,2.0,2.0,3.0,8.0,5.0,,,0.8333333333333334,0.375,0.4,0.375,0.5,0.5625,0.41025641025641024,0.8888888888888888,0.3,0.25,0.8333333333333334,0.4,0.1282051282051282,0.6,0.6,0.6666666666666666,0.28205128205128205,0.375,0.6666666666666666,0.5,0.25,0.225,25.925,3.0,2.0,4.0,,2.0,5.0,8.0,11.0,3.0,3.0,,,1.0,,,3.0,2.0,3.0,3.0,,1.0,1.0,,,0.3333333333333333,,0.5,0.5,0.5,1.0,1.0,0.045454545454545456,0.6,0.6,0.2727272727272727,0.2727272727272727,1.0,,,0.2727272727272727,1.0,3.0,,0.375,0.3333333333333333,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2020,2019-20,True
